store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"1752|26816","Stamps|Stamps",12734,"Proline Seamless Old Granite Cleft Stone",,"Seamless Old Granite Cleft Stone","","Seamless Old Granite Cleft Stone","Proline Seamless Old Granite Cleft Stone",/\P\r\Proline-Seamless-Old-Granite-Cleft.jpg,/\P\r\Proline-Seamless-Old-Granite-Cleft.jpg,http://www.48ws.com/images/product/P/r/Proline-Seamless-Old-Granite-Cleft.jpg,Proline-Seamless-Old-Granite-Cleft-Stone,Proline-Seamless-Old-Granite-Cleft-Stone,,No layout updates.,Block after Info Column,,"Seamless Old Granite Cleft Stone","Seamless Old Granite Cleft Stone",Use config,"http://www.prolinestamps.com/concrete_stamps.aspx?id=1",0,,,0,"Proline",174,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Seamless Skins","Proline is the innovator of the Seamless Texturing system. The very first Seamless Texture to roll of a production line was Proline's Old Granite Cleft Stone. It was followed by Roman Slate, especially designed for Caesar Palace in Las Vegas. Now, these are the standards in the industry. All others are imitations of the original. All Proline skins are made of the highest grade urethane in a unique process that resuls in highly durable stamping tools. Proline tools are carefully hand-built and represent a life-like stone and texture. As an applicator, you will appreciate how light and easy our mats are to use. All Seamless Textures include handles, with the exception of touch up mats. All patterns are available in 5' x 5', 4' x 4', 3' x 3', 2' x 4' and 20&quot; x 20&quot; for touch up. We also offer our touch up mats in a super-flex material for added flexiblility into tight places. You can have the look of natural stone, with the durability and low cost of concrete. Check out our many patterns. Easy to install - the only hard part is choosing between all the beautiful patterns.","","Proline Seamless Old Granite Cleft Stone","Seamless Old Granite Cleft Stone",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1752|26816","Stamps|Stamps",12735,"Proline Seamless Roman Slate",,"Seamless Roman Slate","","Seamless Roman Slate","Proline Seamless Roman Slate",/\P\r\Proline-Seamless-Roman.jpg,/\P\r\Proline-Seamless-Roman.jpg,http://www.48ws.com/images/product/P/r/Proline-Seamless-Roman.jpg,Proline-Seamless-Roman-Slate,Proline-Seamless-Roman-Slate,,No layout updates.,Block after Info Column,,"Seamless Roman Slate","Seamless Roman Slate",Use config,"http://www.prolinestamps.com/concrete_stamps.aspx?id=1",0,,,0,"Proline",174,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Seamless Skins","Proline is the innovator of the Seamless Texturing system. The very first Seamless Texture to roll of a production line was Proline's Old Granite Cleft Stone. It was followed by Roman Slate, especially designed for Caesar Palace in Las Vegas. Now, these are the standards in the industry. All others are imitations of the original. All Proline skins are made of the highest grade urethane in a unique process that resuls in highly durable stamping tools. Proline tools are carefully hand-built and represent a life-like stone and texture. As an applicator, you will appreciate how light and easy our mats are to use. All Seamless Textures include handles, with the exception of touch up mats. All patterns are available in 5' x 5', 4' x 4', 3' x 3', 2' x 4' and 20&quot; x 20&quot; for touch up. We also offer our touch up mats in a super-flex material for added flexiblility into tight places. You can have the look of natural stone, with the durability and low cost of concrete. Check out our many patterns. Easy to install - the only hard part is choosing between all the beautiful patterns.
","","Proline Seamless Roman Slate","Seamless Roman Slate",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1752|26816","Stamps|Stamps",12736,"Proline Seamless Italian Slate",,"Seamless Italian Slate","","Seamless Italian Slate","",/\P\r\Proline-Seamless-Italian.jpg,/\P\r\Proline-Seamless-Italian.jpg,http://www.48ws.com/images/product/P/r/Proline-Seamless-Italian.jpg,Proline-Seamless-Italian-Slate,Proline-Seamless-Italian-Slate,,No layout updates.,Block after Info Column,,"Seamless Italian Slate","Seamless Italian Slate",Use config,"http://www.prolinestamps.com/concrete_stamps.aspx?id=1",0,,,0,"Proline",174,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Seamless Skins","Proline is the innovator of the Seamless Texturing system. The very first Seamless Texture to roll of a production line was Proline's Old Granite Cleft Stone. It was followed by Roman Slate, especially designed for Caesar Palace in Las Vegas. Now, these are the standards in the industry. All others are imitations of the original. All Proline skins are made of the highest grade urethane in a unique process that resuls in highly durable stamping tools. Proline tools are carefully hand-built and represent a life-like stone and texture. As an applicator, you will appreciate how light and easy our mats are to use. All Seamless Textures include handles, with the exception of touch up mats. All patterns are available in 5' x 5', 4' x 4', 3' x 3', 2' x 4' and 20&quot; x 20&quot; for touch up. We also offer our touch up mats in a super-flex material for added flexiblility into tight places. You can have the look of natural stone, with the durability and low cost of concrete. Check out our many patterns. Easy to install - the only hard part is choosing between all the beautiful patterns.","","Proline Seamless Italian Slate","Seamless Italian Slate",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1752|26816","Stamps|Stamps",12737,"Proline Seamless Belgium Slate",,"Seamless Belgium Slate","","Seamless Belgium Slate","Proline Seamless Belgium Slate",/\P\r\Proline-Seamless-Belgium.jpg,/\P\r\Proline-Seamless-Belgium.jpg,http://www.48ws.com/images/product/P/r/Proline-Seamless-Belgium.jpg,Proline-Seamless-Belgium-Slate,Proline-Seamless-Belgium-Slate,,No layout updates.,Block after Info Column,,"Seamless Belgium Slate","Seamless Belgium Slate",Use config,"http://www.prolinestamps.com/concrete_stamps.aspx?id=1",0,,,0,"Proline",174,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Seamless Skins","Proline is the innovator of the Seamless Texturing system. The very first Seamless Texture to roll of a production line was Proline's Old Granite Cleft Stone. It was followed by Roman Slate, especially designed for Caesar Palace in Las Vegas. Now, these are the standards in the industry. All others are imitations of the original. All Proline skins are made of the highest grade urethane in a unique process that resuls in highly durable stamping tools. Proline tools are carefully hand-built and represent a life-like stone and texture. As an applicator, you will appreciate how light and easy our mats are to use. All Seamless Textures include handles, with the exception of touch up mats. All patterns are available in 5' x 5', 4' x 4', 3' x 3', 2' x 4' and 20&quot; x 20&quot; for touch up. We also offer our touch up mats in a super-flex material for added flexiblility into tight places. You can have the look of natural stone, with the durability and low cost of concrete. Check out our many patterns. Easy to install - the only hard part is choosing between all the beautiful patterns.","","Proline Seamless Belgium Slate","Seamless Belgium Slate",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1752|26816","Stamps|Stamps",12738,"Proline Seamless Sandstone Light",,"Seamless Sandstone Light","","Seamless Sandstone Light","Proline Seamless Sandstone Light",/\P\r\Proline-Seamless-Sandstone.jpg,/\P\r\Proline-Seamless-Sandstone.jpg,http://www.48ws.com/images/product/P/r/Proline-Seamless-Sandstone.jpg,Proline-Seamless-Sandstone-Light,Proline-Seamless-Sandstone-Light,,No layout updates.,Block after Info Column,,"Seamless Sandstone Light","Seamless Sandstone Light",Use config,"http://www.prolinestamps.com/concrete_stamps.aspx?id=1",0,,,0,"Proline",174,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Seamless Skins","Proline is the innovator of the Seamless Texturing system. The very first Seamless Texture to roll of a production line was Proline's Old Granite Cleft Stone. It was followed by Roman Slate, especially designed for Caesar Palace in Las Vegas. Now, these are the standards in the industry. All others are imitations of the original. All Proline skins are made of the highest grade urethane in a unique process that resuls in highly durable stamping tools. Proline tools are carefully hand-built and represent a life-like stone and texture. As an applicator, you will appreciate how light and easy our mats are to use. All Seamless Textures include handles, with the exception of touch up mats. All patterns are available in 5' x 5', 4' x 4', 3' x 3', 2' x 4' and 20&quot; x 20&quot; for touch up. We also offer our touch up mats in a super-flex material for added flexiblility into tight places. You can have the look of natural stone, with the durability and low cost of concrete. Check out our many patterns. Easy to install - the only hard part is choosing between all the beautiful patterns.","","Proline Seamless Sandstone Light","Seamless Sandstone Light",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1752|26816","Stamps|Stamps",12739,"Proline Seamless Sandstone Course",,"Seamless Sandstone Course","","Seamless Sandstone Course","Proline Seamless Sandstone Course",/\P\r\Proline-Seamless-Sandstone- 1.jpg,/\P\r\Proline-Seamless-Sandstone- 1.jpg,http://www.48ws.com/images/product/P/r/Proline-Seamless-Sandstone- 1.jpg,Proline-Seamless-Sandstone-Course,Proline-Seamless-Sandstone-Course,,No layout updates.,Block after Info Column,,"Seamless Sandstone Course","Seamless Sandstone Course",Use config,"http://www.prolinestamps.com/concrete_stamps.aspx?id=1",0,,,0,"Proline",174,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Seamless Skins","Proline is the innovator of the Seamless Texturing system. The very first Seamless Texture to roll of a production line was Proline's Old Granite Cleft Stone. It was followed by Roman Slate, especially designed for Caesar Palace in Las Vegas. Now, these are the standards in the industry. All others are imitations of the original. All Proline skins are made of the highest grade urethane in a unique process that resuls in highly durable stamping tools. Proline tools are carefully hand-built and represent a life-like stone and texture. As an applicator, you will appreciate how light and easy our mats are to use. All Seamless Textures include handles, with the exception of touch up mats. All patterns are available in 5' x 5', 4' x 4', 3' x 3', 2' x 4' and 20&quot; x 20&quot; for touch up. We also offer our touch up mats in a super-flex material for added flexiblility into tight places. You can have the look of natural stone, with the durability and low cost of concrete. Check out our many patterns. Easy to install - the only hard part is choosing between all the beautiful patterns.","","Proline Seamless Sandstone Course","Seamless Sandstone Course",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1752|26816","Stamps|Stamps",12740,"Proline Seamless Coquina Stone",,"Seamless Coquina Stone","","Seamless Coquina Stone","Proline Seamless Coquina Stone",/\P\r\Proline-Seamless-Coquina.jpg,/\P\r\Proline-Seamless-Coquina.jpg,http://www.48ws.com/images/product/P/r/Proline-Seamless-Coquina.jpg,Proline-Seamless-Coquina-Stone,Proline-Seamless-Coquina-Stone,,No layout updates.,Block after Info Column,,"Seamless Coquina Stone","Seamless Coquina Stone",Use config,"http://www.prolinestamps.com/concrete_stamps.aspx?id=1",0,,,0,"Proline",174,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Seamless Skins","Proline is the innovator of the Seamless Texturing system. The very first Seamless Texture to roll of a production line was Proline's Old Granite Cleft Stone. It was followed by Roman Slate, especially designed for Caesar Palace in Las Vegas. Now, these are the standards in the industry. All others are imitations of the original. All Proline skins are made of the highest grade urethane in a unique process that resuls in highly durable stamping tools. Proline tools are carefully hand-built and represent a life-like stone and texture. As an applicator, you will appreciate how light and easy our mats are to use. All Seamless Textures include handles, with the exception of touch up mats. All patterns are available in 5' x 5', 4' x 4', 3' x 3', 2' x 4' and 20&quot; x 20&quot; for touch up. We also offer our touch up mats in a super-flex material for added flexiblility into tight places. You can have the look of natural stone, with the durability and low cost of concrete. Check out our many patterns. Easy to install - the only hard part is choosing between all the beautiful patterns.","","Proline Seamless Coquina Stone","Seamless Coquina Stone",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1752|26816","Stamps|Stamps",12741,"Proline Seamless Coquina Stone with Sea Shells",,"Seamless Coquina Stone with Sea Shells","","Seamless Coquina Stone with Sea Shells","Proline Seamless Coquina Stone with Sea Shells",/\P\r\Proline-Seamless-Coquina-Stone-with-Sea.jpg,/\P\r\Proline-Seamless-Coquina-Stone-with-Sea.jpg,http://www.48ws.com/images/product/P/r/Proline-Seamless-Coquina-Stone-with-Sea.jpg,Proline-Seamless-Coquina-Stone-with-Sea-Shells,Proline-Seamless-Coquina-Stone-with-Sea-Shells,,No layout updates.,Block after Info Column,,"Seamless Coquina Stone with Sea Shells","Seamless Coquina Stone with Sea Shells",Use config,"http://www.prolinestamps.com/concrete_stamps.aspx?id=1",0,,,0,"Proline",174,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Seamless Skins","Proline is the innovator of the Seamless Texturing system. The very first Seamless Texture to roll of a production line was Proline's Old Granite Cleft Stone. It was followed by Roman Slate, especially designed for Caesar Palace in Las Vegas. Now, these are the standards in the industry. All others are imitations of the original. All Proline skins are made of the highest grade urethane in a unique process that resuls in highly durable stamping tools. Proline tools are carefully hand-built and represent a life-like stone and texture. As an applicator, you will appreciate how light and easy our mats are to use. All Seamless Textures include handles, with the exception of touch up mats. All patterns are available in 5' x 5', 4' x 4', 3' x 3', 2' x 4' and 20&quot; x 20&quot; for touch up. We also offer our touch up mats in a super-flex material for added flexiblility into tight places. You can have the look of natural stone, with the durability and low cost of concrete. Check out our many patterns. Easy to install - the only hard part is choosing between all the beautiful patterns.","","Proline Seamless Coquina Stone with Sea Shells","Seamless Coquina Stone with Sea Shells",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1752|26816","Stamps|Stamps",12742,"Proline Seamless Limestone",,"Seamless Limestone","","Seamless Limestone","Proline Seamless Limestone",/\P\r\Proline-Seamless.jpg,/\P\r\Proline-Seamless.jpg,http://www.48ws.com/images/product/P/r/Proline-Seamless.jpg,Proline-Seamless-Limestone,Proline-Seamless-Limestone,,No layout updates.,Block after Info Column,,"Seamless Limestone","Seamless Limestone",Use config,"http://www.prolinestamps.com/concrete_stamps.aspx?id=1",0,,,0,"Proline",174,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Seamless Skins","Proline is the innovator of the Seamless Texturing system. The very first Seamless Texture to roll of a production line was Proline's Old Granite Cleft Stone. It was followed by Roman Slate, especially designed for Caesar Palace in Las Vegas. Now, these are the standards in the industry. All others are imitations of the original. All Proline skins are made of the highest grade urethane in a unique process that resuls in highly durable stamping tools. Proline tools are carefully hand-built and represent a life-like stone and texture. As an applicator, you will appreciate how light and easy our mats are to use. All Seamless Textures include handles, with the exception of touch up mats. All patterns are available in 5' x 5', 4' x 4', 3' x 3', 2' x 4' and 20&quot; x 20&quot; for touch up. We also offer our touch up mats in a super-flex material for added flexiblility into tight places. You can have the look of natural stone, with the durability and low cost of concrete. Check out our many patterns. Easy to install - the only hard part is choosing between all the beautiful patterns.","","Proline Seamless Limestone","Seamless Limestone",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1752|26816","Stamps|Stamps",12743,"Proline Seamless Flamed Granite",,"Seamless Flamed Granite","","Seamless Flamed Granite","Proline Seamless Flamed Granite",/\P\r\Proline-Seamless-Flamed.jpg,/\P\r\Proline-Seamless-Flamed.jpg,http://www.48ws.com/images/product/P/r/Proline-Seamless-Flamed.jpg,Proline-Seamless-Flamed-Granite,Proline-Seamless-Flamed-Granite,,No layout updates.,Block after Info Column,,"Seamless Flamed Granite","Seamless Flamed Granite",Use config,"http://www.prolinestamps.com/concrete_stamps.aspx?id=1",0,,,0,"Proline",174,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Seamless Skins","Proline is the innovator of the Seamless Texturing system. The very first Seamless Texture to roll of a production line was Proline's Old Granite Cleft Stone. It was followed by Roman Slate, especially designed for Caesar Palace in Las Vegas. Now, these are the standards in the industry. All others are imitations of the original. All Proline skins are made of the highest grade urethane in a unique process that resuls in highly durable stamping tools. Proline tools are carefully hand-built and represent a life-like stone and texture. As an applicator, you will appreciate how light and easy our mats are to use. All Seamless Textures include handles, with the exception of touch up mats. All patterns are available in 5' x 5', 4' x 4', 3' x 3', 2' x 4' and 20&quot; x 20&quot; for touch up. We also offer our touch up mats in a super-flex material for added flexiblility into tight places. You can have the look of natural stone, with the durability and low cost of concrete. Check out our many patterns. Easy to install - the only hard part is choosing between all the beautiful patterns.","","Proline Seamless Flamed Granite","Seamless Flamed Granite",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
