store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"164|25635","Safety Glasses|Safety Glasses",111468,"SGM1820S",,"Pyramex Model V2-Metal Safety Glasses","","Pyramex Model V2-Metal Safety Glasses","Model: V2 Metal, Gray Lens",/\S\G\Pyramex-SGM1820S-Model-V2-Metal-Safety.jpg,/\S\G\Pyramex-SGM1820S-Model-V2-Metal-Safety.jpg,http://www.48ws.com/images/product/S/G/Pyramex-SGM1820S-Model-V2-Metal-Safety.jpg,Pyramex-SGM1820S-Model-V2-Metal-Safety-Glasses,Pyramex-SGM1820S-Model-V2-Metal-Safety-Glasses,,No layout updates.,Block after Info Column,,"Pyramex Model V2-Metal Safety Glasses","Pyramex Model V2-Metal Safety Glasses",Use config,"http://pyramexsafety.com/products/eyewear/sgm1820s",0,,,0,"Pyramex Safety",887,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Model: V2 Metal, Gray Lens","<br>
<li>9.75 Base Curved Lens Provides Full Side Protection.</li><br>
<li>Spring Loaded Temples Make This Eyewear Easy To Position.</li><br>
<li>Exceeds ANSI Z87.1 High Impact Requirements</li><br>
<li>Commonly Used In Outdoor Applications.</li><br>
<li>Offers Protection From Excessive Glare.</li><br>
<li>Provides 99% Protection From Harmful UV-A And UV-B Rays.</li><br>
<li>100% Polycarbonate Scratch-Resistant Lenses.</li>","","","Pyramex SGM1820S Model V2-Metal Safety Glasses","Pyramex Model V2-Metal Safety Glasses",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|25635","Safety Glasses|Safety Glasses",111472,"S2510S",,"Pyramex Model Ztek Safety Glasses","Ztek Safety Glasses","Pyramex Model Ztek Safety Glasses","Model: Ztek, Clear, Anti-Fog",/\S\2\Pyramex-S2510S-Model-Ztek-Safety.jpg,/\S\2\Pyramex-S2510S-Model-Ztek-Safety.jpg,http://www.48ws.com/images/product/S/2/Pyramex-S2510S-Model-Ztek-Safety.jpg,Pyramex-S2510S-Model-Ztek-Safety-Glasses,Pyramex-S2510S-Model-Ztek-Safety-Glasses,,No layout updates.,Block after Info Column,,"Pyramex Model Ztek Safety Glasses","Pyramex Model Ztek Safety Glasses",Use config,"http://pyramexsafety.com/products/eyewear/s2510s",0,,,0,"Pyramex Safety",887,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
<li>Economical Wrap-Around Single Lens Provides Full Panoramic View</li><br>
<li>Soft Non-Slip Rubber Temple Tips Provide Non-Binding Fit.</li><br>
<li>Integrated Nose Piece.</li><br>
<li>Exceeds ANSI Z87.1 High Impact Requirements</li><br>
<li>General Purposes For Indoor Applications That Require Impact Protection.</li><br>
<li>Offers Protection From Excessive Glare</li><br>
<li>Provides 99% Protection From Harmful UV-A And UV-B Rays.</li><br>
<li>100% Polycarbonate Lenses</li><br>
<li>Scratch-Resistant Lenses</li>","","","Clear","Pyramex Model Ztek Safety Glasses",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|25635","Safety Glasses|Safety Glasses",111473,"S2510ST",,"Pyramex Model Ztek Safety Glasses","Ztek Safety Glasses","Pyramex Model Ztek Safety Glasses","Model: Ztek, Clear, Anti-Fog",/\S\2\Pyramex-S2510S-Model-Ztek-Safety.jpg,/\S\2\Pyramex-S2510S-Model-Ztek-Safety.jpg,http://www.48ws.com/images/product/S/2/Pyramex-S2510S-Model-Ztek-Safety.jpg,Pyramex-Model-Ztek-Safety-Glasses,Pyramex-Model-Ztek-Safety-Glasses,,No layout updates.,Block after Info Column,,"Pyramex Model Ztek Safety Glasses","Pyramex Model Ztek Safety Glasses",Use config,"http://pyramexsafety.com/products/eyewear/s2510s",0,,,0,"Pyramex Safety",887,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Pyramex Model Ztek Safety Glasses","<br>
<li>Economical Wrap-Around Single Lens Provides Full Panoramic View</li><br>
<li>Soft Non-Slip Rubber Temple Tips Provide Non-Binding Fit.</li><br>
<li>Integrated Nose Piece.</li><br>
<li>Exceeds ANSI Z87.1 High Impact Requirements</li><br>
<li>General Purposes For Indoor Applications That Require Impact Protection.</li><br>
<li>Offers Protection From Excessive Glare</li><br>
<li>Provides 99% Protection From Harmful UV-A And UV-B Rays.</li><br>
<li>100% Polycarbonate Lenses</li><br>
<li>Scratch-Resistant Lenses</li>","","","Anti-Fog","Pyramex Model Ztek Safety Glasses",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|25635","Safety Glasses|Safety Glasses",111474,"S2520S",,"Pyramex Model Ztek Gray Safety Glasses","Ztek Gray Safety Glasses","Pyramex Model Ztek Gray Safety Glasses","",/\S\2\Pyramex-S2510S-Model-Ztek-Gray-Safety.jpg,/\S\2\Pyramex-S2510S-Model-Ztek-Gray-Safety.jpg,http://www.48ws.com/images/product/S/2/Pyramex-S2510S-Model-Ztek-Gray-Safety.jpg,Pyramex-S2510S-Model-Ztek-Gray-Safety-Glasses,Pyramex-S2510S-Model-Ztek-Gray-Safety-Glasses,,No layout updates.,Block after Info Column,,"Pyramex Model Ztek Gray Safety Glasses","Pyramex Model Ztek Gray Safety Glasses",Use config,"http://pyramexsafety.com/products/eyewear/s2520s",0,,,0,"Pyramex Safety",887,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
<li>Economical Wrap-Around Single Lens Provides Full Panoramic View.</li><br>
<li>Soft Non-Slip Rubber Temple Tips Provide Non-Binding Fit.</li><br>
<li>Integrated Nose Piece.</li><br>
<li>Exceeds ANSI Z87.1 High Impact Requirements.</li><br>
<li>Commonly Used In Outdoor Applications.</li><br>
<li>Offers Protection From Excessive Glare.</li><br>
<li>Provides 99% Protection From Harmful UV-A And UV-B Rays.</li><br>
<li>100% Polycarbonate Lenses.</li><br>
<li>Scratch-Resistant Lenses.</li>","","","Gray","Pyramex Model Ztek Gray Safety Glasses",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|25635","Safety Glasses|Safety Glasses",111475,"S250ST",,"Pyramex Model Ztek Gray Safety Glasses","Ztek Gray Safety Glasses","Pyramex Model Ztek Gray Safety Glasses","",/\S\2\Pyramex-S2510S-Model-Ztek-Gray-Safety.jpg,/\S\2\Pyramex-S2510S-Model-Ztek-Gray-Safety.jpg,http://www.48ws.com/images/product/S/2/Pyramex-S2510S-Model-Ztek-Gray-Safety.jpg,Pyramex-Model-Ztek-Gray-Safety-Glasses,Pyramex-Model-Ztek-Gray-Safety-Glasses,,No layout updates.,Block after Info Column,,"Pyramex Model Ztek Gray Safety Glasses","Pyramex Model Ztek Gray Safety Glasses",Use config,"http://pyramexsafety.com/products/eyewear/s2520s",0,,,0,"Pyramex Safety",887,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Pyramex Model Ztek Gray Safety Glasses","<br>
<li>Economical Wrap-Around Single Lens Provides Full Panoramic View.</li><br>
<li>Soft Non-Slip Rubber Temple Tips Provide Non-Binding Fit.</li><br>
<li>Integrated Nose Piece.</li><br>
<li>Exceeds ANSI Z87.1 High Impact Requirements.</li><br>
<li>Commonly Used In Outdoor Applications.</li><br>
<li>Offers Protection From Excessive Glare.</li><br>
<li>Provides 99% Protection From Harmful UV-A And UV-B Rays.</li><br>
<li>100% Polycarbonate Lenses.</li><br>
<li>Scratch-Resistant Lenses.</li>","","","Anti-Fog","Pyramex Model Ztek Gray Safety Glasses",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|25635","Safety Glasses|Safety Glasses",111476,"S2570S",,"Pyramex Model: Ztek Silver Mirror Safety Glasses","","Pyramex Model: Ztek Silver Mirror Safety Glasses","Model: Ztek, Silver Mirror Coating",/\S\2\Pyramex-S2570S-Model-Ztek-Silver-Mirror-Safety.jpg,/\S\2\Pyramex-S2570S-Model-Ztek-Silver-Mirror-Safety.jpg,http://www.48ws.com/images/product/S/2/Pyramex-S2570S-Model-Ztek-Silver-Mirror-Safety.jpg,Pyramex-S2570S-Model-Ztek-Silver-Mirror-Safety-Glasses,Pyramex-S2570S-Model-Ztek-Silver-Mirror-Safety-Glasses,,No layout updates.,Block after Info Column,,"Pyramex Model: Ztek Silver Mirror Safety Glasses","Pyramex Model: Ztek Silver Mirror Safety Glasses",Use config,"http://pyramexsafety.com/products/eyewear/s2570s",0,,,0,"Pyramex Safety",887,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Model: Ztek, Silver Mirror Coating","<br>
<li>Economical Wrap-Around Single Lens Provides Full Panoramic View.</li><br>
<li>Soft Non-Slip Rubber Temple Tips Provide Non-Binding Fit.</li><br>
<li>Integrated Nose Piece.</li><br>
<li>Exceeds ANSI Z87.1 High Impact Requirements</li><br>
<li>Gray Polycarbonate Lens With Silver Mirror Coating.</li><br>
<li>Offers Protection From Excessive Glare</li><br>
<li>Provides 99% Protection From Harmful UV-A And UV-B Rays.</li><br>
<li>100% Polycarbonate Lenses</li><br>
<li>Scratch-Resistant Lenses</li>","","","Pyramex S2570S Model: Ztek Silver Mirror Safety Glasses","Pyramex Model: Ztek Silver Mirror Safety Glasses",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|25635","Safety Glasses|Safety Glasses",111477,"S2575S",,"Pyramex Model: Ztek Blue Mirror Safety Glasses","","Pyramex Model: Ztek Blue Mirror Safety Glasses","Model: Ztek, Blue Mirror Coating",/\S\2\Pyramex-S2575S-Model-Ztek-Blue-Mirror-Safety.jpg,/\S\2\Pyramex-S2575S-Model-Ztek-Blue-Mirror-Safety.jpg,http://www.48ws.com/images/product/S/2/Pyramex-S2575S-Model-Ztek-Blue-Mirror-Safety.jpg,Pyramex-S2575S-Model-Ztek-Blue-Mirror-Safety-Glasses,Pyramex-S2575S-Model-Ztek-Blue-Mirror-Safety-Glasses,,No layout updates.,Block after Info Column,,"Pyramex Model: Ztek Blue Mirror Safety Glasses","Pyramex Model: Ztek Blue Mirror Safety Glasses",Use config,"http://pyramexsafety.com/products/eyewear/s2575s",0,,,0,"Pyramex Safety",887,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Model: Ztek, Blue Mirror Coating","<br>
<li>Economical Wrap-Around Single Lens Provides Full Panoramic View</li><br>
<li>Soft Non-Slip Rubber Temple Tips Provide Non-Binding Fit.</li><br>
<li>Integrated Nose Piece.</li><br>
<li>Exceeds ANSI Z87.1 High Impact Requirements</li><br>
<li>CE EN166 Certified</li><br>
<li>Gray Polycarbonate Lens With Blue Mirror Coating.</li><br>
<li>Offers Protection From Excessive Glare</li><br>
<li>Provides 99% Protection From Harmful UV-A And UV-B Rays.</li><br>
<li>100% Polycarbonate Lenses</li><br>
<li>Scratch-Resistant Lenses</li>","","","Pyramex S2575S Model: Ztek Blue Mirror Safety Glasses","Pyramex Model: Ztek Blue Mirror Safety Glasses",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|25635","Safety Glasses|Safety Glasses",111493,"S2580S",,"Pyramex Model Ztek Indoor/Outdoor Safety Glasses","","Pyramex Model Ztek Indoor/Outdoor Safety Glasses","Model: Ztek, Indoor/Outdoor Lens",/\S\2\Pyramex-S2580S-Model-Ztek-IndoorOutdoor-Safety.jpg,/\S\2\Pyramex-S2580S-Model-Ztek-IndoorOutdoor-Safety.jpg,http://www.48ws.com/images/product/S/2/Pyramex-S2580S-Model-Ztek-IndoorOutdoor-Safety.jpg,Pyramex-S2580S-Model-Ztek-IndoorOutdoor-Safety-Glasses,Pyramex-S2580S-Model-Ztek-IndoorOutdoor-Safety-Glasses,,No layout updates.,Block after Info Column,,"Pyramex Model Ztek Indoor/Outdoor Safety Glasses","Pyramex Model Ztek Indoor/Outdoor Safety Glasses",Use config,"http://pyramexsafety.com/products/eyewear/s2580s",0,,,0,"Pyramex Safety",887,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Model: Ztek, Indoor/Outdoor Lens","<br>
<li>Economical Wrap-Around Single Lens Provides Full Panoramic View</li><br>
<li>Soft Non-Slip Rubber Temple Tips Provide Non-Binding Fit.</li><br>
<li>Integrated Nose Piece.</li><br>
<li>Exceeds ANSI Z87.1 High Impact Requirements</li><br>
<li>Commonly Used Where It Is Required To Move Between Indoor Applications To Outdoor Applications.</li><br>
<li>Offers Protection From Excessive Glare</li><br>
<li>Provides 100% Protection From Harmful UV-A And UV-B Rays.</li><br>
<li>100% Polycarbonate Lenses</li><br>
<li>Scratch-Resistant Lenses</li>","","","Pyramex S2580S Model Ztek Indoor/Outdoor Safety Glasses","Pyramex Model Ztek Indoor/Outdoor Safety Glasses",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|25635","Safety Glasses|Safety Glasses",112279,"SB1810R15",,"V2 Readers Safety Glasses","V2 Readers Safety Glasses","V2 Readers Safety Glasses","",/\S\B\Pyramex-V2-Readers-Safety.jpg,/\S\B\Pyramex-V2-Readers-Safety.jpg,http://www.48ws.com/images/product/S/B/Pyramex-V2-Readers-Safety.jpg,Pyramex-V2-Readers-Safety-Glasses,Pyramex-V2-Readers-Safety-Glasses,,No layout updates.,Block after Info Column,,"V2 Readers Safety Glasses","V2 Readers Safety Glasses",Use config,"http://pyramexsafety.com/products/eyewear/sb1810r15",0,,,0,"Pyramex Safety",887,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
<li>Nose Buds Secure The Glass And Prevent Slipping While Providing A Pillow Soft Fit.</li><br>
<li>Strategic Placement Of Lens Insert Is Out Of User’s Direct Line Of Vision.</li><br>
<li>General Purposes For Indoor Applications That Require Impact Protection.</li><br>
<li>9.75 Base Curved Lens Provides Full Side Protection.</li><br>
<li>Offers Protection From Excessive Glare</li><br>
<li>Provides 99% Protection From Harmful UV-A And UV-B Rays.</li><br>
<li>100% Polycarbonate Scratch-Resistant Lenses</li>","","","+1.5","V2 Readers Safety Glasses",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|25635","Safety Glasses|Safety Glasses",112287,"SB1810R20",,"V2 Readers Safety Glasses","V2 Readers Safety Glasses","V2 Readers Safety Glasses","",/\S\B\Pyramex-V2-Readers-Safety.jpg,/\S\B\Pyramex-V2-Readers-Safety.jpg,http://www.48ws.com/images/product/S/B/Pyramex-V2-Readers-Safety.jpg,Pyramex-V2-Readers-Safety-Glasses,Pyramex-V2-Readers-Safety-Glasses,,No layout updates.,Block after Info Column,,"V2 Readers Safety Glasses","V2 Readers Safety Glasses",Use config,"http://pyramexsafety.com/products/eyewear/sb1810r15",0,,,0,"Pyramex Safety",887,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Pyramex V2 Readers Safety Glasses","<br>
<li>Nose Buds Secure The Glass And Prevent Slipping While Providing A Pillow Soft Fit.</li><br>
<li>Strategic Placement Of Lens Insert Is Out Of User’s Direct Line Of Vision.</li><br>
<li>General Purposes For Indoor Applications That Require Impact Protection.</li><br>
<li>9.75 Base Curved Lens Provides Full Side Protection.</li><br>
<li>Offers Protection From Excessive Glare</li><br>
<li>Provides 99% Protection From Harmful UV-A And UV-B Rays.</li><br>
<li>100% Polycarbonate Scratch-Resistant Lenses</li>","","","+2.0","V2 Readers Safety Glasses",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
