store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"2663|24124","General Surface Protection|Surface Protection Films",89145,"Ram Board with Spill Guard",,"with Spill Guard","","with Spill Guard","",/\R\a\Ram-Board-with-Spill.jpg,/\R\a\Ram-Board-with-Spill.jpg,http://www.48ws.com/images/product/R/a/Ram-Board-with-Spill.jpg,Ram-Board-Spill-Guard,Ram-Board-Spill-Guard,,No layout updates.,Block after Info Column,,"with Spill Guard","with Spill Guard",Use config,"http://www.ramboard.com/RamBoard.php",0,,,0,"Ram Board",552,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Roll size: 38&quot; x 100' (317 sq.ft.)</li>
<li>Weight: approx. 48 lbs.</li>","For over 10 years Ram Board has been the #1 choice among contractors for heavy-duty temporary floor protection. Contractors depend on Ram Board's durability, but asked if it could be designed to repel water while remaining vapor-permeable.<br><br>
Their request became our mission. We are excited to announce Spill Guard&trade;, Ram Board's exclusive feature that protects against water, paint, mud and more while remaining breathable.","","Ram Board with Spill Guard","with Spill Guard",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2663|24124","General Surface Protection|Surface Protection Films",89146,"Ram Tape 3&quot; x 164' x 6.1 mils",,"Ram Tape 3&quot; x 164' x 6.1 mils","","Ram Tape 3&quot; x 164' x 6.1 mils","Ram Tape 3&quot; x 164' x 6.1 mils",/\R\a\Ram-Tape-3-x-164-x-61.jpg,/\R\a\Ram-Tape-3-x-164-x-61.jpg,http://www.48ws.com/images/product/R/a/Ram-Tape-3-x-164-x-61.jpg,Ram-Tape-3-x-164-x-61-mils,Ram-Tape-3-x-164-x-61-mils,,No layout updates.,Block after Info Column,,"Ram Tape 3&quot; x 164' x 6.1 mils","Ram Tape 3&quot; x 164' x 6.1 mils",Use config,"http://www.ramboard.com/SeamTape.php",0,,,0,"Ram Board",552,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Benefits</u></b><br><br>
<li>Strong, flexible and conformable backing</li>
<li>High cross-directional tensile strength</li>
<li>High tack adhesive with great holding power</li>
<li>Resists curling and abrasion</li>
<li>3&quot; width easily covers Ram Board seams</li>
<li>Will stay down on Ram Board seams for months at a time</li>
<li>100% recyclable - can recycle Ram Tape and Ram Board together</li>","<b><u>Function</u></b><br><br>
Taping Ram Board seams. DO NOT tape directly to floor.<br><br>
<b><u>Adhesive</u></b><br><br>
High tack, thermoplastic rubber","","Ram Tape 3&quot; x 164' x 6.1 mils","Ram Tape 3&quot; x 164' x 6.1 mils",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2663|24124","General Surface Protection|Surface Protection Films",89147,"Ram Tape 2&quot; x 164' x 6.1 mils",,"Ram Tape 2&quot; x 164' x 6.1 mils","","Ram Tape 2&quot; x 164' x 6.1 mils","Ram Tape 2&quot; x 164' x 6.1 mils",/\R\a\Ram-Tape-2-x-164-x-61.jpg,/\R\a\Ram-Tape-2-x-164-x-61.jpg,http://www.48ws.com/images/product/R/a/Ram-Tape-2-x-164-x-61.jpg,Ram-Tape-2-x-164-x-61-mils,Ram-Tape-2-x-164-x-61-mils,,No layout updates.,Block after Info Column,,"Ram Tape 2&quot; x 164' x 6.1 mils","Ram Tape 2&quot; x 164' x 6.1 mils",Use config,"http://www.ramboard.com/SeamTape.php",0,,,0,"Ram Board",552,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Benefits</u></b><br><br>
<li>Strong, flexible and conformable backing</li>
<li>High cross-directional tensile strength</li>
<li>High tack adhesive with great holding power</li>
<li>Resists curling and abrasion</li>
<li>3&quot; width easily covers Ram Board seams</li>
<li>Will stay down on Ram Board seams for months at a time</li>
<li>100% recyclable - can recycle Ram Tape and Ram Board together</li>","<b><u>Function</u></b><br><br>
Taping Ram Board seams. DO NOT tape directly to floor.<br><br>
<b><u>Adhesive</u></b><br><br>
High tack, thermoplastic rubber","","Ram Tape 2&quot; x 164' x 6.1 mils","Ram Tape 2&quot; x 164' x 6.1 mils",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24124","Surface Protection Films",485931,"RBPM",,"Project Mat","","Project Mat","",/\R\B\ram-board-rbpm-project-mat.jpg,/\R\B\ram-board-rbpm-project-mat.jpg,http://www.48ws.com/images/product/R/B/ram-board-rbpm-project-mat.jpg,ram-board-RBPM-project-mat,ram-board-RBPM-project-mat,,No layout updates.,Block after Info Column,,"Project Mat","Project Mat",Use config,"http://www.ramboard.com/products/project-mat.html",0,,,0,"Ram Board",552,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","				<p>Ram Board’s Project Mat™ provides portable protection for every project. This heavy-duty, re-useable protection folds into three sizes for jobs small and large. Contractors and DIY’ers are provided quick &amp; easy protection for everything from fix-it lists to paint. It folds up for easy storage until the next project.</p><ul><li>Heavy-duty portable protection</li>
					<li>Water resistant</li>
					<li>Easy to use for multiple surfaces</li>
					<li>Contractor strength</li>
					<li>Re-usable</li>
					<li>Unfolds into 3 sizes</li>
					<li>Recycled/Recyclable</li>
					<li>Proudly made in the U.S.A.</li></ul>
<p>Size: 3' x 4'4&quot; (13 sq.ft.) | Weight: 2 lbs. | Thickness: 44 mil</p>","","","","Project Mat",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24124","Surface Protection Films",485932,"RBTB",,"Trash Box","","Trash Box","",/\R\B\ram-board-rbtb-trash-box.jpg,/\R\B\ram-board-rbtb-trash-box.jpg,http://www.48ws.com/images/product/R/B/ram-board-rbtb-trash-box.jpg,ram-board-RBTB-trash-box,ram-board-RBTB-trash-box,,No layout updates.,Block after Info Column,,"Trash Box","Trash Box",Use config,"http://www.ramboard.com/products/trash-box.html",0,,,0,"Ram Board",552,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","				<p>Help keep work environments clean and safe with Trash Box, Ram Board's unique trash container for jobsites and events. Constructed out of 100% recycled materials, Trash Box is a green solution for jobsite trash. It fits 42-50 gallon trash bags and features quick, self-locking assembly, making it an ideal disposal solution whenever and wherever you need one. Trash Box folds down for easy, space-saving storage making it great on jobsites, at events, or for gardening use.</p>
				<ul><li>Recyclable, portable jobsite trash container</li>
					<li>Unique folds for easy storage (patent pending)</li>
					<li>Quick self-locking  assembly, no tape required</li>
					<li>Also great for event &amp; garden waste</li>
					<li>100% Recycled / recyclable</li>
					<li>Proudly made in the U.S.A.</li></ul>
<p>Size: 16.5”  x 16.5” x 34” | Weight: 2.5 lbs.</p>","","","","Trash Box",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24124","Surface Protection Films",485933,"RBHE",,"Home Edition","","Home Edition","",/\R\B\ram-board-rbhe-home-edition.jpg,/\R\B\ram-board-rbhe-home-edition.jpg,http://www.48ws.com/images/product/R/B/ram-board-rbhe-home-edition.jpg,ram-board-RBHE-home-edition,ram-board-RBHE-home-edition,,No layout updates.,Block after Info Column,,"Home Edition","Home Edition",Use config,"http://www.ramboard.com/products/home-edition.html",0,,,0,"Ram Board",552,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","				<p>Home Edition™ carries the same properties of Ram Board in a smaller (36&quot; x 50'), lighter roll. It is 15% thinner than our professional grade board but remains heavy-duty at 4x the thickness of rosin paper. It provides re-usable protection for contractors and DIY'ers with smaller projects.</p>
				<p>Designed with cost and efficiency in mind; it lays out fast and is re-usable. Home Edition™ is non-staining and utilizes Flex-Fiber™ technology allowing for the proper curing of new floors on jobsites. Exclusive Spill Guard™ technology provides added protection against water, paint mud and more.</p>
				<p>Ram Board Home Edition™ provides proven and trusted protection for new and existing concrete, wood, tile, stone, linoleum, vinyl composition tile(VCT), epoxy and most other floor types.</p>

				<ul><li>A lighter version of Ram Board</li>
					<li>NEW Wall Guard™ feature</li>
					<li>Exclusive Vapor-Cure™ technology</li>
					<li>Flex-Fiber™ technology</li>
					<li>Spill Guard™ technology</li>
					<li>Lays out fast</li>
					<li>Non-staining</li>
					<li>FSC® certified - recycled/recyclable</li>
					<li>Save on labor &amp; damage repair</li>
					<li>Proudly made in the U.S.A.</li></ul>
<p>Size: 36&quot;x50' (150 sq.ft.) | Weight: 18lbs. | Thickness: 36 mil</p>","","","","Home Edition",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24124","Surface Protection Films",485934,"RB",,"Ram Board","","Ram Board","",/\R\B\ram-board-rb-ram-board.jpg,/\R\B\ram-board-rb-ram-board.jpg,http://www.48ws.com/images/product/R/B/ram-board-rb-ram-board.jpg,ram-board-RB-ram-board,ram-board-RB-ram-board,,No layout updates.,Block after Info Column,,"Ram Board","Ram Board",Use config,"http://www.ramboard.com/products/ram-board.html",0,,,0,"Ram Board",552,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","				<p>Ram Board is a heavy-duty, temporary floor protection engineered for Contractors. Designed with cost and efficiency in mind, it lays out fast and is re-usable. Ram Board is non-staining and utilizes Flex-Fiber™ technology allowing for the proper curing of new floors on jobsites. Exclusive Spill Guard™ technology provides added protection against water, paint, mud, and more.</p>
				<p>Ram Board provides proven and trusted protection for new and existing concrete, wood, tile, stone, linoleum, vinyl composition tile(VCT), epoxy and most other floor types. In terms of floor protectors Ram Board is the #1 choice among contractors worldwide.</p>
				<p>Ram Board is committed to being a good steward of the environment. It is composed of 100% recycled materials and contributes toward LEED credits.</p>
				<ul><li>Heavy-Duty temporary floor protection</li>
					<li>NEW Wall Guard™ feature</li>
					<li>Exclusive Vapor-Cure™ technology</li>
					<li>Flex-Fiber™ technology</li>
					<li>Spill Guard™ technology</li>
					<li>Lays out fast</li>
					<li>Non-staining</li>
					<li>FSC® certified</li>
					<li>- recycled/recyclable</li>
					<li>Save on labor &amp; damage repair</li>
					<li>Proudly made in the U.S.A.</li></ul>
<p>Size: 38&quot;x100' (317 sq.ft.) | Weight: 48 lbs. | Thickness: 46 mil</p>","","","","Ram Board",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24124","Surface Protection Films",485935,"RBST",,"Seam Tape","","Seam Tape","",/\R\B\ram-board-rbst-seam-tape.jpg,/\R\B\ram-board-rbst-seam-tape.jpg,http://www.48ws.com/images/product/R/B/ram-board-rbst-seam-tape.jpg,ram-board-RBST-seam-tape,ram-board-RBST-seam-tape,,No layout updates.,Block after Info Column,,"Seam Tape","Seam Tape",Use config,"http://www.ramboard.com/products/seam-tape.html",0,,,0,"Ram Board",552,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","				<p>Seam Tape is designed to hold Ram Board seams together. Its 3&quot; width gives more of an allowance to cover Ram Board seams. The kraft backing makes it easy to tear off and install as well as makes it recyclable. Because of its contractor grade adhesive, it should not be taped directly to finished floors and surfaces. Like most tape it is not vapor permeable and should be avoided in areas where curing floors need to breathe.</p>

				
				
<ul><li>3&quot; Easily covers Ram Board seams</li>
					<li>Lays out fast</li>
					<li>Contractor grade adhesive</li>
					<li>100% recyclable</li></ul>
<p>Size: 3&quot;x164' | Weight: 1 lb.</p>","","","","Seam Tape",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24124","Surface Protection Films",485936,"RBJP",,"Ram Jamb","","Ram Jamb","",/\R\B\ram-board-rbjp-ram-jamb.jpg,/\R\B\ram-board-rbjp-ram-jamb.jpg,http://www.48ws.com/images/product/R/B/ram-board-rbjp-ram-jamb.jpg,ram-board-RBJP-ram-jamb,ram-board-RBJP-ram-jamb,,No layout updates.,Block after Info Column,,"Ram Jamb","Ram Jamb",Use config,"http://www.ramboard.com/products/ram-jamb.html",0,,,0,"Ram Board",552,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","				<p>Protecting door jambs has become an essential part of remodeling, moving, and even new construction.&nbsp;Ram Board's Door Jamb  Protection is heavy-duty, flexible, and re-usable. With no tape or adhesive  necessary, Door Jamb Protectors install in seconds. Simply snap onto door jambs to protect those jambs from the dings, dents, and scratches that occur on construction and remodel jobs. Don't let accidents cost you time &amp; money.</p>
				<p>Available in 36&quot; and  60&quot; lengths.&nbsp; Fits 4&quot; – 9&quot; door jambs.</p>
   
				<ul><li>Heavy-duty door jamb protection</li>
					<li>Quick &amp; easy to install</li>
					<li>Re-usable</li>
					<li>One size fits 4&quot;-9&quot; </li>
					<li>door jamb widths</li>
					<li>Available in 36&quot; and 60&quot; lengths</li>
					<li>Proudly made in the U.S.A.</li></ul>
<p>Lengths: 36&quot; & 60&quot; | Fits: 4&quot; - 9&quot; Jambs | Thickness: 65 mil</p>","","","","Ram Jamb",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24124","Surface Protection Films",485937,"RBVCT",,"Vapor-Cure Tape","","Vapor-Cure Tape","",/\R\B\ram-board-rbvct-vapor-cure-tape.jpg,/\R\B\ram-board-rbvct-vapor-cure-tape.jpg,http://www.48ws.com/images/product/R/B/ram-board-rbvct-vapor-cure-tape.jpg,ram-board-RBVCT-vapor-cure-tape,ram-board-RBVCT-vapor-cure-tape,,No layout updates.,Block after Info Column,,"Vapor-Cure Tape","Vapor-Cure Tape",Use config,"http://www.ramboard.com/products/vapor-cure-tape.html",0,,,0,"Ram Board",552,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","				<p>Ram Board's Vapor-Cure™ Tape  is engineered with our exclusive Vapor-Cure™ technology. When used to join Ram Board seams, it prevents cure lines and promotes even finishes in curing floors. This breathable tape allows vapors and moisture to escape from concrete, glue down floors, stained floors, epoxy floors, refinished floors, vct, and most other floor types. When used with Ram Board, our breathable tape provides the only complete Vapor-Cure™ floor protection system on the market.</p>
				<p><em>Because Vapor-Cure™ Tape is designed to join Ram Board seams, its contractor grade adhesive should not be taped directly to any finished surface.</em></p>
				
				<ul><li>Exclusive Vapor-Cure™ technology</li>
					<li>Prevents cure lines in concrete</li>
					<li>Prevents blotchy finishes in curing floors</li>
					<li>Allows vapors and moisture to escape</li>
					<li>3&quot; Easily covers Ram Board seams</li>
					<li>Lays out fast</li></ul>
<p>Size: 3&quot; x 108' | Weight: 7 oz.</p>","","","","Vapor-Cure Tape",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
