store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"152|22494","Flashlights - All|Rechargeable Flashlights",119010,"ISL2D-B",,"Swivel-Lite™ Industrial™ Flashlight","Swivel-Lite™ Industrial™ Flashlight","Swivel-Lite™ Industrial™ Flashlight","",/\I\S\Swivel-Lite-Industrial.jpg,/\I\S\Swivel-Lite-Industrial.jpg,http://www.48ws.com/images/product/I/S/Swivel-Lite-Industrial.jpg,Rayovac-ISL2D-B-Swivel-Lite-Industrial-Flashlight,Rayovac-ISL2D-B-Swivel-Lite-Industrial-Flashlight,,No layout updates.,Block after Info Column,,"Swivel-Lite™ Industrial™ Flashlight","Swivel-Lite™ Industrial™ Flashlight",Use config,"http://www.rayovac.com/Products/Lights/Work.aspx",0,,,0,"Rayovac",957,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>90° or 360° swivel head puts light exactly where you need it. Sure grip handle clips onto belt or visor. Batteries included.","","","Batteries/Size: Two D","Swivel-Lite™ Industrial™ Flashlight",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"152|22494","Flashlights - All|Rechargeable Flashlights",119011,"ILJ2AA-B",,"Rayovac ILJ2AA-B Swivel-Lite™ Industrial™ Flashlight","Swivel-Lite™ Industrial™ Flashlight","Rayovac ILJ2AA-B Swivel-Lite™ Industrial™ Flashlight","",/\I\S\Swivel-Lite-Industrial.jpg,/\I\S\Swivel-Lite-Industrial.jpg,http://www.48ws.com/images/product/I/S/Swivel-Lite-Industrial.jpg,Rayovac-ILJ2AA-B-Swivel-Lite-Industrial-Flashlight,Rayovac-ILJ2AA-B-Swivel-Lite-Industrial-Flashlight,,No layout updates.,Block after Info Column,,"Rayovac ILJ2AA-B Swivel-Lite™ Industrial™ Flashlight","Rayovac ILJ2AA-B Swivel-Lite™ Industrial™ Flashlight",Use config,"http://www.rayovac.com/Products/Lights/Work.aspx",0,,,0,"Rayovac",957,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Rayovac ILJ2AA-B Swivel-Lite™ Industrial™ Flashlight","<br>90° or 360° swivel head puts light exactly where you need it. Sure grip handle clips onto belt or visor. Batteries included.","","","Batteries/Size: Two AA","Rayovac ILJ2AA-B Swivel-Lite™ Industrial™ Flashlight",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"152|22494","Flashlights - All|Rechargeable Flashlights",119012,"I2D-B",,"I2D-B 2D Tool-Lite™ Industrial™ Flashlight","","I2D-B 2D Tool-Lite™ Industrial™ Flashlight","",/\I\2\Rayovac-I2D-B-2D-Tool-Lite-Industrial.jpg,/\I\2\Rayovac-I2D-B-2D-Tool-Lite-Industrial.jpg,http://www.48ws.com/images/product/I/2/Rayovac-I2D-B-2D-Tool-Lite-Industrial.jpg,Rayovac-I2D-B-2D-Tool-Lite-Industrial-Flashlight,Rayovac-I2D-B-2D-Tool-Lite-Industrial-Flashlight,,No layout updates.,Block after Info Column,,"I2D-B 2D Tool-Lite™ Industrial™ Flashlight","I2D-B 2D Tool-Lite™ Industrial™ Flashlight",Use config,"http://www.rayovac.com/Products/Lights/Work.aspx",0,,,0,"Rayovac",957,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>Case is gas-, grease-, chemical- and water-resistant. Ergonomic Switch and grip. Includes ring hanger and spare bulb holder. Batteries included.","","","Rayovac I2D-B 2D Tool-Lite™ Industrial™ Flashlight","I2D-B 2D Tool-Lite™ Industrial™ Flashlight",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"152|22494","Flashlights - All|Rechargeable Flashlights",119013,"KFL",,"KFL Industrial Lantern","","KFL Industrial Lantern","",/\K\F\Rayovac-KFL-Industrial.jpg,/\K\F\Rayovac-KFL-Industrial.jpg,http://www.48ws.com/images/product/K/F/Rayovac-KFL-Industrial.jpg,Rayovac-KFL-Industrial-Lantern,Rayovac-KFL-Industrial-Lantern,,No layout updates.,Block after Info Column,,"KFL Industrial Lantern","KFL Industrial Lantern",Use config,"http://www.rayovac.com/Products/Lights/Work/6-Volt-Swivel-Lantern.aspx",0,,,0,"Rayovac",957,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>Combines the power of a lantern with flashlight convenience. &quot;Toolbox tough&quot; lantern has an adjustable stand for handsfree use. Lang-range beam. Rubber protected body, push-button switch. Uses krypton bulb; includes spare bulb holder and 4D adapter. Accepts 6V lantern battery for additional power. Batteries not included.","","","Rayovac KFL Industrial Lantern","KFL Industrial Lantern",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"665","Batteries",146984,"815-4F",,"AA 4 Pack","AA Alkaline Batteries","AA 4 Pack","",/\8\1\AA-24.jpg,/\8\1\AA-24.jpg,http://www.48ws.com/images/product/8/1/AA-24.jpg,815-4F-Rayovac-AA-4-Pack,815-4F-Rayovac-AA-4-Pack,,No layout updates.,Block after Info Column,,"AA 4 Pack","AA 4 Pack",Use config,"http://www.rayovac.com/Products/AA-AAA-Alkaline-Batteries/AA-4-Pack.aspx",0,,,0,"Rayovac",957,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Rayovac Lasts as Long as Duracell® Coppertop and Energizer Max®</li><br>
<li>100% Money Back Guarantee</li><br>
<li>Proudly made in the USA</li><br>
<li>Mercury Free formula</li><br>
<li>Guaranteed fresh for 10 years (5 years for 9V)</li><br>
<li>Best used before date on battery</li>
","","","4 Pack","AA 4 Pack",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"665","Batteries",146987,"815-8CF",,"AA 8 Pack","AA Alkaline Batteries","AA 8 Pack","",/\8\1\AA-24.jpg,/\8\1\AA-24.jpg,http://www.48ws.com/images/product/8/1/AA-24.jpg,AA-8-Pack,AA-8-Pack,,No layout updates.,Block after Info Column,,"AA 8 Pack","AA 8 Pack",Use config,"http://www.rayovac.com/Products/AA-AAA-Alkaline-Batteries/AA-4-Pack.aspx",0,,,0,"Rayovac",957,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"AA 8 Pack","<li>Rayovac Lasts as Long as Duracell® Coppertop and Energizer Max®</li><br>
<li>100% Money Back Guarantee</li><br>
<li>Proudly made in the USA</li><br>
<li>Mercury Free formula</li><br>
<li>Guaranteed fresh for 10 years (5 years for 9V)</li><br>
<li>Best used before date on battery</li>
","","","8 Pack","AA 8 Pack",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"665","Batteries",146990,"815-24CF2",,"AA 24 Pack","AA Alkaline Batteries","AA 24 Pack","",/\8\1\AA-24.jpg,/\8\1\AA-24.jpg,http://www.48ws.com/images/product/8/1/AA-24.jpg,AA-24-Pack,AA-24-Pack,,No layout updates.,Block after Info Column,,"AA 24 Pack","AA 24 Pack",Use config,"http://www.rayovac.com/Products/AA-AAA-Alkaline-Batteries/AA-4-Pack.aspx",0,,,0,"Rayovac",957,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"AA 24 Pack","<li>Rayovac Lasts as Long as Duracell® Coppertop and Energizer Max®</li><br>
<li>100% Money Back Guarantee</li><br>
<li>Proudly made in the USA</li><br>
<li>Mercury Free formula</li><br>
<li>Guaranteed fresh for 10 years (5 years for 9V)</li><br>
<li>Best used before date on battery</li>
","","","24 Pack","AA 24 Pack",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"665|28203","Batteries|AAA Batteries",146996,"824-4F",,"AAA 4 Pack","AAA Alkaline Batteries","AAA 4 Pack","",/\8\2\AAA-8.jpg,/\8\2\AAA-8.jpg,http://www.48ws.com/images/product/8/2/AAA-8.jpg,824-4F-Rayovac-AAA-4-Pack,824-4F-Rayovac-AAA-4-Pack,,No layout updates.,Block after Info Column,,"AAA 4 Pack","AAA 4 Pack",Use config,"http://www.rayovac.com/Products/AA-AAA-Alkaline-Batteries/AAA-4-Pack.aspx",0,,,0,"Rayovac",957,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Rayovac Lasts as Long as Duracell® Coppertop and Energizer Max®</li><br>
<li>100% Money Back Guarantee</li><br>
<li>Proudly made in the USA</li><br>
<li>Mercury Free formula</li><br>
<li>Guaranteed fresh for 10 years (5 years for 9V)</li><br>
<li>Best used before date on battery</li>
","","","4 Pack","AAA 4 Pack",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"665|28203","Batteries|AAA Batteries",146998,"824-8CF",,"AAA 8 Pack","AAA Alkaline Batteries","AAA 8 Pack","",/\8\2\AAA-8.jpg,/\8\2\AAA-8.jpg,http://www.48ws.com/images/product/8/2/AAA-8.jpg,AAA-8-Pack,AAA-8-Pack,,No layout updates.,Block after Info Column,,"AAA 8 Pack","AAA 8 Pack",Use config,"http://www.rayovac.com/Products/AA-AAA-Alkaline-Batteries/AAA-4-Pack.aspx",0,,,0,"Rayovac",957,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"AAA 8 Pack","<li>Rayovac Lasts as Long as Duracell® Coppertop and Energizer Max®</li><br>
<li>100% Money Back Guarantee</li><br>
<li>Proudly made in the USA</li><br>
<li>Mercury Free formula</li><br>
<li>Guaranteed fresh for 10 years (5 years for 9V)</li><br>
<li>Best used before date on battery</li>
","","","8 Pack","AAA 8 Pack",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"665|28203","Batteries|AAA Batteries",146999,"824-24CF2",,"AAA 24 Pack","AAA Alkaline Batteries","AAA 24 Pack","",/\8\2\AAA-8.jpg,/\8\2\AAA-8.jpg,http://www.48ws.com/images/product/8/2/AAA-8.jpg,AAA-24-Pack,AAA-24-Pack,,No layout updates.,Block after Info Column,,"AAA 24 Pack","AAA 24 Pack",Use config,"http://www.rayovac.com/Products/AA-AAA-Alkaline-Batteries/AAA-4-Pack.aspx",0,,,0,"Rayovac",957,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"AAA 24 Pack","<li>Rayovac Lasts as Long as Duracell® Coppertop and Energizer Max®</li><br>
<li>100% Money Back Guarantee</li><br>
<li>Proudly made in the USA</li><br>
<li>Mercury Free formula</li><br>
<li>Guaranteed fresh for 10 years (5 years for 9V)</li><br>
<li>Best used before date on battery</li>
","","","24 Pack","AAA 24 Pack",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
