store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"137|24590|28315","Air Compressors|Gas Air Compressors|Rental Portable Air Compressors",11131,"5715K17",,"5715K17","9-GAL. Wheeled Electric Compressors","5715K17","<b><u>PUMP DESCRIPTION</u></b><br><br>Heavy-Duty, Single Stage, Cast-Iron Twin Cylinders, Ball Bearings, Splash Lubricated, Hardened Steel Valve Plates with Swedish Lamellar Reed Valves, Aluminum Alloy Connecting Rods with Automotive-Style Inserts, Multi-",/\5\7\Rolair-9-GAL-Electric-Wheeled-Portable-Compressor-15.jpg,/\5\7\Rolair-9-GAL-Electric-Wheeled-Portable-Compressor-15.jpg,http://www.48ws.com/images/product/5/7/Rolair-9-GAL-Electric-Wheeled-Portable-Compressor-15.jpg,Rolair-5715K17-9-GAL-Wheeled-Electric-Compressor-15-HP,Rolair-5715K17-9-GAL-Wheeled-Electric-Compressor-15-HP,,No layout updates.,Block after Info Column,,"5715K17","5715K17",Use config,"http://www.rolair.net/products/spec_pages/wheeled_electric/5715K17.html#specs",0,,,0,"Rolair",90,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Rolair 5715K17 9-GAL. Wheeled Electric Compressor - 1.5 HP","<li>Heavy-duty, contractor quality</li><li>Cast-iron cylinders</li><li>Automotive-style bearing inserts on connecting rods</li><li>Heavy-gauge steel construction</li><li>Low pump r.p.m.'s</li> ","<b><u>PUMP DESCRIPTION</u></b><br><br>Heavy-Duty, Single Stage, Cast-Iron Twin Cylinders, Ball Bearings, Splash Lubricated, Hardened Steel Valve Plates with Swedish Lamellar Reed Valves, Aluminum Alloy Connecting Rods with Automotive-Style Inserts, Multi-Finned 11&quot; Flywheel, Oil Sight Gauge<br><br><b><u>MOTOR DESCRIPTION </u></b><br><br>1.5 HP, 1755 RPM, Open Drip Proof, 115/230V - 60 HZ, Ball Bearings, Overload Protection w/Manual Reset<br><br><b><u>STANDARD EQUIPMENT</u></b><br><br>Pressure Gauge, 0-200 in 5 lb. Graduations, Square D Pressure Switch w/Unloader, Accessory Support Clip, Intake Filter w/Silencer & Replaceable Element, Air-Cooled Aftercooler, Totally Enclosed Steel Belt Guard, Safety Relief Valve<br><br><b><u>OPTIONAL EQUIPMENT</u></b><br><br>Filter-Regulator-Lubricator Sets, Dual Voltage Switch, Fully Pneumatic Wheels, Constant Speed Operation, Dual Control Operation","","1.5 HP","5715K17",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"137|24590|28315","Air Compressors|Gas Air Compressors|Rental Portable Air Compressors",11132,"6820K17",,"9-GAL. Wheeled Electric Compressor - 2 HP","9-GAL. Wheeled Electric Compressors","9-GAL. Wheeled Electric Compressor - 2 HP","<b><u>PUMP DESCRIPTION</u></b><br><br> 	Heavy-Duty, Single Stage, Cast-Iron Twin Cylinders, Ball Bearings, Splash Lubricated, Hardened Steel Valve Plates with Swedish Lamellar Reed Valves, Aluminum Alloy Connecting Rods with Automotive-Style Inserts, Mult",/\6\8\Rolair-9-GAL-Electric-Wheeled-Portable-Compressor-2.jpg,/\6\8\Rolair-9-GAL-Electric-Wheeled-Portable-Compressor-2.jpg,http://www.48ws.com/images/product/6/8/Rolair-9-GAL-Electric-Wheeled-Portable-Compressor-2.jpg,Rolair-6820K17-9-GAL-Wheeled-Electric-Compressor-2-HP,Rolair-6820K17-9-GAL-Wheeled-Electric-Compressor-2-HP,,No layout updates.,Block after Info Column,,"9-GAL. Wheeled Electric Compressor - 2 HP","9-GAL. Wheeled Electric Compressor - 2 HP",Use config,"http://www.rolair.net/products/spec_pages/wheeled_electric/6820K17.html#specs",0,,,0,"Rolair",90,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Rolair 6820K17 9-GAL. Wheeled Electric Compressor - 2 HP","<li>Splash lubricated pump with cast-iron cylinders for longer life</li><li>Ball bearing crankshaft</li><li>Initial oil fill in crankcase</li><li>Oil level site gauge</li><li>Thermal protection with manual reset</li><li>Dual voltage switch - 120V or 240V</li>","<b><u>PUMP DESCRIPTION</u></b><br><br> 	Heavy-Duty, Single Stage, Cast-Iron Twin Cylinders, Ball Bearings, Splash Lubricated, Hardened Steel Valve Plates with Swedish Lamellar Reed Valves, Aluminum Alloy Connecting Rods with Automotive-Style Inserts, Multi-Finned 11&quot; Flywheel, Oil Sight Gauge<br><br><b><u>MOTOR DESCRIPTION</u></b><br><br>2.0 HP, 1740 RPM, Open Drip Proof, 115/230V - 60 HZ, Ball Bearings, Overload Protection w/Manual Reset<br><br><b><u>STANDARD EQUIPMENT</u></b><br><br>Pressure Gauge, 0-200 in 5 lb. Graduations, Square D Pressure Switch w/Unloader, Accessory Support Clip, Intake Filter w/Silencer & Replaceable Element, Air-Cooled Aftercooler, Totally Enclosed Steel Belt Guard, Safety Relief Valve, Dual Voltage Switch<br><br><b><u>OPTIONAL EQUIPMENT</u></b><br><br>Filter-Regulator-Lubricator Sets, Fully Pneumatic Wheels, Constant Speed Operation, Dual Control Operation, 20 Gallon Tank","","2 HP","9-GAL. Wheeled Electric Compressor - 2 HP",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24590","Gas Air Compressors",11133,"4090HK17",,"163 cc (5.5 HP) Honda Gas Portable Belt Drive Air Compressor","9-GAL. Wheeled Gas Compressors","163 cc (5.5 HP) Honda Gas Portable Belt Drive Air Compressor","<b><u>PUMP DESCRIPTION</u></b><br><br>Heavy-Duty, Single Stage, Cast-Iron Twin Cylinders, Ball Bearings, Splash Lubricated, Hardened Steel Valve Plates with Swedish Lamellar Reed Valves, Aluminum Alloy Connecting Rods with Automotive-Style Inserts, Multi-",/\4\0\Rolair-9-GAL-Gas-Wheeled-Portable-Compressor-55.jpg,/\4\0\Rolair-9-GAL-Gas-Wheeled-Portable-Compressor-55.jpg,http://www.48ws.com/images/product/4/0/Rolair-9-GAL-Gas-Wheeled-Portable-Compressor-55.jpg,rolair-4090HK17-163-cc-55-hp-honda-gas-portable-belt-drive-air-compressor,rolair-4090HK17-163-cc-55-hp-honda-gas-portable-belt-drive-air-compressor,,No layout updates.,Block after Info Column,,"163 cc (5.5 HP) Honda Gas Portable Belt Drive Air Compressor","163 cc (5.5 HP) Honda Gas Portable Belt Drive Air Compressor",Use config,"https://www.rolair.com/products/air-compressors/wheeled-gas/4090hk17",0,,,0,"Rolair",90,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Rolair 4090HK17 9-GAL. Wheeled Gas Compressor - 5.5 HP","<p><strong>Optional Equipment:</strong> Filter-Regulator-Lubricator Sets</p>
<h2>Standard Equipment</h2>
<ul><li >Pressure Gauge 0-200 PSI in 5 lb. Graduations</li></ul>
<h2>Specifications</h2>
<table>
        <tbody>
                                            
                                    <tr>
						<td >HORSE POWER</td>
                                                    <td>163 cc (5.5 HP)</td>
                        					</tr>
                                    <tr>
						<td >CFM DISPLACED</td>
                                                    <td>13.1 CFM</td>
                        					</tr>
                                    <tr>
						<td >CFM DELIVERED</td>
                                                    <td>9.3 CFM @ 90 PSI</td>
                        					</tr>
                                    <tr>
						<td >LUBRICATION TYPE</td>
                                                    <td>Splash Lubrication</td>
                        					</tr>
                                    <tr>
						<td >PUMP OIL CAPACITY</td>
                                                    <td>34 oz.</td>
                        					</tr>
                                    <tr>
						<td >REED VALVE SYSTEM</td>
                                                    <td>Yes (Standard)</td>
                        					</tr>
                                    <tr>
						<td >NUMBER OF CYLINDERS</td>
                                                    <td>2</td>
                        					</tr>
                                    <tr>
						<td >TANK CAPACITY</td>
                                                    <td>9 Gallons</td>
                        					</tr>
                                    <tr>
						<td >L x W x H</td>
                                                    <td>46&quot;x19&quot;x28&quot;</td>
                        					</tr>
                                    <tr>
						<td >DECIBEL RATING</td>
                                                    <td>Unavailable</td>
                        					</tr>
                                    <tr>
						<td >COUNTRY OF ORIGIN</td>
                                                    <td><a href=&quot;https://www.rolair.com/sites/default/files/products/countries/Compressor%20Origin.pdf&quot; target=&quot;_blank&quot;>Compressor Origin.pdf</a></td>
                        					</tr>
                                    <tr>
						<td >SHIPPING WEIGHT</td>
                                                    <td>180 lb.</td>
                        					</tr>
                                
                    </tbody>
    </table>","<h2>About the <strong>Pump</strong></h2><p>Heavy-Duty, Single Stage, Cast-Iron Twin Cylinders, Ball Bearings, Splash Lubricated, Hardened Steel Valve Plates with Swedish Lamellar Reed Valves, Aluminum Alloy Connecting Rods with Automotive-Style Inserts, M","","5.5 HP, Single Stage","163 cc (5.5 HP) Honda Gas Portable Belt Drive Air Compressor",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24590","Gas Air Compressors",11134,"8422HK30",,"270 cc (9 HP) Honda Gas Portable Belt Drive Air Compressor","9-GAL. Wheeled Gas Compressors","270 cc (9 HP) Honda Gas Portable Belt Drive Air Compressor","<b><u>PUMP DESCRIPTION</u></b><br><br>Heavy-Duty, Two Stage, Cast-Iron Twin Cylinders, Ball Bearings, Splash Lubricated, Cast Iron Valve Plates with Swedish Lamellar Reed Valves, Aluminum Alloy Connecting Rods with Automotive-Style Inserts, Multi-Finned 1",/\8\4\Rolair-9-GAL-Gas-Wheeled-Portable-Compressor-8.jpg,/\8\4\Rolair-9-GAL-Gas-Wheeled-Portable-Compressor-8.jpg,http://www.48ws.com/images/product/8/4/Rolair-9-GAL-Gas-Wheeled-Portable-Compressor-8.jpg,rolair-8422HK30-270-cc-9-hp-honda-gas-portable-belt-drive-air-compressor,rolair-8422HK30-270-cc-9-hp-honda-gas-portable-belt-drive-air-compressor,,No layout updates.,Block after Info Column,,"270 cc (9 HP) Honda Gas Portable Belt Drive Air Compressor","270 cc (9 HP) Honda Gas Portable Belt Drive Air Compressor",Use config,"https://www.rolair.com/products/air-compressors/wheeled-gas/8422hk30",0,,,0,"Rolair",90,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Rolair 8422HK30 9-GAL. Wheeled Gas Compressor - 8 HP","<p><strong>Optional Equipment:</strong> Filter-Regulator-Lubricator Sets, Electric Start</p>
<h2>Standard Equipment</h2>
<ul><li >Pressure Gauge 0-300 in 5 lb. Graduations </li></ul>
<h2>Specifications</h2>
<table>
        <tbody>
                                            
                                    <tr>
						<td >HORSE POWER</td>
                                                    <td>270 cc (9 HP)</td>
                        					</tr>
                                    <tr>
						<td >CFM DISPLACED</td>
                                                    <td>24.4 CFM</td>
                        					</tr>
                                    <tr>
						<td >CFM DELIVERED</td>
                                                    <td>20.1 CFM @ 90 PSI</td>
                        					</tr>
                                    <tr>
						<td >OVERLOAD PROTECTION</td>
                                                    <td>No</td>
                        					</tr>
                                    <tr>
						<td >LUBRICATION TYPE</td>
                                                    <td>Splash Lubrication</td>
                        					</tr>
                                    <tr>
						<td >PUMP OIL CAPACITY</td>
                                                    <td>47 oz.</td>
                        					</tr>
                                    <tr>
						<td >REED VALVE SYSTEM</td>
                                                    <td>Yes (Standard)</td>
                        					</tr>
                                    <tr>
						<td >NUMBER OF CYLINDERS</td>
                                                    <td>2</td>
                        					</tr>
                                    <tr>
						<td >TANK CAPACITY</td>
                                                    <td>9 Gallons</td>
                        					</tr>
                                    <tr>
						<td >L x W x H</td>
                                                    <td>46&quot;x28&quot;x35&quot;</td>
                        					</tr>
                                    <tr>
						<td >DECIBEL RATING</td>
                                                    <td>Unavailable</td>
                        					</tr>
                                    <tr>
						<td >COUNTRY OF ORIGIN</td>
                                                    <td><a href=&quot;https://www.rolair.com/sites/default/files/products/countries/Compressor%20Origin.pdf&quot; target=&quot;_blank&quot;>Compressor Origin.pdf</a></td>
                        					</tr>
                                    <tr>
						<td >SHIPPING WEIGHT</td>
                                                    <td>290 lb.</td>
                        					</tr>
                                
                    </tbody>
    </table>","<h2>About the <strong>Pump</strong></h2><p>Heavy-Duty, Two Stage, Cast-Iron Twin Cylinders, Ball Bearings, Splash Lubricated, Cast-Iron Valve Plates with Swedish Lamellar Reed Valves, Aluminum Alloy Connecting Rods with Automotive-Style Inserts, Multi-Fin","","8 HP, Two Stage","270 cc (9 HP) Honda Gas Portable Belt Drive Air Compressor",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"137|24590|28315","Air Compressors|Gas Air Compressors|Rental Portable Air Compressors",11185,"FC1500HS3",,"The Bull Series 2.5 Gal. 1.5 HP Compressor","","The Bull Series 2.5 Gal. 1.5 HP Compressor","<b><u>PUMP DESCRIPTION</u></b><br><br>ROLAIR Quality, Heavy-Duty, Cast-Iron Cylinder, Single Stage, Ball Bearings, Filter/Silencer, Stainless Steel Reed Valves, and Splash Lubrication To Ensure Longer Pump Life<br><br><b><u>MOTOR DESCRIPTION</u></b><br><b",/\f\c\Rolair-The-Bull-Series-25-Gal-15-HP.jpg,/\f\c\Rolair-The-Bull-Series-25-Gal-15-HP.jpg,http://www.48ws.com/images/product/f/c/Rolair-The-Bull-Series-25-Gal-15-HP.jpg,Rolair-FC1500HS3-The-Bull-Series-25-Gal-15-HP-Compressor,Rolair-FC1500HS3-The-Bull-Series-25-Gal-15-HP-Compressor,,No layout updates.,Block after Info Column,,"The Bull Series 2.5 Gal. 1.5 HP Compressor","The Bull Series 2.5 Gal. 1.5 HP Compressor",Use config,"http://www.rolair.net/products/spec_pages/hand_carry/FC1500HS3.html#specs",0,,,0,"Rolair",90,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Rolair FC1500HS3 &quot;The Bull&quot; Series 2.5 Gal. 1.5 HP Compressor","<li>Start/Stop pressure switch On/Off lever</li><li>Air line regulator and pressure gauge</li><li>Tank pressure gauge</li><li>Safety relief valve</li><li>Replaceable filter cartridge</li><li>13.5 amp motor</li><li>Initial 6 oz. oil fill included</li>","<b><u>PUMP DESCRIPTION</u></b><br><br>ROLAIR Quality, Heavy-Duty, Cast-Iron Cylinder, Single Stage, Ball Bearings, Filter/Silencer, Stainless Steel Reed Valves, and Splash Lubrication To Ensure Longer Pump Life<br><br><b><u>MOTOR DESCRIPTION</u></b><br><br>1.5 HP, 3400 RPM, Overload Protection with Manual Reset, 115 Volt, 60 Hz, Heavy-Duty, Industrial Grade with Ball Bearings for Greater Durability<br><br><b><u>STANDARD EQUIPMENT</u></b><br><br>Pressure Switch with On/Off Lever, Regulator w/Air Line Pressure Gauge, 6 oz. Crankcase Pre-filled with Oil, 95/125 PSI Operating Pressure, Factory Tested, Safety Relief Valve<br><br><b><u>OPTIONAL EQUIPMENT</u></b><br><br>N/A","","Rolair FC1500HS3 &quot;The Bull&quot; Series 2.5 Gal. 1.5 HP Compressor","The Bull Series 2.5 Gal. 1.5 HP Compressor",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24074","Mud and Paint Mixer Attachments",419924,"746",,"Mixer","Mixer","Mixer","",/\7\4\rolair-746-mixer.jpg,/\7\4\rolair-746-mixer.jpg,http://www.48ws.com/images/product/7/4/rolair-746-mixer.jpg,rolair-746-mixer,rolair-746-mixer,,No layout updates.,Block after Info Column,,"Mixer","Mixer",Use config,"http://premierpaintroller.com/cgi-bin/mivavm?Merchant2/merchant.mvc+Screen=PROD&Store_Code=P&Product_Code=PM72530&Category_Code=",0,,,0,"Rolair",90,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Hexagon Chrome-Plated Shaft","","","","Color: Amber","Mixer",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24074","Mud and Paint Mixer Attachments",419925,"748",,"Mixer","Mixer","Mixer","",/\7\4\rolair-748-mixer.jpg,/\7\4\rolair-748-mixer.jpg,http://www.48ws.com/images/product/7/4/rolair-748-mixer.jpg,rolair-748-mixer,rolair-748-mixer,,No layout updates.,Block after Info Column,,"Mixer","Mixer",Use config,"http://premierpaintroller.com/cgi-bin/mivavm?Merchant2/merchant.mvc+Screen=PROD&Store_Code=P&Product_Code=PM72530&Category_Code=",0,,,0,"Rolair",90,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Hexagon Chrome-Plated Shaft","","","","Color: Amber","Mixer",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24054","Paint Trays and Buckets",419926,"781",,"Roller Paint Grid 10&quot;","Roller Paint Grid 10&quot;","Roller Paint Grid 10&quot;","",/\7\8\rolair-781-roller-paint-grid-10.jpg,/\7\8\rolair-781-roller-paint-grid-10.jpg,http://www.48ws.com/images/product/7/8/rolair-781-roller-paint-grid-10.jpg,rolair-781-roller-paint-grid-10,rolair-781-roller-paint-grid-10,,No layout updates.,Block after Info Column,,"Roller Paint Grid 10&quot;","Roller Paint Grid 10&quot;",Use config,"http://premierpaintroller.com/cgi-bin/mivavm?Merchant2/merchant.mvc+Screen=PROD&Store_Code=P&Product_Code=PA-86231&Category_Code=",0,,,0,"Rolair",90,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Mini Paint Can Grid","","","","Mini Paint Can Grid - 1 Gallon; Size: 10&quot;","Roller Paint Grid 10&quot;",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28076","Roller Refills",420125,"7290",,"Roller Cover Long","Roller Cover Long","Roller Cover Long","",/\7\2\rolair-7290-roller-cover-long.jpg,/\7\2\rolair-7290-roller-cover-long.jpg,http://www.48ws.com/images/product/7/2/rolair-7290-roller-cover-long.jpg,rolair-7290-roller-cover-long,rolair-7290-roller-cover-long,,No layout updates.,Block after Info Column,,"Roller Cover Long","Roller Cover Long",Use config,"http://premierpaintroller.com/cgi-bin/mivavm?Merchant2/merchant.mvc+Screen=PROD&Store_Code=P&Product_Code=14KW2-50&Category_Code=",0,,,0,"Rolair",90,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Roller Cover","","","","Length: 18&quot;; Nap: 1/2&quot;","Roller Cover Long",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24052","Paint Roller Frames",421076,"300014",,"Roller Frame","Roller Frame","Roller Frame","",/\3\0\rolair-300014-roller-frame.jpg,/\3\0\rolair-300014-roller-frame.jpg,http://www.48ws.com/images/product/3/0/rolair-300014-roller-frame.jpg,rolair-300014-roller-frame,rolair-300014-roller-frame,,No layout updates.,Block after Info Column,,"Roller Frame","Roller Frame",Use config,"http://premierpaintroller.com/cgi-bin/mivavm?Merchant2/merchant.mvc+Screen=PROD&Product_Code=312-IMP&Category_Code=SRF_RF",0,,,0,"Rolair",90,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Roller Frame","","","","3&quot; Roller Frame With 1/4&quot; Rod, 4-Wire (Qty. 24); Brown Plastic Handle With Threaded Grip, 1/4&quot; Rod With Metal Ferrule","Roller Frame",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
