store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"28005","Corded Circular Saws",13003,"HD77",,"7-1/4&quot; Worm Drive Skilsaw","","7-1/4&quot; Worm Drive Skilsaw","Skill HD77 7-1/4&quot; Worm Drive Skilsaw",/\H\D\Skill-HD77-7-14-Worm-Drive.jpg,/\H\D\Skill-HD77-7-14-Worm-Drive.jpg,http://www.48ws.com/images/product/H/D/Skill-HD77-7-14-Worm-Drive.jpg,skil-HD77-,skil-HD77-,,No layout updates.,Block after Info Column,,"7-1/4&quot; Worm Drive Skilsaw","7-1/4&quot; Worm Drive Skilsaw",Use config,"http://www.skiltools.com/Pages/Home.aspx",0,,,0,"Skil",205,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Skill HD77 7-1/4&quot; Worm Drive Skilsaw","<li>Amperage: 13.0</li><li>
Arbor Size: Diamond</li><li>
Blade Diameter: 7 1/4&quot;</li><li>
Certifications: cULus</li><li>
Cord Length: 8 ft.</li><li>
Depth of Cut at 45 Deg.: 1 15/16&quot;</li><li>
Depth of Cut at 90 Deg.: 2 3/8&quot;</li><li>
No Load RPM: 4,400</li><li>
Power/Duty: Heavy Duty</li><li>
Rating: 120V</li><li>
Weight (lbs.): 16.0</li>","<li>20 amp switch and heavy gauge cord</li><li>
Anti-Snag Lower Guard Reduces Snags When Making Narrow Cut-Offs</li><li>
Precision-machined, durable worm drive gears for longer tool life</li><li>
Push button spindle lock for easy blade changes</li><li>
Die-cast aluminum motor and gear housings for durability</li><li>
Oil indicator level and relief bellows for long life</li>","","Skill HD77 7-1/4&quot; Worm Drive Skilsaw","7-1/4&quot; Worm Drive Skilsaw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28005","Corded Circular Saws",13004,"HD5860",,"8-1/4 In. Worm Drive 205SAW®","8-1/4 In. Worm Drive 205SAW®","8-1/4 In. Worm Drive 205SAW®","Skill HD5860 8-1/4&quot; Worm Drive Skilsaw",/\H\D\Skill-HD5860-8-14-Worm-Drive.jpg,/\H\D\Skill-HD5860-8-14-Worm-Drive.jpg,http://www.48ws.com/images/product/H/D/Skill-HD5860-8-14-Worm-Drive.jpg,skil-HD5860-,skil-HD5860-,,No layout updates.,Block after Info Column,,"8-1/4 In. Worm Drive 205SAW®","8-1/4 In. Worm Drive 205SAW®",Use config,"http://www.205tools.com/en/CustomerService/WhereToBuy/",0,,,0,"Skil",205,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"8-1/4 In. Worm Drive 205SAW®","<br><li>Exclusive 60° bevel feature with 8 1/4&quot; blade is ideal for angled cuts<br><li>High Torque 13 Amp Motor<br><li>Oil indicator level and relief bellows for long life<br><li>Precision-machined, durable worm drive gears for longer tool life<br><li>22 a","<br><li>Note:  Saw weight includes blade and cord","","Skill HD5860 8-1/4&quot; Worm Drive Skilsaw","8-1/4 In. Worm Drive 205SAW®",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19487","Sanding Belts",443450,"73105",,"3 In. x 18 In. 40 Grits Sanding Belt","3 In. x 18 In. 40 Grits Sanding Belt","3 In. x 18 In. 40 Grits Sanding Belt","",/\7\3\3-In-x-18-In-40-Grits-Sanding.jpg,/\7\3\3-In-x-18-In-40-Grits-Sanding.jpg,http://www.48ws.com/images/product/7/3/3-In-x-18-In-40-Grits-Sanding.jpg,skil-73105-3-in-x-18-in-40-grits-sanding-belt,skil-73105-3-in-x-18-in-40-grits-sanding-belt,,No layout updates.,Block after Info Column,,"3 In. x 18 In. 40 Grits Sanding Belt","3 In. x 18 In. 40 Grits Sanding Belt",Use config,"http://www.205tools.com/en/CustomerService/WhereToBuy/",0,,,0,"Skil",205,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"3 In. x 18 In. 40 Grits Sanding Belt","<br><li>Size: 3&quot; x 18&quot;<br><li>Grit: 40<br><li>Quantity: 2<br><li>Fits any 3 by 18 In. belt sander<br><li>","","039725731050","","3 In. x 18 In. 40 Grits Sanding Belt",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19499","Sandpaper Sheets",443454,"73111",,"60 Grit Octo Sandpaper","60 Grit Octo Sandpaper","60 Grit Octo Sandpaper","",/,/,/,skil-73111-60-grit-octo-sandpaper,skil-73111-60-grit-octo-sandpaper,,No layout updates.,Block after Info Column,,"60 Grit Octo Sandpaper","60 Grit Octo Sandpaper",Use config,"http://www.205tools.com/en/CustomerService/WhereToBuy/",0,,,0,"Skil",205,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"60 Grit Octo Sandpaper","<br><li>Designed for superior performance on wood, metal, plastic, fiberglass and other materials<br><li>Durable, heavy weight paper<br><li>Aluminum oxide grain resists clogging and lasts longer<br><li>General purpose<br><li>","","039725027313","","60 Grit Octo Sandpaper",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19499","Sandpaper Sheets",443455,"73112",,"80 Grit Octo Sandpaper","80 Grit Octo Sandpaper","80 Grit Octo Sandpaper","",/,/,/,skil-73112-80-grit-octo-sandpaper,skil-73112-80-grit-octo-sandpaper,,No layout updates.,Block after Info Column,,"80 Grit Octo Sandpaper","80 Grit Octo Sandpaper",Use config,"http://www.205tools.com/en/CustomerService/WhereToBuy/",0,,,0,"Skil",205,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"80 Grit Octo Sandpaper","<br><li>Designed for superior performance on wood, metal, plastic, fiberglass and other materials<br><li>Durable, heavy weight paper<br><li>Aluminum oxide grain resists clogging and lasts longer<br><li>General purpose<br><li>","","039725027283","","80 Grit Octo Sandpaper",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19499","Sandpaper Sheets",443456,"73113",,"120 Grit Octo Sandpaper","120 Grit Octo Sandpaper","120 Grit Octo Sandpaper","",/,/,/,skil-73113-120-grit-octo-sandpaper,skil-73113-120-grit-octo-sandpaper,,No layout updates.,Block after Info Column,,"120 Grit Octo Sandpaper","120 Grit Octo Sandpaper",Use config,"http://www.205tools.com/en/CustomerService/WhereToBuy/",0,,,0,"Skil",205,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"120 Grit Octo Sandpaper","<br><li>Designed for superior performance on wood, metal, plastic, fiberglass and other materials<br><li>Durable, heavy weight paper<br><li>Aluminum oxide grain resists clogging and lasts longer<br><li>General purpose<br><li>","","039725027290","","120 Grit Octo Sandpaper",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19499","Sandpaper Sheets",443459,"74006",,"Assorted Grits Octo Sandpaper","Assorted Grits Octo Sandpaper","Assorted Grits Octo Sandpaper","",/\7\4\skil-74006-assorted-grits-octo-sandpaper.jpg,/\7\4\skil-74006-assorted-grits-octo-sandpaper.jpg,http://www.48ws.com/images/product/7/4/skil-74006-assorted-grits-octo-sandpaper.jpg,skil-74006-assorted-grits-octo-sandpaper,skil-74006-assorted-grits-octo-sandpaper,,No layout updates.,Block after Info Column,,"Assorted Grits Octo Sandpaper","Assorted Grits Octo Sandpaper",Use config,"http://www.205tools.com/en/CustomerService/WhereToBuy/",0,,,0,"Skil",205,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Assorted Grits Octo Sandpaper","<br><li>Designed for superior performance on wood, metal, plastic, fiberglass and other materials<br><li>Durable, heavy weight paper<br><li>Aluminum oxide grain resists clogging and lasts longer<br><li>General purpose<br><li>","","039725035899","","Assorted Grits Octo Sandpaper",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19499","Sandpaper Sheets",443461,"73114",,"Assorted pack of paper for sanding with 205 Octo Detail sander. Includes large detail, small detail, and square sanding sheets.","Assorted pack of paper for sanding with 205 Octo Detail sander. Includes large detail, small detail, and square sanding sheets.","Assorted pack of paper for sanding with 205 Octo Detail sander. Includes large detail, small detail, and square sanding sheets.","",/,/,/,skil-73114-assorted-pack-of-paper-for-sanding-with-205-octo-detail-sander-includes-large-detail-smal,skil-73114-assorted-pack-of-paper-for-sanding-with-205-octo-detail-sander-includes-large-detail-smal,,No layout updates.,Block after Info Column,,"Assorted pack of paper for sanding with 205 Octo Detail sander. Includes large detail, small detail, and square sanding sheets.","Assorted pack of paper for sanding with 205 Octo Detail sander. Includes large detail, small detail, and square sanding sheets.",Use config,"http://www.205tools.com/en/CustomerService/WhereToBuy/",0,,,0,"Skil",205,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Assorted pack of paper for sanding with 205 Octo Detail sander. Includes large detail, small detail, and square sanding sheets.","<br><li>Grit: Assorted<br><li>Application: General purpose<br><li>Quantity: 15<br><li>For use on wood, paint and hard to reach surfaces<br><li>Aluminum oxide grain resists clogging and lasts longer<br><li>Hook and loop backing<br><li>","<br><li>Durable, heavy weight paper<br><li>","039725027306","","Assorted pack of paper for sanding with 205 Octo Detail sander. Includes large detail, small detail, and square sanding sheets.",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21681","Utility Knives",443475,"2352-01",,"Lithium Ion Power Cutter","Lithium Ion Power Cutter","Lithium Ion Power Cutter","",/\2\3\skil-2352-01-lithium-ion-power-cutter.jpg,/\2\3\skil-2352-01-lithium-ion-power-cutter.jpg,http://www.48ws.com/images/product/2/3/skil-2352-01-lithium-ion-power-cutter.jpg,skil-2352-01-lithium-ion-power-cutter,skil-2352-01-lithium-ion-power-cutter,,No layout updates.,Block after Info Column,,"Lithium Ion Power Cutter","Lithium Ion Power Cutter",Use config,"http://www.205tools.com/en/CustomerService/WhereToBuy/",0,,,0,"Skil",205,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Lithium Ion Power Cutter","<br><li>Lithium-Ion power battery holds charge up to 18 months<br><li>Lightweight - weighs less than 1 Lb.<br><li>Auto sharp blade design for clean results<br><li>Battery fuel gauge<br><li>Cuts through hundreds of materials* including: carpet, plastic pac","<br><li>Powered by an ENERGY STAR qualified battery charger (for a better environment)<br><li>","039725036797","","Lithium Ion Power Cutter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21837","Rotary and Straight Line Laser Levels",443527,"8201-CL",,"Self-Leveling Cross-Line Laser","Self-Leveling Cross-Line Laser","Self-Leveling Cross-Line Laser","",/\8\2\skil-8201-cl-self-leveling-cross-line-laser.jpg,/\8\2\skil-8201-cl-self-leveling-cross-line-laser.jpg,http://www.48ws.com/images/product/8/2/skil-8201-cl-self-leveling-cross-line-laser.jpg,skil-8201-CL-self-leveling-cross-line-laser,skil-8201-CL-self-leveling-cross-line-laser,,No layout updates.,Block after Info Column,,"Self-Leveling Cross-Line Laser","Self-Leveling Cross-Line Laser",Use config,"http://www.205tools.com/en/CustomerService/WhereToBuy/",0,,,0,"Skil",205,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Self-Leveling Cross-Line Laser","<br><li>4 Mode Projection: Horizontal, Vertical, Laser Cross-Line and Manual<br><li>Projects Horizontal Laser Line with 120 Degree Fan Angle<br><li>Manual Mode for Versatile Applications<br><li>Automatic Out-of-Level Sensing<br><li>","","039725034915","","Self-Leveling Cross-Line Laser",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
