store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"1749|27821","Electrical Wire|Primary Wire",107894,"12THHNSOLBLK",,"Electrical Wire 12","","Electrical Wire 12","",/\1\2\Southwire-12THHNSOLBLK-Electrical-Wire.jpg,/\1\2\Southwire-12THHNSOLBLK-Electrical-Wire.jpg,http://www.48ws.com/images/product/1/2/Southwire-12THHNSOLBLK-Electrical-Wire.jpg,Southwire-12THHNSOLBLK-Electrical-Wire-12,Southwire-12THHNSOLBLK-Electrical-Wire-12,,No layout updates.,Block after Info Column,,"Electrical Wire 12","Electrical Wire 12",Use config,"http://www.southwire.com/products/ProductCatalog.htm",0,,,0,"Southwire",839,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br />
<li>Predominantly used in utility substations</li>
<li>Can be installed indoors or outdoors, in cable trays, conduit, underground duct, or direct buried in we or dry locations</li>
<li>Conductor operating temperatures are not to exceed 75°c wet, 90°c dry</li>
<li>Rated 600 Volts</li>","Color: Black","","Southwire 12THHNSOLBLK Electrical Wire 12 ","Electrical Wire 12",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1749|27821","Electrical Wire|Primary Wire",107895,"12THHNSOLWHT",,"Electrical Wire 12","","Electrical Wire 12","",/\1\2\Southwire-12THHNSOLWHT-Electrical-Wire.jpg,/\1\2\Southwire-12THHNSOLWHT-Electrical-Wire.jpg,http://www.48ws.com/images/product/1/2/Southwire-12THHNSOLWHT-Electrical-Wire.jpg,Southwire-12THHNSOLWHT-Electrical-Wire-12,Southwire-12THHNSOLWHT-Electrical-Wire-12,,No layout updates.,Block after Info Column,,"Electrical Wire 12","Electrical Wire 12",Use config,"http://www.southwire.com/products/ProductCatalog.htm",0,,,0,"Southwire",839,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br />
<li>Predominantly used in utility substations</li>
<li>Can be installed indoors or outdoors, in cable rays, conduit, underground duct, or direct buried in wet or dry locations</li>
<li>Conductor operating temperatures are not to exceed 75°C wet, 90°C dry</li>
<li>Rated 600 Volts</li>","Color: White","","Southwire 12THHNSOLWHT Electrical Wire 12","Electrical Wire 12",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1749|27821","Electrical Wire|Primary Wire",107896,"12THHNSOLGRN",,"Electrical Wire 12","","Electrical Wire 12","",/\1\2\Southwire-12THHNSOLGRN-Electrical-Wire.jpg,/\1\2\Southwire-12THHNSOLGRN-Electrical-Wire.jpg,http://www.48ws.com/images/product/1/2/Southwire-12THHNSOLGRN-Electrical-Wire.jpg,Southwire-12THHNSOLGRN-Electrical-Wire-12,Southwire-12THHNSOLGRN-Electrical-Wire-12,,No layout updates.,Block after Info Column,,"Electrical Wire 12","Electrical Wire 12",Use config,"http://www.southwire.com/products/ProductCatalog.htm",0,,,0,"Southwire",839,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br />
<li>Predominantly used in utility substations</li>
<li>Can be installed indoors or outdoors, in cable trays, conduit, underground duct, or direct buried in wet or dry locations</li>
<li>Conductor operating temperatures are not to exceed 75°C wet, 90°C dry</li>
<li>Rated 600 Volts</li>","Color: Green","","Southwire 12THHNSOLGRN Electrical Wire 12","Electrical Wire 12",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1749|27821","Electrical Wire|Primary Wire",107897,"10THHNSOLBLK",,"Electrical Wire 10","","Electrical Wire 10","",/\1\0\Southwire-10THHNSOLBLK-Electrical-Wire.jpg,/\1\0\Southwire-10THHNSOLBLK-Electrical-Wire.jpg,http://www.48ws.com/images/product/1/0/Southwire-10THHNSOLBLK-Electrical-Wire.jpg,Southwire-10THHNSOLBLK-Electrical-Wire-10,Southwire-10THHNSOLBLK-Electrical-Wire-10,,No layout updates.,Block after Info Column,,"Electrical Wire 10","Electrical Wire 10",Use config,"http://www.southwire.com/products/ProductCatalog.htm",0,,,0,"Southwire",839,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br />
<li>Predominantly used in utility substations</li>
<li>Can be installed indoors or outdoors, in cable trays, conduit, underground duct, or direct buried in wet or dry locations</li>
<li>Conductor operating temperatures are not to exceed 75°C wet, 90°C dry</li>
<li>Rated 600 Volts</li>","Color: Black","","Southwire 10THHNSOLBLK Electrical Wire 10","Electrical Wire 10",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1749|27821","Electrical Wire|Primary Wire",107898,"10THHNSOLGRN",,"Electrical Wire 10","","Electrical Wire 10","",/\1\0\Cooper-Wiring-Devices-10THHNSOLGRN-Electrical-Wire.jpg,/\1\0\Cooper-Wiring-Devices-10THHNSOLGRN-Electrical-Wire.jpg,http://www.48ws.com/images/product/1/0/Cooper-Wiring-Devices-10THHNSOLGRN-Electrical-Wire.jpg,Cooper-Wiring-Devices-10THHNSOLGRN-Electrical-Wire-10,Cooper-Wiring-Devices-10THHNSOLGRN-Electrical-Wire-10,,No layout updates.,Block after Info Column,,"Electrical Wire 10","Electrical Wire 10",Use config,"http://www.southwire.com/products/ProductCatalog.htm",0,,,0,"Southwire",839,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br />
<li>Predomiantly used in utility substations</li>
<li>Can be installed indoors or outdoors, in cable trays, conduit, underground duct, or direct buried in wet or dry locations</li>
<li>Conductor operating temperatures are not to exceed 75°C wet, 90°C dry</li>
<li>Rated 600 Volts</li>","Color: Green","","Southwire 10THHNSOLGRN Electrical Wire 10","Electrical Wire 10",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1749|27821","Electrical Wire|Primary Wire",107899,"14THHNSTRBLK",,"Electrical Wire 14","","Electrical Wire 14","",/\1\4\Southwire-14THHNSTRBLK-Electrical-Wire.jpg,/\1\4\Southwire-14THHNSTRBLK-Electrical-Wire.jpg,http://www.48ws.com/images/product/1/4/Southwire-14THHNSTRBLK-Electrical-Wire.jpg,Southwire-14THHNSTRBLK-Electrical-Wire-14,Southwire-14THHNSTRBLK-Electrical-Wire-14,,No layout updates.,Block after Info Column,,"Electrical Wire 14","Electrical Wire 14",Use config,"http://www.southwire.com/products/ProductCatalog.htm",0,,,0,"Southwire",839,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br />
<li>Predominantly used in utility substations</li>
<li>Can be installed indoors or outdoors, in cable trays, conduit, underground duct, or direct buried in wet or dry locations</li>
<li>Conductor operating temperatures are not to exceed 75°C wet, 90°C dry</li>
<li>Rated 600 Volts</li>","Color: Black","","Southwire 14THHNSTRBLK Electrical Wire 14","Electrical Wire 14",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1749|27821","Electrical Wire|Primary Wire",107922,"14THHNSTRGRN",,"Electrical Wire 14","","Electrical Wire 14","",/\1\4\Southwire-14THHNSTRGRN-Electrical-Wire.jpg,/\1\4\Southwire-14THHNSTRGRN-Electrical-Wire.jpg,http://www.48ws.com/images/product/1/4/Southwire-14THHNSTRGRN-Electrical-Wire.jpg,Southwire-14THHNSTRGRN-Electrical-Wire-14,Southwire-14THHNSTRGRN-Electrical-Wire-14,,No layout updates.,Block after Info Column,,"Electrical Wire 14","Electrical Wire 14",Use config,"",0,,,0,"Southwire",839,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br />
<li>14 AWG</li>
<li>120 VAC 15 amps</li>
<li>Spool length: 500 ft.</li>
<li>Voltage: 600</li>","Color: Green","","Southwire 14THHNSTRGRN Electrical Wire 14","Electrical Wire 14",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1749|27821","Electrical Wire|Primary Wire",107923,"12THHNSTRBLK",,"Electrical Wire 12","","Electrical Wire 12","",/\1\2\Southwire-12THHNSTRBLK-Electrical-Wire.jpg,/\1\2\Southwire-12THHNSTRBLK-Electrical-Wire.jpg,http://www.48ws.com/images/product/1/2/Southwire-12THHNSTRBLK-Electrical-Wire.jpg,Southwire-12THHNSTRBLK-Electrical-Wire-12,Southwire-12THHNSTRBLK-Electrical-Wire-12,,No layout updates.,Block after Info Column,,"Electrical Wire 12","Electrical Wire 12",Use config,"",0,,,0,"Southwire",839,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br />
<li>Wire Gauge: 12 AWG</li>
<li>20 Amps</li>
<li>Voltage: 600</li>
<li>Spool length: 500 ft.</li>","Color: Black","","Southwire 12THHNSTRBLK Electrical Wire 12","Electrical Wire 12",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1749|27821","Electrical Wire|Primary Wire",107924,"12THHNSTRRED",,"Electrical Wire 12","","Electrical Wire 12","",/\1\2\Southwire-12THHNSTRRED-Electrical-Wire.jpg,/\1\2\Southwire-12THHNSTRRED-Electrical-Wire.jpg,http://www.48ws.com/images/product/1/2/Southwire-12THHNSTRRED-Electrical-Wire.jpg,Southwire-12THHNSTRRED-Electrical-Wire-12,Southwire-12THHNSTRRED-Electrical-Wire-12,,No layout updates.,Block after Info Column,,"Electrical Wire 12","Electrical Wire 12",Use config,"",0,,,0,"Southwire",839,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br />
<li>Wire gauge: 12 AWG</li>
<li>20 Amps</li>
<li>Voltage: 600</li>
<li>Spool Length: 500 ft.</li>","Color: Red","","Southwire 12THHNSTRRED Electrical Wire 12","Electrical Wire 12",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1749|27821","Electrical Wire|Primary Wire",107925,"12THHNSTRWHT",,"Electrical Wire 12","","Electrical Wire 12","",/\1\2\Southwire-12THHNSTRWHT-Electrical-Wire.jpg,/\1\2\Southwire-12THHNSTRWHT-Electrical-Wire.jpg,http://www.48ws.com/images/product/1/2/Southwire-12THHNSTRWHT-Electrical-Wire.jpg,Southwire-12THHNSTRWHT-Electrical-Wire-12,Southwire-12THHNSTRWHT-Electrical-Wire-12,,No layout updates.,Block after Info Column,,"Electrical Wire 12","Electrical Wire 12",Use config,"",0,,,0,"Southwire",839,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br />
<li>Wire Gauge: 12 AWG</li>
<li>20 amps</li>
<li>Voltage: 600</li>
<li>Spool length: 500 ft.</li>","Color: White","","Southwire 12THHNSTRWHT Electrical Wire 12","Electrical Wire 12",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
