store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"144|21842","Levels|Specialty Levels",11955,"Stabila 196 24in",,"24&quot; Heavy Duty Level","Stabila Spirit Level Heavy Duty Level Type 196","24&quot; Heavy Duty Level","Stabila Spirit Level Heavy Duty Level Type 196",/\S\t\Stabila-Spirit-Level-Heavy-Duty-Level-Type.jpg,/\S\t\Stabila-Spirit-Level-Heavy-Duty-Level-Type.jpg,http://www.48ws.com/images/product/S/t/Stabila-Spirit-Level-Heavy-Duty-Level-Type.jpg,Stabila-Spirit-Level-Heavy-Duty-Level-Type-196,Stabila-Spirit-Level-Heavy-Duty-Level-Type-196,,No layout updates.,Block after Info Column,,"24&quot; Heavy Duty Level","24&quot; Heavy Duty Level",Use config,"http://www.stabila.com/main.taf?p=1,1,1,1",0,,,0,"Stabila",114,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Features</u></b><br><br>
<li>Crystal clear vials readable in any direction with no change in accuracy tolerance</li>
<li>Spring steel hairline indicators in vials</li>
<li>Best frame strength-to-weight ratio</li>
<li>Removable rubber end caps for scribing in corners and for reading tight header and sill openings</li>
<li>Rubber end caps grip walls and do not leave marks</li>
<li>Metal Hang hole for storing level on site</li>
<li>Large comfortable rubber hand holes</li>
<li>Fast and accurate installations</li>
<li>Strong, wide frame</li>
<li>Vials are guaranteed for life</li>
<li>Bent Levels Void Warranty</li><br>","Spirit Level Heavy Duty Level Type 196","","24&quot; Heavy Duty Level","24&quot; Heavy Duty Level",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"144|21842","Levels|Specialty Levels",11956,"Stabila 80A-2",,"Spirit Level General Construction Level Type 80A-2","","Spirit Level General Construction Level Type 80A-2","Stabila Spirit Level General Construction Level Type 80A-2",/\S\t\Stabila-Spirit-Level-General-Construction-Level-Type-80A.jpg,/\S\t\Stabila-Spirit-Level-General-Construction-Level-Type-80A.jpg,http://www.48ws.com/images/product/S/t/Stabila-Spirit-Level-General-Construction-Level-Type-80A.jpg,Stabila-Spirit-Level-General-Construction-Level-Type-80A-2,Stabila-Spirit-Level-General-Construction-Level-Type-80A-2,,No layout updates.,Block after Info Column,,"Spirit Level General Construction Level Type 80A-2","Spirit Level General Construction Level Type 80A-2",Use config,"http://www.stabila.com/main.taf?p=1,1,1,2",0,,,0,"Stabila",114,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Features</u></b><br><br>
<li>Stabila's general purpose level</li>
<li>Accurate, lightweight and fast</li>
<li>Designed for the tile installers and everyday use</li>
<li>Easy cleaning, absolutely waterproof</li>
<li>Always accurate, work with confidence and speed</li>	
<li>Big, clear, easy to read top mounted horizontal vial</li>
<li>Rugged, takes rough handling</li>
<li>Certified accuracy in top read position: 1/32&quot; over 72&quot;</li>
<li>Bent Levels Void Warranty</li><br>","Spirit Level General Construction Level Type 80A-2","","Stabila Spirit Level General Construction Level Type 80A-2","Spirit Level General Construction Level Type 80A-2",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"144|28135","Levels|Leveling Kits",11957,"Stabila 196 LED",,"Spirit Level &quot;The Lights&quot; Level Kit Type 196 LED","","Spirit Level &quot;The Lights&quot; Level Kit Type 196 LED","Stabila Spirit Level &quot;The Lights&quot; Level Kit Type 196 LED",/\S\t\Stabila-Spirit-Level-The-Lights-Level-Kit-Type-196.jpg,/\S\t\Stabila-Spirit-Level-The-Lights-Level-Kit-Type-196.jpg,http://www.48ws.com/images/product/S/t/Stabila-Spirit-Level-The-Lights-Level-Kit-Type-196.jpg,Stabila-Spirit-Level-The-Lights-Level-Kit-Type-196-LED,Stabila-Spirit-Level-The-Lights-Level-Kit-Type-196-LED,,No layout updates.,Block after Info Column,,"Spirit Level &quot;The Lights&quot; Level Kit Type 196 LED","Spirit Level &quot;The Lights&quot; Level Kit Type 196 LED",Use config,"http://www.stabila.com/main.taf?p=1,1,1,3",0,,,0,"Stabila",114,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Features</u></b><br><br>
<li>Bright - Brilliant Vials - Easy to read</li>
<li>2 Removable Light Paks</li>
<li>Light Paks double as convienent flash lights</li>	
<li>No wires or light bulbs to go bad in the frame</li>
<li>Easily replaced - Easily used</li>
<li>Always have the view you need</li><br>","Spirit Level &quot;The Lights&quot; Level Kit Type 196 LED","","Stabila Spirit Level &quot;The Lights&quot; Level Kit Type 196 LED","Spirit Level &quot;The Lights&quot; Level Kit Type 196 LED",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"144|21842","Levels|Specialty Levels",11958,"Stabila 70A-2",,"Spirit Level Professional Grade for Homeowners Type 70A-2","","Spirit Level Professional Grade for Homeowners Type 70A-2","Stabila Spirit Level Professional Grade for Homeowners Type 70A-2",/\S\t\Stabila-Spirit-Level-Professional-Grade-for-Homeowners-Type.jpg,/\S\t\Stabila-Spirit-Level-Professional-Grade-for-Homeowners-Type.jpg,http://www.48ws.com/images/product/S/t/Stabila-Spirit-Level-Professional-Grade-for-Homeowners-Type.jpg,Stabila-Spirit-Level-Professional-Grade-for-Homeowners-Type-70A-2,Stabila-Spirit-Level-Professional-Grade-for-Homeowners-Type-70A-2,,No layout updates.,Block after Info Column,,"Spirit Level Professional Grade for Homeowners Type 70A-2","Spirit Level Professional Grade for Homeowners Type 70A-2",Use config,"http://www.stabila.com/main.taf?p=1,1,1,4",0,,,0,"Stabila",114,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Features</u></b><br><br>
<li>Traditional spirit level with smooth sides, electrostatic powder coating and two vertical vials and one horizontal vial</li>
<li>Light metal rectangular profile</li>
<li>Measurement accuracy: in the normal position 0.029° = 0.5 mm/m</li>	
<li>The ideal all round level for DIY households and professional use</li>
<li>Vials are guaranteed for life</li>
<li>Bent Levels Void Warranty</li><br>","Spirit Level Professional Grade for Homeowners Type 70A-2","","Stabila Spirit Level Professional Grade for Homeowners Type 70A-2","Spirit Level Professional Grade for Homeowners Type 70A-2",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"144|21842","Levels|Specialty Levels",11959,"Stabila 80A-2 Rehab - Remodel - Restore",,"Spirit Level The Measuring Stick Type 80A-2 Rehab - Remodel - Restore","","Spirit Level The Measuring Stick Type 80A-2 Rehab - Remodel - Restore","Stabila Spirit Level The Measuring Stick Type 80A-2 Rehab - Remodel - Restore",/\S\t\Stabila-Spirit-Level-The-Measuring-Stick-Type-80A-2-Rehab.jpg,/\S\t\Stabila-Spirit-Level-The-Measuring-Stick-Type-80A-2-Rehab.jpg,http://www.48ws.com/images/product/S/t/Stabila-Spirit-Level-The-Measuring-Stick-Type-80A-2-Rehab.jpg,Stabila-Spirit-Level-The-Measuring-Stick-Type-80A-2-Rehab-Remodel-Restore,Stabila-Spirit-Level-The-Measuring-Stick-Type-80A-2-Rehab-Remodel-Restore,,No layout updates.,Block after Info Column,,"Spirit Level The Measuring Stick Type 80A-2 Rehab - Remodel - Restore","Spirit Level The Measuring Stick Type 80A-2 Rehab - Remodel - Restore",Use config,"http://www.stabila.com/main.taf?p=1,1,1,5",0,,,0,"Stabila",114,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Features</u></b><br><br>
<li>Three measurement scales</li>
<li>Straight edge for better markings</li>
<li>Price point</li>
<li>Double sided Rubber end caps grip walls and do not leave marks</li>	
<li>Fast and accurate installations</li>
<li>Vials are guaranteed for life</li>
<li>Bent Levels Void Warranty</li><br>","Spirit Level The Measuring Stick Type 80A-2 Rehab - Remodel - Restore","","Stabila Spirit Level The Measuring Stick Type 80A-2 Rehab - Remodel - Restore","Spirit Level The Measuring Stick Type 80A-2 Rehab - Remodel - Restore",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"144|21842","Levels|Specialty Levels",11960,"Stabila 96M 24in",,"24&quot; Type 96M Heavy Duty Level","Stabila Magnetic Level Heavy Duty Level Type 96M","24&quot; Type 96M Heavy Duty Level","Stabila Magnetic Level Heavy Duty Level Type 96M",/\S\t\Stabila-Heavy-Duty-Magnetic-Level-Type.jpg,/\S\t\Stabila-Heavy-Duty-Magnetic-Level-Type.jpg,http://www.48ws.com/images/product/S/t/Stabila-Heavy-Duty-Magnetic-Level-Type.jpg,Stabila-Magnetic-Level-Heavy-Duty-Level-Type-96M,Stabila-Magnetic-Level-Heavy-Duty-Level-Type-96M,,No layout updates.,Block after Info Column,,"24&quot; Type 96M Heavy Duty Level","24&quot; Type 96M Heavy Duty Level",Use config,"http://www.stabila.com/main.taf?p=1,1,6,1",0,,,0,"Stabila",114,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Features</u></b><br><br>
<li>Strongest Magnets, flush mounted - Work Hands-Free</li>
<li>Spring steel hairline indicators inside the vials</li>
<li>Certified Level Accuracy in top read position: 1/32&quot; over 72&quot;</li>
<li>Levels 59&quot; and longer have a bridge over the horizontal vial for uninterrupted scribing and increased frame strength.</li>
<li>Patented, epoxy-locked vials never need adjusting</li>	
<li>Removable rubber end caps for flush measuring in corners</li>
<li>Patented red pads on end caps grip walls & flat surfaces - Prevents slipping on walls</li>
<li>Level accuracy guaranteed for life; vials will never fog, leak or require adjustment</li>
<li>Readable in every direction with no change in accuracy tolerance</li>
<li>Bent Levels Void Warranty</li><br>","Magnetic Level Heavy Duty Level Type 96M","","24&quot; Type 96M Heavy Duty Level","24&quot; Type 96M Heavy Duty Level",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"144|21842","Levels|Specialty Levels",11961,"Stabila 80A-2 ProFrame",,"Magnetic Level General Construction Level Type 80A-2 ProFrame","","Magnetic Level General Construction Level Type 80A-2 ProFrame","Stabila Magnetic Level General Construction Level Type 80A-2 ProFrame",/\S\t\Stabila-Magnetic-Level-General-Construction-Level-Type-80A.jpg,/\S\t\Stabila-Magnetic-Level-General-Construction-Level-Type-80A.jpg,http://www.48ws.com/images/product/S/t/Stabila-Magnetic-Level-General-Construction-Level-Type-80A.jpg,Stabila-Magnetic-Level-General-Construction-Level-Type-80A-2-ProFrame,Stabila-Magnetic-Level-General-Construction-Level-Type-80A-2-ProFrame,,No layout updates.,Block after Info Column,,"Magnetic Level General Construction Level Type 80A-2 ProFrame","Magnetic Level General Construction Level Type 80A-2 ProFrame",Use config,"http://www.stabila.com/main.taf?p=1,1,6,2",0,,,0,"Stabila",114,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Features</u></b><br><br>
<li>Stabila's general purpose level</li>
<li>Streamline Frame</li>
<li>Easy to grip</li>
<li>Easy clean, absolutely waterproof</li>
<li>Big, clear, easy to read top-mounted horizontal vial</li>	
<li>Rugged, takes rough handling</li>
<li>Flush mounted, super strong magnets</li>
<li>Hands free operation</li>
<li>Accurate, lightweight and fast</li>
<li>Certified accuracy in top read position: 1/32&quot; over 72&quot;</li>
<li>Bent Levels Void Warranty</li><br>","Magnetic Level General Construction Level Type 80A-2 ProFrame","","Stabila Magnetic Level General Construction Level Type 80A-2 ProFrame","Magnetic Level General Construction Level Type 80A-2 ProFrame",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"144|21842","Levels|Specialty Levels",11962,"Stabila 106T",,"Plate Level 2 Type 106T","","Plate Level 2 Type 106T","Stabila Plate Level 2 Type 106T",/\S\t\Stabila-Plate-Level-2-Type.jpg,/\S\t\Stabila-Plate-Level-2-Type.jpg,http://www.48ws.com/images/product/S/t/Stabila-Plate-Level-2-Type.jpg,Stabila-Plate-Level-2-Type-106T,Stabila-Plate-Level-2-Type-106T,,No layout updates.,Block after Info Column,,"Plate Level 2 Type 106T","Plate Level 2 Type 106T",Use config,"http://www.stabila.com/main.taf?p=1,1,3,1",0,,,0,"Stabila",114,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Features</u></b><br><br>
<li>Strong re-enforced frame</li>
<li>Fully sealed solid rail (six sided) extension eliminates deflection, and delivers the smoothest extension movement available.</li>
<li>Removable 1 5/8&quot; stand-offs reach around braces</li>
<li>Top plumb vial is permanently positioned at eye level.</li>	
<li>Frame side opposite the stand-offs is a level measuring surface and straight edge.</li>
<li>Vials are guaranteed for life never to fog, leak or require adjustment.</li>
<li>Certified accuracy in the top read position: 1/32&quot; over 72&quot;</li>
<li>Bent Levels Void Warranty</li><br>","<object>
	<embed src=&quot;http://www.youtube.com/v/15XQDDtqRsI?version=3&amp;rel=0&quot; type=&quot;application/x-shockwave-flash&quot; width=&quot;560&quot; height=&quot;349&quot; allowfullscreen=&quot;true&quot;>
	</embed>
</object>","","Stabila Plate Level 2 Type 106T","Plate Level 2 Type 106T",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"144|21842","Levels|Specialty Levels",11963,"Stabila 106TM",,"Magnetic Plate Level 2 Type 106TM","","Magnetic Plate Level 2 Type 106TM","Stabila Magnetic Plate Level 2 Type 106TM",/\S\t\Stabila-Magnetic-Plate-Level-2-Type.jpg,/\S\t\Stabila-Magnetic-Plate-Level-2-Type.jpg,http://www.48ws.com/images/product/S/t/Stabila-Magnetic-Plate-Level-2-Type.jpg,Stabila-Magnetic-Plate-Level-2-Type-106TM,Stabila-Magnetic-Plate-Level-2-Type-106TM,,No layout updates.,Block after Info Column,,"Magnetic Plate Level 2 Type 106TM","Magnetic Plate Level 2 Type 106TM",Use config,"http://www.stabila.com/main.taf?p=1,1,7,1",0,,,0,"Stabila",114,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Features</u></b><br><br>
<li>Strong re-enforced frame</li>
<li>Hands Free: Vertical, Horizontal, Overhead</li>
<li>Super strong magnets!</li>
<li>Fully sealed solid rail (six sided) extension eliminates deflection and delivers the smoothest extension movement available.</li>
<li>Top plumb vial is permanently positioned at eye level.</li>
<li>Frame side opposite the stand-offs is a level measuring surface and straight edge.</li>
<li>Vials are guaranteed for life never to fog, leak or require adjustment.</li>
<li>Certified accuracy in the top read position: 1/32&quot; over 72&quot;</li>
<li>Plate height dimensions marked on the rail</li>
<li>Bent Levels Void Warranty</li><br>","<object>
	<embed src=&quot;http://www.youtube.com/v/15XQDDtqRsI?version=3&amp;rel=0&quot; type=&quot;application/x-shockwave-flash&quot; width=&quot;560&quot; height=&quot;349&quot; allowfullscreen=&quot;true&quot;>
	</embed>
</object>","","Stabila Magnetic Plate Level 2 Type 106TM","Magnetic Plate Level 2 Type 106TM",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"144|21842","Levels|Specialty Levels",11964,"Stabila IP65",,"TECH Electronic Level Type IP65","","TECH Electronic Level Type IP65","Stabila TECH Electronic Level Type IP65",/\S\t\Stabila-TECH-Electronic-Level-Type.jpg,/\S\t\Stabila-TECH-Electronic-Level-Type.jpg,http://www.48ws.com/images/product/S/t/Stabila-TECH-Electronic-Level-Type.jpg,Stabila-TECH-Electronic-Level-Type-IP65,Stabila-TECH-Electronic-Level-Type-IP65,,No layout updates.,Block after Info Column,,"TECH Electronic Level Type IP65","TECH Electronic Level Type IP65",Use config,"http://www.stabila.com/main.taf?p=1,1,4,3",0,,,0,"Stabila",114,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Features</u></b><br><br>
<li>Washable electronics</li>
<li>Fast and accurate read</li>
<li>2 screen visibility with no loss of frame strength</li>
<li>Bent Levels Void Warranty</li>
<li>Electronics guaranteed for 2 years</li>	
<li>Electronic illuminates</li>
<li>5 mode reading (degrees in 1 or 2 decimal points , percent, feet & inches in decimal, Feet & inches in fractions, and mm/m)</li><br>","<object>
	<embed src=&quot;http://www.youtube.com/v/kc8qswXhoWs?version=3&amp;rel=0&quot; type=&quot;application/x-shockwave-flash&quot; width=&quot;560&quot; height=&quot;349&quot; allowfullscreen=&quot;true&quot;>
	</embed>
</object>","","Stabila TECH Electronic Level Type IP65","TECH Electronic Level Type IP65",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
