store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"24821","Demolition Robots",12658,"MB15EXS",,"Mounted Breaker","","Mounted Breaker","Stanley MB15EXS Mounted Breaker",/\M\B\Stanley-MB15EXS-Mounted.jpg,/\M\B\Stanley-MB15EXS-Mounted.jpg,http://www.48ws.com/images/product/M/B/Stanley-MB15EXS-Mounted.jpg,Stanley-MB15EXS-Mounted-Breaker,Stanley-MB15EXS-Mounted-Breaker,,No layout updates.,Block after Info Column,,"Mounted Breaker","Mounted Breaker",Use config,"http://www.stanleyhydraulic.com/Products/MB15EXSMountedBreaker/tabid/124/Default.aspx",0,,,0,"Stanley",163,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Stanley MB15EXS Mounted Breaker","<li><b>Two moving parts:</b> Better performance, significantly less service required</li><li>
<b>Enclosed Housing:</b> Eliminates damaging shocks to the carrier</li><li>
<b>Narrow Profile:</b> Better visibility for operator/Operator can work closer to the edge</li><li>
<b>Field Replaceable Bushing:</b> Easier field maintenance</li><li>
<b>Lower Oil Flow Range:</b> Reduces deterioration, increases efficiency</li><li>
<b>Light Weight:</b> User can select lighter weight, less expensive carrier, saves on fuel</li>","Stanley's New MB15EXS is designed for backhoes and excavators in the
14,000 - 26,000 lb range, the MB15EXS hits like a heavier breaker with one of the highest blow energy ratings in its class (see CIMA rating).<br></br>

The MB15EXS is a great option for rental or sales to contractors looking for increased breaker production. Weighing only 1100 pounds, the MB15EXS can be used on both tractor loader backhoes and mini excavators.","","Stanley MB15EXS Mounted Breaker","Mounted Breaker",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24821","Demolition Robots",12659,"MB256",,"Small Mounted Breaker","","Small Mounted Breaker","Stanley's &quot;6&quot; Series Mounted Breakers are designed for performance, reliability, long service life, and are backed with confidence by our industry leading warranty.",/\M\B\Stanley-MB256-Small-Mounted.png,/\M\B\Stanley-MB256-Small-Mounted.png,http://www.48ws.com/images/product/M/B/Stanley-MB256-Small-Mounted.png,Stanley-MB256-Small-Mounted-Breaker,Stanley-MB256-Small-Mounted-Breaker,,No layout updates.,Block after Info Column,,"Small Mounted Breaker","Small Mounted Breaker",Use config,"http://www.stanleyhydraulic.com/Products/SmallMountedBreakersMB156MB656/tabid/123/Default.aspx",0,,,0,"Stanley",163,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Stanley's &quot;6&quot; Series Mounted Breakers are designed for performance, reliability, long service life, and are backed with confidence by our industry leading warranty.","<li>Broad range of flows and pressures to fit a wide selection of carriers.
2 moving parts.</li><li>
Direct-acting nitrogen chamber.</li><li>
High temperature seals - only 3 come in contact with moving parts.</li><li>
Unique sleeving to align running parts protects critical and costly components.</li><li>
Superior valve design.</li><li>
Fully protected hardware.</li>","Features a stress and fatigue resistant 
body design. Fully protected sideplate 
hardware virtually eliminates bolt failures seen on competitive units with 
exposed hardware.","","Stanley MB256 Small Mounted Breaker","Small Mounted Breaker",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24821","Demolition Robots",12660,"MB656",,"Small Mounted Breaker","","Small Mounted Breaker","Stanley's &quot;6&quot; Series Mounted Breakers are designed for performance, reliability, long service life, and are backed with confidence by our industry leading warranty.",/\M\B\Stanley-MB656-Small-Mounted.png,/\M\B\Stanley-MB656-Small-Mounted.png,http://www.48ws.com/images/product/M/B/Stanley-MB656-Small-Mounted.png,Stanley-MB656-Small-Mounted-Breaker,Stanley-MB656-Small-Mounted-Breaker,,No layout updates.,Block after Info Column,,"Small Mounted Breaker","Small Mounted Breaker",Use config,"http://www.stanleyhydraulic.com/Products/SmallMountedBreakersMB156MB656/tabid/123/Default.aspx",0,,,0,"Stanley",163,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Stanley's &quot;6&quot; Series Mounted Breakers are designed for performance, reliability, long service life, and are backed with confidence by our industry leading warranty.","<li>Broad range of flows and pressures to fit a wide selection of carriers.
2 moving parts.</li><li>
Direct-acting nitrogen chamber.</li><li>
High temperature seals - only 3 come in contact with moving parts.</li><li>
Unique sleeving to align running parts protects critical and costly components.</li><li>
Superior valve design.</li><li>
Fully protected hardware.</li>","Features an anti-vibration design with 
the power-cell floated between upper
and lower bumpers,absorbing vibration away from the boom.Stress is 
absorbed in the lower body rather than 
the tie rod, prolonging tie rod life. A fully 
enclosed housing offers protection and 
quieter operation. A bolt-on mounting 
bracket is available to enable fast and 
easy installation and removal.","","Stanley MB656 Small Mounted Breaker","Small Mounted Breaker",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24821","Demolition Robots",12661,"MB30EXS",,"STEALTH Breaker","","STEALTH Breaker","Stanley's New Generation Stealth Breakers offer a range of choices to suit any customer need, deliver more production per dollar at the best price available, and provide the highest return on investment.",/\M\B\Stanley-MB30EXS-STEALTH.jpg,/\M\B\Stanley-MB30EXS-STEALTH.jpg,http://www.48ws.com/images/product/M/B/Stanley-MB30EXS-STEALTH.jpg,Stanley-MB30EXS-STEALTH-Breaker,Stanley-MB30EXS-STEALTH-Breaker,,No layout updates.,Block after Info Column,,"STEALTH Breaker","STEALTH Breaker",Use config,"http://www.stanleyhydraulic.com/Products/MB30EXS/tabid/125/Default.aspx",0,,,0,"Stanley",163,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Stanley's New Generation Stealth Breakers offer a range of choices to suit any customer need, deliver more production per dollar at the best price available, and provide the highest return on investment.","<li><b>Silenced.</b> Noise suppression features make the new Stanley breakers
some of the quietest on the market today.</li><li>
 <b>Trimmed.</b> Narrower profile allows the breaker to work closer to the
walls of a trench and give better visibility for the operator.</li><li>
 <b>Enclosed Housing.</b> The powercell is suspended between bumpers
eliminating damaging shocks transmitted to the carrier.</li><li>
 <b>Armored Lower End.</b> The housing is double strength at the lower
end of the breaker to fully protect the powercell.</li><li>
 <b>Lighter Weight.</b> New generation stealth breakers are lighter in
weight, allowing use of a lighter, less expensive carrier.</li><li>
 <b>Two Moving Parts.</b> Translates into less maintenance, better
performance, and significantly less service.</li><li>
 <b>Hard Hitting.</b> Stanley breakers, pound for pound, are the hardest
hitting breakers in their class.</li>","8 Different models to choose from.","","Stanley MB30EXS STEALTH Breaker","STEALTH Breaker",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24821","Demolition Robots",12662,"MB60EXS",,"STEALTH Breaker","","STEALTH Breaker","Stanley's New Generation Stealth Breakers offer a range of choices to suit any customer need, deliver more production per dollar at the best price available, and provide the highest return on investment.",/\M\B\Stanley-MB60EXS-STEALTH.jpg,/\M\B\Stanley-MB60EXS-STEALTH.jpg,http://www.48ws.com/images/product/M/B/Stanley-MB60EXS-STEALTH.jpg,Stanley-MB60EXS-STEALTH-Breaker,Stanley-MB60EXS-STEALTH-Breaker,,No layout updates.,Block after Info Column,,"STEALTH Breaker","STEALTH Breaker",Use config,"http://www.stanleyhydraulic.com/Products/MB30EXS/tabid/125/Default.aspx",0,,,0,"Stanley",163,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Stanley's New Generation Stealth Breakers offer a range of choices to suit any customer need, deliver more production per dollar at the best price available, and provide the highest return on investment.","<li><b>Silenced.</b> Noise suppression features make the new Stanley breakers
some of the quietest on the market today.</li><li>
 <b>Trimmed.</b> Narrower profile allows the breaker to work closer to the
walls of a trench and give better visibility for the operator.</li><li>
 <b>Enclosed Housing.</b> The powercell is suspended between bumpers
eliminating damaging shocks transmitted to the carrier.</li><li>
 <b>Armored Lower End.</b> The housing is double strength at the lower
end of the breaker to fully protect the powercell.</li><li>
 <b>Lighter Weight.</b> New generation stealth breakers are lighter in
weight, allowing use of a lighter, less expensive carrier.</li><li>
 <b>Two Moving Parts.</b> Translates into less maintenance, better
performance, and significantly less service.</li><li>
 <b>Hard Hitting.</b> Stanley breakers, pound for pound, are the hardest
hitting breakers in their class.</li>","8 different models to choose from.","","Stanley MB60EXS STEALTH Breaker","STEALTH Breaker",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21924","Screwdrivers",38151,"12514",,"Stanely 1/4&quot; x 6&quot; Slotted Screwdriver","","Stanely 1/4&quot; x 6&quot; Slotted Screwdriver","Fluted, standard blade and tip made of alloy steel nickel with hardened tips for slip-resistant fit; . Ergonomically handle for comfortable grip. ",/\1\2\12514-Orgill-14-x-6-Slotted.jpg,/\1\2\12514-Orgill-14-x-6-Slotted.jpg,http://www.48ws.com/images/product/1/2/12514-Orgill-14-x-6-Slotted.jpg,stanley-12514-,stanley-12514-,,No layout updates.,Block after Info Column,,"Stanely 1/4&quot; x 6&quot; Slotted Screwdriver","Stanely 1/4&quot; x 6&quot; Slotted Screwdriver",Use config,"",0,,,0,"Stanley",163,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Fluted, standard blade and tip made of alloy steel nickel with hardened tips for slip-resistant fit; . Ergonomically handle for comfortable grip. ","<li>Width: 10.2 in.</li>
<li>Height: 6.6 in.</li>
<li>Length: 13.3 in.</li>
<li>Weight: .02403 lbs.</li>","","","12514 Stanely 1/4&quot; x 6&quot; Slotted Screwdriver","Stanely 1/4&quot; x 6&quot; Slotted Screwdriver",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"20384","Key Stock",38516,"180158",,"1/8&quot; x 12&quot; Stock Square Key","Stock Square Keys - Stanley","1/8&quot; x 12&quot; Stock Square Key","",/\1\8\180158-Stanley-18-x-12-Stock-Square.jpg,/\1\8\180158-Stanley-18-x-12-Stock-Square.jpg,http://www.48ws.com/images/product/1/8/180158-Stanley-18-x-12-Stock-Square.jpg,180158-Stanley-18-x-12-Stock-Square-Key,180158-Stanley-18-x-12-Stock-Square-Key,,No layout updates.,Block after Info Column,,"1/8&quot; x 12&quot; Stock Square Key","1/8&quot; x 12&quot; Stock Square Key",Use config,"",0,,,0,"Stanley",163,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","","1/8&quot; x 12&quot; Stock Square Key","1/8&quot; x 12&quot; Stock Square Key",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"20384","Key Stock",38523,"180174",,"1/4&quot; x 12&quot; Stock Square Key","Stock Square Keys - Stanley","1/4&quot; x 12&quot; Stock Square Key","",/\1\8\180174-Stanley-14-x-12-Stock-Square.jpg,/\1\8\180174-Stanley-14-x-12-Stock-Square.jpg,http://www.48ws.com/images/product/1/8/180174-Stanley-14-x-12-Stock-Square.jpg,180174-Stanley-14-x-12-Stock-Square-Key,180174-Stanley-14-x-12-Stock-Square-Key,,No layout updates.,Block after Info Column,,"1/4&quot; x 12&quot; Stock Square Key","1/4&quot; x 12&quot; Stock Square Key",Use config,"",0,,,0,"Stanley",163,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","","1/4&quot; x 12&quot; Stock Square Key","1/4&quot; x 12&quot; Stock Square Key",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"20384","Key Stock",38525,"180190",,"3/8&quot; x 12&quot; Stock Square Key","Stock Square Keys - Stanley","3/8&quot; x 12&quot; Stock Square Key","",/\1\8\180190-Stanley-38-x-12-Stock-Square.jpg,/\1\8\180190-Stanley-38-x-12-Stock-Square.jpg,http://www.48ws.com/images/product/1/8/180190-Stanley-38-x-12-Stock-Square.jpg,180190-Stanley-38-x-12-Stock-Square-Key,180190-Stanley-38-x-12-Stock-Square-Key,,No layout updates.,Block after Info Column,,"3/8&quot; x 12&quot; Stock Square Key","3/8&quot; x 12&quot; Stock Square Key",Use config,"",0,,,0,"Stanley",163,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","","3/8&quot; x 12&quot; Stock Square Key","3/8&quot; x 12&quot; Stock Square Key",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"635|21720","Hand Saws|Hand Saws",38528,"15 726",,"26&quot; Hand Saw","","26&quot; Hand Saw","Handle is ultrasonically welded to blade with a square/mitre feature that has 45 and 90 degree angles for marking work piece and a comfort grip. Full length protective sleeve.",/\1\5\15-726-Stanley-26-Hand.jpg,/\1\5\15-726-Stanley-26-Hand.jpg,http://www.48ws.com/images/product/1/5/15-726-Stanley-26-Hand.jpg,15-726-Stanley-26-Hand-Saw,15-726-Stanley-26-Hand-Saw,,No layout updates.,Block after Info Column,,"26&quot; Hand Saw","26&quot; Hand Saw",Use config,"",0,,,0,"Stanley",163,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Handle is ultrasonically welded to blade with a square/mitre feature that has 45 and 90 degree angles for marking work piece and a comfort grip. Full length protective sleeve.","<li>CROSSCUT</li>
<li>WELDED HANDLE</li>
<li>Blade Lgth In=26</li>
<li>PPI=8</li>","","","15 726 Stanley 26&quot; Hand Saw","26&quot; Hand Saw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
