store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"423|21685","Drywall Tools|Drywall Specialty Tools",97061,"2311",,"Drywall Lfit","","Drywall Lfit","",/\2\3\Sumner-Manufacturing-Co-Inc-2311-Drywall.jpg,/\2\3\Sumner-Manufacturing-Co-Inc-2311-Drywall.jpg,http://www.48ws.com/images/product/2/3/Sumner-Manufacturing-Co-Inc-2311-Drywall.jpg,Sumner-Manufacturing-Co-Inc-2311-Drywall-Lfit,Sumner-Manufacturing-Co-Inc-2311-Drywall-Lfit,,No layout updates.,Block after Info Column,,"Drywall Lfit","Drywall Lfit",Use config,"http://www.sumner.com/sumner/sub/productb/galmodel.206.7.8.206.0.0.html",0,,,0,"Sumner Manufacturing Co. Inc.",658,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Solid, safe construction</li><li>
Lightweight - 99 lb (45 kg)</li><li>
Two speed winch handle</li><li>
Quick, tool-free assembly</li><li>
One person operation</li><li>
Tilts 65° for drywall installation</li><li>
Lifts loads of 150 lb (70 kg) up to 11' 6&quot; (3.5 m)</li>","","","Sumner Manufacturing Co. Inc. 2311 Drywall Lfit","Drywall Lfit",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21873","Pipe Stands and Vises",97063,"ST-601",,"Hi Adjust-A-Roll with Steel Wheels","","Hi Adjust-A-Roll with Steel Wheels","",/\S\T\Sumner-Manufacturing-Co-Inc-ST-601-Hi-Adjust-A-Roll-with.jpg,/\S\T\Sumner-Manufacturing-Co-Inc-ST-601-Hi-Adjust-A-Roll-with.jpg,http://www.48ws.com/images/product/S/T/Sumner-Manufacturing-Co-Inc-ST-601-Hi-Adjust-A-Roll-with.jpg,sumner-manufacturing-co-inc-ST-601-,sumner-manufacturing-co-inc-ST-601-,,No layout updates.,Block after Info Column,,"Hi Adjust-A-Roll with Steel Wheels","Hi Adjust-A-Roll with Steel Wheels",Use config,"http://www.sumner.com/sumner/sub/productb/galmodel.34.7.9.34.0.0.html",0,,,0,"Sumner Manufacturing Co. Inc.",658,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Hi Adjust-A-Roll stands 31&quot; (78 cm) high</li><li>
Roller adjustment from either side</li><li>
Fast adjustment for easy pipe positioning</li><li>
1/2&quot; to 36&quot; (12 – 900 mm), or 2,000 Lb (900 kg) pipe capacity</li><li>
Clean and simple design avoids welder interference</li><li>
Wheels trued for true pipe rotation</li><li>
Bronze bearing to eliminate arcing</li><li>
Brake to lock loads for layout or fit-up</li><li>
Handle large enough to work with gloved hand</li><li>
Replacement legs available for easy repair</li><li>
Weight: 34 lb</li>","","","Sumner Manufacturing Co. Inc. ST-601 Hi Adjust-A-Roll with Steel Wheels","Hi Adjust-A-Roll with Steel Wheels",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26720","Welding Cylinder Carts",164407,"782439",,"Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall","",/\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,/\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,http://www.48ws.com/images/product/7/8/Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,sumner-manufacturing-co-inc-782439-,sumner-manufacturing-co-inc-782439-,,No layout updates.,Block after Info Column,,"Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall",Use config,"http://www.sumner.com/sumner/sub/productb/galmodel.61.7.12.61.0.0.html",0,,,0,"Sumner Manufacturing Co. Inc.",658,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","The high rail feature secures tanks on to the cart while moving around job site situations. Full range cart holds one 244–330cu ft (9-1/4&quot;) oxygen tank and one 210–420 cu ft (13-1/2&quot;) acetylene tank. Equipped with 13 x 25&quot; (33 x 63 cm) base plate and a la","","","209-14SB-LF Cylinder Cart w/Firewall","Double Cylinder Carts with Lifting Eye and/or Fire Wall",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26720","Welding Cylinder Carts",164408,"782441",,"Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall","",/\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,/\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,http://www.48ws.com/images/product/7/8/Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,sumner-manufacturing-co-inc-782441-,sumner-manufacturing-co-inc-782441-,,No layout updates.,Block after Info Column,,"Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall",Use config,"http://www.sumner.com/sumner/sub/productb/galmodel.61.7.12.61.0.0.html",0,,,0,"Sumner Manufacturing Co. Inc.",658,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","The high rail feature secures tanks on to the cart while moving around job site situations. Full range cart holds one 244–330cu ft (9-1/4&quot;) oxygen tank and one 210–420 cu ft (13-1/2&quot;) acetylene tank. Equipped with 13 x 25&quot; (33 x 63 cm) base plate and a la","","","209-14SB-L Cylinder Cart w/Divider","Double Cylinder Carts with Lifting Eye and/or Fire Wall",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26720","Welding Cylinder Carts",164409,"782443",,"Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall","",/\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,/\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,http://www.48ws.com/images/product/7/8/Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,sumner-manufacturing-co-inc-782443-,sumner-manufacturing-co-inc-782443-,,No layout updates.,Block after Info Column,,"Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall",Use config,"http://www.sumner.com/sumner/sub/productb/galmodel.61.7.12.61.0.0.html",0,,,0,"Sumner Manufacturing Co. Inc.",658,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","The high rail feature secures tanks on to the cart while moving around job site situations. Full range cart holds one 244–330cu ft (9-1/4&quot;) oxygen tank and one 210–420 cu ft (13-1/2&quot;) acetylene tank. Equipped with 13 x 25&quot; (33 x 63 cm) base plate and a la","","","209-16PB-LF Cylinder Cart w/Firewall","Double Cylinder Carts with Lifting Eye and/or Fire Wall",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26720","Welding Cylinder Carts",164410,"782444",,"Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall","",/\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,/\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,http://www.48ws.com/images/product/7/8/Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,sumner-manufacturing-co-inc-782444-,sumner-manufacturing-co-inc-782444-,,No layout updates.,Block after Info Column,,"Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall",Use config,"http://www.sumner.com/sumner/sub/productb/galmodel.61.7.12.61.0.0.html",0,,,0,"Sumner Manufacturing Co. Inc.",658,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","The high rail feature secures tanks on to the cart while moving around job site situations. Full range cart holds one 244–330cu ft (9-1/4&quot;) oxygen tank and one 210–420 cu ft (13-1/2&quot;) acetylene tank. Equipped with 13 x 25&quot; (33 x 63 cm) base plate and a la","","","209-16FB-LF Cylinder Cart w/Firewall","Double Cylinder Carts with Lifting Eye and/or Fire Wall",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26720","Welding Cylinder Carts",164411,"782476",,"Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall","",/\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,/\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,http://www.48ws.com/images/product/7/8/Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,sumner-manufacturing-co-inc-782476-,sumner-manufacturing-co-inc-782476-,,No layout updates.,Block after Info Column,,"Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall",Use config,"http://www.sumner.com/sumner/sub/productb/galmodel.61.7.12.61.0.0.html",0,,,0,"Sumner Manufacturing Co. Inc.",658,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","The high rail feature secures tanks on to the cart while moving around job site situations. Full range cart holds one 244–330cu ft (9-1/4&quot;) oxygen tank and one 210–420 cu ft (13-1/2&quot;) acetylene tank. Equipped with 13 x 25&quot; (33 x 63 cm) base plate and a la","","","213-25WB-LF Cylinder Cart w/Firewall","Double Cylinder Carts with Lifting Eye and/or Fire Wall",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26720","Welding Cylinder Carts",164412,"782491",,"Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall","",/\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,/\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,http://www.48ws.com/images/product/7/8/Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,sumner-manufacturing-co-inc-782491-,sumner-manufacturing-co-inc-782491-,,No layout updates.,Block after Info Column,,"Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall",Use config,"http://www.sumner.com/sumner/sub/productb/galmodel.61.7.12.61.0.0.html",0,,,0,"Sumner Manufacturing Co. Inc.",658,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","The high rail feature secures tanks on to the cart while moving around job site situations. Full range cart holds one 244–330cu ft (9-1/4&quot;) oxygen tank and one 210–420 cu ft (13-1/2&quot;) acetylene tank. Equipped with 13 x 25&quot; (33 x 63 cm) base plate and a la","","","213-14SB-LF Cylinder Cart w/Firewall","Double Cylinder Carts with Lifting Eye and/or Fire Wall",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26720","Welding Cylinder Carts",164413,"782493",,"Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall","",/\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,/\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,http://www.48ws.com/images/product/7/8/Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,sumner-manufacturing-co-inc-782493-,sumner-manufacturing-co-inc-782493-,,No layout updates.,Block after Info Column,,"Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall",Use config,"http://www.sumner.com/sumner/sub/productb/galmodel.61.7.12.61.0.0.html",0,,,0,"Sumner Manufacturing Co. Inc.",658,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","The high rail feature secures tanks on to the cart while moving around job site situations. Full range cart holds one 244–330cu ft (9-1/4&quot;) oxygen tank and one 210–420 cu ft (13-1/2&quot;) acetylene tank. Equipped with 13 x 25&quot; (33 x 63 cm) base plate and a la","","","213-14SB-L Cylinder Cart w/Divider","Double Cylinder Carts with Lifting Eye and/or Fire Wall",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26720","Welding Cylinder Carts",164414,"782495",,"Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall","",/\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,/\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,http://www.48ws.com/images/product/7/8/Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,sumner-manufacturing-co-inc-782495-,sumner-manufacturing-co-inc-782495-,,No layout updates.,Block after Info Column,,"Double Cylinder Carts with Lifting Eye and/or Fire Wall","Double Cylinder Carts with Lifting Eye and/or Fire Wall",Use config,"http://www.sumner.com/sumner/sub/productb/galmodel.61.7.12.61.0.0.html",0,,,0,"Sumner Manufacturing Co. Inc.",658,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","The high rail feature secures tanks on to the cart while moving around job site situations. Full range cart holds one 244–330cu ft (9-1/4&quot;) oxygen tank and one 210–420 cu ft (13-1/2&quot;) acetylene tank. Equipped with 13 x 25&quot; (33 x 63 cm) base plate and a la","","","213-16PB-LF Cylinder Cart w/Firewall","Double Cylinder Carts with Lifting Eye and/or Fire Wall",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
