store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"21324","Axial Fans",457077,"HF686TC ",,"FAN FORCED PORTABLE HEATER BULLDOG 19000/14000 BTU ","FAN FORCED PORTABLE HEATER BULLDOG 19000/14000 BTU ","FAN FORCED PORTABLE HEATER BULLDOG 19000/14000 BTU ","",/\H\F\tpi-corporation-hf686tc-fan-forced-portable-heater-bulldog-1900014000-btu.jpg,/\H\F\tpi-corporation-hf686tc-fan-forced-portable-heater-bulldog-1900014000-btu.jpg,http://www.48ws.com/images/product/H/F/tpi-corporation-hf686tc-fan-forced-portable-heater-bulldog-1900014000-btu.jpg,tpi-corporation-HF686TC-fan-forced-portable-heater-bulldog-1900014000-btu,tpi-corporation-HF686TC-fan-forced-portable-heater-bulldog-1900014000-btu,,No layout updates.,Block after Info Column,,"FAN FORCED PORTABLE HEATER BULLDOG 19000/14000 BTU ","FAN FORCED PORTABLE HEATER BULLDOG 19000/14000 BTU ",Use config,"",0,,,0,"TPI Corporation",1488,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Forced air fan distributes and circulates heat with temperature rise to 75 degrees F<br><li>Finned tubular steel heating element helps draw air flow and discharge heat<br><li>Steel housing with handle for portability and swivel base for mounting to wall, floor, or ceiling<br><li>Includes a thermostat for adjustable temperature control from 35 to 85 degrees F<br><li>Single-phase wiring operates on 240V or 208V circuit","","","","FAN FORCED PORTABLE HEATER BULLDOG 19000/14000 BTU ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21330","Floor and Table Fans",457078,"CACU-30P",,"30&quot; FLOOR MOUNT FAN","30&quot; FLOOR MOUNT FAN","30&quot; FLOOR MOUNT FAN","",/\C\A\tpi-corporation-cacu-30p-30-floor-mount-fan.jpg,/\C\A\tpi-corporation-cacu-30p-30-floor-mount-fan.jpg,http://www.48ws.com/images/product/C/A/tpi-corporation-cacu-30p-30-floor-mount-fan.jpg,tpi-corporation-CACU-30P-30-floor-mount-fan,tpi-corporation-CACU-30P-30-floor-mount-fan,,No layout updates.,Block after Info Column,,"30&quot; FLOOR MOUNT FAN","30&quot; FLOOR MOUNT FAN",Use config,"",0,,,0,"TPI Corporation",1488,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Meets OSHA standards.<br><li>1 year limited manufacturer warranty.<br><li>2 speed.<br><li>Voltage: 120V<br><li>Phase: 1","","","","30&quot; FLOOR MOUNT FAN",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21330","Floor and Table Fans",457079,"F-18-TE",,"18&quot; INDUSTRIAL FLOOR FAN - METAL CAGE 1/8 HP, 3-SPEED, 120V","18&quot; INDUSTRIAL FLOOR FAN - METAL CAGE 1/8 HP, 3-SPEED, 120V","18&quot; INDUSTRIAL FLOOR FAN - METAL CAGE 1/8 HP, 3-SPEED, 120V","",/\F\1\tpi-corporation-f-18-te-18-industrial-floor-fan-metal-cage-18-hp-3-speed-120v.jpg,/\F\1\tpi-corporation-f-18-te-18-industrial-floor-fan-metal-cage-18-hp-3-speed-120v.jpg,http://www.48ws.com/images/product/F/1/tpi-corporation-f-18-te-18-industrial-floor-fan-metal-cage-18-hp-3-speed-120v.jpg,tpi-corporation-F-18-TE-18-industrial-floor-fan-metal-cage-18-hp-3-speed-120v,tpi-corporation-F-18-TE-18-industrial-floor-fan-metal-cage-18-hp-3-speed-120v,,No layout updates.,Block after Info Column,,"18&quot; INDUSTRIAL FLOOR FAN - METAL CAGE 1/8 HP, 3-SPEED, 120V","18&quot; INDUSTRIAL FLOOR FAN - METAL CAGE 1/8 HP, 3-SPEED, 120V",Use config,"",0,,,0,"TPI Corporation",1488,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Floor-mount 3-speed workstation fan for precise direction of air flow<br><li>1.5 amp, 120 volt, single phase, 1/8 horsepower, permanently lubricated, totally closed sleeve bearing motor<br><li>Three speed settings for airflow rates up to 4,600 cubic feet per minute (CFM)<br><li>Three aluminum paddle blades protected by powder-coated steel wire guards<br><li>10 foot SJT type three-conductor cord with a three-prong plug for connecting to grounded electric outlets","","6.86E+11","","18&quot; INDUSTRIAL FLOOR FAN - METAL CAGE 1/8 HP, 3-SPEED, 120V",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21330","Floor and Table Fans",457080,"HDH-30",,"30&quot; FAN HEAD HEAVY DUTY, YELLOW 1/2HP 2 SPEED","30&quot; FAN HEAD HEAVY DUTY, YELLOW 1/2HP 2 SPEED","30&quot; FAN HEAD HEAVY DUTY, YELLOW 1/2HP 2 SPEED","",/\H\D\tpi-corporation-hdh-30-30-fan-head-heavy-duty-yellow-12hp-2-speed.jpg,/\H\D\tpi-corporation-hdh-30-30-fan-head-heavy-duty-yellow-12hp-2-speed.jpg,http://www.48ws.com/images/product/H/D/tpi-corporation-hdh-30-30-fan-head-heavy-duty-yellow-12hp-2-speed.jpg,tpi-corporation-HDH-30-30-fan-head-heavy-duty-yellow-12hp-2-speed,tpi-corporation-HDH-30-30-fan-head-heavy-duty-yellow-12hp-2-speed,,No layout updates.,Block after Info Column,,"30&quot; FAN HEAD HEAVY DUTY, YELLOW 1/2HP 2 SPEED","30&quot; FAN HEAD HEAVY DUTY, YELLOW 1/2HP 2 SPEED",Use config,"",0,,,0,"TPI Corporation",1488,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","2-speed circulator fan head for use with any TPI industrial mount (not included)<br><li>4 amp, 120V, single phase, 1/2 hp, permanently lubricated, totally enclosed ball bearing motor with permanent split capacitor<br><li>Two speed settings for airflow rates up to 9,850 cubic feet per minute (CFM)<br><li>Four aluminum paddle blades attached to a steel hub and spider assembly for durability<br><li>12' SJT type three-conductor cord with a three-prong plug for connecting to grounded electric outlets","","","","30&quot; FAN HEAD HEAVY DUTY, YELLOW 1/2HP 2 SPEED",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21595","Direct Drive Tubeaxial Fans",457081,"CPB36D ",,"36&quot; COMMEERCIAL DIRECT DRIVE FAN 1/3 HP 2-SPEED","36&quot; COMMEERCIAL DIRECT DRIVE FAN 1/3 HP 2-SPEED","36&quot; COMMEERCIAL DIRECT DRIVE FAN 1/3 HP 2-SPEED","",/\C\P\tpi-corporation-cpb36d-36-commeercial-direct-drive-fan-13-hp-2-speed.jpg,/\C\P\tpi-corporation-cpb36d-36-commeercial-direct-drive-fan-13-hp-2-speed.jpg,http://www.48ws.com/images/product/C/P/tpi-corporation-cpb36d-36-commeercial-direct-drive-fan-13-hp-2-speed.jpg,tpi-corporation-CPB36D-36-commeercial-direct-drive-fan-13-hp-2-speed,tpi-corporation-CPB36D-36-commeercial-direct-drive-fan-13-hp-2-speed,,No layout updates.,Block after Info Column,,"36&quot; COMMEERCIAL DIRECT DRIVE FAN 1/3 HP 2-SPEED","36&quot; COMMEERCIAL DIRECT DRIVE FAN 1/3 HP 2-SPEED",Use config,"",0,,,0,"TPI Corporation",1488,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Permanently lubricated motor<br><li>Rubber wheels for easy manuverability","","","","36&quot; COMMEERCIAL DIRECT DRIVE FAN 1/3 HP 2-SPEED",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21595","Direct Drive Tubeaxial Fans",457082,"CPBS30D",,"30&quot; DIRECT DRIVE 2 SPEED 1/3 HP FAN WITH COMMERCIAL CIRCULATOR SWIVEL BASE ","30&quot; DIRECT DRIVE 2 SPEED 1/3 HP FAN WITH COMMERCIAL CIRCULATOR SWIVEL BASE ","30&quot; DIRECT DRIVE 2 SPEED 1/3 HP FAN WITH COMMERCIAL CIRCULATOR SWIVEL BASE ","",/\C\P\tpi-corporation-cpbs30d-30-direct-drive-2-speed-13-hp-fan-with-commercial-circulator-swivel-base.jpg,/\C\P\tpi-corporation-cpbs30d-30-direct-drive-2-speed-13-hp-fan-with-commercial-circulator-swivel-base.jpg,http://www.48ws.com/images/product/C/P/tpi-corporation-cpbs30d-30-direct-drive-2-speed-13-hp-fan-with-commercial-circulator-swivel-base.jpg,tpi-corporation-CPBS30D-30-direct-drive-2-speed-13-hp-fan-with-commercial-circulator-swivel-base,tpi-corporation-CPBS30D-30-direct-drive-2-speed-13-hp-fan-with-commercial-circulator-swivel-base,,No layout updates.,Block after Info Column,,"30&quot; DIRECT DRIVE 2 SPEED 1/3 HP FAN WITH COMMERCIAL CIRCULATOR SWIVEL BASE ","30&quot; DIRECT DRIVE 2 SPEED 1/3 HP FAN WITH COMMERCIAL CIRCULATOR SWIVEL BASE ",Use config,"",0,,,0,"TPI Corporation",1488,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Permanently lubricated ball bearing motor<br><li>Swivel stand<br><li>20-gauge steel housing<br><li>Spiral wire front and rear guards and aluminum blade<br><li>Rolls on 5in rubber wheels","","","","30&quot; DIRECT DRIVE 2 SPEED 1/3 HP FAN WITH COMMERCIAL CIRCULATOR SWIVEL BASE ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21324","Axial Fans",457992,"ICH-240C",,"240V FAN FORCED UTILITY HEATER/450874","","240V FAN FORCED UTILITY HEATER/450874","",/\I\C\tpi-corporation-ich-240c-240v-fan-forced-utility-heater450874.jpg,/\I\C\tpi-corporation-ich-240c-240v-fan-forced-utility-heater450874.jpg,http://www.48ws.com/images/product/I/C/tpi-corporation-ich-240c-240v-fan-forced-utility-heater450874.jpg,tpi-corporation-ICH-240C-240v-fan-forced-utility-heater450874,tpi-corporation-ICH-240C-240v-fan-forced-utility-heater450874,,No layout updates.,Block after Info Column,,"240V FAN FORCED UTILITY HEATER/450874","240V FAN FORCED UTILITY HEATER/450874",Use config,"",0,,,0,"TPI Corporation",1488,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","(1) Heater Finned steel tubular heating element. Internal overheat thermostat. Temperature control thermostat. Phase: Single.","","","","240V FAN FORCED UTILITY HEATER/450874",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28324","Rental Heaters",460032,"198TMC",,"ELECTRIC HEATER 5000 BTU 1500 WATTS 6110571","","ELECTRIC HEATER 5000 BTU 1500 WATTS 6110571","",/\1\9\tpi-corporation-198tmc-electric-heater-5000-btu-1500-watts-6110571.jpg,/\1\9\tpi-corporation-198tmc-electric-heater-5000-btu-1500-watts-6110571.jpg,http://www.48ws.com/images/product/1/9/tpi-corporation-198tmc-electric-heater-5000-btu-1500-watts-6110571.jpg,tpi-corporation-198TMC-electric-heater-5000-btu-1500-watts-6110571,tpi-corporation-198TMC-electric-heater-5000-btu-1500-watts-6110571,,No layout updates.,Block after Info Column,,"ELECTRIC HEATER 5000 BTU 1500 WATTS 6110571","ELECTRIC HEATER 5000 BTU 1500 WATTS 6110571",Use config,"",0,,,0,"TPI Corporation",1488,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Combination radiant and forced air fan heater can be used separately or together
Steel enclosure with handle for portability
Includes a thermostat for adjustable temperature control
Manual reset for overheat protection and tip-over switch for safety
120V wiring is compatible with most standard circuits","","","","ELECTRIC HEATER 5000 BTU 1500 WATTS 6110571",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21368","Electric Process Heaters and Accessories",629892,"170-TS",,"TPI 170-TS 450881 CONFINED SPACE RADIANT HEAT PANEL 120V 170WATTS","","TPI 170-TS 450881 CONFINED SPACE RADIANT HEAT PANEL 120V 170WATTS","",/\1\7\tpi-corporation-170-ts-tpi-170-ts-450881-confined-space-radiant-heat-panel-120v-170watts.jpg,/\1\7\tpi-corporation-170-ts-tpi-170-ts-450881-confined-space-radiant-heat-panel-120v-170watts.jpg,http://www.48ws.com/images/product/1/7/tpi-corporation-170-ts-tpi-170-ts-450881-confined-space-radiant-heat-panel-120v-170watts.jpg,tpi-corporation-170-TS-tpi-170-ts-450881-confined-space-radiant-heat-panel-120v-170watts,tpi-corporation-170-TS-tpi-170-ts-450881-confined-space-radiant-heat-panel-120v-170watts,,No layout updates.,Block after Info Column,,"TPI 170-TS 450881 CONFINED SPACE RADIANT HEAT PANEL 120V 170WATTS","TPI 170-TS 450881 CONFINED SPACE RADIANT HEAT PANEL 120V 170WATTS",Use config,"https://www.tpicorp.com/",0,,,0,"TPI Corporation",1488,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","PI 170-TS 450881 CONFINED SPACE RADIANT HEAT PANEL 120V 170WATTS","68633445088","","TPI 170-TS 450881 CONFINED SPACE RADIANT HEAT PANEL 120V 170WATTS",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21368","Electric Process Heaters and Accessories",629893,"178-TMC",,"TPI 178-TMC 445931 CERAMIC FAN FORCED HEATER 850/1500 WATTS 5120 MAX B","","TPI 178-TMC 445931 CERAMIC FAN FORCED HEATER 850/1500 WATTS 5120 MAX B","",/\1\7\tpi-corporation-178-tmc-tpi-178-tmc-445931-ceramic-fan-forced-heater-8501500-watts-5120-max-b.jpg,/\1\7\tpi-corporation-178-tmc-tpi-178-tmc-445931-ceramic-fan-forced-heater-8501500-watts-5120-max-b.jpg,http://www.48ws.com/images/product/1/7/tpi-corporation-178-tmc-tpi-178-tmc-445931-ceramic-fan-forced-heater-8501500-watts-5120-max-b.jpg,tpi-corporation-178-TMC-tpi-178-tmc-445931-ceramic-fan-forced-heater-8501500-watts-5120-max-b,tpi-corporation-178-TMC-tpi-178-tmc-445931-ceramic-fan-forced-heater-8501500-watts-5120-max-b,,No layout updates.,Block after Info Column,,"TPI 178-TMC 445931 CERAMIC FAN FORCED HEATER 850/1500 WATTS 5120 MAX B","TPI 178-TMC 445931 CERAMIC FAN FORCED HEATER 850/1500 WATTS 5120 MAX B",Use config,"https://www.tpicorp.com/",0,,,0,"TPI Corporation",1488,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","TPI 178-TMC 445931 CERAMIC FAN FORCED HEATER 850/1500 WATTS 5120 MAX BTU 120V","68633444593","","TPI 178-TMC 445931 CERAMIC FAN FORCED HEATER 850/1500 WATTS 5120 MAX B",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
