store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"21674","Knives",297877,"55-3030-1",,"Pipeknife Utility Cutter","","Pipeknife Utility Cutter","",/\5\5\the-pipe-knife-company-55-3030-1-pipeknife-utility-cutter.jpg,/\5\5\the-pipe-knife-company-55-3030-1-pipeknife-utility-cutter.jpg,http://www.48ws.com/images/product/5/5/the-pipe-knife-company-55-3030-1-pipeknife-utility-cutter.jpg,the-pipe-knife-company-55-3030-1-pipeknife-utility-cutter,the-pipe-knife-company-55-3030-1-pipeknife-utility-cutter,,No layout updates.,Block after Info Column,,"Pipeknife Utility Cutter","Pipeknife Utility Cutter",Use config,"http://pipeknifecaulktools.com/index.php?route=product/product&path=20&product_id=50",0,,,0,"The Pipe Knife Company",1319,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Pipeknife Utility Cutter","Other uses for the long handled PipeKnife® utility tool include:<br><li>Masonry work</li><br>
<li>Insulation cutting and installing (keeps hands clear of insulation)</li><br>
<li>EIFS applications</li><br>
<li>Log home chinking maintenance</li><br>
<li>Cactus and succulent trimming (Agaves)</li><br>
<li>Farm and ranch cleaning (feeder beaters)</li><br>
<li>Carpet installation</li><br>
<li>Roofing</li><br>
<li>Many other typical utility knife uses</li>
<br>Look for PAT NO 300600 or PIPEKNIFE® on your tool to verify authenticity!!","The PipeKnife® sealant cutout tools were invented by autoglass technicians to cut the urethane used to seal the windshield to the frame of the car. The design was specifically created to reach between the dash and windshield and provide extra reach and power to make the cut. The long-handled utility knife design also has room for extra blade storage in the barrel end of the knife.

The PipeKnife® was the original cutout tool, or long knife, commercialized for the AGR industry. It was invented and patented in 1987 and has proven to be the most popular sealant cutout tool in the autoglass replacement industry. The Original PipeKnife® is 14” in length and the 18” long PipeKnife®-XL is the most recent addition to the popular PipeKnife product line. Both PipeKnife® tools use standard 2-notch utility blades or will also hold the special serrated PipeKnife® blade (listed in accessories) or other long-length utility blades.

The PipeKnife® sealant cutout tools are also used extensively by caulking, waterproofing and concrete contractors to cut and remove sealant and caulk during flat glass window installs, concrete tilt-up joint and crack maintenance, and during building restoration work.","","Pipeknife Utility Cutter","Pipeknife Utility Cutter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21674","Knives",297878,"55-3030-3",,"24&quot; Steel Pipeknife Utility  Cutter","","24&quot; Steel Pipeknife Utility  Cutter","",/\5\5\the-pipe-knife-company-55-3030-3-24-steel-pipeknife-utility-cutter.jpg,/\5\5\the-pipe-knife-company-55-3030-3-24-steel-pipeknife-utility-cutter.jpg,http://www.48ws.com/images/product/5/5/the-pipe-knife-company-55-3030-3-24-steel-pipeknife-utility-cutter.jpg,the-pipe-knife-company-55-3030-3-24-steel-pipeknife-utility-cutter,the-pipe-knife-company-55-3030-3-24-steel-pipeknife-utility-cutter,,No layout updates.,Block after Info Column,,"24&quot; Steel Pipeknife Utility  Cutter","24&quot; Steel Pipeknife Utility  Cutter",Use config,"http://pipeknifecaulktools.com/index.php?route=product/product&path=25&product_id=52",0,,,0,"The Pipe Knife Company",1319,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"24&quot; Steel Pipeknife Utility  Cutter","<br><li>Cutting urethane for easy windshield removal</li><br>
<li>Removing caulk and sealant from expansion joints and window cutouts</li><br>
<li>Cutting fiberglass</li><br>
<li>General contractor uses</li>
","Complete line of long knives for the Auto Glass and Flat Glass Replacement technician.

The PipeKnife® Company offers a variety of flat long knives to cut urethane. The 9&quot;, 14&quot;, 18&quot; and 24&quot; flat long knives provide the technician with a product to meet every need when cutting urethane. Constructed from high-strength anodized aluminum or the new steel model, PipeKnife® flat long knives incorporate a stainless steel nut and screw to reduce stripped threads and improve the life of the long knives.","","24&quot; Steel Pipeknife Utility  Cutter","24&quot; Steel Pipeknife Utility  Cutter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"20634","Interior Automotive Accessories",467574,"1&quot; Cobra Replacement Blades",,"1&quot; Cobra Replacement Blades","","1&quot; Cobra Replacement Blades","",/\1\-\the-pipe-knife-company-1-cobra-replacement-blades-1-cobra-replacement-blades.jpg,/\1\-\the-pipe-knife-company-1-cobra-replacement-blades-1-cobra-replacement-blades.jpg,http://www.48ws.com/images/product/1/-/the-pipe-knife-company-1-cobra-replacement-blades-1-cobra-replacement-blades.jpg,the-pipe-knife-company-1-Cobra-Replacement-Blades-,the-pipe-knife-company-1-Cobra-Replacement-Blades-,,No layout updates.,Block after Info Column,,"1&quot; Cobra Replacement Blades","1&quot; Cobra Replacement Blades",Use config,"",0,,,0,"The Pipe Knife Company",1319,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>
			1&quot; Blade Length.</li>
		<li>
			3/4&quot; Shank fits all Cold Knives.</li>
		<li>
			Includes box of 6 blades.</li>","","","","1&quot; Cobra Replacement Blades",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"20634","Interior Automotive Accessories",467575,"Original Pipeknife",,"Original Pipeknife","","Original Pipeknife","",/\O\r\the-pipe-knife-company-original-pipeknife-original-pipeknife.jpg,/\O\r\the-pipe-knife-company-original-pipeknife-original-pipeknife.jpg,http://www.48ws.com/images/product/O/r/the-pipe-knife-company-original-pipeknife-original-pipeknife.jpg,the-pipe-knife-company-Original-Pipeknife-,the-pipe-knife-company-Original-Pipeknife-,,No layout updates.,Block after Info Column,,"Original Pipeknife","Original Pipeknife",Use config,"",0,,,0,"The Pipe Knife Company",1319,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","The PipeKnife sealant cutout tools are also used extensively by caulking, waterproofing and concrete contractors to cut and remove sealant and caulk during flat glass window installs, concrete tilt-up joint and crack maintenance, and during building restoration work.","","","","Original Pipeknife",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"20634","Interior Automotive Accessories",467576,"4 1/2&quot; Long Knife Straight Blade",,"4 1/2&quot; Long Knife Straight Blade","","4 1/2&quot; Long Knife Straight Blade","",/\4\-\the-pipe-knife-company-4-12-long-knife-straight-blade-4-12-long-knife-straight-blade.jpg,/\4\-\the-pipe-knife-company-4-12-long-knife-straight-blade-4-12-long-knife-straight-blade.jpg,http://www.48ws.com/images/product/4/-/the-pipe-knife-company-4-12-long-knife-straight-blade-4-12-long-knife-straight-blade.jpg,the-pipe-knife-company-4-1-2-Long-Knife-Straight-Blade-,the-pipe-knife-company-4-1-2-Long-Knife-Straight-Blade-,,No layout updates.,Block after Info Column,,"4 1/2&quot; Long Knife Straight Blade","4 1/2&quot; Long Knife Straight Blade",Use config,"",0,,,0,"The Pipe Knife Company",1319,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Made from high carbon steel, Reid Long Knife Blades last longer, cut faster, and work in tight spots better than average utility blades.","","","","4 1/2&quot; Long Knife Straight Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"20634","Interior Automotive Accessories",467577,"3/4&quot; Carbon Steel Blades",,"3/4&quot; Carbon Steel Blades","","3/4&quot; Carbon Steel Blades","",/\3\4\the-pipe-knife-company-34-carbon-steel-blades-34-carbon-steel-blades.jpg,/\3\4\the-pipe-knife-company-34-carbon-steel-blades-34-carbon-steel-blades.jpg,http://www.48ws.com/images/product/3/4/the-pipe-knife-company-34-carbon-steel-blades-34-carbon-steel-blades.jpg,the-pipe-knife-company-3-4-Carbon-Steel-Blades-,the-pipe-knife-company-3-4-Carbon-Steel-Blades-,,No layout updates.,Block after Info Column,,"3/4&quot; Carbon Steel Blades","3/4&quot; Carbon Steel Blades",Use config,"",0,,,0,"The Pipe Knife Company",1319,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>
			3/4&quot; Blade Length.</li>
		<li>
			3/4&quot; Shank fits all Cold Knives.</li>
		<li>
			Price shown is for a box of 6 blades</li>","","","","3/4&quot; Carbon Steel Blades",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"20634","Interior Automotive Accessories",467578,"T Slot Blades",,"T Slot Blades","","T Slot Blades","",/\T\-\the-pipe-knife-company-t-slot-blades-t-slot-blades.jpg,/\T\-\the-pipe-knife-company-t-slot-blades-t-slot-blades.jpg,http://www.48ws.com/images/product/T/-/the-pipe-knife-company-t-slot-blades-t-slot-blades.jpg,the-pipe-knife-company-T-Slot-Blades-,the-pipe-knife-company-T-Slot-Blades-,,No layout updates.,Block after Info Column,,"T Slot Blades","T Slot Blades",Use config,"",0,,,0,"The Pipe Knife Company",1319,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","We stock many types of standard and specialty blades. They are interchangeable and can be used in all cutout knives. Blades include the Heavy-Duty angled serrated blade that can be resharpened, long serrated and heavy-duty utility blades that can reach into deep cracks and crevices, and the standard heavy-duty blade which comes in a very handy dispenser package of 10 blades.","","","","T Slot Blades",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"20634","Interior Automotive Accessories",467579,"1 1/2&quot; Extended Shank Replacement Blades",,"1 1/2&quot; Extended Shank Replacement Blades","","1 1/2&quot; Extended Shank Replacement Blades","",/\1\-\the-pipe-knife-company-1-12-extended-shank-replacement-blades-1-12-extended-shank-replacement-blades.jpg,/\1\-\the-pipe-knife-company-1-12-extended-shank-replacement-blades-1-12-extended-shank-replacement-blades.jpg,http://www.48ws.com/images/product/1/-/the-pipe-knife-company-1-12-extended-shank-replacement-blades-1-12-extended-shank-replacement-blades.jpg,the-pipe-knife-company-1-1-2-Extended-Shank-Replacement-Blades-,the-pipe-knife-company-1-1-2-Extended-Shank-Replacement-Blades-,,No layout updates.,Block after Info Column,,"1 1/2&quot; Extended Shank Replacement Blades","1 1/2&quot; Extended Shank Replacement Blades",Use config,"",0,,,0,"The Pipe Knife Company",1319,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>
			1 1/2&quot; Blade Length.</li>
		<li>
			3/4&quot; Shank fits all Cold Knives.</li>
		<li>
			Includes box of 6 blades</li>","","","","1 1/2&quot; Extended Shank Replacement Blades",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21674","Knives",467580,"9&quot; Deluxe Long Knife",,"9&quot; Deluxe Long Knife","","9&quot; Deluxe Long Knife","",/\9\-\the-pipe-knife-company-9-deluxe-long-knife-9-deluxe-long-knife.jpg,/\9\-\the-pipe-knife-company-9-deluxe-long-knife-9-deluxe-long-knife.jpg,http://www.48ws.com/images/product/9/-/the-pipe-knife-company-9-deluxe-long-knife-9-deluxe-long-knife.jpg,the-pipe-knife-company-9-Deluxe-Long-Knife-9-deluxe-long-knife,the-pipe-knife-company-9-Deluxe-Long-Knife-9-deluxe-long-knife,,No layout updates.,Block after Info Column,,"9&quot; Deluxe Long Knife","9&quot; Deluxe Long Knife",Use config,"",0,,,0,"The Pipe Knife Company",1319,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>
			Built from solid, lightweight aluminum.</li>
		<li>
			Powdercoated for added durability and to prevent damage to automobiles.</li>
		<li>
			Deluxe models have hardwood handles, providing a comfortable grip and greater durability.</li>
		<li>
			The steel fastener holds blades tight with a #2 Phillips thumb screw, making blades changes quick and easy.</li>
		<li>
			Use with Reid's Long Knife Blades or any standard utility blade.</li>","","","","9&quot; Deluxe Long Knife",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28327","Fixed Blade Knives",467581,"Installation Sticks - Chisel End",,"Installation Sticks - Chisel End","","Installation Sticks - Chisel End","",/\I\n\the-pipe-knife-company-installation-sticks-chisel-end-installation-sticks-chisel-end.jpg,/\I\n\the-pipe-knife-company-installation-sticks-chisel-end-installation-sticks-chisel-end.jpg,http://www.48ws.com/images/product/I/n/the-pipe-knife-company-installation-sticks-chisel-end-installation-sticks-chisel-end.jpg,the-pipe-knife-company-Installation-Sticks-Chisel-End-installation-sticks-chisel-end,the-pipe-knife-company-Installation-Sticks-Chisel-End-installation-sticks-chisel-end,,No layout updates.,Block after Info Column,,"Installation Sticks - Chisel End","Installation Sticks - Chisel End",Use config,"",0,,,0,"The Pipe Knife Company",1319,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","","","Installation Sticks - Chisel End",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
