store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"28040","Adhesive Caulks",123767,"7471",,"GREENchoice Heavy Duty Construction Adhesive, 10.5 Oz. Cartridge","GREENchoice Heavy Duty Construction Adhesive","GREENchoice Heavy Duty Construction Adhesive, 10.5 Oz. Cartridge","GREENchoice Heavy Duty Construction Adhesive offers superior interior and exterior strength. Its all-purpose versatility is ideal for all common building materials. It provides a strong grab, fills gaps and irregularities and will remain permanently flexi",/\7\4\GREENchoice-Heavy-Duty-Construction.png,/\7\4\GREENchoice-Heavy-Duty-Construction.png,http://www.48ws.com/images/product/7/4/GREENchoice-Heavy-Duty-Construction.png,titebond-7471-greenchoice-heavy-duty-construction-adhesive-105-oz-cartridge,titebond-7471-greenchoice-heavy-duty-construction-adhesive-105-oz-cartridge,,No layout updates.,Block after Info Column,,"GREENchoice Heavy Duty Construction Adhesive, 10.5 Oz. Cartridge","GREENchoice Heavy Duty Construction Adhesive, 10.5 Oz. Cartridge",Use config,"http://www.titebond.com/product.aspx?id=e3f2f250-4ac9-4928-9f19-4b5f18b02760",0,,,0,"Titebond",984,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"GREENchoice Heavy Duty Construction Adhesive offers superior interior and exterior strength. Its all-purpose versatility is ideal for all common building materials. It provides a strong grab, fills gaps and irregularities and will remain permanently flexible.","<ul><li>Environmentally safe - VOC-compliant</li><li>Bonds wood, paneling, drywall, plywood, metal, plastics, foamboard, tub surrounds &amp; more</li><li>Can be used on wet, frozen, or treated lumber</li><li>Interior/Exterior - Waterproof</li><li>Offers freeze/thaw stability</li><li>Cleans easily with water in wet state</li><li>Cartridge and carton contain post-consumer recycled material</li></ul>","<p>GREEN<i>choice</i> Heavy Duty Construction Adhesive offers superior interior and exterior strength. Its all-purpose versatility is ideal for all common building materials. It provides a strong grab, fills gaps and irregularities and will remain permanently flexible.<br><br>GREEN<i>choice</i> Heavy Duty is a VOC-compliant formula containing no ozone depleting chemicals, making it safer for you and the environment. Unlike solvent-based adhesives, it is nonflammable, emits no harmful fumes and cleans up with water.</p><h5>Exceeds the requirements of the APA's AFG-01 specification and ASTM C557</h5>","37083074710","10.5 Oz. Cartridge","GREENchoice Heavy Duty Construction Adhesive, 10.5 Oz. Cartridge",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28040","Adhesive Caulks",123776,"7472",,"GREENchoice Heavy Duty Construction Adhesive, 29 Oz. Cartridge","GREENchoice Heavy Duty Construction Adhesive","GREENchoice Heavy Duty Construction Adhesive, 29 Oz. Cartridge","GREENchoice Heavy Duty Construction Adhesive offers superior interior and exterior strength. Its all-purpose versatility is ideal for all common building materials. It provides a strong grab, fills gaps and irregularities and will remain permanently flexi",/\7\4\GREENchoice-Heavy-Duty-Construction.png,/\7\4\GREENchoice-Heavy-Duty-Construction.png,http://www.48ws.com/images/product/7/4/GREENchoice-Heavy-Duty-Construction.png,titebond-7472-greenchoice-heavy-duty-construction-adhesive-29-oz-cartridge,titebond-7472-greenchoice-heavy-duty-construction-adhesive-29-oz-cartridge,,No layout updates.,Block after Info Column,,"GREENchoice Heavy Duty Construction Adhesive, 29 Oz. Cartridge","GREENchoice Heavy Duty Construction Adhesive, 29 Oz. Cartridge",Use config,"http://www.titebond.com/product.aspx?id=e3f2f250-4ac9-4928-9f19-4b5f18b02760",0,,,0,"Titebond",984,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"GREENchoice Heavy Duty Construction Adhesive","<ul><li>Environmentally safe - VOC-compliant</li><li>Bonds wood, paneling, drywall, plywood, metal, plastics, foamboard, tub surrounds &amp; more</li><li>Can be used on wet, frozen, or treated lumber</li><li>Interior/Exterior - Waterproof</li><li>Offers freeze/thaw stability</li><li>Cleans easily with water in wet state</li><li>Cartridge and carton contain post-consumer recycled material</li></ul>","<p>GREEN<i>choice</i> Heavy Duty Construction Adhesive offers superior interior and exterior strength. Its all-purpose versatility is ideal for all common building materials. It provides a strong grab, fills gaps and irregularities and will remain permanently flexible.<br><br>GREEN<i>choice</i> Heavy Duty is a VOC-compliant formula containing no ozone depleting chemicals, making it safer for you and the environment. Unlike solvent-based adhesives, it is nonflammable, emits no harmful fumes and cleans up with water.</p><h5>Exceeds the requirements of the APA's AFG-01 specification and ASTM C557</h5>","37083074727","29 Oz. Cartridge","GREENchoice Heavy Duty Construction Adhesive, 29 Oz. Cartridge",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28040","Adhesive Caulks",123777,"7479",,"GREENchoice Heavy Duty Construction Adhesive, 3.5 Gallon Pail","GREENchoice Heavy Duty Construction Adhesive","GREENchoice Heavy Duty Construction Adhesive, 3.5 Gallon Pail","GREENchoice Heavy Duty Construction Adhesive offers superior interior and exterior strength. Its all-purpose versatility is ideal for all common building materials. It provides a strong grab, fills gaps and irregularities and will remain permanently flexi",/\7\4\GREENchoice-Heavy-Duty-Construction.png,/\7\4\GREENchoice-Heavy-Duty-Construction.png,http://www.48ws.com/images/product/7/4/GREENchoice-Heavy-Duty-Construction.png,titebond-7479-greenchoice-heavy-duty-construction-adhesive-35-gallon-pail,titebond-7479-greenchoice-heavy-duty-construction-adhesive-35-gallon-pail,,No layout updates.,Block after Info Column,,"GREENchoice Heavy Duty Construction Adhesive, 3.5 Gallon Pail","GREENchoice Heavy Duty Construction Adhesive, 3.5 Gallon Pail",Use config,"http://www.titebond.com/product.aspx?id=e3f2f250-4ac9-4928-9f19-4b5f18b02760",0,,,0,"Titebond",984,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"GREENchoice Heavy Duty Construction Adhesive","<ul><li>Environmentally safe - VOC-compliant</li><li>Bonds wood, paneling, drywall, plywood, metal, plastics, foamboard, tub surrounds &amp; more</li><li>Can be used on wet, frozen, or treated lumber</li><li>Interior/Exterior - Waterproof</li><li>Offers freeze/thaw stability</li><li>Cleans easily with water in wet state</li><li>Cartridge and carton contain post-consumer recycled material</li></ul>","<p>GREEN<i>choice</i> Heavy Duty Construction Adhesive offers superior interior and exterior strength. Its all-purpose versatility is ideal for all common building materials. It provides a strong grab, fills gaps and irregularities and will remain permanently flexible.<br><br>GREEN<i>choice</i> Heavy Duty is a VOC-compliant formula containing no ozone depleting chemicals, making it safer for you and the environment. Unlike solvent-based adhesives, it is nonflammable, emits no harmful fumes and cleans up with water.</p><h5>Exceeds the requirements of the APA's AFG-01 specification and ASTM C557</h5>","37083074796","3.5 Gallon Pail","GREENchoice Heavy Duty Construction Adhesive, 3.5 Gallon Pail",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28040","Adhesive Caulks",123778,"4221",,"Titebond Fast Set Polyurethane Construction Adhesive, 10 Oz. Cartridge","Titebond Fast Set Polyurethane Construction Adhesive","Titebond Fast Set Polyurethane Construction Adhesive, 10 Oz. Cartridge","GREENchoice Premium Polyurethane Construction Adhesive is an advanced urethane formula for interior and exterior projects. It is the highest performing product of its kind, offering unmatched strength and durability even when bonding two non-porous materi",/\4\2\GREENchoice-Premium-Polyurethane-Construction.png,/\4\2\GREENchoice-Premium-Polyurethane-Construction.png,http://www.48ws.com/images/product/4/2/GREENchoice-Premium-Polyurethane-Construction.png,titebond-4221-titebond-fast-set-polyurethane-construction-adhesive-10-oz-cartridge,titebond-4221-titebond-fast-set-polyurethane-construction-adhesive-10-oz-cartridge,,No layout updates.,Block after Info Column,,"Titebond Fast Set Polyurethane Construction Adhesive, 10 Oz. Cartridge","Titebond Fast Set Polyurethane Construction Adhesive, 10 Oz. Cartridge",Use config,"http://www.titebond.com/product.aspx?id=ee174e63-cb40-43f3-b8ca-598419ee3601",0,,,0,"Titebond",984,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"GREENchoice Premium Polyurethane Construction Adhesive is an advanced urethane formula for interior and exterior projects. It is the highest performing product of its kind, offering unmatched strength and durability even when bonding two non-porous materials. It offers a fast set-up time as well as a smooth bead for effortless extrusion - even in near-freezing temperatures.","<ul><li>Environmentally safe - VOC-compliant</li><li>Advanced urethane formula</li><li>Ideal for use on wet, frozen, treated and engineered lumber</li><li>Unmatched strength and durability</li><li>Can be used to bond non-porous materials</li><li>Works in near freezing temperatures</li><li>Safe for plastic or foam</li><li>Fast initial grab - Smooth bead - Fast cure - Minimal shrinkage</li><li>Cartridge and carton contain post-consumer recycled material</li></ul>","<p> Titebond Fast Set Polyurethane Construction Adhesive is a one-component, advanced adhesive technology designed to build strength faster than other comparable products. It can be used for interior and exterior construction projects, and is the highest performing product of its kind, offering unmatched strength and durability even when bonding non-porous materials. It offers a fast set-up time as well as a smooth bead for effortless extrusion – even in near-freezing temperatures. It is ideal for virtually all building materials, including wet, frozen, engineered and treated lumber, metal, plastic, foam, mirror, concrete and brick.</p><ul><li>Faster set time and cure – develops strength quicker than common construction adhesives</li><li>Permanently bonds most building materials</li><li>Cold weather extrusion – extrudes down to 32°F</li><li>Provides a smoother, more full-bodied adhesive bead that offers minimal shrinkage</li></ul><br><h5>Titebond Fast Set Polyurethane Adhesive exceeds all of the following specifications: American Plywood Association AFG-01, ASTM C557, ASTM D3498, CAN/CGSB-71.25M and CAN/CGSB-71.26M","37083042214","10 Oz. Cartridge","Titebond Fast Set Polyurethane Construction Adhesive, 10 Oz. Cartridge",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28040","Adhesive Caulks",123780,"4222",,"Titebond Fast Set Polyurethane Construction Adhesive, 28 Oz. Cartridge","Titebond Fast Set Polyurethane Construction Adhesive","Titebond Fast Set Polyurethane Construction Adhesive, 28 Oz. Cartridge","GREENchoice Premium Polyurethane Construction Adhesive is an advanced urethane formula for interior and exterior projects. It is the highest performing product of its kind, offering unmatched strength and durability even when bonding two non-porous materi",/\4\2\GREENchoice-Premium-Polyurethane-Construction.png,/\4\2\GREENchoice-Premium-Polyurethane-Construction.png,http://www.48ws.com/images/product/4/2/GREENchoice-Premium-Polyurethane-Construction.png,titebond-4222-titebond-fast-set-polyurethane-construction-adhesive-28-oz-cartridge,titebond-4222-titebond-fast-set-polyurethane-construction-adhesive-28-oz-cartridge,,No layout updates.,Block after Info Column,,"Titebond Fast Set Polyurethane Construction Adhesive, 28 Oz. Cartridge","Titebond Fast Set Polyurethane Construction Adhesive, 28 Oz. Cartridge",Use config,"http://www.titebond.com/product.aspx?id=ee174e63-cb40-43f3-b8ca-598419ee3601",0,,,0,"Titebond",984,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"GREENchoice Premium Polyurethane Construction Adhesive","<ul><li>Environmentally safe - VOC-compliant</li><li>Advanced urethane formula</li><li>Ideal for use on wet, frozen, treated and engineered lumber</li><li>Unmatched strength and durability</li><li>Can be used to bond non-porous materials</li><li>Works in near freezing temperatures</li><li>Safe for plastic or foam</li><li>Fast initial grab - Smooth bead - Fast cure - Minimal shrinkage</li><li>Cartridge and carton contain post-consumer recycled material</li></ul>","<p> Titebond Fast Set Polyurethane Construction Adhesive is a one-component, advanced adhesive technology designed to build strength faster than other comparable products. It can be used for interior and exterior construction projects, and is the highest performing product of its kind, offering unmatched strength and durability even when bonding non-porous materials. It offers a fast set-up time as well as a smooth bead for effortless extrusion – even in near-freezing temperatures. It is ideal for virtually all building materials, including wet, frozen, engineered and treated lumber, metal, plastic, foam, mirror, concrete and brick.</p><ul><li>Faster set time and cure – develops strength quicker than common construction adhesives</li><li>Permanently bonds most building materials</li><li>Cold weather extrusion – extrudes down to 32°F</li><li>Provides a smoother, more full-bodied adhesive bead that offers minimal shrinkage</li></ul><br><h5>Titebond Fast Set Polyurethane Adhesive exceeds all of the following specifications: American Plywood Association AFG-01, ASTM C557, ASTM D3498, CAN/CGSB-71.25M and CAN/CGSB-71.26M","37083042221","28 Oz. Cartridge","Titebond Fast Set Polyurethane Construction Adhesive, 28 Oz. Cartridge",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28040","Adhesive Caulks",123781,"4122",,"GREENchoice Weatherproof Subfloor Adhesive, 28 Oz. Cartridge","GREENchoice Weatherproof Subfloor Adhesive","GREENchoice Weatherproof Subfloor Adhesive, 28 Oz. Cartridge","GREENchoice Weatherproof Subfloor Adhesive is a professional-strength formula designed for subfloor installations and plywood use. It provides a permanent bond that remains flexible, reduces nailing and helps eliminate squeaky floors.",/\4\1\GREENchoice-Weatherproof-Subfloor.png,/\4\1\GREENchoice-Weatherproof-Subfloor.png,http://www.48ws.com/images/product/4/1/GREENchoice-Weatherproof-Subfloor.png,titebond-4122-greenchoice-weatherproof-subfloor-adhesive-28-oz-cartridge,titebond-4122-greenchoice-weatherproof-subfloor-adhesive-28-oz-cartridge,,No layout updates.,Block after Info Column,,"GREENchoice Weatherproof Subfloor Adhesive, 28 Oz. Cartridge","GREENchoice Weatherproof Subfloor Adhesive, 28 Oz. Cartridge",Use config,"http://www.titebond.com/product.aspx?id=173f25c9-3de9-4dd5-bec3-424eac9ee0a5",0,,,0,"Titebond",984,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"GREENchoice Weatherproof Subfloor Adhesive is a professional-strength formula designed for subfloor installations and plywood use. It provides a permanent bond that remains flexible, reduces nailing and helps eliminate squeaky floors.","<ul><li>Environmentally safe - VOC-compliant</li><li>Fills gaps and irregularities</li><li>Reduces the amount of nailing</li><li>Highly water-resistant when dry</li><li>Excellent aging qualities</li><li>Ideal for use on wet, frozen, treated and engineered lumber</li><li>Offers freeze/thaw stability</li><li>Cleans easily with water in wet state</li><li>Cartridge and carton contain post-consumer recycled material</li></ul>","<p>GREEN<i>choice</i> Weatherproof Subfloor Adhesive is a professional-strength formula designed for subfloor installations and plywood use. It provides a permanent bond that remains flexible, reduces nailing and helps eliminate squeaky floors.<br><br>GREEN<i>choice</i> Subfloor is a VOC-compliant formula containing no ozone depleting chemicals, making it safer for you and the environment. Unlike solvent-based adhesives, it is nonflammable, emits no harmful fumes and cleans up with water.</p><h5> Exceeds the requirements of the APA’s AFG-01 specification and ASTM C557.</h5>","37083041224","28 Oz. Cartridge","GREENchoice Weatherproof Subfloor Adhesive, 28 Oz. Cartridge",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28040","Adhesive Caulks",123782,"4128",,"GREENchoice Weatherproof Subfloor Adhesive, 52 Gallon Drum","GREENchoice Weatherproof Subfloor Adhesive","GREENchoice Weatherproof Subfloor Adhesive, 52 Gallon Drum","GREENchoice Weatherproof Subfloor Adhesive is a professional-strength formula designed for subfloor installations and plywood use. It provides a permanent bond that remains flexible, reduces nailing and helps eliminate squeaky floors.",/\4\1\GREENchoice-Weatherproof-Subfloor.png,/\4\1\GREENchoice-Weatherproof-Subfloor.png,http://www.48ws.com/images/product/4/1/GREENchoice-Weatherproof-Subfloor.png,titebond-4128-greenchoice-weatherproof-subfloor-adhesive-52-gallon-drum,titebond-4128-greenchoice-weatherproof-subfloor-adhesive-52-gallon-drum,,No layout updates.,Block after Info Column,,"GREENchoice Weatherproof Subfloor Adhesive, 52 Gallon Drum","GREENchoice Weatherproof Subfloor Adhesive, 52 Gallon Drum",Use config,"http://www.titebond.com/product.aspx?id=173f25c9-3de9-4dd5-bec3-424eac9ee0a5",0,,,0,"Titebond",984,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"GREENchoice Weatherproof Subfloor Adhesive","<ul><li>Environmentally safe - VOC-compliant</li><li>Fills gaps and irregularities</li><li>Reduces the amount of nailing</li><li>Highly water-resistant when dry</li><li>Excellent aging qualities</li><li>Ideal for use on wet, frozen, treated and engineered lumber</li><li>Offers freeze/thaw stability</li><li>Cleans easily with water in wet state</li><li>Cartridge and carton contain post-consumer recycled material</li></ul>","<p>GREEN<i>choice</i> Weatherproof Subfloor Adhesive is a professional-strength formula designed for subfloor installations and plywood use. It provides a permanent bond that remains flexible, reduces nailing and helps eliminate squeaky floors.<br><br>GREEN<i>choice</i> Subfloor is a VOC-compliant formula containing no ozone depleting chemicals, making it safer for you and the environment. Unlike solvent-based adhesives, it is nonflammable, emits no harmful fumes and cleans up with water.</p><h5> Exceeds the requirements of the APA’s AFG-01 specification and ASTM C557.</h5>","","52 Gallon Drum","GREENchoice Weatherproof Subfloor Adhesive, 52 Gallon Drum",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28040","Adhesive Caulks",123783,"5251",,"PROvantage PRO Heavy Duty Construction Adhesive, 10 Oz. Cartridge","PROvantage PRO Heavy Duty Construction Adhesive","PROvantage PRO Heavy Duty Construction Adhesive, 10 Oz. Cartridge","PROvantage PRO Heavy Duty Adhesive is a premium-grade formula designed for more demanding construction and repair projects. It is ideal for bonding most common materials including wood, metal, brick, marble, ceramic tile, concrete, drywall and wet, frozen",/\5\2\PROvantage-PRO-Heavy-Duty-Construction.png,/\5\2\PROvantage-PRO-Heavy-Duty-Construction.png,http://www.48ws.com/images/product/5/2/PROvantage-PRO-Heavy-Duty-Construction.png,titebond-5251-provantage-pro-heavy-duty-construction-adhesive-10-oz-cartridge,titebond-5251-provantage-pro-heavy-duty-construction-adhesive-10-oz-cartridge,,No layout updates.,Block after Info Column,,"PROvantage PRO Heavy Duty Construction Adhesive, 10 Oz. Cartridge","PROvantage PRO Heavy Duty Construction Adhesive, 10 Oz. Cartridge",Use config,"http://www.titebond.com/product.aspx?id=c7bd0bd7-59b4-4f90-a4e4-150f8caed5f1",0,,,0,"Titebond",984,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"PROvantage PRO Heavy Duty Adhesive is a premium-grade formula designed for more demanding construction and repair projects. It is ideal for bonding most common materials including wood, metal, brick, marble, ceramic tile, concrete, drywall and wet, frozen and treated lumber.","<ul><li>Waterproof</li><li>Superior strength </li><li>VOC-compliant</li><li>Extrudes 0°F - 100°F</li><li>Bonds heaviest materials</li><li>Fast initial grab</li></ul>","<p>PROvantage PRO Heavy Duty Adhesive is a premium-grade formula designed for more demanding construction and repair projects. It is ideal for bonding most common materials including wood, metal, brick, marble, ceramic tile, concrete, drywall and wet, frozen and treated lumber. <br><br>PRO Heavy Duty Adhesive meets today’s most stringent State and Federal VOC regulatory requirements. It fills gaps between materials, reduces the amount of nailing and can be extruded down to 0°F.</p><h5>Exceeds the requirements of APA’s AFG-01, ASTM C557 and ASTM D3498.</h5>","37083052510","10 Oz. Cartridge","PROvantage PRO Heavy Duty Construction Adhesive, 10 Oz. Cartridge",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28040","Adhesive Caulks",123784,"5252",,"PROvantage PRO Heavy Duty Construction Adhesive, 28 Oz. Cartridge","PROvantage PRO Heavy Duty Construction Adhesive","PROvantage PRO Heavy Duty Construction Adhesive, 28 Oz. Cartridge","PROvantage PRO Heavy Duty Adhesive is a premium-grade formula designed for more demanding construction and repair projects. It is ideal for bonding most common materials including wood, metal, brick, marble, ceramic tile, concrete, drywall and wet, frozen",/\5\2\PROvantage-PRO-Heavy-Duty-Construction.png,/\5\2\PROvantage-PRO-Heavy-Duty-Construction.png,http://www.48ws.com/images/product/5/2/PROvantage-PRO-Heavy-Duty-Construction.png,titebond-5252-provantage-pro-heavy-duty-construction-adhesive-28-oz-cartridge,titebond-5252-provantage-pro-heavy-duty-construction-adhesive-28-oz-cartridge,,No layout updates.,Block after Info Column,,"PROvantage PRO Heavy Duty Construction Adhesive, 28 Oz. Cartridge","PROvantage PRO Heavy Duty Construction Adhesive, 28 Oz. Cartridge",Use config,"http://www.titebond.com/product.aspx?id=c7bd0bd7-59b4-4f90-a4e4-150f8caed5f1",0,,,0,"Titebond",984,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"PROvantage PRO Heavy Duty Construction Adhesive","<ul><li>Waterproof</li><li>Superior strength </li><li>VOC-compliant</li><li>Extrudes 0°F - 100°F</li><li>Bonds heaviest materials</li><li>Fast initial grab</li></ul>","<p>PROvantage PRO Heavy Duty Adhesive is a premium-grade formula designed for more demanding construction and repair projects. It is ideal for bonding most common materials including wood, metal, brick, marble, ceramic tile, concrete, drywall and wet, frozen and treated lumber. <br><br>PRO Heavy Duty Adhesive meets today’s most stringent State and Federal VOC regulatory requirements. It fills gaps between materials, reduces the amount of nailing and can be extruded down to 0°F.</p><h5>Exceeds the requirements of APA’s AFG-01, ASTM C557 and ASTM D3498.</h5>","37083052527","28 Oz. Cartridge","PROvantage PRO Heavy Duty Construction Adhesive, 28 Oz. Cartridge",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28040","Adhesive Caulks",123785,"85250",,"PROvantage PRO Heavy Duty Construction Adhesive","PROvantage PRO Heavy Duty Construction Adhesive","PROvantage PRO Heavy Duty Construction Adhesive","PROvantage PRO Heavy Duty Adhesive is a premium-grade formula designed for more demanding construction and repair projects. It is ideal for bonding most common materials including wood, metal, brick, marble, ceramic tile, concrete, drywall and wet, frozen",/\5\2\PROvantage-PRO-Heavy-Duty-Construction.png,/\5\2\PROvantage-PRO-Heavy-Duty-Construction.png,http://www.48ws.com/images/product/5/2/PROvantage-PRO-Heavy-Duty-Construction.png,PROvantage-PRO-Heavy-Duty-Construction-Adhesive,PROvantage-PRO-Heavy-Duty-Construction-Adhesive,,No layout updates.,Block after Info Column,,"PROvantage PRO Heavy Duty Construction Adhesive","PROvantage PRO Heavy Duty Construction Adhesive",Use config,"http://www.titebond.com/product.aspx?id=c7bd0bd7-59b4-4f90-a4e4-150f8caed5f1",0,,,0,"Titebond",984,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"PROvantage PRO Heavy Duty Construction Adhesive","<li>Bonds heaviest materials</li><br>
<li>Extrudes 0°F - 100°F</li><br>
<li>Superior strength</li><br>
<li>VOC-compliant</li><br>
<li>Waterproof</li>
","<li>Type: Proprietary synthetic polymer</li><br>
<li>Non-reactive VOC: 49 g/L</li><br>
<li>State : Thixotropic medium viscosity mastic</li><br>
<li>Weight/gallon : 10.6 lbs.Color : Brown</li><br>
<li>Flashpoint : < 0°F</li><br>
<li>Solids : 66%</li><br>
<li>Freeze/thaw stability : Will not freeze</li><br>
<li>Viscosity : 160,000 cps</li><br>
<li>Storage life : 18 months in tightly closed containers at 75°F</li>
<br />
<b>Limitations: </b>Not designed for continuous submersion. Do not use on vinyl-coated drywall, polystyrene foam or rigid plastics. Do not adhere one non porous material to another as this will slow or prevent drying.","","6 oz. Squeeze tube","PROvantage PRO Heavy Duty Construction Adhesive",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
