store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"147|19521","Caulking|Caulks and Sealants",37855,"15101 529",,"Tremco Universal C/P Bronze","Universal Color Packs","Tremco Universal C/P Bronze","Universal Color Pack (Bronze).",/\1\5\Tremco-Universal-CP.jpg,/\1\5\Tremco-Universal-CP.jpg,http://www.48ws.com/images/product/1/5/Tremco-Universal-CP.jpg,Tremco-529-Universal-CP-Bronze,Tremco-529-Universal-CP-Bronze,,No layout updates.,Block after Info Column,,"Tremco Universal C/P Bronze","Tremco Universal C/P Bronze",Use config,"http://www.tremcosealants.com/",0,,,0,"Tremco Inc",373,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Universal Color Pack (Bronze).","","","","Bronze","Tremco Universal C/P Bronze",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"147|19521","Caulking|Caulks and Sealants",37856,"15103 529",,"Tremco Universal C/P Off White","Universal Color Packs","Tremco Universal C/P Off White","Universal Color Pack (Off White).",/\5\2\Tremco-529-Universal-CP-Off.jpg,/\5\2\Tremco-529-Universal-CP-Off.jpg,http://www.48ws.com/images/product/5/2/Tremco-529-Universal-CP-Off.jpg,Tremco-529-Universal-CP-Off-White,Tremco-529-Universal-CP-Off-White,,No layout updates.,Block after Info Column,,"Tremco Universal C/P Off White","Tremco Universal C/P Off White",Use config,"http://www.tremcosealants.com/",0,,,0,"Tremco Inc",373,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Universal Color Pack (Off White).","","","","Off White","Tremco Universal C/P Off White",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"147|19521","Caulking|Caulks and Sealants",37857,"15104 529",,"Tremco Universal C/P Redwood Tan.","Universal Color Packs","Tremco Universal C/P Redwood Tan.","Universal Color Pack (Redwood Tan).",/\5\2\Tremco-529-Universal-CP-Redwood.jpg,/\5\2\Tremco-529-Universal-CP-Redwood.jpg,http://www.48ws.com/images/product/5/2/Tremco-529-Universal-CP-Redwood.jpg,Tremco-529-Universal-CP-Redwood-Tan,Tremco-529-Universal-CP-Redwood-Tan,,No layout updates.,Block after Info Column,,"Tremco Universal C/P Redwood Tan.","Tremco Universal C/P Redwood Tan.",Use config,"http://www.tremcosealants.com/",0,,,0,"Tremco Inc",373,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Universal Color Pack (Redwood Tan).","","","","Redwood Tan","Tremco Universal C/P Redwood Tan.",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"147|19521","Caulking|Caulks and Sealants",37858,"15105 529",,"Tremco Universal C/P Limestone.","Universal Color Packs","Tremco Universal C/P Limestone.","Universal Color Pack (Limestone).",/\5\2\Tremco-529-Universal-CP.jpg,/\5\2\Tremco-529-Universal-CP.jpg,http://www.48ws.com/images/product/5/2/Tremco-529-Universal-CP.jpg,Tremco-529-Universal-CP-Limestone,Tremco-529-Universal-CP-Limestone,,No layout updates.,Block after Info Column,,"Tremco Universal C/P Limestone.","Tremco Universal C/P Limestone.",Use config,"http://www.tremcosealants.com/",0,,,0,"Tremco Inc",373,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Universal Color Pack (Limestone).","","","","Limestone","Tremco Universal C/P Limestone.",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"147|19521","Caulking|Caulks and Sealants",37859,"15107 529",,"Tremco Universal C/P Buff","Universal Color Packs","Tremco Universal C/P Buff","Universal Color Pack (Buff).",/\5\2\Tremco-529-Universal-CP- 1.jpg,/\5\2\Tremco-529-Universal-CP- 1.jpg,http://www.48ws.com/images/product/5/2/Tremco-529-Universal-CP- 1.jpg,Tremco-529-Universal-CP-Buff,Tremco-529-Universal-CP-Buff,,No layout updates.,Block after Info Column,,"Tremco Universal C/P Buff","Tremco Universal C/P Buff",Use config,"http://www.tremcosealants.com/",0,,,0,"Tremco Inc",373,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Universal Color Pack (Buff).","","","","Buff","Tremco Universal C/P Buff",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"147|19521","Caulking|Caulks and Sealants",37860,"15111 529",,"Tremco Universal C/P Precast White","Universal Color Packs","Tremco Universal C/P Precast White","Universal Color Pack (Precast White).",/\5\2\Tremco-529-Universal-CP-Precast.jpg,/\5\2\Tremco-529-Universal-CP-Precast.jpg,http://www.48ws.com/images/product/5/2/Tremco-529-Universal-CP-Precast.jpg,Tremco-529-Universal-CP-Precast-White,Tremco-529-Universal-CP-Precast-White,,No layout updates.,Block after Info Column,,"Tremco Universal C/P Precast White","Tremco Universal C/P Precast White",Use config,"http://www.tremcosealants.com/",0,,,0,"Tremco Inc",373,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Universal Color Pack (Precast White).","","","","Precast White","Tremco Universal C/P Precast White",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"147|19521","Caulking|Caulks and Sealants",37861,"15112 529",,"Tremco Universal C/P Desert Taupe","Universal Color Packs","Tremco Universal C/P Desert Taupe","Universal Color Pack (Desert Taupe).",/\5\2\Tremco-529-Universal-CP-Desert.jpg,/\5\2\Tremco-529-Universal-CP-Desert.jpg,http://www.48ws.com/images/product/5/2/Tremco-529-Universal-CP-Desert.jpg,Tremco-529-Universal-CP-Desert-Taupe,Tremco-529-Universal-CP-Desert-Taupe,,No layout updates.,Block after Info Column,,"Tremco Universal C/P Desert Taupe","Tremco Universal C/P Desert Taupe",Use config,"http://www.tremcosealants.com/",0,,,0,"Tremco Inc",373,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Universal Color Pack (Desert Taupe).","","","","Desert Taupe","Tremco Universal C/P Desert Taupe",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"147|19521","Caulking|Caulks and Sealants",37863,"15115 529",,"Tremco Universal C/P Adobe Accent","Universal Color Packs","Tremco Universal C/P Adobe Accent","Universal Color Pack (Adobe Accent).",/\5\2\Tremco-529-Universal-CP-Adobe.jpg,/\5\2\Tremco-529-Universal-CP-Adobe.jpg,http://www.48ws.com/images/product/5/2/Tremco-529-Universal-CP-Adobe.jpg,Tremco-529-Universal-CP-Adobe-Accent,Tremco-529-Universal-CP-Adobe-Accent,,No layout updates.,Block after Info Column,,"Tremco Universal C/P Adobe Accent","Tremco Universal C/P Adobe Accent",Use config,"http://www.tremcosealants.com/",0,,,0,"Tremco Inc",373,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Universal Color Pack (Adobe Accent).","","","","Adobe Accent","Tremco Universal C/P Adobe Accent",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"147|19521","Caulking|Caulks and Sealants",37864,"15117 529",,"Tremco Universal C/P Brick Red","Universal Color Packs","Tremco Universal C/P Brick Red","Universal Color Pack (Brick Red).",/\5\2\Tremco-529-Universal-CP-Brick.jpg,/\5\2\Tremco-529-Universal-CP-Brick.jpg,http://www.48ws.com/images/product/5/2/Tremco-529-Universal-CP-Brick.jpg,Tremco-529-Universal-CP-Brick-Red,Tremco-529-Universal-CP-Brick-Red,,No layout updates.,Block after Info Column,,"Tremco Universal C/P Brick Red","Tremco Universal C/P Brick Red",Use config,"http://www.tremcosealants.com/",0,,,0,"Tremco Inc",373,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Universal Color Pack (Brick Red).","","","","Brick Red","Tremco Universal C/P Brick Red",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"147|19521","Caulking|Caulks and Sealants",37865,"15119 529",,"Tremco Universal C/P River Rouge Red","Universal Color Packs","Tremco Universal C/P River Rouge Red","Universal Color Pack (River Rouge Red).",/\5\2\Tremco-529-Universal-CP-River-Rouge.jpg,/\5\2\Tremco-529-Universal-CP-River-Rouge.jpg,http://www.48ws.com/images/product/5/2/Tremco-529-Universal-CP-River-Rouge.jpg,Tremco-529-Universal-CP-River-Rouge-Red,Tremco-529-Universal-CP-River-Rouge-Red,,No layout updates.,Block after Info Column,,"Tremco Universal C/P River Rouge Red","Tremco Universal C/P River Rouge Red",Use config,"http://www.tremcosealants.com/",0,,,0,"Tremco Inc",373,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Universal Color Pack (River Rouge Red).","","","","River Rouge Red","Tremco Universal C/P River Rouge Red",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
