store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"822|21942|28295","Forks and Rakes|Forks|Rental Forks and Rakes",12509,"UT 72105",,"Spading Fork","","Spading Fork","The Union Tools spading fork is a multipurpose tool that can be used for turning, digging, and loosening all types of soil. It can also be used to transfer loose material. The forged head contains 4 diamond-shaped tines for maximum strength and durability",/\U\T\Union-Tools-Spading.jpg,/\U\T\Union-Tools-Spading.jpg,http://www.48ws.com/images/product/U/T/Union-Tools-Spading.jpg,Union-Tools-Spading-Fork,Union-Tools-Spading-Fork,,No layout updates.,Block after Info Column,,"Spading Fork","Spading Fork",Use config,"http://www.uniontools.com/products/detail.aspx?ProductId=1866&FamilyId=393&LineId=392",0,,,0,"Union Tools",149,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Union Tools Spading Fork","<li>Forged, 4-tine head</li><li>
Strong, diamond-back tines work the soil with less effort</li><li>
30-inch North American ash handle</li><li>
Strong Poly D-grip</li>","The Union Tools spading fork is a multipurpose tool that can be used for turning, digging, and loosening all types of soil. It can also be used to transfer loose material. The forged head contains 4 diamond-shaped tines for maximum strength and durability.
","","Union Tools Spading Fork","Spading Fork",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"823|23994|28296","Post Hole Digger|Post Hole Diggers|Rental Post Hole Diggers",12510,"UT 78002",,"Post Hole Digger","","Post Hole Digger","Union Tools Post Hole Digger",/\U\T\Union-Tools-Post-Hole.jpg,/\U\T\Union-Tools-Post-Hole.jpg,http://www.48ws.com/images/product/U/T/Union-Tools-Post-Hole.jpg,Union-Tools-Post-Hole-Digger,Union-Tools-Post-Hole-Digger,,No layout updates.,Block after Info Column,,"Post Hole Digger","Post Hole Digger",Use config,"http://www.uniontools.com/products/detail.aspx?ProductId=1892&LineId=421",0,,,0,"Union Tools",149,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Union Tools Post Hole Digger","<li>One-piece high carbon steel blades</li><li>
5.5-inch point spread</li><li>
48-inch North American ash handles</li><li>
Useful tool for digging perfect, deep holes below the frost line</li>","Quality and performance make UnionTools the choice of both professionals and general consumers. If your next project involves installing a fence, post, mailbox, or basketball hoop, make sure you use the right tool for the job. This post hole digger is perfect for digging those necessary holes and footings and will help you do so without bending over or straining your back.
","","Union Tools Post Hole Digger","Post Hole Digger",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"823|23994|28296","Post Hole Digger|Post Hole Diggers|Rental Post Hole Diggers",12511,"UT 78003",,"UnionPro Post Hole Digger, Atlas Pattern","","UnionPro Post Hole Digger, Atlas Pattern","Union Tools UnionPro Post Hole Digger, Atlas Pattern",/\U\T\Union-Tools-UnionPro-Post-Hole-Digger-Atlas.jpg,/\U\T\Union-Tools-UnionPro-Post-Hole-Digger-Atlas.jpg,http://www.48ws.com/images/product/U/T/Union-Tools-UnionPro-Post-Hole-Digger-Atlas.jpg,Union-Tools-UnionPro-Post-Hole-Digger-Atlas-Pattern,Union-Tools-UnionPro-Post-Hole-Digger-Atlas-Pattern,,No layout updates.,Block after Info Column,,"UnionPro Post Hole Digger, Atlas Pattern","UnionPro Post Hole Digger, Atlas Pattern",Use config,"http://www.uniontools.com/products/detail.aspx?ProductId=1893&LineId=421",0,,,0,"Union Tools",149,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Union Tools UnionPro Post Hole Digger, Atlas Pattern","<li>Two-piece riveted high carbon steel blades with beveled digging edge</li><li>
5.5-inch point spread</li><li>
48-inch atlas pattern, fiberglass handles</li><li>
Useful tool for digging perfect, deep holes below the frost line</li>","Quality and performance make UnionTools the choice of both professionals and general consumers. If your next project involves installing a fence, post, mailbox, or basketball hoop, make sure you use the right tool for the job. This post hole digger is perfect for digging those necessary holes and footings and will help you do so without bending over or straining your back.
","","Union Tools UnionPro Post Hole Digger, Atlas Pattern","UnionPro Post Hole Digger, Atlas Pattern",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"823|23994|28296","Post Hole Digger|Post Hole Diggers|Rental Post Hole Diggers",12512,"UT 78570",,"Adjustable Auger","","Adjustable Auger","Union Tools Adjustable Auger",/\U\T\Union-Tools-Adjustable.jpg,/\U\T\Union-Tools-Adjustable.jpg,http://www.48ws.com/images/product/U/T/Union-Tools-Adjustable.jpg,Union-Tools-Adjustable-Auger,Union-Tools-Adjustable-Auger,,No layout updates.,Block after Info Column,,"Adjustable Auger","Adjustable Auger",Use config,"http://www.uniontools.com/products/",0,,,0,"Union Tools",149,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Union Tools Adjustable Auger","<li>All steel construction</li><li>
Riveted blades adjust from 6 to 8.44 inches</li><li>
T-handles with end grips provides added leverage</li><li>
Used to loosen up dirt to dig post holes</li>","Digging post holes has never been easier than with True Temper adjustable auger. This all steel construction tool features riveted blades that adjusts from 6 to 8.44 inches. Also, a welded T-handle with grips gives the user leverage they need to loosen up dirt before digging post. This is a great tool for personal or professional use.
","","Union Tools Adjustable Auger","Adjustable Auger",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28300","Wheelbarrows",12513,"UT 77307",,"6 Cubic Foot Poly Wheelbarrow","","6 Cubic Foot Poly Wheelbarrow","Union Tools 6 Cubic Foot Poly Wheelbarrow",/\U\T\Union-Tools-6-Cubic-Foot-Poly- 2.jpg,/\U\T\Union-Tools-6-Cubic-Foot-Poly- 2.jpg,http://www.48ws.com/images/product/U/T/Union-Tools-6-Cubic-Foot-Poly- 2.jpg,union-tools-UT-77307-,union-tools-UT-77307-,,No layout updates.,Block after Info Column,,"6 Cubic Foot Poly Wheelbarrow","6 Cubic Foot Poly Wheelbarrow",Use config,"http://www.uniontools.com/products/",0,,,0,"Union Tools",149,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Union Tools 6 Cubic Foot Poly Wheelbarrow","<li>6 cubic foot capacity</li><li>
Corrosion-proof poly tray</li><li>
16 inch tubed tire</li><li>
60 inch seal-coated hardwood handles</li>","With 6 cubic feet of hauling capacity, this UnionTools&reg; wheelbarrow is ideal for homeowners, landscapers and light construction work. The 6 cubic foot poly tray will never rust or corrode and is designed to provide years of service. Around the house or on the job, this is the right wheelbarrow for the job.
","","Union Tools 6 Cubic Foot Poly Wheelbarrow","6 Cubic Foot Poly Wheelbarrow",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28300","Wheelbarrows",12514,"UT 77305",,"6 Cubic Foot Steel Wheelbarrow","","6 Cubic Foot Steel Wheelbarrow","Union Tools 6 Cubic Foot Steel Wheelbarrow",/\U\T\Union-Tools-6-Cubic-Foot-Steel- 2.jpg,/\U\T\Union-Tools-6-Cubic-Foot-Steel- 2.jpg,http://www.48ws.com/images/product/U/T/Union-Tools-6-Cubic-Foot-Steel- 2.jpg,union-tools-UT-77305-,union-tools-UT-77305-,,No layout updates.,Block after Info Column,,"6 Cubic Foot Steel Wheelbarrow","6 Cubic Foot Steel Wheelbarrow",Use config,"http://www.uniontools.com/products/",0,,,0,"Union Tools",149,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Union Tools 6 Cubic Foot Steel Wheelbarrow","<li>6 cubic foot capacity</li><li>
Seamless steel tray</li><li>
16 inch tubed tire</li><li>
60 inch seal coated hardwood handles</li>","With 6 cubic feet of hauling capacity, this UnionTools&reg; wheelbarrow is ideal for homeowners, landscapers and light construction work. The 6 cubic foot seamless steel tray is plenty tough and will provide years of service. Around the house or on the job, this is the right wheelbarrow for the job.
","","Union Tools 6 Cubic Foot Steel Wheelbarrow","6 Cubic Foot Steel Wheelbarrow",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28300","Wheelbarrows",12515,"UT 77306",,"6 Cubic Foot Steel Wheelbarrow with Knobby Tire","","6 Cubic Foot Steel Wheelbarrow with Knobby Tire","Union Tools 6 Cubic Foot Steel Wheelbarrow with Knobby Tire",/\U\T\Union-Tools-6-Cubic-Foot-Steel-Wheelbarrow-with-Knobby- 1.jpg,/\U\T\Union-Tools-6-Cubic-Foot-Steel-Wheelbarrow-with-Knobby- 1.jpg,http://www.48ws.com/images/product/U/T/Union-Tools-6-Cubic-Foot-Steel-Wheelbarrow-with-Knobby- 1.jpg,union-tools-UT-77306-,union-tools-UT-77306-,,No layout updates.,Block after Info Column,,"6 Cubic Foot Steel Wheelbarrow with Knobby Tire","6 Cubic Foot Steel Wheelbarrow with Knobby Tire",Use config,"http://www.uniontools.com/products/",0,,,0,"Union Tools",149,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Union Tools 6 Cubic Foot Steel Wheelbarrow with Knobby Tire","<li>6 cubic foot capacity</li><li>
Seamless steel tray</li><li>
16 inch tubed knobby tire</li><li>
60 inch seal coated hardwood handles</li>","With 6 cubic feet of hauling capacity, this UnionTools&reg; wheelbarrow is ideal for homeowners, landscapers and light construction work. The 6 cubic foot seamless steel tray is plenty tough and will provide years of service. Around the house or on the job, this is the right wheelbarrow for the job.
","","Union Tools 6 Cubic Foot Steel Wheelbarrow with Knobby Tire","6 Cubic Foot Steel Wheelbarrow with Knobby Tire",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28300","Wheelbarrows",12516,"UT 77000",,"6 Cubic Foot Steel Wheelbarrow with Steel Handles","","6 Cubic Foot Steel Wheelbarrow with Steel Handles","Union Tools 6 Cubic Foot Steel Wheelbarrow with Steel Handles",/\U\T\Union-Tools-6-Cubic-Foot-Steel-Wheelbarrow-with-Steel- 1.jpg,/\U\T\Union-Tools-6-Cubic-Foot-Steel-Wheelbarrow-with-Steel- 1.jpg,http://www.48ws.com/images/product/U/T/Union-Tools-6-Cubic-Foot-Steel-Wheelbarrow-with-Steel- 1.jpg,union-tools-UT-77000-,union-tools-UT-77000-,,No layout updates.,Block after Info Column,,"6 Cubic Foot Steel Wheelbarrow with Steel Handles","6 Cubic Foot Steel Wheelbarrow with Steel Handles",Use config,"http://www.uniontools.com/products/",0,,,0,"Union Tools",149,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Union Tools 6 Cubic Foot Steel Wheelbarrow with Steel Handles","<li>6 cubic foot capacity</li><li>
Seamless steel tray</li><li>
16 inch tubed tire</li><li>
60 inch steel handles</li>","With 6 cubic feet of hauling capacity, this UnionTools&reg; wheelbarrow is ideal for homeowners, landscapers and light construction work. This 6 cubic foot seamless steel tray is plenty tough and will provide years of service. Around the house or on the job, this is the right wheelbarrow for the job.
","","Union Tools 6 Cubic Foot Steel Wheelbarrow with Steel Handles","6 Cubic Foot Steel Wheelbarrow with Steel Handles",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"822|23983|28295","Forks and Rakes|Landscape and Bow Rakes|Rental Forks and Rakes",12517,"UT 63131",,"UnionPro 16-tine Bow Rake with Fiberglass Handle","","UnionPro 16-tine Bow Rake with Fiberglass Handle","Union Tools UnionPro 16-tine Bow Rake with Fiberglass Handle",/\U\T\Union-Tools-UnionPro-16-tine-Bow-Rake-with-Fiberglass.jpg,/\U\T\Union-Tools-UnionPro-16-tine-Bow-Rake-with-Fiberglass.jpg,http://www.48ws.com/images/product/U/T/Union-Tools-UnionPro-16-tine-Bow-Rake-with-Fiberglass.jpg,Union-Tools-UnionPro-16-tine-Bow-Rake-with-Fiberglass-Handle,Union-Tools-UnionPro-16-tine-Bow-Rake-with-Fiberglass-Handle,,No layout updates.,Block after Info Column,,"UnionPro 16-tine Bow Rake with Fiberglass Handle","UnionPro 16-tine Bow Rake with Fiberglass Handle",Use config,"http://www.uniontools.com/products/detail.aspx?ProductId=1896&FamilyId=389&LineId=388",0,,,0,"Union Tools",149,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Union Tools UnionPro 16-tine Bow Rake with Fiberglass Handle","<li>Welded 16-tine tempered-steel head</li><li>
54-inch fiberglass handle for strength and durability</li><li>
Steel ferrule for strongest blade and handle connection</li><li>
Multi-purpose tool ideal for raking and leveling</li>","This bow rake is a multi-purpose tool that is an essential part of any tool assortment. It's perfect for loosening or breaking up compacted soil, spreading mulch or other material evenly and leveling areas before planting. It can also be used to collect leaves, hay, grass or other garden debris.
","","Union Tools UnionPro 16-tine Bow Rake with Fiberglass Handle","UnionPro 16-tine Bow Rake with Fiberglass Handle",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"822|23983|28295","Forks and Rakes|Landscape and Bow Rakes|Rental Forks and Rakes",12518,"UT 63110",,"14-curved tine Level Rake","","14-curved tine Level Rake","Union Tools 14-curved tine Level Rake",/\U\T\Union-Tools-14-curved-tine-Level.jpg,/\U\T\Union-Tools-14-curved-tine-Level.jpg,http://www.48ws.com/images/product/U/T/Union-Tools-14-curved-tine-Level.jpg,Union-Tools-14-curved-tine-Level-Rake,Union-Tools-14-curved-tine-Level-Rake,,No layout updates.,Block after Info Column,,"14-curved tine Level Rake","14-curved tine Level Rake",Use config,"http://www.uniontools.com/products/detail.aspx?ProductId=1890&FamilyId=420&LineId=388",0,,,0,"Union Tools",149,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Union Tools 14-curved tine Level Rake","<li>Forged 14-tine head</li><li>
Mid-grip sleeve provides extra grip and cushioning</li><li>
Fiberglass handle is stronger than wood</li><li>
Strong head connection for years of use</li>","The UnionTools level rake is designed to level materials, including gravel and soil . The one piece forged steel tines work hard to spread the material evenly. It is a medium-duty rake that is great for contractor and professional use, as well as serious homeowners.
","","Union Tools 14-curved tine Level Rake","14-curved tine Level Rake",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
