store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"1973|22660","Lubricant Products|Penetrants and Lubricants",13461,"10110WD",,"BLK LIQ 1 Gallon","","BLK LIQ 1 Gallon","WD-40 BLK LIQ 1 Gallon",/\1\0\WD-40-BLK-LIQ-1.jpg,/\1\0\WD-40-BLK-LIQ-1.jpg,http://www.48ws.com/images/product/1/0/WD-40-BLK-LIQ-1.jpg,WD-40-BLK-LIQ-1-Gallon,WD-40-BLK-LIQ-1-Gallon,,No layout updates.,Block after Info Column,,"BLK LIQ 1 Gallon","BLK LIQ 1 Gallon",Use config,"http://wd40.com/products/one-gallon/",0,,,0,"WD-40",266,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Features / Specifications</u></b><br><br>
<li>Penetrates, loosens and frees stuck, frozen or rusted parts</li>
<li>Protects metal against moisture and corrosive elements</li>
<li>Removes grease, grime, water deposits and much more</li>
<li>Lubricates moving parts</li><br>","With literally thousands of uses, WD-40&reg; is the #1 multi-purpose problem solver. It cleans, protects, penetrates, lubricates and displaces moisture like no other product on earth. In sizes and applications for every need.","","WD-40 BLK LIQ 1 Gallon","BLK LIQ 1 Gallon",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1973|22660","Lubricant Products|Penetrants and Lubricants",13464,"110078WD",,"Smart Straw 11 oz.","","Smart Straw 11 oz.","WD-40 Smart Straw 11 oz.",/\1\1\WD-40-Smart-Straw-11.jpg,/\1\1\WD-40-Smart-Straw-11.jpg,http://www.48ws.com/images/product/1/1/WD-40-Smart-Straw-11.jpg,WD-40-Smart-Straw-11-oz,WD-40-Smart-Straw-11-oz,,No layout updates.,Block after Info Column,,"Smart Straw 11 oz.","Smart Straw 11 oz.",Use config,"https://www.wd40.com/",0,,,0,"WD-40",266,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Features / Specifications</u></b><br><br>
<li>WD-40&reg; can with built-in straw</li>
<li>Smart new design allows for one-handed operation.</li>
<li>360° Valve - Flip it up for precision stream and down for regular spray action.</li><br>","Protect, clean and lubricate thousands upon thousands of items - without ever losing the straw again! The WD-40&reg; Smart Straw Aerosol features a permanently attached straw that sprays two ways. Flip it up for a precision stream and down for regular spray action. This design allows for one-handed application and puts an exciting twist on this true American original.","","WD-40 Smart Straw 11 oz.","Smart Straw 11 oz.",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"22660","Penetrants and Lubricants",550945,"110108",,"WD-48 Lubricating Spray 3oz.","","WD-48 Lubricating Spray 3oz.","All of the handy uses in one small can, the WD-40 3 oz handy can is always ready to tackle your toughest jams. From small to medium sized jobs, never fear, your problem solver is here",/\1\1\WD-48-Lubricating-Spray.jpg,/\1\1\WD-48-Lubricating-Spray.jpg,http://www.48ws.com/images/product/1/1/WD-48-Lubricating-Spray.jpg,110108-WD-40-WD-48-Lubricating-Spray-3oz,110108-WD-40-WD-48-Lubricating-Spray-3oz,,No layout updates.,Block after Info Column,,"WD-48 Lubricating Spray 3oz.","WD-48 Lubricating Spray 3oz.",Use config,"",0,,,0,"WD-40",266,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"All of the handy uses in one small can, the WD-40 3 oz handy can is always ready to tackle your toughest jams. From small to medium sized jobs, never fear, your problem solver is here","Brand: WD-40
Percentage VOC: 49.5 %
Composition: Aliphatic Hydrocarbon, Petroleum Base Oil, LVP Aliphatic Hydrocarbon, Surfactant
Pour Point: -63 deg C
Container Size: 3 oz
Form: Liquid
Viscosity: 2.79 - 2.96 cst
Flash Point: 122 deg F
Standards: ASTM Specified
Specific Gravity: .82
Container Type: Handy Can
Application Method: Spray
Special Features: Light Amber Mild Odor","","","3oz.","WD-48 Lubricating Spray 3oz.",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"22660","Penetrants and Lubricants",550946,"110054",,"WD-40 Smart Straw 8oz.","","WD-40 Smart Straw 8oz.","Spray, Never lose the straw again
Permanently attached straw flip upwards for precision stream and downwards for regular spray action 8 and 11 oz",/\1\1\WD-40-Smart-Straw.jpg,/\1\1\WD-40-Smart-Straw.jpg,http://www.48ws.com/images/product/1/1/WD-40-Smart-Straw.jpg,110054-WD-40-WD-40-Smart-Straw-8oz,110054-WD-40-WD-40-Smart-Straw-8oz,,No layout updates.,Block after Info Column,,"WD-40 Smart Straw 8oz.","WD-40 Smart Straw 8oz.",Use config,"",0,,,0,"WD-40",266,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Spray, Never lose the straw again
Permanently attached straw flip upwards for precision stream and downwards for regular spray action 8 and 11 oz","Brand: WD-40
Pour Point: -63 deg C
Application Method: Spray
Percentage VOC: 49.5 %
Container Size: 8 oz
Composition: Aliphatic Hydrocarbon, Petroleum Base Oil, LVP Aliphatic Hydrocarbon, Surfactant
Container Type: Aerosol
Form: Liquid
Specific Gravity: .82
Flash Point: 122 deg F
Viscosity: 2.79 - 2.96 cst
Standards: ASTM Specified
Special Features: Light Amber Mild Odor","","","WD-40 Smart Straw 8oz.","WD-40 Smart Straw 8oz.",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"22660","Penetrants and Lubricants",550947,"10116",,"WD-40 Lubricating Spray 16oz.","","WD-40 Lubricating Spray 16oz.","WD-40 general lubricant for multi purpose moving parts",/\1\0\WD-40-Lubricating-Spray.jpg,/\1\0\WD-40-Lubricating-Spray.jpg,http://www.48ws.com/images/product/1/0/WD-40-Lubricating-Spray.jpg,10116-WD-40-WD-40-Lubricating-Spray-16oz,10116-WD-40-WD-40-Lubricating-Spray-16oz,,No layout updates.,Block after Info Column,,"WD-40 Lubricating Spray 16oz.","WD-40 Lubricating Spray 16oz.",Use config,"",0,,,0,"WD-40",266,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"WD-40 general lubricant for multi purpose moving parts","Excellent corrosion prohibitor - protects metal against moisture and corrosive elements
Removes grease, grime, water deposits, and much more
Long lasting multi purpose lubricant for moving parts
Displaces moisture - non-conductive
Low surface tension - penetrates, loosens and frees stuck, frozen or rusted parts","Brand: WD-40
Specific Gravity: .817
Container Size: 16 oz
Flash Point: 131 deg F
Container Type: Aerosol
Composition: Aliphatic Petroleum Distillates, Petroleum Base Oil, LVP Hydrocarbon Fluid, Carbon Dioxide
Application Method: Spray
Type: Multi-Purpose
Percentage VOC: 49.5 %
Special Features: Light Amber
Usage: For Gears, Tools","","WD-40 Lubricating Spray 16oz.","WD-40 Lubricating Spray 16oz.",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"22660","Penetrants and Lubricants",550948,"110184",,"WD-40 Non Aersol Trigger Pro 20oz.","","WD-40 Non Aersol Trigger Pro 20oz.","Created especially for Industrial users, WD-40 Trigger Pro has the same great WD-40 formula, now in a Non-Aerosol can. Multi-purpose lubricant, remover, protector, moisture displacer and more. WD-40 non-aerosol formulas also dissolve adhesives, allowing e",/\1\1\WD-40-Non-Aersol-Trigger-Pro.jpg,/\1\1\WD-40-Non-Aersol-Trigger-Pro.jpg,http://www.48ws.com/images/product/1/1/WD-40-Non-Aersol-Trigger-Pro.jpg,110184-WD-40-WD-40-Non-Aersol-Trigger-Pro-20oz,110184-WD-40-WD-40-Non-Aersol-Trigger-Pro-20oz,,No layout updates.,Block after Info Column,,"WD-40 Non Aersol Trigger Pro 20oz.","WD-40 Non Aersol Trigger Pro 20oz.",Use config,"",0,,,0,"WD-40",266,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Created especially for Industrial users, WD-40 Trigger Pro has the same great WD-40 formula, now in a Non-Aerosol can. Multi-purpose lubricant, remover, protector, moisture displacer and more. WD-40 non-aerosol formulas also dissolve adhesives, allowing easy removal of labels, tape, stickers, and excess bonding materia","No overspray
Heavy duty spray trigger withstands abuse and does not leak (compared to other non-aerosol lubricants on the market)
Off position on the nozzle means no accidental spraying in your truck, tool box or storage cabinet","Brand: WD-40
Form: Liquid
Percentage VOC: 49.5 %
Flash Point: 131 deg F
Composition: Aliphatic Hydrocarbon, Petroleum Base Oil
Container Size: 20 oz
Container Type: Non-Aerosol Can
Specific Gravity: .817
Special Features: Light Amber Mild Odor
Usage: For Gears, Hinges, Moving Parts, Sliding Doors, Tools","","WD-40 Non Aersol Trigger Pro 20oz.","WD-40 Non Aersol Trigger Pro 20oz.",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"22660","Penetrants and Lubricants",628388,"10000",,"WD40 10000 SPRAY APPLICATOR","","WD40 10000 SPRAY APPLICATOR","",/\1\0\wd-40-10000-wd40-10000-spray-applicator.jpg,/\1\0\wd-40-10000-wd40-10000-spray-applicator.jpg,http://www.48ws.com/images/product/1/0/wd-40-10000-wd40-10000-spray-applicator.jpg,wd-40-10000-wd40-10000-spray-applicator,wd-40-10000-wd40-10000-spray-applicator,,No layout updates.,Block after Info Column,,"WD40 10000 SPRAY APPLICATOR","WD40 10000 SPRAY APPLICATOR",Use config,"https://www.wd40.com/products/",0,,,0,"WD-40",266,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","This multi-use product is best dispensed from the Heavy Duty Empty Plastic Spray Applicator.The one-pint heavy-duty sprayer is meant for use with WD-40 bulk liquid. The adjustable spray nozzle converts the liquid to steam or spray for all sorts of uses. The durable plastic is specially treated on the inside to add stability for use.It's the perfect applicator for heavy users of WD-40. One pint heavy-duty sprayer for use with WD-40 bulk liquid. Adjustable spray nozzle for stream or spray. Durable plastic. Specially treated on inside to add stability for use with penetrating quality of the formula.","7956710000","","WD40 10000 SPRAY APPLICATOR",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"22660","Penetrants and Lubricants",628389,"10100",,"WD40 10100 SPRAY APPLICATOR 4/PK","","WD40 10100 SPRAY APPLICATOR 4/PK","",/\1\0\wd-40-10100-wd40-10100-spray-applicator-4pk.jpg,/\1\0\wd-40-10100-wd40-10100-spray-applicator-4pk.jpg,http://www.48ws.com/images/product/1/0/wd-40-10100-wd40-10100-spray-applicator-4pk.jpg,wd-40-10100-wd40-10100-spray-applicator-4pk,wd-40-10100-wd40-10100-spray-applicator-4pk,,No layout updates.,Block after Info Column,,"WD40 10100 SPRAY APPLICATOR 4/PK","WD40 10100 SPRAY APPLICATOR 4/PK",Use config,"https://www.wd40.com/products/",0,,,0,"WD-40",266,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","This multi-use product is best dispensed from the Heavy Duty Empty Plastic Spray Applicator.The one-pint heavy-duty sprayer is meant for use with WD-40 bulk liquid. The adjustable spray nozzle converts the liquid to steam or spray for all sorts of uses. The durable plastic is specially treated on the inside to add stability for use.It's the perfect applicator for heavy users of WD-40. One pint heavy-duty sprayer for use with WD-40 bulk liquid. Adjustable spray nozzle for stream or spray. Durable plastic. Specially treated on inside to add stability for use with penetrating quality of the formula.","","","WD40 10100 SPRAY APPLICATOR 4/PK",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"22660","Penetrants and Lubricants",628390,"300004",,"WD40 300004 11OZ SPECIALIST PENETRANT 6/CS","","WD40 300004 11OZ SPECIALIST PENETRANT 6/CS","",/\3\0\wd-40-300004-wd40-300004-11oz-specialist-penetrant-6cs.jpg,/\3\0\wd-40-300004-wd40-300004-11oz-specialist-penetrant-6cs.jpg,http://www.48ws.com/images/product/3/0/wd-40-300004-wd40-300004-11oz-specialist-penetrant-6cs.jpg,wd-40-300004-wd40-300004-11oz-specialist-penetrant-6cs,wd-40-300004-wd40-300004-11oz-specialist-penetrant-6cs,,No layout updates.,Block after Info Column,,"WD40 300004 11OZ SPECIALIST PENETRANT 6/CS","WD40 300004 11OZ SPECIALIST PENETRANT 6/CS",Use config,"https://www.wd40.com/products/penetrating-oil/",0,,,0,"WD-40",266,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","A fast-acting penetrant that gets deep into crevices, threads and seams to break the bonds that hold stuck parts together.. WD-40® Specialist® Rust Release Penetrant Spray is a fast-acting penetrant that quickly goes to work on rusted nuts, bolts, threads, locks and chains, and also leaves behind a protective layer to help prevent rust and corrosion from re-forming. Containing Blu Torch® Technology, a proprietary blend of synthetic additives, it is safe to use on plastics, rubber and metal. Extra-penetrating Blu Torch technology
Ideal for use on nuts, bolts, threads and locks
50-state VOC compliant","7956730000","","WD40 300004 11OZ SPECIALIST PENETRANT 6/CS",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"22660","Penetrants and Lubricants",628391,"300059",,"WD40 300059 SPECIALIST DIRT AND DUST RESISTANT DRY LUBE PTFE SPRAY 10O","","WD40 300059 SPECIALIST DIRT AND DUST RESISTANT DRY LUBE PTFE SPRAY 10O","",/\3\0\wd-40-300059-wd40-300059-specialist-dirt-and-dust-resistant-dry-lube-ptfe-spray-10o.jpg,/\3\0\wd-40-300059-wd40-300059-specialist-dirt-and-dust-resistant-dry-lube-ptfe-spray-10o.jpg,http://www.48ws.com/images/product/3/0/wd-40-300059-wd40-300059-specialist-dirt-and-dust-resistant-dry-lube-ptfe-spray-10o.jpg,wd-40-300059-wd40-300059-specialist-dirt-and-dust-resistant-dry-lube-ptfe-spray-10o,wd-40-300059-wd40-300059-specialist-dirt-and-dust-resistant-dry-lube-ptfe-spray-10o,,No layout updates.,Block after Info Column,,"WD40 300059 SPECIALIST DIRT AND DUST RESISTANT DRY LUBE PTFE SPRAY 10O","WD40 300059 SPECIALIST DIRT AND DUST RESISTANT DRY LUBE PTFE SPRAY 10O",Use config,"https://www.wd40.com/products/dry-lube/",0,,,0,"WD-40",266,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","A dry lubricant that provides long-lasting lubrication and protection without attracting dirt and dust.

WD-40® Specialist® Dirt and Dust Resistant Dry Lube PTFE spray is ideal for reducing friction, providing long-lasting lubrication and corrosion protection with no oily residue. It dries quickly and resists dirt, dust and oil. Great for reducing friction and wear on blades and bits, door and window tracks, slides, conveyor belts, rollers, hinges, power tools and equipment. Effective in temperatures ranging from -100° F to 500° F. Safe on metals, plastic and rubber.

Won't attract dirt, dust or oil
50-state VOC compliant","7956730005","","WD40 300059 SPECIALIST DIRT AND DUST RESISTANT DRY LUBE PTFE SPRAY 10O",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
