store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"237|25826","Leather Gloves|Leather Palm Gloves",37341,"9940KF Large",,"Large Pig Skin Drivers W/ Red","9940KF West Chester Marketing Pig Skin Drivers W/ Red","Large Pig Skin Drivers W/ Red","
Select tough grain pigskin leather gloves provide durable hand protection for general work applications. keystone thumb construction. Red fleece lining. Shirred elastic wrist helps keep dirt and debris from entering the glove. Color coded cotton hem f ",/\9\9\9940KF-West-Chester-Marketing-Pig-Skin-Drivers-W.jpg,/\9\9\9940KF-West-Chester-Marketing-Pig-Skin-Drivers-W.jpg,http://www.48ws.com/images/product/9/9/9940KF-West-Chester-Marketing-Pig-Skin-Drivers-W.jpg,9940KF-West-Chester-Marketing-Pig-Skin-Drivers-W-Red,9940KF-West-Chester-Marketing-Pig-Skin-Drivers-W-Red,,No layout updates.,Block after Info Column,,"Large Pig Skin Drivers W/ Red","Large Pig Skin Drivers W/ Red",Use config,"http://www.west-chester.net/QR/ViewProduct.aspx?item=9940KF",0,,,0,"West Chester Protective Gear",323,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b>Features and Benefits:</b><br></br>
<li>Select grain pigskin leather</li>
<li>Red fleece lining</li>
<li>Keystone thumb</li>","Select tough grain pigskin leather gloves provide durable hand protection for general work applications. keystone thumb construction. Red fleece lining. Shirred elastic wrist helps keep dirt and debris from entering the glove. Color coded cotton hem f <br><br>
<b>Applications:</b><br></br>
Construction, Masonry, Agriculture, Iron/Steel Work, Mining, Foundry Operations, Transportation, Electrical Contractors<br></br>
<b>Available Sizes:</b>
<br><li>Small, Medium, Large, XLarge</li>","","Large Pig Skin Drivers W/ Red","Large Pig Skin Drivers W/ Red",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"237|27825","Leather Gloves|Cowhide Gloves",37349,"990B Large",,"Large Cowhide Drivers Glove","990B West Chester Marketing Cowhide Drivers Gloves","Large Cowhide Drivers Glove","Striped canvas gloves with leather palm and fingers provide great protection and finger dexterity. Standard split cowhide leather with red/blue striped canvas back. Knit wrist helps keep dirt and debris out of the glove. 5-piece canvas back. ",/\9\9\990B-West-Chester-Marketing-Cowhide-Drivers.jpg,/\9\9\990B-West-Chester-Marketing-Cowhide-Drivers.jpg,http://www.48ws.com/images/product/9/9/990B-West-Chester-Marketing-Cowhide-Drivers.jpg,990B-West-Chester-Marketing-Cowhide-Drivers-Glove,990B-West-Chester-Marketing-Cowhide-Drivers-Glove,,No layout updates.,Block after Info Column,,"Large Cowhide Drivers Glove","Large Cowhide Drivers Glove",Use config,"http://www.west-chester.net/QR/ViewProduct.aspx?item=100",0,,,0,"West Chester Protective Gear",323,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b>Features and Benefits:</b><br></br>
<li>Durable shoulder split cowhide palm and fingers</li>
<li>Knit wrist helps keep dirt and debris out</li>
<li>Comfortable canvas back provides breathability and flexibility</li>","Striped canvas gloves with leather palm and fingers provide great protection and finger dexterity. Standard split cowhide leather with red/blue striped canvas back. Knit wrist helps keep dirt and debris out of the glove. 5-piece canvas back. <br><br>
<b>Applications:</b><br></br>
Construction, Masonry, Agriculture, Iron/Steel Work, Mining, Transportation, Electrical Contractors, Woodworking","","Large Cowhide Drivers Glove","Large Cowhide Drivers Glove",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"237|25826","Leather Gloves|Leather Palm Gloves",37352,"980 Large",,"Large Standard Split Drivers Glove","980 West Chester Marketing Standard Split Drivers Gloves","Large Standard Split Drivers Glove","
Durable split cowhide leather driver glove. Straight thumb construction is ideal for closed fisted work. Shirred elastic wrist helps keep dirt and debris out of the glove. Color coded cotton hem makes it easy to identify size. ",/\9\8\980-West-Chester-Marketing-Standard-Split-Drivers.jpg,/\9\8\980-West-Chester-Marketing-Standard-Split-Drivers.jpg,http://www.48ws.com/images/product/9/8/980-West-Chester-Marketing-Standard-Split-Drivers.jpg,980-West-Chester-Marketing-Standard-Split-Drivers-Glove,980-West-Chester-Marketing-Standard-Split-Drivers-Glove,,No layout updates.,Block after Info Column,,"Large Standard Split Drivers Glove","Large Standard Split Drivers Glove",Use config,"http://www.west-chester.net/QR/ViewProduct.aspx?item=980",0,,,0,"West Chester Protective Gear",323,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b>Features and Benefits:</b><br></br>
<li>Standard split leather</li>
<li>Shirred elastic wrist helps keep dirt and debris out</li>
<li>Color coded hem identifies glove size</li>","Durable split cowhide leather driver glove. Straight thumb construction is ideal for closed fisted work. Shirred elastic wrist helps keep dirt and debris out of the glove. Color coded cotton hem makes it easy to identify size. <br><br>
<b>Applications:</b><br>
Construction, Masonry, Agriculture, Iron/Steel Work, Mining, Foundry Operations, Transportation, Electrical Contractors<br></br>
<b>Sizes Available:</b><br>
Small, Medium, Large, XLarge","","Large Standard Split Drivers Glove","Large Standard Split Drivers Glove",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"238|25827","Mechanic Gloves|Mechanics Gloves",37356,"86700 L",,"Large Titanium Pro Gloves","86700 West Chester Marketing Titanium Pro Gloves","Large Titanium Pro Gloves","
3 X 2® has TPR neoprene hook and loop wrist, 4-way stretch spandex back, Parity™ synthetic leather palm, neoprene padded knuckles, terry cloth thumb, heavy duty lycra forchettes, Sure Grip PVC patched palm with foam padding, Sure Grip PVC reinforced thu",/\8\6\86700-West-Chester-Marketing-Titanium-Pro.jpg,/\8\6\86700-West-Chester-Marketing-Titanium-Pro.jpg,http://www.48ws.com/images/product/8/6/86700-West-Chester-Marketing-Titanium-Pro.jpg,86700-West-Chester-Marketing-Titanium-Pro-Gloves,86700-West-Chester-Marketing-Titanium-Pro-Gloves,,No layout updates.,Block after Info Column,,"Large Titanium Pro Gloves","Large Titanium Pro Gloves",Use config,"http://www.west-chester.net/QR/ViewProduct.aspx?item=86700",0,,,0,"West Chester Protective Gear",323,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b>Features and Benefits:</b><br>
<li>Sure grip&trade; reinforced thumb saddle</li>
<li>Flexible 4-way stretch form-fitting spandex back</li>
<li>Adjustable hook and loop&trade; neoprene wrist for the perfect fit and feel</li>","3 X 2&reg; has TPR neoprene hook and loop wrist, 4-way stretch spandex back, Parity&trade; synthetic leather palm, neoprene padded knuckles, terry cloth thumb, heavy duty lycra forchettes, Sure Grip PVC patched palm with foam padding, Sure Grip PVC reinforced thumb saddle.<br><br>
<b>Applications:</b><br></br>
Carpentry, roofing, assembly, wiring and framing
<br></br>
<b>Sizes Available:</b> All","","Large Titanium Pro Gloves","Large Titanium Pro Gloves",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"238|25827","Mechanic Gloves|Mechanics Gloves",37360,"86540",,"Marketing Titanium Brute Gloves","","Marketing Titanium Brute Gloves","
BRUTE® has TPR Neoprene hook and loop Wrist on Back of Hand, 4-way Stretch Spandex Back, Parity™ Synthetic Leather Palm, Neoprene Padded Knuckles, Terry Cloth Thumb, Heavy Duty Lycra Forchettes, Sure Grip PVC Patched Palm with Foam Gel Padding, Sure Gri",/\8\6\86540-West-Chester-Marketing-Titanium-Brute.jpg,/\8\6\86540-West-Chester-Marketing-Titanium-Brute.jpg,http://www.48ws.com/images/product/8/6/86540-West-Chester-Marketing-Titanium-Brute.jpg,86540-West-Chester-Marketing-Titanium-Brute-Gloves,86540-West-Chester-Marketing-Titanium-Brute-Gloves,,No layout updates.,Block after Info Column,,"Marketing Titanium Brute Gloves","Marketing Titanium Brute Gloves",Use config,"http://www.west-chester.net/QR/ViewProduct.aspx?item=86540",0,,,0,"West Chester Protective Gear",323,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"BRUTE&reg; has TPR Neoprene hook and loop Wrist on Back of Hand, 4-way Stretch Spandex Back, Parity&trade; Synthetic Leather Palm, Neoprene Padded Knuckles, Terry Cloth Thumb, Heavy Duty Lycra Forchettes, Sure Grip PVC Patched Palm with Foam Gel Padding, Sure Grip ","<b>Features and Benefits:</b><br></br>
<li>TPR finger guards to protect against bumps and bruises</li>
<li>Sure grip&trade; reinforced thumb saddle</li>
<li>Flexible 4-way stretch form-fitting spandex back</li>","<b>Applications:</b><br>
Rugged work, construction, demolition, plumbing/HVAC<br></br>
Available Sizes: Small, Medium, Large, XLarge, 2XLagre","","86540 West Chester Marketing Titanium Brute Gloves","Marketing Titanium Brute Gloves",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"238|25827","Mechanic Gloves|Mechanics Gloves",37361,"86150",,"Marketing Titanium Pro Job 1 Gloves","","Marketing Titanium Pro Job 1 Gloves","
JOB 1® has TPR hook and loop wrist on back of hand, One piece Parity™ synthetic leather palm, padded palm with double stitching, Lycra forchettes, 4-way stretch spandex back, reinforced Parity™ synthetic fingertips, Sure Grip Reinforcement in Thumb Sadd",/\8\6\86150-West-Chester-Marketing-Titanium-Pro-Job-1.jpg,/\8\6\86150-West-Chester-Marketing-Titanium-Pro-Job-1.jpg,http://www.48ws.com/images/product/8/6/86150-West-Chester-Marketing-Titanium-Pro-Job-1.jpg,86150-West-Chester-Marketing-Titanium-Pro-Job-1-Gloves,86150-West-Chester-Marketing-Titanium-Pro-Job-1-Gloves,,No layout updates.,Block after Info Column,,"Marketing Titanium Pro Job 1 Gloves","Marketing Titanium Pro Job 1 Gloves",Use config,"http://www.west-chester.net/QR/ViewProduct.aspx?item=86150",0,,,0,"West Chester Protective Gear",323,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"JOB 1&reg; has TPR hook and loop wrist on back of hand, One piece Parity&trade; synthetic leather palm, padded palm with double stitching, Lycra forchettes, 4-way stretch spandex back, reinforced Parity&trade; synthetic fingertips, Sure Grip Reinforcement in Thumb Saddle","<b>Features and Benefits:</b>
<br></br>
<li>Reinforced synthetic leather thumb saddle</li>
<li>Flexible 4-way stretch form-fitting spandex back</li>
<li>Adjustable hook and loop wrist for the perfect fit</li>","<b>Applications:</b><br>
Finished carpentry, household projects, automotive repair, hand tools<br></br>
<b>Available Sizes:</b><br>
Small, Medium, Large, XLarge, 2XLarge","","86150 West Chester Marketing Titanium Pro Job 1 Gloves","Marketing Titanium Pro Job 1 Gloves",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"421|25767","Rubber Boots|Plain-Toe PVC and Rubber Boots",37362,"8200 12",,"Size 12 Yellow Slush Boot","8200 West Chester Marketing 17&quot; Yellow Slush Boot","Size 12 Yellow Slush Boot","The Slush boot provides 100% waterproof protection Designed to fit easily over shoes or boots. Light to Heavy-duty applications.",/\8\2\8200-West-Chester-Marketing-17-Yellow-Slush.jpg,/\8\2\8200-West-Chester-Marketing-17-Yellow-Slush.jpg,http://www.48ws.com/images/product/8/2/8200-West-Chester-Marketing-17-Yellow-Slush.jpg,8200-West-Chester-Marketing-17-Yellow-Slush-Boot,8200-West-Chester-Marketing-17-Yellow-Slush-Boot,,No layout updates.,Block after Info Column,,"Size 12 Yellow Slush Boot","Size 12 Yellow Slush Boot",Use config,"http://www.west-chester.net/ProductDetail.aspx?prod=8200&mid=1",0,,,0,"West Chester Protective Gear",323,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b>Features and Benefits:</b><br>
<li>17&quot; overshoe has a cross rib outer sole to reduce slippage. Netted lining for easy donning.</li>
<li>Adjustable side strap to keep the elements out.</li>
<li>Yellow with black sole.</li>","The Slush boot provides 100% waterproof protection Designed to fit easily over shoes or boots. Light to Heavy-duty applications. <br><br>
<b>Applications:</b><br>
Construction, Road Work, Utilities, Environmental Cleanup, Remediation
<br></br>
<b>Available Sizes:</b><br>
9,10,11,12,13,14,15,16,17,18","","Size 12 Yellow Slush Boot","Size 12 Yellow Slush Boot",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"235|25825","Knit Gloves|Knit Gloves",37370,"708SKBS",,"Marketing Cotton String Knit Gloves W/ PVC Mini Dots","","Marketing Cotton String Knit Gloves W/ PVC Mini Dots","
A comfortable medium weight cotton/polyester knit glove with PVC dots on one side provides general-duty protection and enhanced gripping ability ",/\7\0\708SKBS-West-Chester-Marketing-Cotton-String-Knit-Gloves-W.jpg,/\7\0\708SKBS-West-Chester-Marketing-Cotton-String-Knit-Gloves-W.jpg,http://www.48ws.com/images/product/7/0/708SKBS-West-Chester-Marketing-Cotton-String-Knit-Gloves-W.jpg,708SKBS-West-Chester-Marketing-Cotton-String-Knit-Gloves-W-PVC-Mini-Dots,708SKBS-West-Chester-Marketing-Cotton-String-Knit-Gloves-W-PVC-Mini-Dots,,No layout updates.,Block after Info Column,,"Marketing Cotton String Knit Gloves W/ PVC Mini Dots","Marketing Cotton String Knit Gloves W/ PVC Mini Dots",Use config,"http://www.west-chester.net/QR/ViewProduct.aspx?item=708SKBS",0,,,0,"West Chester Protective Gear",323,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"A comfortable medium weight cotton/polyester knit glove with PVC dots on one side provides general-duty protection and enhanced gripping ability ","<b>Features and Benefits:</b><br>
<li>Natural white string knit</li>
<li>PVC dots on both sides</li>
<li>Knit wrist</li><br></br>
<b>Applications:</b><br>
Manufacturing, General Labor, Material Handling, Shipping/Receiving, Agriculture","","","708SKBS West Chester Marketing Cotton String Knit Gloves W/ PVC Mini Dots","Marketing Cotton String Knit Gloves W/ PVC Mini Dots",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2597|25945","Protective Suits|Rainsuits",37386,"4035 L",,"Large 3 Piece Yellow Rainsuit","4035 West Chester Marketing 35mm PVC over Polyester 3pcs Rainsuit","Large 3 Piece Yellow Rainsuit","
This 3 piece rainsuit is constructed from .35mm PVC on polyester for light to medium applications. Loaded with features such as vented cape back and adjustable snap closures on wrist and ankles for a great fit and wide range of motion. ",/\4\0\4035-West-Chester-Marketing-35ml-PVC-over-Polyester-3pcs.jpg,/\4\0\4035-West-Chester-Marketing-35ml-PVC-over-Polyester-3pcs.jpg,http://www.48ws.com/images/product/4/0/4035-West-Chester-Marketing-35ml-PVC-over-Polyester-3pcs.jpg,4035-West-Chester-Marketing-35ml-PVC-over-Polyester-3pcs-Rainsuit,4035-West-Chester-Marketing-35ml-PVC-over-Polyester-3pcs-Rainsuit,,No layout updates.,Block after Info Column,,"Large 3 Piece Yellow Rainsuit","Large 3 Piece Yellow Rainsuit",Use config,"http://www.west-chester.net/QR/ViewProduct.aspx?item=4035",0,,,0,"West Chester Protective Gear",323,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b>Features and Benefits:</b>
<li>Jacket has a vented cape back for breathability, five-Snap front closure with storm flap to keep water out , two front patch pockets for storage and a corduroy collar for comfort.</li>
<li>Removeable hood with drawstring.</li>
<li>Overalls have adjustable suspenders and nonconductive/noncorrosive triangular buckles and studs for the perfect fit. Single Snap fly.</li>
<br></br>
<b>Applications:</b><br>
Construction, Road Work, Utilities, Survey Crews, Forestry","This 3 piece rainsuit is constructed from .35mm PVC on polyester for light to medium applications. Loaded with features such as vented cape back and adjustable snap closures on wrist and ankles for a great fit and wide range of motion. <br><br>
<b>Available Sizes:</b><br>
Small, Medium, Large,1x-7xLarge","","Large 3 Piece Yellow Rainsuit","Large 3 Piece Yellow Rainsuit",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"234|27824","Kevlar Gloves|Kevlar Gloves",37389,"35KDBS L",,"Large Kevlar&reg; Gloves PVC-Dotted","35KDBS West Chester Marketing 100% Kevlar&reg; Gloves PVC-Dotted on Both Sides","Large Kevlar&reg; Gloves PVC-Dotted","DuPont Kevlar® is a lightweight synthetic material and is five times stronger than steel, providing outstanding cut, slash and heat resistance. **Made in the USA ",/\3\5\35KDBS-West-Chester-Marketing-100-Kevlar-Gloves-PVC-Dotted.jpg,/\3\5\35KDBS-West-Chester-Marketing-100-Kevlar-Gloves-PVC-Dotted.jpg,http://www.48ws.com/images/product/3/5/35KDBS-West-Chester-Marketing-100-Kevlar-Gloves-PVC-Dotted.jpg,35KDBS-West-Chester-Marketing-100-Kevlar-Gloves-PVC-Dotted-on-Both-Sides,35KDBS-West-Chester-Marketing-100-Kevlar-Gloves-PVC-Dotted-on-Both-Sides,,No layout updates.,Block after Info Column,,"Large Kevlar&reg; Gloves PVC-Dotted","Large Kevlar&reg; Gloves PVC-Dotted",Use config,"http://www.west-chester.net/QR/ViewProduct.aspx?item=35KDBS",0,,,0,"West Chester Protective Gear",323,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b>Features and Benefits:</b>
<li>100% Kevlar&reg;</li>
<li>PVC dots on both sides</li>
<li>Regular weight</li>
<li>ANSI 3, 1176 g</li>
<br></br>
<b>Applications:</b><br>
Automotive, Glass Handling, Sheet Metal Work, Cutting Applications","DuPont Kevlar&reg; is a lightweight synthetic material and is five times stronger than steel, providing outstanding cut, slash and heat resistance. **Made in the USA ","","Large Kevlar® Gloves PVC-Dotted","Large Kevlar&reg; Gloves PVC-Dotted",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
