store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"146|28040","Adhesives|Adhesive Caulks",87712,"WL21500",,"Construction Adhesive","","Construction Adhesive","",/\W\L\WL21500-White-Lightning-Construction.jpg,/\W\L\WL21500-White-Lightning-Construction.jpg,http://www.48ws.com/images/product/W/L/WL21500-White-Lightning-Construction.jpg,WL21500-White-Lightning-Construction-Adhesive,WL21500-White-Lightning-Construction-Adhesive,,No layout updates.,Block after Info Column,,"Construction Adhesive","Construction Adhesive",Use config,"",0,,,0,"White Lightning",533,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Increases strength of flooring</li>
<li>Reduces amount of nails/screws needed</li>
<li>Reduces flooring squeaks and bounce</li>
<li>Quick tack</li>
<li>Bonds to most materials</li>
<li>Superior aging characteristic</li>
<li>Permanent flexibility</li>
<li>Heavy-duty, all weather formulation</li>
<li>Eliminates the conventional two-layer floor system</li>","","","WL21500 White Lightning Construction Adhesive","Construction Adhesive",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28040","Adhesive Caulks",87713,"WL30062",,"All Purpose White Adhesive Caulk","","All Purpose White Adhesive Caulk","",/\W\L\WL30062-White-Lightning-All-Purpose-White-Adhesive.jpg,/\W\L\WL30062-White-Lightning-All-Purpose-White-Adhesive.jpg,http://www.48ws.com/images/product/W/L/WL30062-White-Lightning-All-Purpose-White-Adhesive.jpg,white-lightning-WL30062-,white-lightning-WL30062-,,No layout updates.,Block after Info Column,,"All Purpose White Adhesive Caulk","All Purpose White Adhesive Caulk",Use config,"",0,,,0,"White Lightning",533,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>40 Year durability</li>
<li>Can be used in interior & exterior applications</li>
<li>Applies a smooth, professional bead without gaps or air bubbles</li>
<li>Maintains superior flexibility and elasticity</li>
<li>Excellent color retention</li>
<li>Cured caulk resists rust and mildew</li>
<li>Can be painted or stained after curing</li>
<li>Exceeds ASTM Spec. C-834</li>","","","WL30062 White Lightning All Purpose White Adhesive Caulk","All Purpose White Adhesive Caulk",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19521","Caulks and Sealants",457009,"WL09210",,"ALL PURP RTV-WHITE 10 OZ. WHITE-RTV SILICONE","ALL PURP RTV-WHITE 10 OZ. WHITE-RTV SILICONE","ALL PURP RTV-WHITE 10 OZ. WHITE-RTV SILICONE","",/\W\L\white-lightning-wl09210-all-purp-rtv-white-10-oz-white-rtv-silicone.jpg,/\W\L\white-lightning-wl09210-all-purp-rtv-white-10-oz-white-rtv-silicone.jpg,http://www.48ws.com/images/product/W/L/white-lightning-wl09210-all-purp-rtv-white-10-oz-white-rtv-silicone.jpg,white-lightning-WL09210-all-purp-rtv-white-10-oz-white-rtv-silicone,white-lightning-WL09210-all-purp-rtv-white-10-oz-white-rtv-silicone,,No layout updates.,Block after Info Column,,"ALL PURP RTV-WHITE 10 OZ. WHITE-RTV SILICONE","ALL PURP RTV-WHITE 10 OZ. WHITE-RTV SILICONE",Use config,"",0,,,0,"White Lightning",533,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Sale Unit: CARTRIDGE<br><li>Brand: White Lightning<br><li>Chemical Base: Silicone<br><li>Material Compatibility: Fiberglass; Glass; Masonry; Metal; Plastic; Vinyl; Wood<br><li>Color: White","","","","ALL PURP RTV-WHITE 10 OZ. WHITE-RTV SILICONE",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19521","Caulks and Sealants",457010,"WL09310",,"ALL PURPOSE SILICONE RTV 10 OZ. ALUMINUM","ALL PURPOSE SILICONE RTV 10 OZ. ALUMINUM","ALL PURPOSE SILICONE RTV 10 OZ. ALUMINUM","",/\W\L\white-lightning-wl09310-all-purpose-silicone-rtv-10-oz-aluminum.jpg,/\W\L\white-lightning-wl09310-all-purpose-silicone-rtv-10-oz-aluminum.jpg,http://www.48ws.com/images/product/W/L/white-lightning-wl09310-all-purpose-silicone-rtv-10-oz-aluminum.jpg,white-lightning-WL09310-all-purpose-silicone-rtv-10-oz-aluminum,white-lightning-WL09310-all-purpose-silicone-rtv-10-oz-aluminum,,No layout updates.,Block after Info Column,,"ALL PURPOSE SILICONE RTV 10 OZ. ALUMINUM","ALL PURPOSE SILICONE RTV 10 OZ. ALUMINUM",Use config,"",0,,,0,"White Lightning",533,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Excellent adhesion to non-porous materials<br><li>Highly permanently flexible<br><li>Provides a watertight seal<br><li>Use for interior and exterior projects<br><li>Will not crack crumble or shrink","","","","ALL PURPOSE SILICONE RTV 10 OZ. ALUMINUM",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19521","Caulks and Sealants",457011,"WL09410",,"ALL PURP RTV-BLACK 10 OZ. RUBBER-RTV SILICONE","ALL PURP RTV-BLACK 10 OZ. RUBBER-RTV SILICONE","ALL PURP RTV-BLACK 10 OZ. RUBBER-RTV SILICONE","",/\W\L\white-lightning-wl09410-all-purp-rtv-black-10-oz-rubber-rtv-silicone.jpg,/\W\L\white-lightning-wl09410-all-purp-rtv-black-10-oz-rubber-rtv-silicone.jpg,http://www.48ws.com/images/product/W/L/white-lightning-wl09410-all-purp-rtv-black-10-oz-rubber-rtv-silicone.jpg,white-lightning-WL09410-all-purp-rtv-black-10-oz-rubber-rtv-silicone,white-lightning-WL09410-all-purp-rtv-black-10-oz-rubber-rtv-silicone,,No layout updates.,Block after Info Column,,"ALL PURP RTV-BLACK 10 OZ. RUBBER-RTV SILICONE","ALL PURP RTV-BLACK 10 OZ. RUBBER-RTV SILICONE",Use config,"",0,,,0,"White Lightning",533,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Sale Unit: CARTRIDGE<br><li>Brand: White Lightning<br><li>Color: White<br><li>Chemical Base: Silicone<br><li>Cure Time: 24 hr","","","","ALL PURP RTV-BLACK 10 OZ. RUBBER-RTV SILICONE",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19521","Caulks and Sealants",457012,"WL09510",,"ALL PURP RTV-BRONZE 10 OZ. BRONZE-RUB SILICONE","ALL PURP RTV-BRONZE 10 OZ. BRONZE-RUB SILICONE","ALL PURP RTV-BRONZE 10 OZ. BRONZE-RUB SILICONE","",/\W\L\white-lightning-wl09510-all-purp-rtv-bronze-10-oz-bronze-rub-silicone.jpg,/\W\L\white-lightning-wl09510-all-purp-rtv-bronze-10-oz-bronze-rub-silicone.jpg,http://www.48ws.com/images/product/W/L/white-lightning-wl09510-all-purp-rtv-bronze-10-oz-bronze-rub-silicone.jpg,white-lightning-WL09510-all-purp-rtv-bronze-10-oz-bronze-rub-silicone,white-lightning-WL09510-all-purp-rtv-bronze-10-oz-bronze-rub-silicone,,No layout updates.,Block after Info Column,,"ALL PURP RTV-BRONZE 10 OZ. BRONZE-RUB SILICONE","ALL PURP RTV-BRONZE 10 OZ. BRONZE-RUB SILICONE",Use config,"",0,,,0,"White Lightning",533,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","425-WL09510 Features: -Product Type:Silicone Sealants. Dimensions: -Overall Product Weight:0.82","","","","ALL PURP RTV-BRONZE 10 OZ. BRONZE-RUB SILICONE",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19521","Caulks and Sealants",457013,"WL30010-0",,"PAINTERS ACRYL-WHITE 10 OZ. LATEX CAULK WHITE","PAINTERS ACRYL-WHITE 10 OZ. LATEX CAULK WHITE","PAINTERS ACRYL-WHITE 10 OZ. LATEX CAULK WHITE","",/\W\L\white-lightning-wl30010-0-painters-acryl-white-10-oz-latex-caulk-white.jpg,/\W\L\white-lightning-wl30010-0-painters-acryl-white-10-oz-latex-caulk-white.jpg,http://www.48ws.com/images/product/W/L/white-lightning-wl30010-0-painters-acryl-white-10-oz-latex-caulk-white.jpg,white-lightning-WL30010-0-painters-acryl-white-10-oz-latex-caulk-white,white-lightning-WL30010-0-painters-acryl-white-10-oz-latex-caulk-white,,No layout updates.,Block after Info Column,,"PAINTERS ACRYL-WHITE 10 OZ. LATEX CAULK WHITE","PAINTERS ACRYL-WHITE 10 OZ. LATEX CAULK WHITE",Use config,"",0,,,0,"White Lightning",533,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","*** (This item sold as a pack of 12) *** Painter's preferred acrylic latex caulk is fast drying. For interior/exterior use. Paintable and cleans up easily with water. 25 year durability. Packaged in new plastic tube.","","","PAINTERS ACRYL-WHITE 10 OZ. LATEX CAULK WHITE",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19521","Caulks and Sealants",457014,"WL30067",,"ALL PURP ADHES-CLEAR 10 OZ. 3006 CAULK CLEAR","ALL PURP ADHES-CLEAR 10 OZ. 3006 CAULK CLEAR","ALL PURP ADHES-CLEAR 10 OZ. 3006 CAULK CLEAR","",/\W\L\white-lightning-wl30067-all-purp-adhes-clear-10-oz-3006-caulk-clear.jpg,/\W\L\white-lightning-wl30067-all-purp-adhes-clear-10-oz-3006-caulk-clear.jpg,http://www.48ws.com/images/product/W/L/white-lightning-wl30067-all-purp-adhes-clear-10-oz-3006-caulk-clear.jpg,white-lightning-WL30067-all-purp-adhes-clear-10-oz-3006-caulk-clear,white-lightning-WL30067-all-purp-adhes-clear-10-oz-3006-caulk-clear,,No layout updates.,Block after Info Column,,"ALL PURP ADHES-CLEAR 10 OZ. 3006 CAULK CLEAR","ALL PURP ADHES-CLEAR 10 OZ. 3006 CAULK CLEAR",Use config,"",0,,,0,"White Lightning",533,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","For use on interior and exterior doors and windows, baseboards, siding, tubs, sinks and showers.<br><li>Provides a smooth, professional application with excellent flexibility and elasticity.<br><li>Cured caulk is mildew and rust resistant.<br><li>Ideal for filling joints and openings around doors, windows, baseboards, trim, siding and vents.<br><li>Exceeds performance requirements of ASTM C-834.","","","","ALL PURP ADHES-CLEAR 10 OZ. 3006 CAULK CLEAR",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28040","Adhesive Caulks",457434,"WL00610",,"ALL PURP ADHES-GRAY 10 OZ. 3006 CAULK GRAY SILICONIZED ACRYLIC LATEX","ALL PURP ADHES-GRAY 10 OZ. 3006 CAULK GRAY SILICONIZED ACRYLIC LATEX","ALL PURP ADHES-GRAY 10 OZ. 3006 CAULK GRAY SILICONIZED ACRYLIC LATEX","",/\W\L\white-lightning-wl00610-all-purp-adhes-gray-10-oz-3006-caulk-gray-siliconized-acrylic-latex.jpg,/\W\L\white-lightning-wl00610-all-purp-adhes-gray-10-oz-3006-caulk-gray-siliconized-acrylic-latex.jpg,http://www.48ws.com/images/product/W/L/white-lightning-wl00610-all-purp-adhes-gray-10-oz-3006-caulk-gray-siliconized-acrylic-latex.jpg,white-lightning-WL00610-all-purp-adhes-gray-10-oz-3006-caulk-gray-siliconized-acrylic-latex,white-lightning-WL00610-all-purp-adhes-gray-10-oz-3006-caulk-gray-siliconized-acrylic-latex,,No layout updates.,Block after Info Column,,"ALL PURP ADHES-GRAY 10 OZ. 3006 CAULK GRAY SILICONIZED ACRYLIC LATEX","ALL PURP ADHES-GRAY 10 OZ. 3006 CAULK GRAY SILICONIZED ACRYLIC LATEX",Use config,"",0,,,0,"White Lightning",533,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Sale Unit: CARTRIDGE<br><li>Brand: White Lightning<br><li>Series: 3006<br><li>Chemical Base: Acrylic Latex<br><li>Material Compatibility: Concrete; Drywall; Glass; Masonry; Metal; Wood","","","","ALL PURP ADHES-GRAY 10 OZ. 3006 CAULK GRAY SILICONIZED ACRYLIC LATEX",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28040","Adhesive Caulks",457435,"WL01010",,"ALL PURP ADHES-ALMOND 10 OZ 3006 CAULK ALMOND","ALL PURP ADHES-ALMOND 10 OZ 3006 CAULK ALMOND","ALL PURP ADHES-ALMOND 10 OZ 3006 CAULK ALMOND","",/\W\L\white-lightning-wl01010-all-purp-adhes-almond-10-oz-3006-caulk-almond.jpg,/\W\L\white-lightning-wl01010-all-purp-adhes-almond-10-oz-3006-caulk-almond.jpg,http://www.48ws.com/images/product/W/L/white-lightning-wl01010-all-purp-adhes-almond-10-oz-3006-caulk-almond.jpg,white-lightning-WL01010-all-purp-adhes-almond-10-oz-3006-caulk-almond,white-lightning-WL01010-all-purp-adhes-almond-10-oz-3006-caulk-almond,,No layout updates.,Block after Info Column,,"ALL PURP ADHES-ALMOND 10 OZ 3006 CAULK ALMOND","ALL PURP ADHES-ALMOND 10 OZ 3006 CAULK ALMOND",Use config,"",0,,,0,"White Lightning",533,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Sale Unit: CARTRIDGE<br><li>Brand: White Lightning<br><li>Series: 3006<br><li>Chemical Base: Acrylic Latex<br><li>Material Compatibility: Concrete; Drywall; Glass; Masonry; Metal; Wood","","","","ALL PURP ADHES-ALMOND 10 OZ 3006 CAULK ALMOND",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
