store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"21971","Bench Vises",37456,"63301",,"5&quot; Jaw Width Swivel Shop","","5&quot; Jaw Width Swivel Shop","Wilton Shop Vises have heavy-duty castings with a 30,000 PSI ductile iron body built for rugged use and extended life. Each has the capability of handling pipe as well as mounting to the bench with 3 mounting posts providing more stability and secure hold",/\6\3\63301-Jet-5-Jaw-Width-Swivel.jpg,/\6\3\63301-Jet-5-Jaw-Width-Swivel.jpg,http://www.48ws.com/images/product/6/3/63301-Jet-5-Jaw-Width-Swivel.jpg,63301-Jet-5-Jaw-Width-Swivel-Shop,63301-Jet-5-Jaw-Width-Swivel-Shop,,No layout updates.,Block after Info Column,,"5&quot; Jaw Width Swivel Shop","5&quot; Jaw Width Swivel Shop",Use config,"http://www.wiltontools.com/us/manufacturing/en/wilton/product.html?node=4546&product=273847",0,,,0,"Wilton",335,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Wilton Shop Vises have heavy-duty castings with a 30,000 PSI ductile iron body built for rugged use and extended life. Each has the capability of handling pipe as well as mounting to the bench with 3 mounting posts providing more stability and secure hold.","<li>Model Number: WS5</li>
<li>Gross Weight: 30.05lbs</li>
<li>Jaw Width: 5&quot;</li>
","","","63301 Wilton 5&quot; Jaw Width Swivel Shop","5&quot; Jaw Width Swivel Shop",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"707|24625","Clamping Tools|Clamping Tools",37457,"63110",,"3/4&quot; Pipe Clamp Fixtures","","3/4&quot; Pipe Clamp Fixtures","Designed for use on any length 3/4&quot; threaded pipe. 
Clamps are high strength iron and have steel components. 
Multiple disc clutch provides instant adjustment, secure hold and quick release.",/\6\3\63110-Jet-34-Pipe-Clamp.jpg,/\6\3\63110-Jet-34-Pipe-Clamp.jpg,http://www.48ws.com/images/product/6/3/63110-Jet-34-Pipe-Clamp.jpg,63110-Jet-34-Pipe-Clamp-Fixtures,63110-Jet-34-Pipe-Clamp-Fixtures,,No layout updates.,Block after Info Column,,"3/4&quot; Pipe Clamp Fixtures","3/4&quot; Pipe Clamp Fixtures",Use config,"http://www.jettools.com",0,,,0,"Wilton",335,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Designed for use on any length 3/4&quot; threaded pipe. 
Clamps are high strength iron and have steel components. 
Multiple disc clutch provides instant adjustment, secure hold and quick release.","<li>Model Number: 709828</li>
<li>Gross Weight:2.6lbs</li>","","","63110 Wilton 3/4&quot; Pipe Clamp Fixtures","3/4&quot; Pipe Clamp Fixtures",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24625","Clamping Tools",37458,"41421",,"WILTON 41421 142C 2^ C-CLAMP 140 Series 1-1/8 Throat Depth","Wilton - Malleable Iron C-Clamps","WILTON 41421 142C 2^ C-CLAMP 140 Series 1-1/8 Throat Depth","C-Clamp Carded 0 - 2” Opening Capacity, 1-1/8” Throat Depth",/\4\1\41421-Jet-Malleable-Iron-C.jpg,/\4\1\41421-Jet-Malleable-Iron-C.jpg,http://www.48ws.com/images/product/4/1/41421-Jet-Malleable-Iron-C.jpg,wilton-41421-wilton-41421-142c-2-c-clamp-140-series-1-18-throat-depth,wilton-41421-wilton-41421-142c-2-c-clamp-140-series-1-18-throat-depth,,No layout updates.,Block after Info Column,,"WILTON 41421 142C 2^ C-CLAMP 140 Series 1-1/8 Throat Depth","WILTON 41421 142C 2^ C-CLAMP 140 Series 1-1/8 Throat Depth",Use config,"https://www.wiltontools.com/us/en/home/",0,,,0,"Wilton",335,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"C-Clamp Carded 0 - 2&quot; Opening Capacity, 1-1/8&quot; Throat Depth","<li>Model Nuumber: 142c</li>
<li>Gross Weight: 0.27lbs</li>
<li>Max Opening Capacity: 0-2&quot;</li>
<li>Throat Depth: 1-1/8&quot;</li>","<ul>
<li>Rugged ductile iron frames with black oxide spindle, swivel pads and sliding cross pin handle</li>
<li>Designed for the home craftsman, woodworker and light industrial service</li>
<li>Oscillating head</li>
<li>Wilton's heaviest-duty carriage clamp available</li>
</ul>","1990741421","C-Clamp Carded 0 - 2” Opening Capacity, 1-1/8” Throat Depth","WILTON 41421 142C 2^ C-CLAMP 140 Series 1-1/8 Throat Depth",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24625","Clamping Tools",37459,"41409",,"C-Clamp Carded 0 - 8&quot; Opening Capacity, 4&quot; Throat Depth","Wilton - Malleable Iron C-Clamps","C-Clamp Carded 0 - 8&quot; Opening Capacity, 4&quot; Throat Depth","C-Clamp Carded 0 - 8” Opening Capacity, 4” Throat Depth",/\4\1\41409-Jet-Malleable-Iron-C.jpg,/\4\1\41409-Jet-Malleable-Iron-C.jpg,http://www.48ws.com/images/product/4/1/41409-Jet-Malleable-Iron-C.jpg,41409-Jet-Malleable-Iron-C-Clamp,41409-Jet-Malleable-Iron-C-Clamp,,No layout updates.,Block after Info Column,,"C-Clamp Carded 0 - 8&quot; Opening Capacity, 4&quot; Throat Depth","C-Clamp Carded 0 - 8&quot; Opening Capacity, 4&quot; Throat Depth",Use config,"http://www.wiltontools.com/us/manufacturing/en/wilton/product.html?node=4544&product=361279",0,,,0,"Wilton",335,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"C-Clamp Carded 0 - 8&quot; Opening Capacity, 4&quot; Throat Depth","Rugged ductile iron frames with black oxide spindle, swivel pads and sliding cross pin handle. 
Designed for the home craftsman, woodworker and light industrial service 
Oscillating head. 
Wilton's heaviest-duty carriage clamp available. 
","","","C-Clamp Carded 0 - 8” Opening Capacity, 4” Throat Depth","C-Clamp Carded 0 - 8&quot; Opening Capacity, 4&quot; Throat Depth",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24625","Clamping Tools",37463,"41405",,"C-Clamp Carded 0 - 3&quot; Opening Capacity, 2&quot; Throat Depth","Wilton - Malleable Iron C-Clamps","C-Clamp Carded 0 - 3&quot; Opening Capacity, 2&quot; Throat Depth","C-Clamp Carded 0 - 3” Opening Capacity, 2” Throat Depth",/\4\1\41405-Jet-Malleable-Iron-C.jpg,/\4\1\41405-Jet-Malleable-Iron-C.jpg,http://www.48ws.com/images/product/4/1/41405-Jet-Malleable-Iron-C.jpg,41405-Jet-Malleable-Iron-C-Clamp,41405-Jet-Malleable-Iron-C-Clamp,,No layout updates.,Block after Info Column,,"C-Clamp Carded 0 - 3&quot; Opening Capacity, 2&quot; Throat Depth","C-Clamp Carded 0 - 3&quot; Opening Capacity, 2&quot; Throat Depth",Use config,"http://www.wiltontools.com/us/manufacturing/en/wilton/product.html?node=4544&product=361275",0,,,0,"Wilton",335,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"C-Clamp Carded 0 - 3&quot; Opening Capacity, 2&quot; Throat Depth","Rugged ductile iron frames with black oxide spindle, swivel pads and sliding cross pin handle. 
Designed for the home craftsman, woodworker and light industrial service 
Oscillating head. 
Wilton's heaviest-duty carriage clamp available.","","","C-Clamp Carded 0 - 3” Opening Capacity, 2” Throat Depth","C-Clamp Carded 0 - 3&quot; Opening Capacity, 2&quot; Throat Depth",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"275|21899","Chisels|Chisels",37469,"33601",,"33601 Wilton Chisel","","33601 Wilton Chisel","2-1/8&quot; X 11&quot; FLOOR CHISEL     ",/\3\3\33601-Wilton.gif,/\3\3\33601-Wilton.gif,http://www.48ws.com/images/product/3/3/33601-Wilton.gif,33601-Wilton-Chisel,33601-Wilton-Chisel,,No layout updates.,Block after Info Column,,"33601 Wilton Chisel","33601 Wilton Chisel",Use config,"",0,,,0,"Wilton",335,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"2-1/8&quot; X 11&quot; FLOOR CHISEL     ","","","","33601 Wilton Chisel","33601 Wilton Chisel",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"275|21899","Chisels|Chisels",37471,"32504",,"Cold Chisel","","Cold Chisel","1/2&quot; X 6&quot; COLD CHISEL         ",/\3\2\32504-Wilton-Cold.gif,/\3\2\32504-Wilton-Cold.gif,http://www.48ws.com/images/product/3/2/32504-Wilton-Cold.gif,32504-Wilton-Cold-Chisel,32504-Wilton-Cold-Chisel,,No layout updates.,Block after Info Column,,"Cold Chisel","Cold Chisel",Use config,"",0,,,0,"Wilton",335,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"1/2&quot; X 6&quot; COLD CHISEL         ","","","","32504 Wilton Cold Chisel","Cold Chisel",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21633","C Clamps",37490,"22006",,"WILTON 22006 8^ C-CLAMP 540A-8 540A Series 3-1/4 Throat Depth","","WILTON 22006 8^ C-CLAMP 540A-8 540A Series 3-1/4 Throat Depth","Wilton Carriage C-Clamps are ideal for light industrial, woodworking and repair applications. They feature a black oxide coating, oscillating head, and sliding cross pin handle.",/\2\2\22006-Wilton-Iron-Ductile-C.jpg,/\2\2\22006-Wilton-Iron-Ductile-C.jpg,http://www.48ws.com/images/product/2/2/22006-Wilton-Iron-Ductile-C.jpg,wilton-22006-wilton-22006-8-c-clamp-540a-8-540a-series-3-14-throat-depth,wilton-22006-wilton-22006-8-c-clamp-540a-8-540a-series-3-14-throat-depth,,No layout updates.,Block after Info Column,,"WILTON 22006 8^ C-CLAMP 540A-8 540A Series 3-1/4 Throat Depth","WILTON 22006 8^ C-CLAMP 540A-8 540A Series 3-1/4 Throat Depth",Use config,"https://www.wiltontools.com/us/en/home/",0,,,0,"Wilton",335,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Wilton Carriage C-Clamps are ideal for light industrial, woodworking and repair applications. They feature a black oxide coating, oscillating head, and sliding cross pin handle.","Frames made from high strength ductile iron castings. 
Sliding pin (vise type) handle, single acme thread rolled spindle and oscillating ball and socket tip. 
Wilton's heaviest-duty carriage clamp available 
Lifetime Warranty.","<ul>
<li>Frames made from high strength ductile iron castings</li>
<li>Sliding pin (vise type) handle, single acme thread rolled spindle and oscillating ball and socket tip</li>
<li>Wilton's heaviest-duty carriage clamp available</li>
<li>Lifetime Warranty</li>
</ul>","1990722006","22006 Wilton Iron Ductile C-Clamp","WILTON 22006 8^ C-CLAMP 540A-8 540A Series 3-1/4 Throat Depth",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"707|24625","Clamping Tools|Clamping Tools",37495,"22005",,"Ductile Iron C-Clamp","","Ductile Iron C-Clamp","Wilton Carriage C-Clamps are ideal for light industrial, woodworking and repair applications. They feature a black oxide coating, oscillating head, and sliding cross pin handle.",/\2\2\22005-Wilton-Ductile-Iron-C.jpg,/\2\2\22005-Wilton-Ductile-Iron-C.jpg,http://www.48ws.com/images/product/2/2/22005-Wilton-Ductile-Iron-C.jpg,22005-Wilton-Ductile-Iron-C-Clamp,22005-Wilton-Ductile-Iron-C-Clamp,,No layout updates.,Block after Info Column,,"Ductile Iron C-Clamp","Ductile Iron C-Clamp",Use config,"http://www.wiltontools.com/us/manufacturing/en/wilton/product.html?node=4544&product=361140",0,,,0,"Wilton",335,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Wilton Carriage C-Clamps are ideal for light industrial, woodworking and repair applications. They feature a black oxide coating, oscillating head, and sliding cross pin handle.","Frames made from high strength ductile iron castings. 
Sliding pin (vise type) handle, single acme thread rolled spindle and oscillating ball and socket tip. 
Wilton's heaviest-duty carriage clamp available. 
Lifetime Warranty.","<li>Model Number: 540A-6</li>
<li>Overall Dimensions: 1.2x5.4x10</li>
<li>Gross Weight: 3.05lbs</li>
<li>Opening Capacity Max: 0-6&quot;</li>
<li>Normal Clamp Pressure: 2,450lbs</li>
<li>Spindle Diameter: 5/8&quot;</li>
<li>Throat Depth:2 3/4&quot;</li>","","22005 Wilton Ductile Iron C-Clamp","Ductile Iron C-Clamp",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"707|24625","Clamping Tools|Clamping Tools",37497,"22003",,"Ductile Iron C-Clamp","","Ductile Iron C-Clamp","Wilton Carriage C-Clamps are ideal for light industrial, woodworking and repair applications. They feature a black oxide coating, oscillating head, and sliding cross pin handle.",/\2\2\22003-Wilton-Ductile-Iron-C.jpg,/\2\2\22003-Wilton-Ductile-Iron-C.jpg,http://www.48ws.com/images/product/2/2/22003-Wilton-Ductile-Iron-C.jpg,22003-Wilton-Ductile-Iron-C-Clamp,22003-Wilton-Ductile-Iron-C-Clamp,,No layout updates.,Block after Info Column,,"Ductile Iron C-Clamp","Ductile Iron C-Clamp",Use config,"http://www.wiltontools.com/us/manufacturing/en/wilton/product.html?node=4544&product=361138",0,,,0,"Wilton",335,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Wilton Carriage C-Clamps are ideal for light industrial, woodworking and repair applications. They feature a black oxide coating, oscillating head, and sliding cross pin handle.","Frames made from high strength ductile iron castings. 
Sliding pin (vise type) handle, single acme thread rolled spindle and oscillating ball and socket tip. 
Wilton's heaviest-duty carriage clamp available 
Lifetime Warranty.","<li>Model Number: 540A-4</li>
<li>Overall Dimensions: 1.4x4.5x8.8</li>
<li>Gross Weight: 2.1lbs</li>
<li>Max Opening Capacity: 0-4&quot;</li>
<li>Normal Clamp Pressuer: 2,150 lbs</li>
<li>Spindle Diameter: 5/8&quot;</li>
<li>Throat Depth: 2 1/16&quot;</li>","","22003 Wilton Ductile Iron C-Clamp","Ductile Iron C-Clamp",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
