store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"21926","Sockets and Bits",37323,"410",,"8 piece Deep Socket Set","1/2&quot; Drive 8 Piece Set","8 piece Deep Socket Set","Weight: 2.96",/\4\1\410-Wright-Tool-Company-8-piece-Deep-Socket.jpg,/\4\1\410-Wright-Tool-Company-8-piece-Deep-Socket.jpg,http://www.48ws.com/images/product/4/1/410-Wright-Tool-Company-8-piece-Deep-Socket.jpg,wright-tool-company-410-,wright-tool-company-410-,,No layout updates.,Block after Info Column,,"8 piece Deep Socket Set","8 piece Deep Socket Set",Use config,"http://www.wrighttool.com/",0,,,0,"Wright Tool Company",321,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Weight: 2.96","<br/><ul><li>Patented Wright Drive® distributes contact over a larger surface area for greater gripping power and strength.</li><li>Forged and Machined for Best Fit and Unyielding Strength</li><li>Precision Heat-Treated and Tempered for optimal Hardness, ","","76799004109","6 Point Deep Sockets, 1/2&quot; - 15/16&quot;<br/>Width: 1.0 inches<br/>Height: 3.5 inches<br/>Length: 10.0 inches","8 piece Deep Socket Set",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21939","Sockets",37324,"4524",,"6 Piece Chrome Deep Socket Set","1/2&quot; Drive 6 Point Deep Socket","6 Piece Chrome Deep Socket Set","Size: 3/4&quot;<br>
Weight: 0.34<br>
Nom Size: 3/4&quot;<br>
Shape: II<br>
L: 3-3/64&quot;<br>
Ds: 1-5/64&quot;<br>
Dd: -<br>
Bd: 2-21/64&quot;",/\4\5\4524-Wright-Tool-Company-6-Piece-Chrome-Deep-Socket.gif,/\4\5\4524-Wright-Tool-Company-6-Piece-Chrome-Deep-Socket.gif,http://www.48ws.com/images/product/4/5/4524-Wright-Tool-Company-6-Piece-Chrome-Deep-Socket.gif,wright-tool-company-4524-,wright-tool-company-4524-,,No layout updates.,Block after Info Column,,"6 Piece Chrome Deep Socket Set","6 Piece Chrome Deep Socket Set",Use config,"http://www.wrighttool.com/",0,,,0,"Wright Tool Company",321,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Size: 3/4&quot;<br>
Weight: 0.34<br>
Nom Size: 3/4&quot;<br>
Shape: II<br>
L: 3-3/64&quot;<br>
Ds: 1-5/64&quot;<br>
Dd: -<br>
Bd: 2-21/64&quot;","<br/><ul><li>Patented Wright Drive® distributes contact over a larger surface area for greater gripping power and strength.</li><li>Forged and Machined for Best Fit and Unyielding Strength</li><li>Precision Heat-Treated and Tempered for optimal Hardness, ","","76799045249","3/4&quot;<br/>Width: 1.06 inches<br/>Height: 3.05 inches<br/>Length: 1.06 inches","6 Piece Chrome Deep Socket Set",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21939","Sockets",37325,"4530",,"15/16&quot; - 1/2&quot; Deep Chrome Socket Set","1/2&quot; Drive 6 Point Deep Socket","15/16&quot; - 1/2&quot; Deep Chrome Socket Set","Size: 15/16&quot;<br>
Weight: 0.54<br>
Nom. Size: 15/16&quot;<br>
Shape: II<br>
L: 3-3/64&quot;<br>
Ds: 1-19/64&quot;<br>
Dd: -<br>
Bd: 2-17/64&quot;",/\4\5\4530-Wright-Tool-Company-1516-12-Deep-Chrome-Socket.gif,/\4\5\4530-Wright-Tool-Company-1516-12-Deep-Chrome-Socket.gif,http://www.48ws.com/images/product/4/5/4530-Wright-Tool-Company-1516-12-Deep-Chrome-Socket.gif,wright-tool-company-4530-,wright-tool-company-4530-,,No layout updates.,Block after Info Column,,"15/16&quot; - 1/2&quot; Deep Chrome Socket Set","15/16&quot; - 1/2&quot; Deep Chrome Socket Set",Use config,"http://www.wrighttool.com/",0,,,0,"Wright Tool Company",321,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Size: 15/16&quot;<br>
Weight: 0.54<br>
Nom. Size: 15/16&quot;<br>
Shape: II<br>
L: 3-3/64&quot;<br>
Ds: 1-19/64&quot;<br>
Dd: -<br>
Bd: 2-17/64&quot;","<br/><ul><li>Patented Wright Drive® distributes contact over a larger surface area for greater gripping power and strength.</li><li>Forged and Machined for Best Fit and Unyielding Strength</li><li>Precision Heat-Treated and Tempered for optimal Hardness, ","","76799045300","15/16&quot;<br/>Width: 1.28 inches<br/>Height: 3.05 inches<br/>Length: 1.28 inches","15/16&quot; - 1/2&quot; Deep Chrome Socket Set",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21926","Sockets and Bits",37332,"328",,"3/8&quot; 13 Piece Socket Set","3/8&quot; Drive 11 Piece Metal Boxed Set","3/8&quot; 13 Piece Socket Set","<b>Set Includes:</b><br>
<li>3/8&quot;</li>
<li>7/16&quot;</li>
<li>1/2&quot;</li>
<li>9/16&quot;</li>
<li>5/8&quot;</li>
<li>11/16&quot;</li>
<li>3/4&quot;</li>
<li>13/16&quot;</li>
<li>7/8&quot;</li>
<li>Ratchet</li>
<li>5&quot; Extension</li>
<li>Flex Handle</li>
<li>Universal</li>
<li>M",/\3\2\328-Wright-Tool-Company-38-13-Piece-Socket.jpg,/\3\2\328-Wright-Tool-Company-38-13-Piece-Socket.jpg,http://www.48ws.com/images/product/3/2/328-Wright-Tool-Company-38-13-Piece-Socket.jpg,wright-tool-company-328-,wright-tool-company-328-,,No layout updates.,Block after Info Column,,"3/8&quot; 13 Piece Socket Set","3/8&quot; 13 Piece Socket Set",Use config,"http://www.wrighttool.com/",0,,,0,"Wright Tool Company",321,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"<b>Set Includes:</b><br>
<li>3/8&quot;</li>
<li>7/16&quot;</li>
<li>1/2&quot;</li>
<li>9/16&quot;</li>
<li>5/8&quot;</li>
<li>11/16&quot;</li>
<li>3/4&quot;</li>
<li>13/16&quot;</li>
<li>7/8&quot;</li>
<li>Ratchet</li>
<li>5&quot; Extension</li>
<li>Flex Handle</li>
<li>Universal</li>
<li>Metal Box</li>","<br/><ul><li>Patented Wright Drive® distributes contact over a larger surface area for greater gripping power and strength.</li><li>Forged and Machined for Best Fit and Unyielding Strength</li><li>Precision Heat-Treated and Tempered for optimal Hardness, ","","76799003287","12 Point Standard Sockets, 3/8&quot; - 7/8&quot;, Ratchet, 6&quot; Extension<br/>Width: 4.25 inches<br/>Height: 1.5 inches<br/>Length: 8.13 inches","3/8&quot; 13 Piece Socket Set",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1182|21939","Sockets|Sockets",37334,"A41",,"Wright Tool Company","","Wright Tool Company","1/2&quot; DR 16 PC STD SOCKET SET<br></br>
12 PT - 7/16&quot; - 1-1/4&quot;        ",/\A\4\A41-Wright-Tool.jpg,/\A\4\A41-Wright-Tool.jpg,http://www.48ws.com/images/product/A/4/A41-Wright-Tool.jpg,A41-Wright-Tool-Company,A41-Wright-Tool-Company,,No layout updates.,Block after Info Column,,"Wright Tool Company","Wright Tool Company",Use config,"http://www.wrighttool.com/online_catalog.asp",0,,,0,"Wright Tool Company",321,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"1/2&quot; DR 16 PC STD SOCKET SET<br></br>
12 PT - 7/16&quot; - 1-1/4&quot;        ","","","","A41 Wright Tool Company","Wright Tool Company",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"27973","Crowfoot Wrenches",633350,"10-10MM",,"","Crowfoot Wrench 3/8&quot; Drive Metric","","",/\1\0\wright-tool-company-10-10mm-.jpg,/\1\0\wright-tool-company-10-10mm-.jpg,http://www.48ws.com/images/product/1/0/wright-tool-company-10-10mm-.jpg,wright-tool-company-10-10MM-,wright-tool-company-10-10MM-,,No layout updates.,Block after Info Column,,"","",Use config,"http://www.wrighttool.com/",0,,,0,"Wright Tool Company",321,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br/><ul><li>Open end fits into tight spaces</li><li>Provides right angle access to fasteners</li><li>Made from alloy steel for strength & durability</li><li>Polished Chrome-Plated Finish</li><li>Designed & Engineered in USA</li></ul><br/>","","76799725202","10mm<br/>Width: 1.19 inches<br/>Height: 0.78 inches<br/>Length: 0.2 inches","",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"27973","Crowfoot Wrenches",633351,"10-11MM",,"","Crowfoot Wrench 3/8&quot; Drive Metric","","",/\1\0\wright-tool-company-10-10mm-- 1.jpg,/\1\0\wright-tool-company-10-10mm-- 1.jpg,http://www.48ws.com/images/product/1/0/wright-tool-company-10-10mm-- 1.jpg,wright-tool-company-10-11MM-,wright-tool-company-10-11MM-,,No layout updates.,Block after Info Column,,"","",Use config,"http://www.wrighttool.com/",0,,,0,"Wright Tool Company",321,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br/><ul><li>Open end fits into tight spaces</li><li>Provides right angle access to fasteners</li><li>Made from alloy steel for strength & durability</li><li>Polished Chrome-Plated Finish</li><li>Designed & Engineered in USA</li></ul><br/>","","76799725219","11mm<br/>Width: 1.27 inches<br/>Height: 0.88 inches<br/>Length: 0.2 inches","",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"27973","Crowfoot Wrenches",633352,"10-12MM",,"","Crowfoot Wrench 3/8&quot; Drive Metric","","",/\1\0\wright-tool-company-10-10mm-- 1.jpg,/\1\0\wright-tool-company-10-10mm-- 1.jpg,http://www.48ws.com/images/product/1/0/wright-tool-company-10-10mm-- 1.jpg,wright-tool-company-10-12MM-,wright-tool-company-10-12MM-,,No layout updates.,Block after Info Column,,"","",Use config,"http://www.wrighttool.com/",0,,,0,"Wright Tool Company",321,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br/><ul><li>Open end fits into tight spaces</li><li>Provides right angle access to fasteners</li><li>Made from alloy steel for strength & durability</li><li>Polished Chrome-Plated Finish</li><li>Designed & Engineered in USA</li></ul><br/>","","76799725226","12mm<br/>Width: 1.38 inches<br/>Height: 0.97 inches<br/>Length: 0.25 inches","",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"27973","Crowfoot Wrenches",633353,"10-13MM",,"","Crowfoot Wrench 3/8&quot; Drive Metric","","",/\1\0\wright-tool-company-10-10mm-- 1.jpg,/\1\0\wright-tool-company-10-10mm-- 1.jpg,http://www.48ws.com/images/product/1/0/wright-tool-company-10-10mm-- 1.jpg,wright-tool-company-10-13MM-,wright-tool-company-10-13MM-,,No layout updates.,Block after Info Column,,"","",Use config,"http://www.wrighttool.com/",0,,,0,"Wright Tool Company",321,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br/><ul><li>Open end fits into tight spaces</li><li>Provides right angle access to fasteners</li><li>Made from alloy steel for strength & durability</li><li>Polished Chrome-Plated Finish</li><li>Designed & Engineered in USA</li></ul><br/>","","76799725233","13mm<br/>Width: 1.38 inches<br/>Height: 0.97 inches<br/>Length: 0.025 inches","",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"27973","Crowfoot Wrenches",633354,"10-14MM",,"","Crowfoot Wrench 3/8&quot; Drive Metric","","",/\1\0\wright-tool-company-10-14mm-.jpg,/\1\0\wright-tool-company-10-14mm-.jpg,http://www.48ws.com/images/product/1/0/wright-tool-company-10-14mm-.jpg,wright-tool-company-10-14MM-,wright-tool-company-10-14MM-,,No layout updates.,Block after Info Column,,"","",Use config,"http://www.wrighttool.com/",0,,,0,"Wright Tool Company",321,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br/><ul><li>Open end fits into tight spaces</li><li>Provides right angle access to fasteners</li><li>Made from alloy steel for strength & durability</li><li>Polished Chrome-Plated Finish</li><li>Designed & Engineered in USA</li></ul><br/>","","76799725240","14mm<br/>Width: 1.34 inches<br/>Height: 1.16 inches<br/>Length: 0.25 inches","",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
