store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"1724|25802","Anti-Vibration Gloves|Anti-Vibration Gloves and Wraps",175309,"03-3200-78",,"Anti-Vibe XT","","Anti-Vibe XT","",/\0\3\youngstown-glove-company-03-3200-78-anti-vibe-xt.jpg,/\0\3\youngstown-glove-company-03-3200-78-anti-vibe-xt.jpg,http://www.48ws.com/images/product/0/3/youngstown-glove-company-03-3200-78-anti-vibe-xt.jpg,youngstown-glove-company-03-3200-78-anti-vibe-xt,youngstown-glove-company-03-3200-78-anti-vibe-xt,,No layout updates.,Block after Info Column,,"Anti-Vibe XT","Anti-Vibe XT",Use config,"http://www.ytgloves.com/products.asp?productId=273&categoryId=42&subCategoryId=0&subCategory2Id=0",0,,,0,"Youngstown Glove Company",1022,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Youngstown's Anti-Vibe XT is designed to reduce vibration from pneumatic and vibrating tools or repetitive motions. The glove features strategically placed 5.0mm memory foam on the palm and thumb. A unique 360 degree wrist wrap offers unrivaled wrist support while also relieving tension throughout your forearm, elbow and shoulder. Take care of yourself and use this glove.","<li>Unique 360 Wrist Support Relieves Arm Tension</li>									<li>5.0mm Memory Foam Dampens Shock & Vibration </li>									<li>Extensive Non-Slip Reinforcement on Palm, Fingers & Thumb</li>									<li>Double Knuckle Protection on Top of Hand</li>									<li>Terry Cloth Thumb for Wiping Sweat and Debris</li>									<li>Heavy Duty and Top Notch Protection</li>									<li>Machine Washable/Air Dry</li>									<li><a href=''http://www.ytgloves.com/sizechart/sizechartamazon.pdf'' target=''_blank''>Size Chart</a> </li>","","","","Anti-Vibe XT",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25809","Cold-Condition Gloves",175310,"05-3470-99",,"Camo Waterproof Winter","","Camo Waterproof Winter","",/\0\5\youngstown-glove-company-05-3470-99-camo-waterproof-winter.jpg,/\0\5\youngstown-glove-company-05-3470-99-camo-waterproof-winter.jpg,http://www.48ws.com/images/product/0/5/youngstown-glove-company-05-3470-99-camo-waterproof-winter.jpg,youngstown-glove-company-05-3470-99-camo-waterproof-winter,youngstown-glove-company-05-3470-99-camo-waterproof-winter,,No layout updates.,Block after Info Column,,"Camo Waterproof Winter","Camo Waterproof Winter",Use config,"http://www.ytgloves.com/products.asp?productId=263&categoryId=40&subCategoryId=0&subCategory2Id=0",0,,,0,"Youngstown Glove Company",1022,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Youngstown's CAMO Waterproof Winter glove is warm, lined and 100% waterproof and windproof. Features Mossy Oak Break-Up Camo Pattern on top of hand and a unique Wool/Fleece Liner that regulates temperature. Designed for both Winter Work and Winter Recreation.","<li>Features popular Mossy Oak Break-Up Camo Pattern on Top of Hand</li>									<li>100% Waterproof & Windproof to Keep Hands Warm and Dry</li>									<li>Double Layer of Synthetic Suede on Palm, Fingers & Thumb for Abrasion Resistance</li>									<li>Incredible Wool/Fleece Blend Sportwool Liner provides Exceptional Warmth</li>									<li><a href=''http://www.ytgloves.com/Flyers/Camo.pdf'' target=''_blank''''>Download Flyer</a> </li>									<li><a href=''http://www.ytgloves.com/sizechart/sizechartamazon.pdf'' target=''_blank''>Size Chart</a> </li>","","","","Camo Waterproof Winter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25827","Mechanics Gloves",175311,"03-3110-80",,"Carpenter Plus","","Carpenter Plus","",/\0\3\youngstown-glove-company-03-3110-80-carpenter-plus.jpg,/\0\3\youngstown-glove-company-03-3110-80-carpenter-plus.jpg,http://www.48ws.com/images/product/0/3/youngstown-glove-company-03-3110-80-carpenter-plus.jpg,youngstown-glove-company-03-3110-80-carpenter-plus,youngstown-glove-company-03-3110-80-carpenter-plus,,No layout updates.,Block after Info Column,,"Carpenter Plus","Carpenter Plus",Use config,"http://www.ytgloves.com/products.asp?productId=266&categoryId=41&subCategoryId=0&subCategory2Id=0",0,,,0,"Youngstown Glove Company",1022,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Youngstown's Carpenter Plus features Shortened Fingers and Thumb for true Fingertip Dexterity when handling nails, screws, wires other small items. The glove is form-fit and non-slip reinforced for lasting durability and grip.","<li>Cut-Finger Style for Fingertip Dexterity</li>									<li>Durable, Non-Slip Reinforced Palm, Fingers & Thumb</li>									<li>Non-Slip Reinforced Thumb & Finger Saddle</li>									<li>Terry Cloth Thumb for Wiping Sweat and Debris</li>									<li>Neoprene Cuff Adds Support and Secures Fits</li>									<li>Machine Washable/Air Dry</li>									<li><a href=''http://www.ytgloves.com/Flyers/Carpenter%20Plus%20Flyer.pdf'' target=''_blank''''>Download Flyer</a> </li>									<li><a href=''http://www.ytgloves.com/sizechart/sizechartamazon.pdf'' target=''_blank''>Size Chart</a> </li>","","","","Carpenter Plus",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"238|25827","Mechanic Gloves|Mechanics Gloves",175312,"12-3270-80",,"FR Mechanics Hybrid","","FR Mechanics Hybrid","",/\1\2\youngstown-glove-company-12-3270-80-fr-mechanics-hybrid.jpg,/\1\2\youngstown-glove-company-12-3270-80-fr-mechanics-hybrid.jpg,http://www.48ws.com/images/product/1/2/youngstown-glove-company-12-3270-80-fr-mechanics-hybrid.jpg,youngstown-glove-company-12-3270-80-fr-mechanics-hybrid,youngstown-glove-company-12-3270-80-fr-mechanics-hybrid,,No layout updates.,Block after Info Column,,"FR Mechanics Hybrid","FR Mechanics Hybrid",Use config,"http://www.ytgloves.com/products.asp?productId=308&categoryId=49&subCategoryId=0&subCategory2Id=0",0,,,0,"Youngstown Glove Company",1022,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The FR Mechanics Hybrid is a versatile and comfortable FR work glove, which offers an excellent combination of dexterity, comfort, durability and protection. The high quality goatskin palm is lined with 100% Kevlar fiber to enhance the FR properties and provide cut-resistance. The top of the glove is made with Nomex fiber by DuPont and provides excellent breathability in addition to its flame resistant properties. The entire glove is sewn into an ergonomic, 3D pattern for unmatched comfort and dexterity. Meets NFPA 70e  2012 Standard. Flame-Resistant. Dexterous. Durable.","<li>Meets NFPA 70e  2012 Standard</li>									<li>Flame-Resistant - Exceeds ASTM F2302 & D6413 Standard</li>									<li>ARC-RATED 12 cal/cm (HRC 2)</li>									<li>Cut Resistant Palm - Rates Level 2 on ANSI/ISEA 105-2005</li>									<li>Palm is 5X More Cut-Resistant than Unlined Leather</li>									<li>Top of Hand Made with FR Nomex Fiber</li>									<li>Ergonomic, 3D Glove Pattern Form-fits to Hand</li>									<li>Incredible Combination Of Dexterity, Comfort And Protection</li>									<li>Kevlar is a Registered Trademark of DuPont and/or its affiliates.</li>									<li>href=''http://www.ytgloves.com/sizechart/sizechartamazon.pdf'' target=''_blank''>Size Chart </li>","","","","FR Mechanics Hybrid",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"234|27824","Kevlar Gloves|Kevlar Gloves",175313,"11-3285-60",,"FR Waterproof Leather Lined with Kevlar","","FR Waterproof Leather Lined with Kevlar","",/\1\1\youngstown-glove-company-11-3285-60-fr-waterproof-leather-lined-with-kevlar.jpg,/\1\1\youngstown-glove-company-11-3285-60-fr-waterproof-leather-lined-with-kevlar.jpg,http://www.48ws.com/images/product/1/1/youngstown-glove-company-11-3285-60-fr-waterproof-leather-lined-with-kevlar.jpg,youngstown-glove-company-11-3285-60-fr-waterproof-leather-lined-with-kevlar,youngstown-glove-company-11-3285-60-fr-waterproof-leather-lined-with-kevlar,,No layout updates.,Block after Info Column,,"FR Waterproof Leather Lined with Kevlar","FR Waterproof Leather Lined with Kevlar",Use config,"http://www.ytgloves.com/products.asp?productId=309&categoryId=49&subCategoryId=0&subCategory2Id=0",0,,,0,"Youngstown Glove Company",1022,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Youngstowns FR Waterproof Leather Utility lined with Kevlar is a winterized, waterproof, flame-resistant and cut-resistant leather glove designed to keep hands warm, dry and protected. It is made of triple layer technology consisting of a high quality goatskin outer shell, 100% waterproof & windproof membrane and a liner made of 100% Kevlar fiber. The entire glove is sewn into an ergonomic, 3D pattern to provide superior dexterity, comfort and durability. ARC RATED to 50 cal/cm (HRC 4). Meets NFPA 70e  2012 Standard. Flame-Resistant. Cut-Resistant. Waterproof.","<li>Meets NFPA 70e  2012 Standard</li>									<li>Flame Resistant - Exceeds ASTM F2302 & D6413 Standard</li>									<li>ARC-RATED 50 cal/cm (HRC 4)</li>									<li>Cut-Resistant Level 2 on ANSI/ISEA 105-2005 Standard</li>									<li>5X More Cut-Resistant than Unlined Leather</li>									<li>100% Waterproof & Windproof</li>									<li>4 Safety Cuff for Wrist Protection</li>									<li>Keeps Hands Warm, Dry & Protected</li>									<li>Form-Fit to Hand for Superior Dexterity & Safety</li>									<li>Kevlar is a Registered Trademark of DuPont and/or its affiliates.</li>									<li>href=''http://www.ytgloves.com/sizechart/sizechartamazon.pdf'' target=''_blank''>Size Chart </li>","","","","FR Waterproof Leather Lined with Kevlar",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"234|27824","Kevlar Gloves|Kevlar Gloves",175314,"12-3290-60",,"FR Waterproof Ultimate lined with Kevlar","","FR Waterproof Ultimate lined with Kevlar","",/\1\2\youngstown-glove-company-12-3290-60-fr-waterproof-ultimate-lined-with-kevlar.jpg,/\1\2\youngstown-glove-company-12-3290-60-fr-waterproof-ultimate-lined-with-kevlar.jpg,http://www.48ws.com/images/product/1/2/youngstown-glove-company-12-3290-60-fr-waterproof-ultimate-lined-with-kevlar.jpg,youngstown-glove-company-12-3290-60-fr-waterproof-ultimate-lined-with-kevlar,youngstown-glove-company-12-3290-60-fr-waterproof-ultimate-lined-with-kevlar,,No layout updates.,Block after Info Column,,"FR Waterproof Ultimate lined with Kevlar","FR Waterproof Ultimate lined with Kevlar",Use config,"http://www.ytgloves.com/products.asp?productId=306&categoryId=49&subCategoryId=0&subCategory2Id=0",0,,,0,"Youngstown Glove Company",1022,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Youngstowns FR Waterproof Ultimate lined with Kevlar is a winterized, waterproof leather glove designed to provide FR protection and warmth in extreme cold and wet conditions. This glove is made of the finest FR materials combined in a 4 layer system consisting of: FR Cowhide leather, Insulation made of FR Nomex, FR Waterproof Membrane and a liner made of Kevlar fiber. It is sewn into a 3D, ergonomic pattern to provide superior dexterity and lasting durability and comfort. Meets NFPA 70e  2012 Standard.","<li>Meets NFPA 70e  2012 Standard</li>									<li>Flame Resistant - Exceeds ASTM D6413 and F2302</li>									<li>ARC-RATED 55 Cal/cm (HRC 4)</li>									<li>Cut-Resistant Level 2 on ANSI/ISEA 105-2005 Standard</li>									<li>Almost 5X More Cut-Resistant than Unlined Leather</li>									<li>Insulation composed of FR NOMEX for Added Warmth</li>									<li>100% Waterproof featuring FR Porelle Membrane</li>									<li>FR Cowhide Outer Shell</li>									<li>Ergonomic 3D Pattern Form-Fits to Hand</li>									<li>Cut Resistant Liner Made of Kevlar Fiber Increases Durability</li>									<li>Kevlar is a registered trademark of DuPont and/or its affiliates.</li>									<li>href=''http://www.ytgloves.com/sizechart/sizechartamazon.pdf'' target=''_blank''>Size Chart </li>","","","","FR Waterproof Ultimate lined with Kevlar",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25826","Leather Palm Gloves",175315,"06-3230-60",,"Fusion XT","","Fusion XT","",/\0\6\youngstown-glove-company-06-3230-60-fusion-xt.jpg,/\0\6\youngstown-glove-company-06-3230-60-fusion-xt.jpg,http://www.48ws.com/images/product/0/6/youngstown-glove-company-06-3230-60-fusion-xt.jpg,youngstown-glove-company-06-3230-60-fusion-xt,youngstown-glove-company-06-3230-60-fusion-xt,,No layout updates.,Block after Info Column,,"Fusion XT","Fusion XT",Use config,"http://www.ytgloves.com/products.asp?productId=274&categoryId=42&subCategoryId=0&subCategory2Id=0",0,,,0,"Youngstown Glove Company",1022,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The Fusion XT combines a unique blend of a goat skin leather palm with a technical top of hand sewn into a form-fit performance glove pattern.","<li>Unique Fusion of Leather & Synthetic Fabrics</li>									<li>Durable, Washable Goatskin Palm is treated to not shrink, stretch or harden </li>									<li>Heavy Duty Padded Knuckle Protection</li>									<li>Terry Cloth Thumb for Wiping Sweat and Debris</li>									<li>Slip-Fit Safety Cuff for Superior Breathability</li>									<li>Traditional Feel of Leather Fused into a Form-Fit Performance Glove Pattern</li>									<li>Machine Washable/Air Dry</li>									<li><a href=''http://www.ytgloves.com/Flyers/Fusion%20XT%20Flyer.pdf'' target=''_blank''''>Download Flyer</a> </li>									<li><a href=''http://www.ytgloves.com/sizechart/sizechartamazon.pdf'' target=''_blank''>Size Chart</a> </li>","","","","Fusion XT",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"234|27824","Kevlar Gloves|Kevlar Gloves",175316,"05-3080-70",,"General Utility Lined with Kevlar","","General Utility Lined with Kevlar","",/\0\5\youngstown-glove-company-05-3080-70-general-utility-lined-with-kevlar.jpg,/\0\5\youngstown-glove-company-05-3080-70-general-utility-lined-with-kevlar.jpg,http://www.48ws.com/images/product/0/5/youngstown-glove-company-05-3080-70-general-utility-lined-with-kevlar.jpg,youngstown-glove-company-05-3080-70-general-utility-lined-with-kevlar,youngstown-glove-company-05-3080-70-general-utility-lined-with-kevlar,,No layout updates.,Block after Info Column,,"General Utility Lined with Kevlar","General Utility Lined with Kevlar",Use config,"http://www.ytgloves.com/products.asp?productId=281&categoryId=48&subCategoryId=0&subCategory2Id=0",0,,,0,"Youngstown Glove Company",1022,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"We took our best selling Utility design and lined every inch of the glove with Kevlar fiber to create the worlds first cut-resistant performance glove. This incredible glove is dexterous, cut-resistant and extremely durable. Ideal for a wide range of applications where total hand protection is required.","<li>Entirely Lined with Cut-Resistant DuPont Kevlar Fiber</li>									<li>Palm Exceeds a Cut Performance Level 3 Rating according to ANSI/ISEA 105-2005 Standard</li>									<li>Durable, Non-Slip Reinforced Fingers, Palm & Thumb</li>									<li>Neoprene Cuff Adds Support and Secures Fits</li>									<li>Terry Cloth Thumb for Wiping Sweat and Debris</li>									<li>Machine Washable/Air Dry</li>									<li>Available in 3XL Without Increase in Price</li>									<li><a href=''http://www.ytgloves.com/sizechart/sizechartamazon.pdf'' target=''_blank''>Size Chart</a> </li>","","","","General Utility Lined with Kevlar",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25827","Mechanics Gloves",175317,"03-3060-80",,"General Utility Plus","","General Utility Plus","",/\0\3\youngstown-glove-company-03-3060-80-general-utility-plus.jpg,/\0\3\youngstown-glove-company-03-3060-80-general-utility-plus.jpg,http://www.48ws.com/images/product/0/3/youngstown-glove-company-03-3060-80-general-utility-plus.jpg,youngstown-glove-company-03-3060-80-general-utility-plus,youngstown-glove-company-03-3060-80-general-utility-plus,,No layout updates.,Block after Info Column,,"General Utility Plus","General Utility Plus",Use config,"http://www.ytgloves.com/products.asp?productId=269&categoryId=48&subCategoryId=0&subCategory2Id=0",0,,,0,"Youngstown Glove Company",1022,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Youngstown's # 1 Seller! All-Purpose and Abrasion-Resistant - This is the ideal performance work glove. Heavy duty non-slip reinforcement on the palm, fingers and thumb ensures lasting durability and grip. The ergonomic design reduces hand fatigue while enhancing wrist support. Features a terry cloth brow wipe on the thumb. This glove is ideal for any number of rugged applications.","<li>Durable Non-Slip Reinforcement on Palm, Fingers & Thumb</li>									<li>Neoprene Cuff Adds Support and Secures Fit. </li>									<li>Breathable Stretch Nylon on Top of Hand Wicks Moisture and Heat</li>									<li>Terry Cloth Thumb for Wiping Sweat and Debris</li>									<li>Machine Washable/Air Dry</li>									<li><a href=''http://www.ytgloves.com/sizechart/sizechartamazon.pdf'' target=''_blank''>Size Chart</a> </li>","","","","General Utility Plus",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25827","Mechanics Gloves",175318,"04-3500-70",,"Heavy Utility XT","","Heavy Utility XT","",/\0\4\youngstown-glove-company-04-3500-70-heavy-utility-xt.jpg,/\0\4\youngstown-glove-company-04-3500-70-heavy-utility-xt.jpg,http://www.48ws.com/images/product/0/4/youngstown-glove-company-04-3500-70-heavy-utility-xt.jpg,youngstown-glove-company-04-3500-70-heavy-utility-xt,youngstown-glove-company-04-3500-70-heavy-utility-xt,,No layout updates.,Block after Info Column,,"Heavy Utility XT","Heavy Utility XT",Use config,"http://www.ytgloves.com/products.asp?productId=303&categoryId=49&subCategoryId=0&subCategory2Id=0",0,,,0,"Youngstown Glove Company",1022,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Youngstowns Heavy Utility XT is a heavy duty performance work glove featuring a 4 safety cuff and non-slip SuperSaddle. The top of hand features double knuckle protection and moisture wicking stretch nylon. The palm is a base layer of synthetic leather with non-slip reinforcement for grip and durability. The 4 safety cuff provides superior wrist protection from splinters when handling wood or climbing.","<li>4 safety cuff for increased wrist protection</li>									<li>Double knuckle protection</li>									<li>Non-Slip Reinforcement for Grip and Durability</li>									<li>Youngstowns signature SuperSaddle</li>									<li>Breathable stretch nylon on top of hand </li>									<li>Terry cloth adorns thumb for wiping away sweat and debris</li>									<li>Available in Sizes Small through XXL</li>									<li><a href=''http://www.ytgloves.com/sizechart/sizechartamazon.pdf'' target=''_blank''>Size Chart</a> </li>","","","","Heavy Utility XT",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
