store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"2663|24124","General Surface Protection|Surface Protection Films",12618,"4-Pack Plus",,"Four Pack Plus","","Four Pack Plus","ZipWall Four Pack Plus",/\4\P\ZipWall-Four-Pack.jpg,/\4\P\ZipWall-Four-Pack.jpg,http://www.48ws.com/images/product/4/P/ZipWall-Four-Pack.jpg,ZipWall-Four-Pack-Plus,ZipWall-Four-Pack-Plus,,No layout updates.,Block after Info Column,,"Four Pack Plus","Four Pack Plus",Use config,"http://www.zipwall.com/products/4-pack-plus",0,,,0,"ZipWall",160,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ZipWall Four Pack Plus","<b>Package Includes:</b><br></br>
<li>4 SLPs</li><li>
2 Foam Rail cross bars </li><li>
4 Grip Disks </li><li>
2 ZipWall standard zippers </li><li>
1 Carry bag</li>","The 4 Pack Plus is a great package to start out with. It comes with four poles, enough to build a barrier in many configurations, plus 2 Foam Rail&trade; cross bars to seal straight across the ceiling without marring it. It also comes with a Carry Bag large enough to accommodate up to eight more poles or Foam Rails. If you are a contractor, keep a 4 pack plus in each truck so there will always ZipWall&reg; system on the job. If you are a home owner keep a 4-pack-plus on hand for those messy projects. <br></br>

The 4 Pack Plus also comes with two ZipWall&reg; Standard Zippers. This zipper is great for interior work in temperatures above 55 degrees, and it's easy to install. The Standard Zipper makes getting in and out of the work area a cinch.","","ZipWall Four Pack Plus","Four Pack Plus",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2663|24124","General Surface Protection|Surface Protection Films",12619,"SLP 2 Pack",,"SLP 2 Pack","","SLP 2 Pack","ZipWall SLP 2 Pack",/\S\L\ZipWall-SLP-2.jpg,/\S\L\ZipWall-SLP-2.jpg,http://www.48ws.com/images/product/S/L/ZipWall-SLP-2.jpg,ZipWall-SLP-2-Pack,ZipWall-SLP-2-Pack,,No layout updates.,Block after Info Column,,"SLP 2 Pack","SLP 2 Pack",Use config,"http://www.zipwall.com/products",0,,,0,"ZipWall",160,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ZipWall SLP 2 Pack","<b>Package Includes:</b><br></br>
<li>2 spring loaded poles </li><li>
2 grip disks </li><li>
2 tethers</li>","The SLP2 comes with two of our Spring Loaded Poles and is great when you need a bunch of poles for a big job. It's also an economical way to add SLP&trade; poles to your ZipWall&reg; system. <br></br>

The SLP&trade; pole has the spring loaded plunger built right into the pole, yet the SLP&trade; pole weighs in at just over a pound and a half. This makes them hard working on the job yet easy to handle and transport. The poles extend from 4' 9&quot; to 12', just right to reach any standard ceiling. This product has received raves from This Old House magazine, Remodeling magazine, and many others. The readers of Building Products magazine gave the ZipWall&reg; system the Readers' Choice Award for 2006.","","ZipWall SLP 2 Pack","SLP 2 Pack",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2663|24124","General Surface Protection|Surface Protection Films",12620,"SLP 6 Pack",,"SLP 6 Pack","","SLP 6 Pack","ZipWall SLP 6 Pack",/\S\L\ZipWall-SLP-6.jpg,/\S\L\ZipWall-SLP-6.jpg,http://www.48ws.com/images/product/S/L/ZipWall-SLP-6.jpg,ZipWall-SLP-6-Pack,ZipWall-SLP-6-Pack,,No layout updates.,Block after Info Column,,"SLP 6 Pack","SLP 6 Pack",Use config,"http://www.zipwall.com/products/slp-6-pack",0,,,0,"ZipWall",160,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ZipWall SLP 6 Pack","<b>Package Includes:</b><br></br>
<li>6 spring loaded poles </li><li>
6 grip disks </li><li>
6 tethers</li>","The SLP6 comes with six of our Spring Loaded Poles and is great when you need a bunch of poles for a big job. It's also an economical way to add SLP&trade; poles to your ZipWall&reg; system. <br></br>

The SLP&trade; pole has the spring loaded plunger built right into the pole, yet the SLP&trade; pole weighs in at just over a pound and a half. This makes them hard working on the job yet easy to handle and transport. The poles extend from 4' 9&quot; to 12', just right to reach any standard ceiling. This product has received raves from This Old House magazine, Remodeling magazine, and many others. The readers of Building Products magazine gave the ZipWall&reg; system the Readers' Choice Award for 2006.","","ZipWall SLP 6 Pack","SLP 6 Pack",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2663|24124","General Surface Protection|Surface Protection Films",12621,"ZipPole 2-Pack",,"ZipPole 2-Pack","","ZipPole 2-Pack","ZipWall ZipPole 2-Pack",/\Z\i\ZipWall-ZipPole-2.jpg,/\Z\i\ZipWall-ZipPole-2.jpg,http://www.48ws.com/images/product/Z/i/ZipWall-ZipPole-2.jpg,ZipWall-ZipPole-2-Pack,ZipWall-ZipPole-2-Pack,,No layout updates.,Block after Info Column,,"ZipPole 2-Pack","ZipPole 2-Pack",Use config,"http://www.zipwall.com/products",0,,,0,"ZipWall",160,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ZipWall ZipPole 2-Pack","2 ZipPole&trade; steel Spring Loaded Poles, a head, plate, tether, and GripDisk&trade; for each pole. Plastic sheeting is not included.<BR></br>

<li>Height range: 4' 2&quot; to 10' 3&quot;</li><li>
Patented twist-locking, spring-loaded design</li><li>
No tape, no ladders, no damage</li><li>
Works with ZipWall&reg; accessories</li><li>
Works in positive and negative air</li><li>
Tough, steel construction</li><li>
Strong, supports 80 lbs</li><li>
For residential or commercial jobs</li>","The ZipPole&trade; product is our new low-cost steel product. About half the cost of our original aluminum poles, the ZipPole&trade; product is strong, lightweight and compact.<br></br>
The ZipPole&trade; product has a baked-on finish and weighs just 1.5lbs each. They can accept plastic or cloth sheeting up to 8 mils thick and can be used with Foam Rails&trade;, Side Packs&trade;, Heavy Duty or Standard Zippers.  Poles should be placed every 8' to 10' or closer if there is a lot of air movement. Use a GripDisk&trade; under each pole to secure it on smooth flooring like vinyl or wood.","","ZipWall ZipPole 2-Pack","ZipPole 2-Pack",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2663|24124","General Surface Protection|Surface Protection Films",12622,"ZipPole 4-Pack",,"ZipPole 4-Pack","","ZipPole 4-Pack","ZipWall ZipPole 4-Pack",/\Z\i\ZipWall-ZipPole-4.jpg,/\Z\i\ZipWall-ZipPole-4.jpg,http://www.48ws.com/images/product/Z/i/ZipWall-ZipPole-4.jpg,ZipWall-ZipPole-4-Pack,ZipWall-ZipPole-4-Pack,,No layout updates.,Block after Info Column,,"ZipPole 4-Pack","ZipPole 4-Pack",Use config,"http://www.zipwall.com/products",0,,,0,"ZipWall",160,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ZipWall ZipPole 4-Pack","4 ZipPole&trade; steel Spring Loaded Poles, a head, plate, tether, and GripDisk&trade; for each pole, a heavy duty Carry Bag, and a box of 2 Standard Zippers. Plastic sheeting is not included.<br></br>
<li>Height range: 4' 2&quot; to 10' 3&quot;</li><li>
Patented twist-locking, spring-loaded design</li><li>
No tape, no ladders, no damage</li><li>
Works with ZipWall&reg; accessories</li><li>
Works in positive and negative air</li><li>
Tough, steel construction</li><li>
Strong, supports 80 lbs</li><li>
For residential or commercial jobs</li>","The ZipPole&trade; product is our new low-cost steel product. About half the cost of our original aluminum poles, the ZipPole&trade; product is strong, lightweight and compact. The ZP4 gives you everything you need to make a 30 foot long barrier.<br></br>

The ZipPole&trade; product has a baked-on finish and weighs just 1.5lbs each. They can accept plastic or cloth sheeting up to 8 mils thick and can be used with Foam Rails&trade;, Side Packs&trade;, Heavy Duty or Standard Zippers.  Poles should be placed every 8' to 10' or closer if there is a lot of air movement. Use a GripDisk&trade; under each pole to secure it on smooth flooring like vinyl or wood.","","ZipWall ZipPole 4-Pack","ZipPole 4-Pack",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2663|24124","General Surface Protection|Surface Protection Films",12623,"Kit 20",,"Kit 20","","Kit 20","ZipWall Kit 20",/\K\i\ZipWall-Kit.jpg,/\K\i\ZipWall-Kit.jpg,http://www.48ws.com/images/product/K/i/ZipWall-Kit.jpg,ZipWall-Kit-20,ZipWall-Kit-20,,No layout updates.,Block after Info Column,,"Kit 20","Kit 20",Use config,"http://www.zipwall.com/products/kit-20",0,,,0,"ZipWall",160,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ZipWall Kit 20","<b>Package Includes:</b><br></br>
<li>2 20 foot extension poles </li><li>
2 spring-loaded jacks </li><li>
2 grip disks </li><li>
2 tethers</li>","The Kit 20 package is ideal for any job with a ceiling height from 6 feet 9 inches to 21 feet. Just try putting up a 20 foot high barrier using a step ladder, it's impossible. But with the ZipWall&reg; Kit 20 poles, you can have a tight barrier up in just minutes without your feet ever leaving the ground. <br></br>

The ZipWall&reg; Kit 20 is used in commercial sites such as malls, building foyers, stairwells, and any place with a ceiling height up to 21 feet. Many residential contractors have several pairs for those jobs with vaulted ceilings, grand staircases, and foyers. If you need to put up a barrier in these situations the Kit 20 is the only way to go.","","ZipWall Kit 20","Kit 20",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2663|24124","General Surface Protection|Surface Protection Films",12624,"FR2",,"Foam Rail Cross Bars","","Foam Rail Cross Bars","ZipWall Foam Rail Cross Bars",/\F\R\ZipWall-Foam-Rail-Cross.jpg,/\F\R\ZipWall-Foam-Rail-Cross.jpg,http://www.48ws.com/images/product/F/R/ZipWall-Foam-Rail-Cross.jpg,ZipWall-Foam-Rail-Cross-Bars,ZipWall-Foam-Rail-Cross-Bars,,No layout updates.,Block after Info Column,,"Foam Rail Cross Bars","Foam Rail Cross Bars",Use config,"http://www.zipwall.com/products/foam-rail%E2%84%A2-crossbars",0,,,0,"ZipWall",160,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ZipWall Foam Rail Cross Bars","<b>Package Includes:</b><br></br>
<li>2 five foot Foam Rail cross bars </li><li>
2 T-clips</li>","Imagine how it would feel to have a contractor run duct tape across your perfect ceiling, or a drive in a row of staples or screws just to create a tight seal with plastic sheeting? With the Foam Rail&trade; cross bars you'll never have to find out. The Foam Rail&trade; cross bar works with the SLP&trade; or Kit 20 poles to create a virtually airtight seal by pushing its foam edge against the plastic and ceiling. Each rail is 5 feet long and is made of strong, lightweight aluminum. The spring loaded pole holds it in place and it takes just seconds to install with out damaging a thing.","","ZipWall Foam Rail Cross Bars","Foam Rail Cross Bars",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2663|24124","General Surface Protection|Surface Protection Films",12625,"Side Clamps",,"Side Clamps","","Side Clamps","Each Side Clamp™ wall mount is made of polycarbonate and is very tough. ",/\S\i\ZipWall-Side.jpg,/\S\i\ZipWall-Side.jpg,http://www.48ws.com/images/product/S/i/ZipWall-Side.jpg,ZipWall-Side-Clamps,ZipWall-Side-Clamps,,No layout updates.,Block after Info Column,,"Side Clamps","Side Clamps",Use config,"http://www.zipwall.com/products/side-clamp%E2%84%A2-wall-mounts",0,,,0,"ZipWall",160,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Each Side Clamp&trade; wall mount is made of polycarbonate and is very tough. ","<b>Package Includes:</b><br></br>
<li>2 Side Clamps</li>","Never damage another wall. With the ZipWall&reg; Side Clamp and Foam Rail, you can create a tight seal without tape. The Side Clamp&trade; wall mount snaps onto the Foam Rail&trade; cross bar and then pushes the plastic against the wall to create a dust tight edge. It's a crazy looking tool but it's quick and easy to use. Take a look at the short video demos listed on this page, one shows the Side Clamp&trade; wall mount in action. Also, take a look at our Side Pack which includes Side Clamps&trade;, Foam Rails&trade;, and a Custom Bag.","","ZipWall Side Clamps","Side Clamps",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2663|24124","General Surface Protection|Surface Protection Films",12626,"Side Pack",,"Side Pack","","Side Pack","Each Side Clamp™ wall mount is made of polycarbonate and is very tough. The Foam Rail™ cross bars included in this package are a special three foot size. The length of the rails in the Foam Rail™ 2pack are five feet.",/\S\i\ZipWall-Side- 1.jpg,/\S\i\ZipWall-Side- 1.jpg,http://www.48ws.com/images/product/S/i/ZipWall-Side- 1.jpg,ZipWall-Side-Pack,ZipWall-Side-Pack,,No layout updates.,Block after Info Column,,"Side Pack","Side Pack",Use config,"http://www.zipwall.com/products",0,,,0,"ZipWall",160,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Each Side Clamp&trade; wall mount is made of polycarbonate and is very tough. The Foam Rail&trade; cross bars included in this package are a special three foot size. The length of the rails in the Foam Rail&trade; 2pack are five feet.","<b>Package Includes:</b><br></br>
<li>6 Side Clamp wall mounts</li><li>
6 special 3 foot Foam Rail wall mounts </li><li>
Custom bag</li>","Never cause damage again with nails, strapping or tape. Use the Side Pack instead. It has everything you need to seal both sides of your ZipWall&reg; barrier. It comes with 6 special 3 foot Foam Rail&trade; crossbars, 6 Side Clamp&trade; wall mounts, and a custom bag to carry everything. To seal the sides of the barrier, attach the Foam Rails to the Side Clamps, and then latch them to the poles next to the wall. The Foam Rails will push the plastic against the wall, creating a tight seal. Overlapping them, enables you to completely seal any wall up to 9 feet high.","","ZipWall Side Pack","Side Pack",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2663|24124","General Surface Protection|Surface Protection Films",12627,"Standard Zipper",,"Standard Zipper","","Standard Zipper","Makes an easy doorway through plastic barriers ",/\S\t\ZipWall-Standard.jpg,/\S\t\ZipWall-Standard.jpg,http://www.48ws.com/images/product/S/t/ZipWall-Standard.jpg,ZipWall-Standard-Zipper,ZipWall-Standard-Zipper,,No layout updates.,Block after Info Column,,"Standard Zipper","Standard Zipper",Use config,"http://www.zipwall.com/products",0,,,0,"ZipWall",160,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Makes an easy doorway through plastic barriers ","<b>Package Includes:</b><br></br>
<li>Two 7-foot self-adhesive zippers</li><li>
Two tie strings to support openings </li><li>
Instruction sheet </li><li>
Case pack size: 16 3/4&quot; X 7 1/4&quot; X 9 3/4&quot; contains 12 boxes</li><br></br>

<b>Designed by the manufacturers of the award-winning ZipWall&reg; dust barrier systems, this accessory:</b><br></br>
<li>has the smoothest glide available</li><li>
is engineered with large sturdy easy-slide teeth</li><li>
is made with 2-sided pulls for easy entry/exit to or from the barrier</li><li>
works best in temperatures above 55 degrees Fahrenheit</li><br></br>
The ZipWall&reg; Zipper Knife&trade; sheeting cutter does not work with this zipper.","Put a doorway anywhere on your barrier using the self adhesive ZipWall&reg; Standard zipper. Just remove the paper backing and stick the zipper to the barrier. It's easy, and since everyone knows how to use a zipper, no one will cut through, knock down or teardown your barrier trying to get through it. The Standard Zipper is great for interior barriers where the temperature is above 55 degrees. This zipper is included in the 4 Pack Plus.","","ZipWall Standard Zipper","Standard Zipper",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
