category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
223|25662,Manual Rope Grab|Rope Grabs,0113,"Steel Dual Cam Rope Grab, Fall Protection 5/8"" and 3/4""","3M 0113 Steel Dual Cam Rope Grab, Fall Protection 5/8"" and 3/4""",E:\IMAGES\ITEMS\product\0\1\3M-0113-Steel-Dual-Cam-Rope-Grab-Fall-Protection-58-and.jpg,3M,"3M 0113 Steel Dual Cam Rope Grab, Fall Protection 5/8"" and 3/4""","Steel Dual Cam Rope Grab, 5/8"" & 3/4"" 1 ea/case",,,"3M 0113 Steel Dual Cam Rope Grab, Fall Protection 5/8"" and 3/4""","Steel Dual Cam Rope Grab, Fall Protection 5/8"" and 3/4"""
216|25656,Non Stretch Harnesses|Harnesses,1050-R,Feather Harness Fall Protection Harness,3M 1050-R Feather Harness Fall Protection Harness,E:\IMAGES\ITEMS\product\1\0\3M-1050-R-Feather-Harness-Fall-Protection.jpg,3M,3M 1050-R Feather Harness Fall Protection Harness,Fall Protection Harness 1050-R with rescue straps has back d-ring,,,3M 1050-R Feather Harness Fall Protection Harness,Feather Harness Fall Protection Harness
221|25664,Shock Absorbing - Lanyards|Shock-Absorbing Lanyards,3560,6' Dual Leg Lanyard w/ Shock Absorber 100% Tie Off,"3M™ Dual Leg Lanyard, 100% Tie-Off 6`with Shock Absorbing Clip to Tie Back Into, Fall Protection 3560 1 EA/Case",E:\IMAGES\ITEMS\product\3\5\3M-3560-6-Dual-Leg-Lanyard-w-Shock-Absorber-100-Tie.jpg,3M,"3M™ Dual Leg Lanyard, 100% Tie-Off 6`with Shock Absorbing Clip to Tie Back Into, Fall Protection 3560 1 EA/Case",6' 100% Tie-Off Shock Absorbing Dual Leg Lanyard with Clip to Tie Back Into,,,3M 3560 6' Dual Leg Lanyard w/ Shock Absorber 100% Tie Off,6' Dual Leg Lanyard w/ Shock Absorber 100% Tie Off
216|25656,Non Stretch Harnesses|Harnesses,1051-N460-LOGO,Feather Positioning Harness with Back and Waist D-Rings,"3M™ Fall Protection Harness 1051-N460-LOGO, 1/cs",E:\IMAGES\ITEMS\product\1\0\3M-1051-N460-LOGO-Feather-Positioning-Harness-with-Back-and.jpg,3M,3M™ Fall Protection Harness,3M™ Fall Protection Harness Back waist d-rings,,,N460-LOGO,Feather Positioning Harness with Back and Waist D-Rings
221|25664,Shock Absorbing - Lanyards|Shock-Absorbing Lanyards,3561,6' Shock Absorbing Lanyard with Clip to Tie Back Into,"3M™ Shock Absorbing Lanyard, 6` with Clip to Tie Back Into, Fall Protection 3561 1 EA/Case",E:\IMAGES\ITEMS\product\3\5\3M-3561-6-Shock-Absorbing-Lanyard-with-Clip-to-Tie-Back.jpg,3M,"3M™ Shock Absorbing Lanyard, 6` with Clip to Tie Back Into, Fall Protection 3561 1 EA/Case",6' Shock Absorbing Lanyard with Clip to Tie Back Into,,,3M 3561 6' Shock Absorbing Lanyard with Clip to Tie Back Into,6' Shock Absorbing Lanyard with Clip to Tie Back Into
221|25664,Shock Absorbing - Lanyards|Shock-Absorbing Lanyards,3812,"Tybak Shock Absorbing Lanyard, Fall Protection Safety Equipment",Tybak shock absorbing lanyards employ a convenient tie-back feature that eliminates the need for additional anchorage connectors.,E:\IMAGES\ITEMS\product\3\8\3M-3812-Tybak-Shock-Absorbing-Lanyard-Fall-Protection.jpg,3M,Tybak shock absorbing lanyards employ a convenient tie-back feature that eliminates the need for additional anchorage connectors.,Length: 6ft. Web material: 12.5K Poly-nylon Shock type: Shock Pack Color: Gray 1 double locking snaphook and 1 double locking tie-back carabiner Weight capacity: 310,"3M Fall Protection equipment has earned the confidence of companies and workers across the country by offering a broad line of fall protection products and systems. With products designed to meet fall protection standards, we're committed to meeting your unique fall protection needs with our focus on custom solutions for your job site. Connecting devices link the wearer to an anchor point as part of a complete fall protection system. In the event of a fall, connecting devices act as an energy absorber. They help protect workers by reducing the arresting force applied to a workers body to within safe limits. The Tybak Shock Absorbing Lanyards incoroprate SafeStop™ Absorbers and are boldly imprinted to indicate to workers they are approved to be used as a tie-back. SafeStop Shock Absorbing lanyards ensure shock impact is held to a minimum.",,"3M 3812 Tybak™ Shock Absorbing Lanyard, Fall Protection Safety Equipment","Tybak Shock Absorbing Lanyard, Fall Protection Safety Equipment"
190|25661,Roof Anchors - Temporary|Roofing Anchors,4000,"Reusable Roof Anchor, Fall Protection Safety Equipment Hinged Steel 1ea/cs",The reusable roof anchor provides a necessary tie-off to complete a fall protection system and is rated to 5000 lb. tensile strength. This reusable roof anchor is made of heavy gauge steel with a hinged design that can be fit most pitch angles.,E:\IMAGES\ITEMS\product\4\0\3M-4000-Reusable-Roof-Anchor-Fall-Protection-Safety.jpg,3M,The reusable roof anchor provides a necessary tie-off to complete a fall protection system and is rated to 5000 lb. tensile strength. This reusable roof anchor is made of heavy gauge steel with a hinged design that can be fit most pitch angles.,"Tensile Strength: 5,000 lbs.   Weight Capacity: 400 lbs.","3M Fall Protection equipment has earned the confidence of companies and workers across the country by offering a broad line of fall protection products and systems. With products designed to meet fall protection standards, we're committed to meeting your unique fall protection needs with our focus on custom solutions for your job site.  Anchorage devices can provide the necessary tie-off to complete a fall protection system. Our temporary anchorage devices are each rated to 5000 lbs. to help withstand the substantial forces applied during a fall. By offering a diverse line of both fabricated and web-based anchorage options, 3M is able to provide a reusable anchor for most any job site and help promote effective fall protection.",,"3M 4000 Reusable Roof Anchor, Fall Protection Safety Equipment Hinged Steel 1ea/cs","Reusable Roof Anchor, Fall Protection Safety Equipment Hinged Steel 1ea/cs"
186|26780,Anchorage Connectors - Temporary|Anchoring,4075,"Safeclaw Reusable Concrete Anchor, Fall Protection Safety Equipment 5000 Lb 1ea/cs",The reusable concrete anchor provides a necessary tie-off to complete a fall protection system and is rated to 5000 lb. tensile strength.,E:\IMAGES\ITEMS\product\4\0\3M-4075-Safeclaw-Reusable-Concrete-Anchor-Fall-Protection.jpg,3M,The reusable concrete anchor provides a necessary tie-off to complete a fall protection system and is rated to 5000 lb. tensile strength.,"Tensile Strength: 5,000 lbs.  Weight Capacity: 400 lbs.  Drill Hole: 3/4 inc.  Depth: 3 inch.","3M Fall Protection equipment has earned the confidence of companies and workers across the country by offering a broad line of fall protection products and systems. With products designed to meet fall protection standards, we're committed to meeting your unique fall protection needs with our focus on custom solutions for your job site.   Anchorage devices can provide the necessary tie-off to complete a fall protection system. Our temporary anchorage devices are each rated to 5000 lbs. to help withstand the substantial forces applied during a fall. By offering a diverse line of both fabricated and web-based anchorage options, 3M is able to provide a reusable anchor for most any job site and help promote effective fall protection.",,"3M™ 4075 Safeclaw Reusable Concrete Anchor, Fall Protection Safety Equipment 5000 Lb 1ea/cs","Safeclaw Reusable Concrete Anchor, Fall Protection Safety Equipment 5000 Lb 1ea/cs"
186|26780,Anchorage Connectors - Temporary|Anchoring,4077,"10,000 Lb Safeclaw Concrete Fall Protection","3M™ Safeclaw, Fall Protection 4077, 10,000 Lb 1 EA/Case",E:\IMAGES\ITEMS\product\4\0\3M-4077-10000-Lb-Safeclaw-Concrete-Fall.jpg,3M,"3M™ Safeclaw, Fall Protection 4077, 10,000 Lb 1 EA/Case","Safeclaw 10,000 Lb.",,,"3M 4077 10,000 Lb Safeclaw Concrete Fall Protection","10,000 Lb Safeclaw Concrete Fall Protection"
994|25655,Harness Accessories|Harness Accessories,5550,"D-Ring Extender, Fall Protection 1ea/case","3M 5550 D-Ring Extender, Fall Protection 1ea/case",E:\IMAGES\ITEMS\product\5\5\3M-5550-D-Ring-Extender-Fall-Protection.jpg,3M,"3M 5550 D-Ring Extender, Fall Protection 1ea/case",5550 EXTENSION,,,"3M 5550 D-Ring Extender, Fall Protection 1ea/case","D-Ring Extender, Fall Protection 1ea/case"
