category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
2623|24021,Standard Sprayers|Backpack and Pump Sprayer Accessories,19049,Xtreme Industrial Concrete Sprayer,Chapin 19049 Xtreme Industrial Concrete Sprayer,E:\IMAGES\ITEMS\product\C\h\Chapin-19049-Xtreme-Industrial-Concrete.jpg,Chapin,,Sprayer Model Number: 19049,The following parts come with this sprayer:  	 		 			Nozzle: 		 		 		 		 			Industrial Brass Fan Tip Nozzle 			 	 	 		 			Extension Wand: 		 		 		 		 			24 Industrial Brass Male Extension 			 	 	 		 			Sprayer Handle: 		 		 		 		 			KIT REPL SHUT OFF 301219 EXTR 			 	 	 		 			Hose: 		 		 		 		 			HOSE INDUSTRIAL 48 HEAVY DUTY 			 	 	 		 			Repair Kit: 		 		 		 		 			KIT Open Head EXTREME W BLISTER 			 	 	 		 			Holster: 		 		 		 		 			REPL HOLSTER 			 	 	 		 			Complete Pump: 		 		 		 		 			Complete Pump Assembly 			 	 	 		 			Outlet Tube: 		 		 		 		 			OUTLET TUBE ASSY W/VITON O-RING,,Chapin 19049 Xtreme Industrial Concrete Sprayer,Xtreme Industrial Concrete Sprayer
2623|20754,Standard Sprayers|Tire Spreaders,1949,Industrial Viton Concrete Open Head - 3.5G,Chapin 1949 Industrial Viton Concrete Open Head - 3.5G,E:\IMAGES\ITEMS\product\C\h\Chapin-1949-Industrial-Viton-Concrete-Open-Head.jpg,Chapin,,Sprayer Model Number: 1949,The following parts come with this sprayer:  	 		 			Nozzle: 		 		 		 		 			Industrial Brass Fan Tip Nozzle 			 	 	 		 			Extension Wand: 		 		 		 		 			24 Industrial Brass Male Extension 			 	 	 		 			Sprayer Handle: 		 		 		 		 			Industrial Brass Shutoff w Fitting 			 	 	 		 			Hose: 		 		 		 		 			48 Industrial Hose w Fittings 			 	 	 		 			Repair Kit: 		 		 		 		 			Seal and Gasket Kit 			 	 	 		 			Holster: 		 		 		 		 			REPL HOLSTER 			 	 	 		 			Pump Barrel Assy: 		 		 		 		 			14 in 35 6 cm Brass Pump Bar 			 	 	 		 			Pump Rod Assy: 		 		 		 		 			14 in 35 6 cm Pump Rod Assem 			 	 	 		 			Complete Pump: 		 		 		 		 			REPL COMPLETE PUMP ASSY 			 	 	 		 			Outlet Tube: 		 		 		 		 			OUTLET TUBE ASSY W/VITON O-RING,,Chapin 1949 Industrial Viton Concrete Open Head - 3.5G,Industrial Viton Concrete Open Head - 3.5G
2623|20754,Standard Sprayers|Tire Spreaders,22049,SPR 3.0G/11.4L CHAPIN XTREME OH LDBH,Chapin 22049 SPR 3.0G/11.4L CHAPIN XTREME OH LDBH,E:\IMAGES\ITEMS\product\C\h\Chapin-22049-SPR-30G114L-CHAPIN-XTREME-OH.jpg,Chapin,,Sprayer Model Number: 22049,"The following parts come with this sprayer:  	 		 			Nozzle: 		 		 		 		 			Industrial Brass Fan Tip Nozzle 			 	 	 		 			Extension Wand: 		 		 		 		 			24 Industrial Brass Male Extension 			 	 	 		 			Sprayer Handle: 		 		 		 		 			KIT REPL SHUT OFF 301219 EXTR 			 	 	 		 			Hose: 		 		 		 		 			HOSE 48"" BLK EXTREME LDBH KIT 			 	 	 		 			Complete Pump: 		 		 		 		 			Pump Assembly PRIME OH XTREME BLK CHAPIN",,Chapin 22049 SPR 3.0G/11.4L CHAPIN XTREME OH LDBH,SPR 3.0G/11.4L CHAPIN XTREME OH LDBH
2623|24021,Standard Sprayers|Backpack and Pump Sprayer Accessories,1449,3.5 Gal Metal Sprayer,Industrial Viton Concrete Funnel Top - 3.5G,E:\IMAGES\ITEMS\product\1\4\1449-Chapin-35-Gal-Metal.gif,Chapin,Industrial Viton Concrete Funnel Top - 3.5G,,,,1449 Chapin 3.5 Gal Metal Sprayer,3.5 Gal Metal Sprayer
2623|24021,Standard Sprayers|Backpack and Pump Sprayer Accessories,1480,3.5 Gal Metal Sprayer,Industrial Funnel Top General Duty - 3.5G,E:\IMAGES\ITEMS\product\1\4\1480-Chapin-35-Gal-Metal.gif,Chapin,Industrial Funnel Top General Duty - 3.5G,,,,1480 Chapin 3.5 Gal Metal Sprayer,3.5 Gal Metal Sprayer
2623|24021,Standard Sprayers|Backpack and Pump Sprayer Accessories,22170,Industrial Poly Concrete Sprayer - 3 Gallon,"3.0 gallon Industrial Concrete Poly Sprayer for form oils, curing compounds and sealers",E:\IMAGES\ITEMS\product\2\2\2217-Chapin-3-Gal-Metal.gif,Chapin,"3.0 gallon Industrial Concrete Poly Sprayer for form oils, curing compounds and sealers","Viton® seals and Gaskets Brass shut-off with Lock-on feature 24"" brass extension wand Pressure Relief valve","Industries Concrete, Decorative Concrete Applications Concrete Additives Materials Poly Brass Extension Includes a Brass extension Brass Shut off Cast in brass for durability and easy cleaning. Lock-on Feature Locks sprayer in spray mode to reduce fatigue Metal Industrial Pump Handle Chapin industrial die cast handle Nitrile Seals A synthetic rubber copolymer of acrylonitrile (ACN) and butadiene. (Note: always consult the chemical manufacturer's instructions before choosing the type of Chapin sprayer for your specific need.) Open Head Large 4 inch Opening for easy filling and cleaning. Poly Tank Polyethylene tanks - non corrosive to most fertilizers, herbicides and pesticides yet light weight and durable. Pressure Relief Valve A valve on the tank or pump cap to remove compressed air from a pressurized tank before opening to fill or clean. Reinforced Hose Reinforced Hose SureSpray® Anti-Clog Filter Patented in-tank filter that keeps debris from entering the hose, shut-off and nozzle.",,3 Gallon,Industrial Poly Concrete Sprayer - 3 Gallon
2623|24021,Standard Sprayers|Backpack and Pump Sprayer Accessories,2219,3 Gal Poly Concrete Sprayer Viton Seals and Gaskets,Industrial Poly Viton Concrete Sprayer - 3G  Sprays up to 30-35Z% Solids,E:\IMAGES\ITEMS\product\2\2\2219-Chapin-3-Gal-Poly-Concrete-Sprayer-Viton-Seals-and.gif,Chapin,Industrial Poly Viton Concrete Sprayer - 3G  Sprays up to 30-35Z% Solids,,,,2219 Chapin 3 Gal Poly Concrete Sprayer Viton Seals and Gaskets,3 Gal Poly Concrete Sprayer Viton Seals and Gaskets
2623|24021,Standard Sprayers|Backpack and Pump Sprayer Accessories,6002,Slide Sprayer,Slide Sprayer,E:\IMAGES\ITEMS\product\6\0\6002-Chapin-Slide.gif,Chapin,Slide Sprayer,,,,6002 Chapin Slide Sprayer,Slide Sprayer
2623|24021,Standard Sprayers|Backpack and Pump Sprayer Accessories,61800,Backpack Poly Sprayer,SPR 4.0G/15.1L CHAPIN POLY BACKPACK,E:\IMAGES\ITEMS\product\6\1\61800-Chapin-Backpack-Poly.gif,Chapin,SPR 4.0G/15.1L CHAPIN POLY BACKPACK,,,,61800 Chapin Backpack Poly Sprayer,Backpack Poly Sprayer
2623|20754,Standard Sprayers|Tire Spreaders,15941,Spray Nozzle for 2217/2219,"Brass fan tip 1/4"" .5 GPM female",E:\IMAGES\ITEMS\product\1\5\15941-Chapin-Spray-Nozzle-for.jpg,Chapin,"Brass fan tip 1/4"" .5 GPM female",,,,15941 Chapin Spray Nozzle for 2217/2219,Spray Nozzle for 2217/2219
