category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
30|28245,Drills - Concrete Core|Ring Closing Tools,M-1 Complete Combination Rig,M-1 Core Rig Complete,"Complete Combination Rig Includes: Anchor/vacuum base, mast, carriage, control panel, vacuum pump, ceiling jack, motor mount plate and your choice of drill motor: Core Bore, Milwaukee or Weka",E:\IMAGES\ITEMS\product\m\1\Diamond-Products-M-1-Core-Rig.jpg,Diamond Products,Diamond Products M-1 Core Rig Complete,"1"" to 10"" bit capacity (14"" with a spacer block)Dual switch/outlet control panel & amp meterSlide handle allows drilling in tight areasStreamlined base and carriage2-1/2"" square column with black oxidized finishQuick changeover from vacuum to anchor base6"" wheels for better mobility","Complete Combination Rig Includes: Anchor/vacuum base, mast, carriage, control panel, vacuum pump, ceiling jack, motor mount plate and your choice of drill motor: Core Bore, Milwaukee or Weka",,Diamond Products M-1 Core Rig Complete,M-1 Core Rig Complete
48|24837,Core Bits|Coring Bits,"Diamond Products Core Bits Utility Green ""GOL""","Core Bits Utility Green ""GOL""","Good life in general purpose coring of concrete and other hard materials - Average to Light Duty Wet DrillingGOL - General purpose, good life\r\n",E:\IMAGES\ITEMS\product\u\t\Diamond-Products-Core-Bits-Utility-Green.jpg,Diamond Products,"Diamond Products Core Bits Utility Green ""GOL""","Application - General purpose, cured concrete and hard materialsWide spaced for fast coringGood bit lifeBond : GOLCore length : 13""Segment height : .400""Hub : 1-1/4""-7Quality grade : Utility Green Core BitAvailable in the following sizes : Part #  Size  BG2000  2""  BG2500  2-1/2""  BG3000  3""  BG3500  3-1/2""  BG4000  4""  BG4500  4-1/2""  BG5000  5""  BG5500  5-1/2""  BG6000  6""","Good life in general purpose coring of concrete and other hard materials - Average to Light Duty Wet DrillingGOL - General purpose, good life\r\n",,"Diamond Products Core Bits Utility Green ""GOL""","Core Bits Utility Green ""GOL"""
48|24837,Core Bits|Coring Bits,"Diamond Products Core Bits Standard Gold ""SMF""","Core Bits Standard Gold ""SMF""","An excellent general purpose bit with good diamond concentration for fast drilling.  Designed for the occasional driller with average to light duty wet drilling.SMF - General purpose, fast drilling",E:\IMAGES\ITEMS\product\s\t\Diamond-Products-Core-Bits-Standard-Gold.jpg,Diamond Products,"Diamond Products Core Bits Standard Gold ""SMF""","Application - General purpose in hard materialsGood diamond concentrationFor average to light duty drillingBond : SMFCore length : 13""Segment height : .287""Hub : 1-1/4""-7Quality grade : Standard Gold Core BitAvailable in the following sizes :  Part #  Size  BS2000  2""  BS2250  2-1/4""  BS2500  2-1/2""  BS2750  2-3/4""  BS3000  3""  BS3250  3-1/4""  BS3500  3-1/2""  BS4000  4""  BS4250  4-1/4""  BS4500  4-1/2""  BS5000  5""  BS5500  5-1/2""  BS6000  6""  BS6250  6-1/4""  BS6500  6-1/2""  BS7000  7""  BS8000  8""  BS9000  9""  BS10000  10""  BS12000  12""  BS14000  14""  BS16000  16""","An excellent general purpose bit with good diamond concentration for fast drilling.  Designed for the occasional driller with average to light duty wet drilling.SMF - General purpose, fast drilling",,"Diamond Products Core Bits Standard Gold ""SMF""","Core Bits Standard Gold ""SMF"""
48|24837,Core Bits|Coring Bits,"Diamond Products Core Bits Standard Gold ""SMF"" Open","Core Bits Standard Gold ""SMF"" Open","An excellent general purpose bit with good diamond concentration for fast drilling.  Designed for the occasional driller with average to light duty wet drilling.SMF - General purpose, fast drilling",E:\IMAGES\ITEMS\product\s\t\Diamond-Products-Core-Bits-Standard-Gold-SMF.jpg,Diamond Products,"Diamond Products Core Bits Standard Gold ""SMF"" Open","Application - General purpose in hard materialsGood diamond concentrationFor average to light duty drillingFor use with expansion adaptorsAllows for easier retrieval of the coreBond : SMFCore length : 13""Segment height : .287""Hub : 1-1/4""-7Quality grade : Standard Gold Open End Core BitAvailable in the following sizes : Part #  Size  BSO2000  2""  BSO2500  2-1/2""  BSO3000  3""  BSO4000  4""  BSO4250  4-1/4""  BSO4500  4-1/2""  BSO5000  5""  BSO6000  6""  BSO6250  6-1/4""  BSO8000  8""","An excellent general purpose bit with good diamond concentration for fast drilling.  Designed for the occasional driller with average to light duty wet drilling.SMF - General purpose, fast drilling",,"Diamond Products Core Bits Standard Gold ""SMF"" Open","Core Bits Standard Gold ""SMF"" Open"
48|24837,Core Bits|Coring Bits,"Diamond Products Core Bits Impregnated Yellow ""B"" Bit","Core Bits Impregnated Yellow ""B"" Bit","The Impregnated Yellow was our first bit made with synthetic diamonds.  It works well in applications with prestressed cable, loose rebar and loose wire mesh.B - General purpose",E:\IMAGES\ITEMS\product\i\m\Diamond-Products-Core-Bits-Impregnated-Yellow-B.jpg,Diamond Products,"Diamond Products Core Bits Impregnated Yellow ""B"" Bit","Application - Concrete with light steel and cableContinuous Crown SegmentPrestressed cable, loose rebar and wire meshBond : BCore length : 13""Segment height : .287""Hub : 5/8""-11Quality grade : Impregnated Yellow Core BitAvailable in the following sizes: Part #  Size  BB1000  1""  BB1125  1-1/8""  BB1250  1-1/4""  BB1375  1-3/8""  BB1500  1-1/2""  BB1625  1-5/8""  BB1750  1-3/4""  BB1875  1-7/8""  BB2000  2""  BB2250  2-1/4""  BB2500  2-1/2""  BB2750  2-3/4""  BB3000  3""  BB3250  3-1/4""  BB3500  3-1/2""  BB4000  4""  BB4250  4-1/4""  BB4500  4-1/2""  BB5000  5""  BB5500  5-1/2""  BB6000  6""  BB6250  6-1/4""  BB6500  6-1/2""  BB7000  7""  BB8000  8""  BB9000  9""  BB10000  10""","The Impregnated Yellow was our first bit made with synthetic diamonds.  It works well in applications with prestressed cable, loose rebar and loose wire mesh.B - General purpose",,"Diamond Products Core Bits Impregnated Yellow ""B"" Bit","Core Bits Impregnated Yellow ""B"" Bit"
48|24837,Core Bits|Coring Bits,"Diamond Products Core Bits Impregnated Yellow ""B"" Bit Open","Core Bits Impregnated Yellow ""B"" Bit Open","The Impregnated Yellow was our first bit made with synthetic diamonds.  It works well in applications with prestressed cable, loose rebar and loose wire mesh.B - General purpose",E:\IMAGES\ITEMS\product\i\m\Diamond-Products-Core-Bits-Impregnated-Yellow-B-Bit.jpg,Diamond Products,"Diamond Products Core Bits Impregnated Yellow ""B"" Bit Open","Application - Concrete with light steel and cableContinuous Crown SegmentPrestressed cable, loose rebar and wire meshFor use with expansion adaptorsAllows for easier retrieval of the coreBond : BCore length : 13""Segment height : .287""Hub : 1-1/4""-7Quality grade : Impregnated Yellow Open End Core BitAvailable in the following sizes : Part #  Size  BBO4250  4-1/4""  BBO4500  4-1/2""  BBO5000  5""  BBO6000  6""  BBO6250  6-1/4""  BBO7000  7""  BBO8000  8""  BBO9000  9""  BBO10000  10""","The Impregnated Yellow was our first bit made with synthetic diamonds.  It works well in applications with prestressed cable, loose rebar and loose wire mesh.B - General purpose",,"Diamond Products Core Bits Impregnated Yellow ""B"" Bit Open","Core Bits Impregnated Yellow ""B"" Bit Open"
48|24837,Core Bits|Coring Bits,"Diamond Products Core Bits Heavy Duty Orange ""HOL""","Core Bits Heavy Duty Orange ""HOL""","The Heavy Duty Orange is our most popular bit.  It has a high diamond concentration for excellent footage and drilling speed.  Designed for all types of wet drilling in applications with light to moderate steel.HOL - General purpose, fast drilling",E:\IMAGES\ITEMS\product\h\e\Diamond-Products-Core-Bits-Heavy-Duty-Orange.jpg,Diamond Products,"Diamond Products Core Bits Heavy Duty Orange ""HOL""","Application - General purpose, long lifeThe industry standard in coringExcellent footage and drilling speedDesigned for applications with light to moderate steelBond : HOLCore length : 13""Segment height : .287""Quality grade : Heavy Duty Orange Core BitAvailable in the following sizes :  Part #  Size  Hub  BH500  1/2""  5/8""-11  BH625  5/8""  5/8""-11  BH750  3/4""  5/8""-11  BH875  7/8""  5/8""-11  BH1000  1""  5/8""-11  BH1125  1-1/8""  5/8""-11  BH1250  1-1/4""  5/8""-11  BH1375  1-3/8""  5/8""-11  BH1500  1-1/2""  5/8""-11  BH1625  1-5/8""  1-1/4""-7  BH1750  1-3/4""  1-1/4""-7  BH1875  1-7/8""  1-1/4""-7  BH2000  2""  1-1/4""-7  BH2250  2-1/4""  1-1/4""-7  BH2500  2-1/2""  1-1/4""-7  BH2750  2-3/4""  1-1/4""-7  BH3000  3""  1-1/4""-7  BH3250  3-1/4""  1-1/4""-7  BH3500  3-1/2""  1-1/4""-7  BH4000  4""  1-1/4""-7  BH4250  4-1/4""  1-1/4""-7  BH4500  4-1/2""  1-1/4""-7  BH5000  5""  1-1/4""-7  BH5500  5-1/2""  1-1/4""-7  BH6000  6""  1-1/4""-7  BH6250  6-1/4""  1-1/4""-7  BH6500  6-1/2""  1-1/4""-7  BH7000  7""  1-1/4""-7  BH8000  8""  1-1/4""-7  BH9000  9""  1-1/4""-7  BH10000  10""  1-1/4""-7  BH12000  12""  1-1/4""-7  BH14000  14""  1-1/4""-7  BH16000  16""  1-1/4""-7  BH18000  18""  1-1/4""-7  BH20000  20""  1-1/4""-7  BH24000  24""  1-1/4""-7","The Heavy Duty Orange is our most popular bit.  It has a high diamond concentration for excellent footage and drilling speed.  Designed for all types of wet drilling in applications with light to moderate steel.HOL - General purpose, fast drilling",,"Diamond Products Core Bits Heavy Duty Orange ""HOL""","Core Bits Heavy Duty Orange ""HOL"""
48|24837,Core Bits|Coring Bits,"Diamond Products Core Bits Heavy Duty Orange ""HOL"" Open","Core Bits Heavy Duty Orange ""HOL"" Open","The Heavy Duty Orange is our most popular bit.  It has a high diamond concentration for excellent footage and drilling speed.  Designed for all types of wet drilling in applications with light to moderate steel.HOL - General purpose, fast drilling",E:\IMAGES\ITEMS\product\h\e\Diamond-Products-Core-Bits-Heavy-Duty-Orange-HOL.jpg,Diamond Products,"Diamond Products Core Bits Heavy Duty Orange ""HOL"" Open","Application - General purpose, long lifeThe industry standard in coringExcellent footage and drilling speedDesigned for applications with light to moderate steelFor use with expansion adaptorsAllows for easier retrieval of the coreBond : HOLCore length : 13""Segment height : .287""Quality grade : Heavy Duty Orange Open End Core BitAvailable in the following sizes :  Part #  Size  Hub  BHO1000  1""  5/8""-11  BHO1125  1-1/8""  5/8""-11  BHO1250  1-1/4""  5/8""-11  BHO1500  1-1/2""  5/8""-11  BHO1750  1-3/4""  1-1/4""-7  BHO2000  2""  1-1/4""-7  BHO2500  2-1/2""  1-1/4""-7  BHO3000  3""  1-1/4""-7  BHO3500  3-1/2""  1-1/4""-7  BHO4000  4""  1-1/4""-7  BHO4250  4-1/4""  1-1/4""-7  BHO4500  4-1/2""  1-1/4""-7  BHO5000  5""  1-1/4""-7  BHO6000  6""  1-1/4""-7  BHO6250  6-1/4""  1-1/4""-7  BHO6500  6-1/2""  1-1/4""-7  BHO7000  7""  1-1/4""-7  BHO8000  8""  1-1/4""-7  BHO9000  9""  1-1/4""-7  BHO10000  10""  1-1/4""-7","The Heavy Duty Orange is our most popular bit.  It has a high diamond concentration for excellent footage and drilling speed.  Designed for all types of wet drilling in applications with light to moderate steel.HOL - General purpose, fast drilling",,"Diamond Products Core Bits Heavy Duty Orange ""HOL"" Open","Core Bits Heavy Duty Orange ""HOL"" Open"
48|24837,Core Bits|Coring Bits,"Diamond Products Core Bits Heavy Duty Orange ""HOL"" Spoke","Core Bits Heavy Duty Orange ""HOL"" Spoked","The Heavy Duty Orange is our most popular bit.  It has a high diamond concentration for excellent footage and drilling speed.  Designed for all types of wet drilling in applications with light to moderate steel.HOL - General purpose, fast drilling",E:\IMAGES\ITEMS\product\h\e\Diamond-Products-Core-Bits-Heavy-Duty-Orange-HOL.jpg,Diamond Products,"Diamond Products Core Bits Heavy Duty Orange ""HOL"" Spoked","Application - General purpose, long lifeThe industry standard in coringExcellent footage and drilling speedDesigned for applications with light to moderate steelIncludes spoke back hub with radial water sprayer which gets water to the outside edge of the bit where it is neededSpoked back hub is removeable for easier transport and less stress in the drill motor.Spoked back hub can be removed to gain access to the core.Bond : HOLSegment height : .287""Hub : 1-1/4""-7Quality grade : Heavy Duty Orange Core Bit with Spoked HubAvailable in the following sizes : Part #  Size  Core Length  BH26000  26""  28""  BH28000  28""  30""  BH30000  30""  32""  BH32000  32""  34""  BH34000  34""  36""  BH36000  36""  38""  BH38000  38""  40""  BH40000  40""  42""  BH42000  42""  44""  BH44000  44""  46""  BH46000  46""  48""  BH48000  48""  50""","The Heavy Duty Orange is our most popular bit.  It has a high diamond concentration for excellent footage and drilling speed.  Designed for all types of wet drilling in applications with light to moderate steel.HOL - General purpose, fast drilling",,"Diamond Products Core Bits Heavy Duty Orange ""HOL"" Spoked","Core Bits Heavy Duty Orange ""HOL"" Spoked"
48|24837,Core Bits|Coring Bits,"Diamond Products Core Bits Heavy Duty Orange ""HOL"" Wide","Core Bits Heavy Duty Orange ""HOL"" Wide","The Heavy Duty Orange is our most popular bit.  It has a high diamond concentration for excellent footage and drilling speed.  Designed for all types of wet drilling in applications with light to moderate steel.HOL - General purpose, fast drilling",E:\IMAGES\ITEMS\product\h\e\Diamond-Products-Core-Bits-Heavy-Duty-Orange-HOL.jpg,Diamond Products,"Diamond Products Core Bits Heavy Duty Orange ""HOL"" Wide","Application - General purpose, long lifeThe industry standard in coringExcellent footage and drilling speedDesigned for applications with light to moderate steelWide spaced bits allow less surface to surface contact which makes drilling fasterBond : HOLCore length : 13""Segment height : .287""Hub : 1-1/4""-7Quality grade : Heavy Duty Orange Wide Spaced Core BitAvailable in the following sizes : Part #  Size  BHW2000  2""  BHW2250  2-1/4""  BHW2500  2-1/2""  BHW2750  2-3/4""  BHW3000  3""  BHW3250  3-1/4""  BHW3500  3-1/2""  BHW4000  4""  BHW4250  4-1/4""  BHW4500  4-1/2""  BHW5000  5""  BHW5500  5-1/2""  BHW6000  6""  BHW6250  6-1/4""  BHW6500  6-1/2""  BHW7000  7""  BHW8000  8""  BHW9000  9""  BHW10000  10""","The Heavy Duty Orange is our most popular bit.  It has a high diamond concentration for excellent footage and drilling speed.  Designed for all types of wet drilling in applications with light to moderate steel.HOL - General purpose, fast drilling",,"Diamond Products Core Bits Heavy Duty Orange ""HOL"" Wide","Core Bits Heavy Duty Orange ""HOL"" Wide"
