category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
117|24893,Grinders | Polishers|Electric Polishers and Buffers,6.02175.42,1200 Watt Electronic Angle Polisherpe 12-175,METABO 1200 WATT ELECTRONIC ANGLE POLISHERPE 12-175,E:\IMAGES\ITEMS\product\6\0\METABO-1200-WATT-ELECTRONIC-ANGLE-POLISHERPE-12.jpg,Metabo,,Polisher for continuous professional operation Top cutting performance due to two-level reduced gear Ergonomic front flap for optimum machine control Handy like a small angle grinder Die cast aluminium gear housing Vario Tacho Constamatic (VTC) full-wave electronics Thumbwheel for preselection of speed Electronic soft start Overload protection No-volt release switch Spindle lock Auto-stop carbon brushes,"Comparative Technical Values  	 		 			Torque 		 		 			124 in-lbs 		 	 	 		 			For backing pad up to maximum 		 		 			7 "" 		 	 	 		 			Idle revolution 		 		 			700 - 2200 /min 		 	 	 		 			Rated input power 		 		 			1200 W 		 	 	 		 			Output power 		 		 			680 W 		 	 	 		 			Revolutions at rated load 		 		 			2200 /min 		 	 	 		 			Spindle thread 		 		 			5/8"" - 11 UNC 		 	 	 		 			Weight (without power cable) 		 		 			5.3 lbs 		 	   Scope of Delivery Hand guard Side handle (Delivered without buffing wheel)",,Metabo 1200 Watt Electronic Angle Polisherpe 12-175,1200 Watt Electronic Angle Polisherpe 12-175
117|24880,Grinders | Polishers|Angle Grinders,6.06418.42,2000 Watt Angle Grinder W 2000 DISC-Ø 180 MM,Metabo 2000 Watt Angle Grinder W 2000 DISC-Ø 180 MM,E:\IMAGES\ITEMS\product\6\0\Metabo-2000-Watt-Angle-Grinder-W-2000-DISC-180.jpg,Metabo,,"Robust and wear-resistant 4-pole motor Metabo safety switch: safety lock against unintentional start Additional handle adjustable according to application: left, right or upwards Die cast aluminium gear housing Auto-stop carbon brushes","Comparative Technical Values  	 		 			Grinding wheel Ø 		 		 			7 "" 		 	 	 		 			Idle revolution 		 		 			8500 /min 		 	 	 		 			Rated input power 		 		 			2000 W 		 	 	 		 			Output power 		 		 			1350 W 		 	 	 		 			Revolutions at rated load 		 		 			5600 /min 		 	 	 		 			Spindle thread 		 		 			5/8"" - 11 UNC 		 	 	 		 			Weight (without power cable) 		 		 			5700 g 		 	   Scope of Delivery Protective cover Handle",,Metabo 2000 Watt Angle Grinder W 2000 DISC-Ø 180 MM,2000 Watt Angle Grinder W 2000 DISC-Ø 180 MM
117|24880,Grinders | Polishers|Angle Grinders,6.06420.42,2000 Watt Angle Grinder W 2000 DISC-Ø 230 MM,Metabo 2000 Watt Angle Grinder W 2000 DISC-Ø 230 MM,E:\IMAGES\ITEMS\product\6\0\Metabo-2000-Watt-Angle-Grinder-W-2000-DISC-230.jpg,Metabo,,"Robust and wear-resistant 4-pole motor Metabo safety switch: safety lock against unintentional start Additional handle adjustable according to application: left, right or upwards Die cast aluminium gear housing Auto-stop carbon brushes","Comparative Technical Values  	 		 			Grinding wheel Ø 		 		 			9 "" 		 	 	 		 			Idle revolution 		 		 			6600 /min 		 	 	 		 			Rated input power 		 		 			2000 W 		 	 	 		 			Output power 		 		 			1350 W 		 	 	 		 			Revolutions at rated load 		 		 			4500 /min 		 	 	 		 			Spindle thread 		 		 			5/8"" - 11 UNC 		 	 	 		 			Weight (without power cable) 		 		 			5800 g 		 	   Scope of Delivery Protective cover Handle",,Metabo 2000 Watt Angle Grinder W 2000 DISC-Ø 230 MM,2000 Watt Angle Grinder W 2000 DISC-Ø 230 MM
117|24880,Grinders | Polishers|Angle Grinders,6.06445.42,2400 Watt Angle Grinder W 24-180,Metabo 2400 Watt Angle Grinder W 24-180,E:\IMAGES\ITEMS\product\6\0\Metabo-2400-Watt-Angle-Grinder-W-24.jpg,Metabo,,"Machine is suitable for operation with 120-Volt direct current (protective low current) Robust Metabo Marathon motor Metabo winding protection grid High efficiency and increased torque through optimum heat dissipation Metabo safety switch: safety lock against unintentional start Twist-proof protective cover, can be adjusted within seconds without tools Metabo VibraTech (MVT): Reduction in the health risks caused by hand-arm vibration thanks to the integrated shock systems Additional handle adjustable according to application: left, right or upwards Die cast aluminium gear housing Main handle rotatable without tools Auto-stop carbon brushes","Comparative Technical Values  	 		 			Grinding wheel Ø 		 		 			7 "" 		 	 	 		 			Idle revolution 		 		 			8500 /min 		 	 	 		 			Revolutions at rated load 		 		 			5800 /min 		 	 	 		 			Spindle thread 		 		 			5/8"" - 11 UNC 		 	 	 		 			Weight (without power cable) 		 		 			12.6 lbs 		 	   Scope of Delivery Protective cover Metabo VibraTech (MVT) handle",,Metabo 2400 Watt Angle Grinder W 24-180,2400 Watt Angle Grinder W 24-180
117|24880,Grinders | Polishers|Angle Grinders,6.06448.42,2400 Watt Angle Grinder W 24-230,Metabo 2400 Watt Angle Grinder W 24-230,E:\IMAGES\ITEMS\product\6\0\Metabo-2400-Watt-Angle-Grinder-W-24- 1.jpg,Metabo,,"Machine is suitable for operation with 120-Volt direct current (protective low current) Robust Metabo Marathon motor Metabo winding protection grid High efficiency and increased torque through optimum heat dissipation Metabo safety switch: safety lock against unintentional start Twist-proof protective cover, can be adjusted within seconds without tools Metabo VibraTech (MVT): Reduction in the health risks caused by hand-arm vibration thanks to the integrated shock systems Additional handle adjustable according to application: left, right or upwards Die cast aluminium gear housing Main handle rotatable without tools Auto-stop carbon brushes","Comparative Technical Values  	 		 			Grinding wheel Ø 		 		 			9 "" 		 	 	 		 			Idle revolution 		 		 			6600 /min 		 	 	 		 			Revolutions at rated load 		 		 			4600 /min 		 	 	 		 			Spindle thread 		 		 			5/8"" - 11 UNC 		 	 	 		 			Weight (without power cable) 		 		 			12.8 lbs 		 	   Scope of Delivery Protective cover Metabo VibraTech (MVT) handle",,Metabo 2400 Watt Angle Grinder W 24-230,2400 Watt Angle Grinder W 24-230
117|24880,Grinders | Polishers|Angle Grinders,6.06453.42,2600 Watt Angle Grinder W 26-230,Metabo 2600 Watt Angle Grinder W 26-230,E:\IMAGES\ITEMS\product\6\0\Metabo-2600-Watt-Angle-Grinder-W-26.jpg,Metabo,,"Machine is suitable for operation with 120-Volt direct current (protective low current) Robust Metabo Marathon motor Metabo winding protection grid High efficiency and increased torque through optimum heat dissipation Metabo safety switch: safety lock against unintentional start Twist-proof protective cover, can be adjusted within seconds without tools Metabo VibraTech (MVT): Reduction in the health risks caused by hand-arm vibration thanks to the integrated shock systems Additional handle adjustable according to application: left, right or upwards Die cast aluminium gear housing Main handle rotatable without tools Auto-stop carbon brushes","Comparative Technical Values  	 		 			Grinding wheel Ø 		 		 			9 "" 		 	 	 		 			Idle revolution 		 		 			6600 /min 		 	 	 		 			Revolutions at rated load 		 		 			4800 /min 		 	 	 		 			Spindle thread 		 		 			5/8"" - 11 UNC 		 	 	 		 			Weight (without power cable) 		 		 			13.9 lbs 		 	   Scope of Delivery Protective cover Inner support flange Flange nut Metabo VibraTech (MVT) handle Flat-pin spanner",,Metabo 2600 Watt Angle Grinder W 26-230,2600 Watt Angle Grinder W 26-230
117|24880,Grinders | Polishers|Angle Grinders,6.06250.42,1400 Watt Angle Grinder W 14-125 ERGO,Metabo 1400 Watt Angle Grinder W 14-125 ERGO,E:\IMAGES\ITEMS\product\6\0\Metabo-1400-Watt-Angle-Grinder-W-14-125.jpg,Metabo,,"Robust Metabo Marathon motor Die cast aluminium gear housing Main handle rotatable without tools Additional Metabo VibraTech (MVT) handle for vibration damping Twist-proof protective cover, can be adjusted within seconds without tools Ergonomic handle design with integrated switch Safety switch: safety lock against unintentional start Metabo winding protection grid Auto-stop carbon brushes","Comparative Technical Values  	 		 			Grinding wheel Ø 		 		 			5 "" 		 	 	 		 			Torque 		 		 			44 in-lbs 		 	 	 		 			Idle revolution 		 		 			10000 /min 		 	 	 		 			Rated input power 		 		 			1400 W 		 	 	 		 			Output power 		 		 			800 W 		 	 	 		 			Revolutions at rated load 		 		 			7300 /min 		 	 	 		 			Spindle thread 		 		 			5/8"" - 11 UNC 		 	 	 		 			Weight (without power cable) 		 		 			6.2 lbs 		 	   Scope of Delivery Protective cover Inner support flange Flange nut Metabo VibraTech (MVT) handle Flat-pin spanner",,Metabo 1400 Watt Angle Grinder W 14-125 ERGO,1400 Watt Angle Grinder W 14-125 ERGO
117|24880,Grinders | Polishers|Angle Grinders,6.06251.42,1400 Watt Angle Grinder W 14125 ERGO,Metabo 1400 Watt Angle Grinder W 14125 ERGO,E:\IMAGES\ITEMS\product\6\0\Metabo-1400-Watt-Angle-Grinder-W-14125.jpg,Metabo,,"Robust Metabo Marathon motor Die cast aluminium gear housing Main handle rotatable without tools Additional Metabo VibraTech (MVT) handle for vibration damping Twist-proof protective cover, can be adjusted within seconds without tools Ergonomic handle design with integrated switch Safety switch: safety lock against unintentional start Metabo winding protection grid Auto-stop carbon brushes","Comparative Technical Values  	 		 			Grinding wheel Ø 		 		 			6 "" 		 	 	 		 			Torque 		 		 			44 in-lbs 		 	 	 		 			Idle revolution 		 		 			10000 /min 		 	 	 		 			Rated input power 		 		 			1400 W 		 	 	 		 			Output power 		 		 			800 W 		 	 	 		 			Revolutions at rated load 		 		 			7300 /min 		 	 	 		 			Spindle thread 		 		 			5/8"" - 11 UNC 		 	 	 		 			Weight (without power cable) 		 		 			6.2 lbs 		 	   Scope of Delivery Protective cover Inner support flange Flange nut Metabo VibraTech (MVT) handle Flat-pin spanner",,Metabo 1400 Watt Angle Grinder W 14125 ERGO,1400 Watt Angle Grinder W 14125 ERGO
117|24880,Grinders | Polishers|Angle Grinders,6.06251.44,1400 Watt Angle Grinder W 14-150 ERGO with Deadman's Switch,Metabo 1400 Watt Angle Grinder W 14-150 ERGO with Deadman's Switch,E:\IMAGES\ITEMS\product\6\0\Metabo-1400-Watt-Angle-Grinder-W-14-150-ERGO-with-Deadmans.jpg,Metabo,,"Robust Metabo Marathon motor Die cast aluminium gear housing Main handle rotatable without tools Additional Metabo VibraTech (MVT) handle for vibration damping Dead-man function: Immediate shutdown of the machine when the switch is released Twist-proof protective cover, can be adjusted within seconds without tools Ergonomic handle design with integrated switch Safety switch: safety lock against unintentional start Metabo winding protection grid Auto-stop carbon brushes","Comparative Technical Values  	 		 			Grinding wheel Ø 		 		 			6 "" 		 	 	 		 			Torque 		 		 			44 in-lbs 		 	 	 		 			Idle revolution 		 		 			10000 /min 		 	 	 		 			Rated input power 		 		 			1400 W 		 	 	 		 			Output power 		 		 			800 W 		 	 	 		 			Revolutions at rated load 		 		 			7300 /min 		 	 	 		 			Spindle thread 		 		 			5/8"" - 11 UNC 		 	 	 		 			Weight (without power cable) 		 		 			6.2 lbs 		 	   Scope of Delivery Protective cover Inner support flange Flange nut Metabo VibraTech (MVT) handle Flat-pin spanner",,Metabo 1400 Watt Angle Grinder W 14-150 ERGO with Deadman's Switch,1400 Watt Angle Grinder W 14-150 ERGO with Deadman's Switch
117|24893,Grinders | Polishers|Electric Polishers and Buffers,PWE 11-100,1100 Watt Wet Polisher,Metabo 1100 Watt Electronic Wet Polisher.,E:\IMAGES\ITEMS\product\P\W\Metabo-PWE-11-100-1100-Watt-Wet.jpg,Metabo,Metabo 1100 Watt Electronic Wet Polisher.,"For powerful wet polishing of granite, marble and other types of stone External water supply at the bottom of the housing for optimal handling Safe working thanks to splash-proofed housing with front cap. Additional electrical safety thanks to safety switch integrated in the cable Robust long lasting Metabo Marathon Motor die cast aluminium gear housing Adjustable U-shaped handle for uniform machine guidance Metabo dust-protection technology for an extremely long tool life Vario Tacho Constamatic (VTC) full-wave electronics Thumbwheel for preselection of speed Electronic soft start overload protection Metabo winding protection grid spindle lock auto-stop carbon brushes","Torque: 4 in-lbs For backing pad up to maximum: 5 "" Idle revolution: 1700 - 6100 /min Rated input power: 1100 W Output power: 630 W Revolutions at rated load: 6100 /min Spindle thread: 5/8"" - 11 UNC Weight (without power cable): 4.9 lbs",,Metabo PWE 11-100 1100 Watt Wet Polisher,1100 Watt Wet Polisher
