category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
2664|26225,Door Surface Protection|Door Protectors,P3070,Door Protection System,,E:\IMAGES\ITEMS\product\P\3\1-2-3-Door-Shield-P3070-Door-Protection.jpg,1-2-3 Door Shield,,"Nomar® liner, packaged in 5-pack cartons","Door protection that is easy to use, cost-effective and reusable. Each Door Shield has an anti-static and abrasion resistant inner liner, a Velcro fastening system and pre-perforated knockouts for most hardware and closer configurations. Simply unfold the Door Shield and drape and center it over the top of the door. Attach the hook-and-loop fasteners and adjust for the hardware. Allows the door to be closed and secured without removing the Door Shield. Installs in less than one minute and is easily moved.",,"Protector Series, 2-ply, 50units/pallet, fits 3070, 21070, 21068 Doors, 430 lbs",Door Protection System
2664|26225,Door Surface Protection|Door Protectors,P3080,Door Protection System,,E:\IMAGES\ITEMS\product\P\3\1-2-3-Door-Shield-P3070-Door-Protection.jpg,1-2-3 Door Shield,1-2-3 Door Shield P3080 Door Protection System,"Nomar® liner, packaged in 5-pack cartons","Door protection that is easy to use, cost-effective and reusable. Each Door Shield has an anti-static and abrasion resistant inner liner, a Velcro fastening system and pre-perforated knockouts for most hardware and closer configurations. Simply unfold the Door Shield and drape and center it over the top of the door. Attach the hook-and-loop fasteners and adjust for the hardware. Allows the door to be closed and secured without removing the Door Shield. Installs in less than one minute and is easily moved.",,"Protector Series, 2-ply, 50units/pallet, fits 3080, 30710, 3076, 3070 Doors, 485 lbs",Door Protection System
2664|26225,Door Surface Protection|Door Protectors,2S3070,Door Protection System,,E:\IMAGES\ITEMS\product\P\3\1-2-3-Door-Shield-P3070-Door-Protection.jpg,1-2-3 Door Shield,1-2-3 Door Shield 2S3070 Door Protection System,"Nomar® liner, packaged in 5-pack cartons","Door protection that is easy to use, cost-effective and reusable. Each Door Shield has an anti-static and abrasion resistant inner liner, a Velcro fastening system and pre-perforated knockouts for most hardware and closer configurations. Simply unfold the Door Shield and drape and center it over the top of the door. Attach the hook-and-loop fasteners and adjust for the hardware. Allows the door to be closed and secured without removing the Door Shield. Installs in less than one minute and is easily moved.",,"200 Series, 80units/pallet, fits 3070, 3068, 21070, 21068 doors, 476 lbs",Door Protection System
2664|26225,Door Surface Protection|Door Protectors,2S3080,Door Protection System,,E:\IMAGES\ITEMS\product\P\3\1-2-3-Door-Shield-P3070-Door-Protection.jpg,1-2-3 Door Shield,1-2-3 Door Shield 2S3080 Door Protection System,"Nomar® liner, packaged in 5-pack cartons","Door protection that is easy to use, cost-effective and reusable. Each Door Shield has an anti-static and abrasion resistant inner liner, a Velcro fastening system and pre-perforated knockouts for most hardware and closer configurations. Simply unfold the Door Shield and drape and center it over the top of the door. Attach the hook-and-loop fasteners and adjust for the hardware. Allows the door to be closed and secured without removing the Door Shield. Installs in less than one minute and is easily moved.",,"200 Series, 80units/pallet, fits 3080, 30710, 3076, 3070 Doors. 520 lbs",Door Protection System
2663|24124,General Surface Protection|Surface Protection Films,JP2-069,PVC Jamb Protection,"2 jamb protectors, 4.5"" - 9"" x 3.25"" x 69"", 9 lbs",E:\IMAGES\ITEMS\product\J\P\1-2-3-Door-Shield-JP2-069-PVC-Jamb.jpg,1-2-3 Door Shield,,,"PVC Jamb Protectors Guard against gouges, nicks and scratches during construction. These preformed snap-on sections are rigid and durable offering heavy duty protection for wood or steel jambs and window sills. Prevents damage to vulnerable door jambs and trim on the job site. They are made of heavy duty PVC and completely reusable. Excellent for protecting window sills and jambs while bringing in drywall.  FPB Jamb Protectors For temporary protection against gouges, nicks and scratches during construction, use these sturdy cardboard counterparts. Prevent damage to vulnerable door jambs and trim on the work site. Recyclable.",,"2 jamb protectors, 4.5"" - 9"" x 3.25"" x 69"", 9 lbs",PVC Jamb Protection
2663|24124,General Surface Protection|Surface Protection Films,FJP60-10,"Jamb Protector 4.5"" - 8"" x 60""","2 jamb protectors, 4.5"" - 9"" x 3.25"" x 69"", 9 lbs",E:\IMAGES\ITEMS\product\J\P\1-2-3-Door-Shield-JP2-069-PVC-Jamb.jpg,1-2-3 Door Shield,"1-2-3 Door Shield FJP60-10 Jamb Protector 4.5"" - 8"" x 60""",,"PVC Jamb Protectors Guard against gouges, nicks and scratches during construction. These preformed snap-on sections are rigid and durable offering heavy duty protection for wood or steel jambs and window sills. Prevents damage to vulnerable door jambs and trim on the job site. They are made of heavy duty PVC and completely reusable. Excellent for protecting window sills and jambs while bringing in drywall.  FPB Jamb Protectors For temporary protection against gouges, nicks and scratches during construction, use these sturdy cardboard counterparts. Prevent damage to vulnerable door jambs and trim on the work site. Recyclable.",,"10 FPB Jamb Protectors, 4.5"" - 8"" x 60""","Jamb Protector 4.5"" - 8"" x 60"""
2663|24124,General Surface Protection|Surface Protection Films,FJP60-56,"4.5"" - 8"" x 60""","2 jamb protectors, 4.5"" - 9"" x 3.25"" x 69"", 9 lbs",E:\IMAGES\ITEMS\product\J\P\1-2-3-Door-Shield-JP2-069-PVC-Jamb.jpg,1-2-3 Door Shield,"1-2-3 Door Shield FJP60-56 4.5"" - 8"" x 60""",,"PVC Jamb Protectors Guard against gouges, nicks and scratches during construction. These preformed snap-on sections are rigid and durable offering heavy duty protection for wood or steel jambs and window sills. Prevents damage to vulnerable door jambs and trim on the job site. They are made of heavy duty PVC and completely reusable. Excellent for protecting window sills and jambs while bringing in drywall.  FPB Jamb Protectors For temporary protection against gouges, nicks and scratches during construction, use these sturdy cardboard counterparts. Prevent damage to vulnerable door jambs and trim on the work site. Recyclable.",,"1 Case (56) FPB Jamb Protectors 4.5"" - 8"" x 60""","4.5"" - 8"" x 60"""
628|24124,Carpet|Surface Protection Films,Carpet Film 400sf,"Carpet Film 24” x 200’ roll, 400 sf",,E:\IMAGES\ITEMS\product\C\a\1-2-3-Door-Shield-Carpet-Film-24-x-200-roll-400.jpg,1-2-3 Door Shield,,"Standard 45-day carpet protection, water-based adhesive","Our carpet film can be left in place for up to 45 days on all grades of carpet. Its self-adhering clear poly-film protects against damage from spills, dirt and foot traffic and is highly resistant to tears and punctures. Each roll is reverse wound for easy installation. The water-based adhesive is safe for use on all grades of carpet. Available in multiple sizes.  The Carpet Film Dispenser * is the fastest way to apply this product. Use our smaller dispenser for the 24”, 30” and 36” roll widths and our larger dispenser for the 36”, 48” and 60” roll widths.",,"24” x 200’ roll, 400 sf","Carpet Film 24” x 200’ roll, 400 sf"
628|24124,Carpet|Surface Protection Films,Carpet Film 500sf,"Carpet Film 30” x 200’ roll, 500 sf",,E:\IMAGES\ITEMS\product\C\a\1-2-3-Door-Shield-Carpet-Film-24-x-200-roll-400.jpg,1-2-3 Door Shield,"1-2-3 Door Shield Carpet Film 30” x 200’ roll, 500 sf","Standard 45-day carpet protection, water-based adhesive","Our carpet film can be left in place for up to 45 days on all grades of carpet. Its self-adhering clear poly-film protects against damage from spills, dirt and foot traffic and is highly resistant to tears and punctures. Each roll is reverse wound for easy installation. The water-based adhesive is safe for use on all grades of carpet. Available in multiple sizes.  The Carpet Film Dispenser * is the fastest way to apply this product. Use our smaller dispenser for the 24”, 30” and 36” roll widths and our larger dispenser for the 36”, 48” and 60” roll widths.",,"30” x 200’ roll, 500 sf","Carpet Film 30” x 200’ roll, 500 sf"
628|24124,Carpet|Surface Protection Films,Carpet Film 600sf,"Carpet Film 36” x 200’ roll, 600 sf",,E:\IMAGES\ITEMS\product\C\a\1-2-3-Door-Shield-Carpet-Film-24-x-200-roll-400.jpg,1-2-3 Door Shield,"1-2-3 Door Shield Carpet Film 36” x 200’ roll, 600 sf","Standard 45-day carpet protection, water-based adhesive","Our carpet film can be left in place for up to 45 days on all grades of carpet. Its self-adhering clear poly-film protects against damage from spills, dirt and foot traffic and is highly resistant to tears and punctures. Each roll is reverse wound for easy installation. The water-based adhesive is safe for use on all grades of carpet. Available in multiple sizes.  The Carpet Film Dispenser * is the fastest way to apply this product. Use our smaller dispenser for the 24”, 30” and 36” roll widths and our larger dispenser for the 36”, 48” and 60” roll widths.",,"36” x 200’ roll, 600 sf","Carpet Film 36” x 200’ roll, 600 sf"
