category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
26029,Danger Signs,SBMSMK133VP,Danger No Smoking (Bilingual),Alliance Sign Group MSPD50VP Danger No Smoking (Bilingual),E:\IMAGES\ITEMS\product\M\S\Alliance-Sign-Group-MSPD50VP-Danger-No-Smoking.jpg,"Accuform Manufacturing, Inc.",Alliance Sign Group MSPD50VP Danger No Smoking (Bilingual),"Material: Plastic Size: 14"" x 10"" Language: English and Spanish",,,Danger No Smoking (Bilingual),Danger No Smoking (Bilingual)
26028,Caution Signs,MRTF601VS,ANSI Caution Safety Sign: Avoid Injury. Watch Your Step.,,E:\IMAGES\ITEMS\product\M\R\accuform-manufacturing-inc-mrtf601vs-ansi-caution-safety-sign-avoid-injury-watch-your-step.jpg,"Accuform Manufacturing, Inc.",,"Post in areas that could present a tripping hazard to employees Avoid injury due to falling over unseen obstacles Caution advisory is represented clearly by the pictogram Newer ANSI-style signs and labels are gaining in popularity and are recognized by OSHA as an acceptable safety notification device Caution header indicates a hazardous situation that, if not avoided, could result in minor or moderate injury",,,,ANSI Caution Safety Sign: Avoid Injury. Watch Your Step.
26028,Caution Signs,MRHL600VS,ANSI Caution Safety Sign: Chemical Waste Storage Area,,E:\IMAGES\ITEMS\product\M\R\accuform-manufacturing-inc-mrhl600vs-ansi-caution-safety-sign-chemical-waste-storage-area.jpg,"Accuform Manufacturing, Inc.",,"Indicate where chemical waste should be stored Text and graphic reinforce the need to exercise caution Discourage the use of containers to start a steel drum band Newer ANSI-style signs and labels are gaining in popularity and are recognized by OSHA as an acceptable safety notification device Caution header indicates a hazardous situation that, if not avoided, could result in minor or moderate injury",,,,ANSI Caution Safety Sign: Chemical Waste Storage Area
26028,Caution Signs,MPPA633VS,ANSI Caution Safety Sign: Ear Protection Required In This Area.,,E:\IMAGES\ITEMS\product\M\P\accuform-manufacturing-inc-mppa633vs-ansi-caution-safety-sign-ear-protection-required-in-this-area.jpg,"Accuform Manufacturing, Inc.",,"Bright yellow CAUTION header and large graphic can be easily seen Affix in work areas prone to excessively loud noise Newer ANSI-style signs and labels are gaining in popularity and are recognized by OSHA as an acceptable safety notification device Caution header indicates a hazardous situation that, if not avoided, could result in minor or moderate injury",,,,ANSI Caution Safety Sign: Ear Protection Required In This Area.
26028,Caution Signs,MRPE639VS,ANSI Caution Safety Sign: Eye And Ear Protection Required In This Area,,E:\IMAGES\ITEMS\product\M\R\accuform-manufacturing-inc-mrpe639vs-ansi-caution-safety-sign-eye-and-ear-protection-required-in-this-area.jpg,"Accuform Manufacturing, Inc.",,"Graphic highlights required safety gear Affix in work areas where specific PPE will be required Newer ANSI-style signs and labels are gaining in popularity and are recognized by OSHA as an acceptable safety notification device Caution header indicates a hazardous situation that, if not avoided, could result in minor or moderate injury",,,,ANSI Caution Safety Sign: Eye And Ear Protection Required In This Area
26028,Caution Signs,MRPE633VS,ANSI Caution Safety Sign: Eye Protection Required,,E:\IMAGES\ITEMS\product\M\R\accuform-manufacturing-inc-mrpe633vs-ansi-caution-safety-sign-eye-protection-required.jpg,"Accuform Manufacturing, Inc.",,"Bright yellow header will grab attention and remind employees to use PPE Graphic clearly shows the need for eye protection to avoid injury Newer ANSI-style signs and labels are gaining in popularity and are recognized by OSHA as an acceptable safety notification device Caution header indicates a hazardous situation that, if not avoided, could result in minor or moderate injury",,,,ANSI Caution Safety Sign: Eye Protection Required
26028,Caution Signs,MRPE636VS,ANSI Caution Safety Sign: Eye Protection Required Beyond This Point,,E:\IMAGES\ITEMS\product\M\R\accuform-manufacturing-inc-mrpe636vs-ansi-caution-safety-sign-eye-protection-required-beyond-this-point.jpg,"Accuform Manufacturing, Inc.",,"Visuals help aid readers in understanding sign's meaning Keep worker's eyes safe from debris or projectiles Newer ANSI-style signs and labels are gaining in popularity and are recognized by OSHA as an acceptable safety notification device Caution header indicates a hazardous situation that, if not avoided, could result in minor or moderate injury",,,,ANSI Caution Safety Sign: Eye Protection Required Beyond This Point
26028,Caution Signs,MRTF604VS,ANSI Caution Safety Sign: Floor Slippery When Wet,,E:\IMAGES\ITEMS\product\M\R\accuform-manufacturing-inc-mrtf604vs-ansi-caution-safety-sign-floor-slippery-when-wet.jpg,"Accuform Manufacturing, Inc.",,"Post in areas where the floor is prone to becoming wet and slippery Advise caution when crossing potentially slippery floors to prevent injury ANSI caution symbol and vivid yellow header effectively draw attention to safety concerns Newer ANSI-style signs and labels are gaining in popularity and are recognized by OSHA as an acceptable safety notification device Caution header indicates a hazardous situation that, if not avoided, could result in minor or moderate injury",,,,ANSI Caution Safety Sign: Floor Slippery When Wet
26028,Caution Signs,MRKT602VS,ANSI Caution Safety Sign: Follow Lock Out Procedures,,E:\IMAGES\ITEMS\product\M\R\accuform-manufacturing-inc-mrkt602vs-ansi-caution-safety-sign-follow-lock-out-procedures.jpg,"Accuform Manufacturing, Inc.",,"Emphasizes the need to lock out equipment and follow the necessary pr Lockout device graphic reinforces the message for non-English speakers Newer ANSI-style signs and labels are gaining in popularity and are recognized by OSHA as an acceptable safety notification device Caution header indicates a hazardous situation that, if not avoided, could result in minor or moderate injury",,,,ANSI Caution Safety Sign: Follow Lock Out Procedures
26028,Caution Signs,MRHR601VS,ANSI Caution Safety Sign: Forklift Traffic. Keep Clear.,,E:\IMAGES\ITEMS\product\M\R\accuform-manufacturing-inc-mrhr601vs-ansi-caution-safety-sign-forklift-traffic-keep-clear.jpg,"Accuform Manufacturing, Inc.",,"Forklift drivers may not always see you, be sure you see them Graphic of forklift clearly illustrates the warning you are trying to convey Newer ANSI-style signs and labels are gaining in popularity and are recognized by OSHA as an acceptable safety notification device Caution header indicates a hazardous situation that, if not avoided, could result in minor or moderate injury",,,,ANSI Caution Safety Sign: Forklift Traffic. Keep Clear.
