category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
19743,Disposable Towels and Wipes,5025,HAND-Y CLEANING TOWELS,"Applications:  remove grease, adhesive, grime, ink, lubricants, tar, and other industrial stains and soils.",E:\IMAGES\ITEMS\product\5\0\Aervoe-Industries-5025-Hand-y-Pro.jpg,Aervoe Industries Inc.,AERVOE HAND-Y SCRUBS TOWEL,"These waterless anti-bacterial cleaning towels are lint-free, and are packaged in a convenient tub with a dispenser lid for easy access, or handy single-towel foil packs that go anywhere. The Hand-Y Pro Towel is smooth on one side and rough on the other for scrubbing grit action.","Waterless cleaning towels are lint-free and packaged in a convenient tub with a dispenser lid for easy access.  Applications: remove grease, adhesive, grime, ink, lubricants, tar, and other industrial stains and soils.  SKU : 5025 Weight : 17.00 lbs Container Size: 75 towel tub Case Pack : 6",,Hand-Y Pro Towels (75-Towel Tub); 17 lbs.; 6 Tubs,HAND-Y CLEANING TOWELS
24119,Spray Paints,306,RUST PROOF ANY-WAY PAINT,"Applications:  non-galvanized metal, steel, masonry, wood, machinery, motors, tools, cabinets, toolboxes, steel bars, pipelines, drums, conduit, ducts, furniture, and ideal for marking hazard areas.",E:\IMAGES\ITEMS\product\3\0\Aervoe-Industries-306-Rust-Proof-Any-way.jpg,Aervoe Industries Inc.,"CAN SIZE (NET), WEIGHT, CASE PACK: (16-ounce, 7 lbs., 6 Cans), (1 Quart, 10 lbs., 4 Quarts)","A high quality corrosion preventive coating formulated for mild to moderate interior/exterior, and industrial applications. This paint is designed to be self-priming and high gloss. • High gloss, high-hide coverage that provides corrosion protection on metal surfaces • Provides good resistance to moderate weather exposures including water, humidity, and temperatures up to 300°F (149°C), and color fading. • Can be applied over firmly rusted areas; however, loose flakes or particles should be removed first with a wire brush or sandpaper • Lead-free • Primer is not required but recommended over bare steel Uses: Metal, wood and other common surfaces, including non-porous plaster, machinery, motors, tools, cabinets, toolboxes, steel bars and railings, pipelines, drums, conduit, ducts, furniture, electrical equipment. Ideal for marking hazard areas and color coding steel and lumber. Also effective on steel, concrete (masonry), and aluminum.","Applications:  non-galvanized metal, steel, masonry, wood, machinery, motors, tools, cabinets, toolboxes, steel bars, pipelines, drums, conduit, ducts, furniture, and ideal for marking hazard areas.",,Safety Black,RUST PROOF ANY-WAY PAINT
24119,Spray Paints,203,SURVEY MARKING PAINT,"A superior upside-down marking paint designed for survey marking.  It provides the best quality paint in terms of color visibility, retention, and durability.",E:\IMAGES\ITEMS\product\2\0\Aervoe-203-Blue-Survey-Marking.jpg,Aervoe Industries Inc.,"CAN SIZE (NET), WEIGHT, CASE PACK: (20-oz. Aerosol (17 oz.), 18 lbs., 12 cans), (Gallon Can (Stake Dip), 22 lbs., 2 Gallons)","Aervoe’s Survey Marking Paint is a superior upside-down marking paint that is designed for survey marking. It provides the best quality paint in terms of color visibility and retention, durability, and a lasting mark of up to six months.","A superior upside-down marking paint designed for survey marking.  It provides the best quality paint in terms of color visibility, retention, and durability.",,Blue; Regular,SURVEY MARKING PAINT
24119,Spray Paints,200,CLEAR COAT,"An upside-down clear coating used to seal and protect construction chalk lines and other temporary marks from wind, moisture, and traffic.",E:\IMAGES\ITEMS\product\2\0\Aervoe-200-Clear.jpg,Aervoe Industries Inc.,CAN SIZE (NET): 20-oz. Aerosol (15 oz.); WEIGHT: 16 lbs.; CASE PACK: 12 cans,"This upside-down clear coating is used to seal and protect construction chalk lines and other temporary marks from wind, moisture, and traffic.","An upside-down clear coating used to seal and protect construction chalk lines and other temporary marks from wind, moisture, and traffic.  SKU : 200 Weight : 16.00 lbs Container Size: 20 oz. Net Weight: 15 oz Case Pack : 12",,Aervoe 200 Clear Coat,CLEAR COAT
24119,Spray Paints,206,SURVEY MARKING PAINT,"A superior upside-down marking paint designed for survey marking.  It provides the best quality paint in terms of color visibility, retention, and durability.",E:\IMAGES\ITEMS\product\2\0\Aervoe-206-Black-Survey-Marking.jpg,Aervoe Industries Inc.,"CAN SIZE (NET), WEIGHT, CASE PACK: (20-oz. Aerosol (17 oz.), 18 lbs., 12 cans), (Gallon Can (Stake Dip), 22 lbs., 2 Gallons)","Aervoe’s Survey Marking Paint is a superior upside-down marking paint that is designed for survey marking. It provides the best quality paint in terms of color visibility and retention, durability, and a lasting mark of up to six months.","A superior upside-down marking paint designed for survey marking.  It provides the best quality paint in terms of color visibility, retention, and durability.",,Black; Regular,SURVEY MARKING PAINT
24119,Spray Paints,227,SURVEY MARKING PAINT,"A superior upside-down marking paint designed for survey marking.  It provides the best quality paint in terms of color visibility, retention, and durability.",E:\IMAGES\ITEMS\product\2\2\Aervoe-227-Fl-Blue-Survey-Marking.jpg,Aervoe Industries Inc.,"CAN SIZE (NET), WEIGHT, CASE PACK: (20-oz. Aerosol (17 oz.), 18 lbs., 12 cans), (Gallon Can (Stake Dip), 22 lbs., 2 Gallons)","Aervoe’s Survey Marking Paint is a superior upside-down marking paint that is designed for survey marking. It provides the best quality paint in terms of color visibility and retention, durability, and a lasting mark of up to six months.","A superior upside-down marking paint designed for survey marking.  It provides the best quality paint in terms of color visibility, retention, and durability.",,Fl. Blue; Fluorescent,SURVEY MARKING PAINT
24119,Spray Paints,222,SURVEY MARKING PAINT,"A superior upside-down marking paint designed for survey marking.  It provides the best quality paint in terms of color visibility, retention, and durability.",E:\IMAGES\ITEMS\product\2\2\Aervoe-222-Fl-Orange-Survey-Marking.jpg,Aervoe Industries Inc.,"CAN SIZE (NET), WEIGHT, CASE PACK: (20-oz. Aerosol (17 oz.), 18 lbs., 12 cans), (Gallon Can (Stake Dip), 22 lbs., 2 Gallons)","Aervoe’s Survey Marking Paint is a superior upside-down marking paint that is designed for survey marking. It provides the best quality paint in terms of color visibility and retention, durability, and a lasting mark of up to six months.","A superior upside-down marking paint designed for survey marking.  It provides the best quality paint in terms of color visibility, retention, and durability.",,Fl. Orange; Fluorescent,SURVEY MARKING PAINT
24119,Spray Paints,229,SURVEY MARKING PAINT,"A superior upside-down marking paint designed for survey marking.  It provides the best quality paint in terms of color visibility, retention, and durability.",E:\IMAGES\ITEMS\product\2\2\Aervoe-229-Fl-Pink-Survey-Marking.jpg,Aervoe Industries Inc.,"CAN SIZE (NET), WEIGHT, CASE PACK: (20-oz. Aerosol (17 oz.), 18 lbs., 12 cans), (Gallon Can (Stake Dip), 22 lbs., 2 Gallons)","Aervoe’s Survey Marking Paint is a superior upside-down marking paint that is designed for survey marking. It provides the best quality paint in terms of color visibility and retention, durability, and a lasting mark of up to six months.","A superior upside-down marking paint designed for survey marking.  It provides the best quality paint in terms of color visibility, retention, and durability.",,Fl. Pink; Fluorescent,SURVEY MARKING PAINT
24119,Spray Paints,220,SURVEY MARKING PAINT,"A superior upside-down marking paint designed for survey marking.  It provides the best quality paint in terms of color visibility, retention, and durability.",E:\IMAGES\ITEMS\product\2\2\Aervoe-220-Fl-Red-Survey-Marking.jpg,Aervoe Industries Inc.,"CAN SIZE (NET), WEIGHT, CASE PACK: (20-oz. Aerosol (17 oz.), 18 lbs., 12 cans), (Gallon Can (Stake Dip), 22 lbs., 2 Gallons)","Aervoe’s Survey Marking Paint is a superior upside-down marking paint that is designed for survey marking. It provides the best quality paint in terms of color visibility and retention, durability, and a lasting mark of up to six months.","A superior upside-down marking paint designed for survey marking.  It provides the best quality paint in terms of color visibility, retention, and durability.",,Fl. Red; Fluorescent,SURVEY MARKING PAINT
24119,Spray Paints,207,SURVEY MARKING PAINT,"A superior upside-down marking paint designed for survey marking.  It provides the best quality paint in terms of color visibility, retention, and durability.",E:\IMAGES\ITEMS\product\2\0\Aervoe-207-White-Survey-Marking.jpg,Aervoe Industries Inc.,"CAN SIZE (NET), WEIGHT, CASE PACK: (20-oz. Aerosol (17 oz.), 18 lbs., 12 cans), (Gallon Can (Stake Dip), 22 lbs., 2 Gallons)","Aervoe’s Survey Marking Paint is a superior upside-down marking paint that is designed for survey marking. It provides the best quality paint in terms of color visibility and retention, durability, and a lasting mark of up to six months.","A superior upside-down marking paint designed for survey marking.  It provides the best quality paint in terms of color visibility, retention, and durability.",,White; Regular,SURVEY MARKING PAINT
