category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
23997,Scoop Shovels,2672300,#10 Aluminum Scoop W/ D-Handle,,E:\IMAGES\ITEMS\product\2\6\ames-2672300-10-aluminum-scoop-w-d-handle.jpg,Ames,,"The Ames aluminum scoop is ideal for the transport of all materials, loose and bulky.  It is durable and lightweight for snow removal. Features Northern hardwood handle for strength and durability.",,49206644779.0,44.5? height × 14.5? width × 10? depth,#10 Aluminum Scoop W/ D-Handle
23997,Scoop Shovels,2672100,#12 Aluminum Scoop W/ D-Handle,,E:\IMAGES\ITEMS\product\2\6\ames-2672100-12-aluminum-scoop-w-d-handle.jpg,Ames,,"The Ames aluminum scoop is ideal for the transport of all materials, loose and bulky.  It is durable and lightweight for snow removal.",,49206633803.0,45.5? height × 15? width × 11.25? depth,#12 Aluminum Scoop W/ D-Handle
23997,Scoop Shovels,2672400,#14 Aluminum Scoop W/ D-Handle,,E:\IMAGES\ITEMS\product\2\6\ames-2672400-14-aluminum-scoop-w-d-handle.jpg,Ames,,"The Ames aluminum scoop is ideal for the transport of all materials, loose and bulky.  It is durable and lightweight for snow removal. Northern hardwood handle for strength and durability.",,49206644786.0,46? height × 15.5? width × 11.5? depth,#14 Aluminum Scoop W/ D-Handle
23911,"Garden Hose Reels, Carts, and Hangers",2388340,100' Side-Mount Hose Reel,,E:\IMAGES\ITEMS\product\2\3\ames-2388340-100-side-mount-hose-reel.jpg,Ames,,This side-mount style hose reel mounts easily to the wall and provides a simple solution to hose storage. The easy-spin grip provides added comfort as you wind and the neutral color scheme blends in nicely with any outdoor living space. The integrated hose guide aligns your garden hose with the reel to make winding easier and the clip provides a convenient place to store your hose when not in use.,,49206038776.0,20? height × 8? width × 19? depth,100' Side-Mount Hose Reel
21942,Forks,2827000,10-Tine Ensilage Fork,,E:\IMAGES\ITEMS\product\2\8\ames-2827000-10-tine-ensilage-fork.jpg,Ames,,"The AMES ensilage fork is used for transferring manure, mulch, and other loose material. The light-duty, 10 tine welded head is mounted to a 30-inch hardwood handle  with poly D-grip for strength and durability.",,49206644830.0,52? height × 15? width × 5? depth,10-Tine Ensilage Fork
21942,Forks,2826300,10-Tine Welded Bedding Fork,,E:\IMAGES\ITEMS\product\2\8\ames-2826300-10-tine-welded-bedding-fork.jpg,Ames,,"The Ames bedding fork is used for moving a variety of materials such as straw, hay, wood chips, and mulch.  It can also be used to clear and replace mulch around plants.  The 10 steel tines are tempered for years of service.",,49206633834.0,61? height × 11? width × 5.25? depth,10-Tine Welded Bedding Fork
23983,Landscape and Bow Rakes,2915100,15 in. Adjustable Thatch Rake,,E:\IMAGES\ITEMS\product\2\9\ames-2915100-15-in-adjustable-thatch-rake.jpg,Ames,,"The Ames Thatching rake is an all-purpose lawn rake.  The curved tines are designed to clear dead grass clippings (thatch) from the lawn. This will allow air, sunshine, water, and fertilizers in to keep the grass healthy.",,49206633667.0,61.5? height × 14.25? width × 5.125? depth,15 in. Adjustable Thatch Rake
23911,"Garden Hose Reels, Carts, and Hangers",2384110,150' Deluxe Poly Hose Hanger,,E:\IMAGES\ITEMS\product\2\3\ames-2384110-150-deluxe-poly-hose-hanger.jpg,Ames,,"Simple and convenient, this wall-mount poly hose hanger comes fully assembled and includes a convenient storage shelf. Corrosion-proof poly construction provides years of service. Easy wall-mount installation.",,49206039506.0,8? height × 6.75? width × 10? depth,150' Deluxe Poly Hose Hanger
23911,"Garden Hose Reels, Carts, and Hangers",2382561,150' Wall mount poly hose hanger with storage bin,,E:\IMAGES\ITEMS\product\2\3\ames-2382561-150-wall-mount-poly-hose-hanger-with-storage-bin.jpg,Ames,,This convenient wall-mount hose hanger makes hose management faster and easier. A fold-down handle makes hose removal quick and easy. The convenient storage bin holds hose ends or other accessories.,,49206039469.0,13.5? height × 6? width × 14.5? depth,150' Wall mount poly hose hanger with storage bin
23911,"Garden Hose Reels, Carts, and Hangers",2398900,160' Hose Box,,E:\IMAGES\ITEMS\product\2\3\ames-2398900-160-hose-box.jpg,Ames,,"This Ames hose deck box is as stylish as it is functional. The clean, contemporary design looks great on a deck and the durable, all-poly construction will provide years of service.",,49206631618.0,18.5? height × 21.25? width × 17.375? depth,160' Hose Box
