category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
119|24949,Drills - Corded|Drills,7252,"3/8"" Single Speed Drill",,E:\IMAGES\ITEMS\product\7\2\black-decker-7252-38-single-speed-drill.jpg,Black & Decker,"3/8"" Single Speed Drill",Key Features 	Single speed plus reverse 	Compact power drill design 	Double gear reduction 	Keyless chuck  Benefits 	Easily remove screws or back out a drill bit 	Quick and easy bit changes 	The right torque for home projects 	Comfort and control,"Technical Specifications   Voltage120  Amps3 Amps  rpm1200 rpm  Capacity in Steel3/8"" ""  Capacity in Wood3/4"" ""  Power SourceCorded  Type 1 Manual - 7252 What's Included 	7252 Drill Instruction Manual  Uses 	Drilling holes through wood, metal and plastic.",,,"3/8"" Single Speed Drill"
121|24919,Sanders | Accessories|Sander Accessories,7558,1/3 Sheet Finishing Sander,,E:\IMAGES\ITEMS\product\7\5\black-decker-7558-13-sheet-finishing-sander.jpg,Black & Decker,1/3 Sheet Finishing Sander,Key Features 	Dust-sealed switch 	Two-handed operation 	Large base 	Sands flush on three sides  Benefits 	Precise sanding right up to corners 	Extra coverage to finish the job faster 	Protects internal components and extends tool life 	Woodworking comfort and control,"Technical Specifications   	Amps		1.2 Amps 	 	Orbits/Min 		10000 opm 	 	Sander Type 		 Finish 	  Instruction Manuals Type 1 Manual - 7558 What's Included 	7558 Sander  Uses 	Finish sands large surfaces 	Removing paint, stain and varnish",,,1/3 Sheet Finishing Sander
102|24807,Screwdrivers - Cordless|Cordless Screwdrivers,9078,3.6V 3 Position Rechargeable Screwdriver,,E:\IMAGES\ITEMS\product\9\0\black-decker-9078-36v-3-position-rechargeable-screwdriver.jpg,Black & Decker,3.6V 3 Position Rechargeable Screwdriver,Key Features 	Spindle lock 	24-position clutch 	Three-position handle 	Forward and reverse switch  Benefits 	Lets you work in tight spaces 	Allows manual screwdriving and greater control 	Keeps screws from stripping 	Easy screwdriving and screw removal,Technical Specifications   	Voltage		3.6 V	 	rpm		180 rpm 	 	Torque 		40 in-lbs 	 	Battery Type 		Rechargable 	  Instruction Manuals Type 1 Manual - 9078 Type 2 Manual - 9078 What's Included 	9078 Screwdriver 	(2) Double-Ended Bits 	Charger  Uses 	Furniture assembly 	Installation of mini blinds or other window coverings 	Mounting of storage and decorative shelving,,,3.6V 3 Position Rechargeable Screwdriver
24930,Industrial Heat Guns,9756,Heat Gun,,E:\IMAGES\ITEMS\product\9\7\black-decker-9756-heat-gun.jpg,Black & Decker,Heat Gun,Key Features Lightweight compact unit 	Two heat settings 500° F /1020° F  Benefits Ideal for a variety of tasks 	Easy to use,"Technical Specifications   Voltage120 V  Watts1375 W  Temperature500/1000 °F  Speed Settings1  Length8.2 ""  Weight1.5 lbs  Instruction Manuals Type 2 Manual - 9756 Type 300 Manual - HG1000 9756 What's Included 	9756 heat gun 	Glass protector  Uses 	Strips paint and varnish 	Thaws frozen pipes 	Softens adhesives for removal of linoleum and floor tile 	Quick dries almost anything",,Heat Gun,Heat Gun
2016|28064,Drill Bit Sets|Drill Bit Sets,15054,4-Piece Hex Shank Drill Bit Set,,E:\IMAGES\ITEMS\product\1\5\black-decker-15054-4-piece-hex-shank-drill-bit-set.jpg,Black & Decker,4-Piece Hex Shank Drill Bit Set,,Technical Specifications   No of pieces  4   Type  Drilling,,,4-Piece Hex Shank Drill Bit Set
2016|28064,Drill Bit Sets|Drill Bit Sets,15097,17-Piece Workbench Drill Bit Set,,E:\IMAGES\ITEMS\product\1\5\black-decker-15097-17-piece-workbench-drill-bit-set.jpg,Black & Decker,17-Piece Workbench Drill Bit Set,"Key Features Popular sizes Bit bar This 10 piece Drill Bit Set contains the most popular range of drill bits - sizes 1/16"" to 1/4"". It is organized by a handy bit bar that makes storing this set in any toolbox, pocket or kitchen drawer easy and organized.  Benefits Easy, organized storage Suitable for mose DIY projects","Technical Specifications   No of pieces  10    Uses For most DIY projects For drilling in wood, metal or plastic",,,17-Piece Workbench Drill Bit Set
28064,Drill Bit Sets,15099,8-Pc. Drilling and Screwdriving Set,,E:\IMAGES\ITEMS\product\1\5\black-decker-15099-8-pc-drilling-and-screwdriving-set.jpg,Black & Decker,8-Pc. Drilling and Screwdriving Set,,Technical Specifications   No of pieces  1-15,,,8-Pc. Drilling and Screwdriving Set
2016|28064,Drill Bit Sets|Drill Bit Sets,15569,17-Piece Drill Bit Set,,E:\IMAGES\ITEMS\product\1\5\black-decker-15569-17-piece-drill-bit-set.jpg,Black & Decker,17-Piece Drill Bit Set,Key Features Provides 17 drill bit,Technical Specifications   No of pieces  17,,,17-Piece Drill Bit Set
2016|28064,Drill Bit Sets|Drill Bit Sets,15575,29-Piece General Purpose Drill Bit Set,,E:\IMAGES\ITEMS\product\1\5\black-decker-15575-29-piece-general-purpose-drill-bit-set.jpg,Black & Decker,29-Piece General Purpose Drill Bit Set,,"Technical Specifications   No of pieces  29   Size  1/16 to 1/2""",,,29-Piece General Purpose Drill Bit Set
245|22718,Concrete | Masonry|Carbide Drill Bits,16730,"1/8"" x 3"" Rotary masonry bit",,E:\IMAGES\ITEMS\product\1\6\black-decker-16730-18-x-3-rotary-masonry-bit.jpg,Black & Decker,"1/8"" x 3"" Rotary masonry bit","Key FeaturesEfficient designInnovative flute designPatented speed tip designBenifitsRemoves material faster for easier drillingDrills up to 6x more holes per battery charge with cordless drillsPenetrates surfaces quickly, drilling up to 2 times faster than competitive drill bits","Technical Specifications  Diameter 1/8 "" Overall Length 3""   Uses 	Used in a variety of home and light construction applications 	Commonly used for drilling anchor holes when installing flag poles, mail boxes and running electrical conduit",,"1/8"" x 3""","1/8"" x 3"" Rotary masonry bit"
