category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
26141,High Visibility & Cooling Vests,JF1012-LM,"TruGuard™ 200 FR Cotton Welding Jacket, Reflectives - 30""",,E:\IMAGES\ITEMS\product\J\F\black-stallion-jf1012-lm-truguard-200-fr-cotton-welding-jacket-reflectives-30.jpg,Black Stallion,,"""X"" reflective design shows when back is turned Pass-through for fall protection lanyard",,,,"TruGuard™ 200 FR Cotton Welding Jacket, Reflectives - 30"""
25827,Mechanics Gloves,GX100,ToolHandz® Synthetic Leather Mechanic's Gloves,,E:\IMAGES\ITEMS\product\G\X\black-stallion-gx100-toolhandz-synthetic-leather-mechanics-gloves.jpg,Black Stallion,,Dorsal guards protect against impact Reinforced padded palm,,,,ToolHandz® Synthetic Leather Mechanic's Gloves
27826,Pigskin Gloves,9P,Premium Grain Pigskin Driver's Gloves,,E:\IMAGES\ITEMS\product\9\P\black-stallion-9p-premium-grain-pigskin-drivers-gloves.jpg,Black Stallion,,Performance driver's gloves Premium grain pigskin Inside seam Keystone thumb,,,,Premium Grain Pigskin Driver's Gloves
27828,Deerskin Gloves,17,Heavy Premium Grain Elkskin Driver's Gloves,,E:\IMAGES\ITEMS\product\1\7\black-stallion-17-heavy-premium-grain-elkskin-drivers-gloves.jpg,Black Stallion,,Comfortable soft elkskin reduces fatigue,,,,Heavy Premium Grain Elkskin Driver's Gloves
25825,Knit Gloves,GR4140-CH,AccuFlex™ Cut & Impact Resistant Knit Gloves,,E:\IMAGES\ITEMS\product\G\R\black-stallion-gr4140-ch-accuflex-cut-impact-resistant-knit-gloves.jpg,Black Stallion,,"Cut resistant HPPE knit blend provides ANSI Level 3 cut protection Thermoplastic Urethane Pads (TPU) protect back of hand from knocks, bumps and other impacts TPU Flex Points provide greater flexibility and dexterity, while maintaining impact resistance Thumb patch provides extra durability in a high-stress point Textured nitrile coated palm for durable gripping power, even in oily and wet conditions Extended cuff provides cut protection through the wrist area",,,,AccuFlex™ Cut & Impact Resistant Knit Gloves
25827,Mechanics Gloves,GX1215-HG,ToolHandz® Synthetic Leather Mechanic's Gloves,,E:\IMAGES\ITEMS\product\G\X\black-stallion-gx1215-hg-toolhandz-synthetic-leather-mechanics-gloves.jpg,Black Stallion,,Durable value microfleece synthetic leather Snug-fit for comfort and dexterity,,,,ToolHandz® Synthetic Leather Mechanic's Gloves
27825,Cowhide Gloves,97SW,Grain/Split Cowhide Driver's Gloves,,E:\IMAGES\ITEMS\product\9\7\black-stallion-97sw-grainsplit-cowhide-drivers-gloves.jpg,Black Stallion,,Standard durable cowhide palm Reinforced index and palm Durable Kevlar® stitching,,,,Grain/Split Cowhide Driver's Gloves
27825,Cowhide Gloves,93,Grain Cowhide Driver's Gloves,,E:\IMAGES\ITEMS\product\9\3\black-stallion-93-grain-cowhide-drivers-gloves.jpg,Black Stallion,,Standard durable cowhide construction,,,,Grain Cowhide Driver's Gloves
25827,Mechanics Gloves,99PLUS-BLK,ToolHandz® Synthetic Leather Mechanic's Gloves,,E:\IMAGES\ITEMS\product\9\9\black-stallion-99plus-blk-toolhandz-synthetic-leather-mechanics-gloves.jpg,Black Stallion,,The original thick-cut durable synthetic leather Reinforced palm and fingertips Snug-fit for comfort and dexterity,,,,ToolHandz® Synthetic Leather Mechanic's Gloves
27827,Goatskin Gloves,GX3020-BW,FlexHand™ Grain Goatskin Mechanic's Gloves,,E:\IMAGES\ITEMS\product\G\X\black-stallion-gx3020-bw-flexhand-grain-goatskin-mechanics-gloves.jpg,Black Stallion,,Snug spandex back with leather reinforced palm Goatskin dexterity,,,,FlexHand™ Grain Goatskin Mechanic's Gloves
