category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1743|26136,Belt|Tool and Work Belts,4019-1006,Suspenders,,E:\IMAGES\ITEMS\product\4\0\Blaklader-4019-1006.jpg,Blaklader,,One size fits all Color: Black,,,Blaklader 4019-1006 Suspenders,Suspenders
1740|26144,Hats|Hats,2050-9222,Heavy Duty Cap,,E:\IMAGES\ITEMS\product\2\0\Blaklader-2050-9222-Heavy-Duty.jpg,Blaklader,,One size fits all Color: Black/Tan,,,Blaklader 2050-9222 Heavy Duty Cap,Heavy Duty Cap
1740|26144,Hats|Hats,2051-8900,Blaklader Cap,,E:\IMAGES\ITEMS\product\2\0\Blaklader-2051-8900-Blaklader.jpg,Blaklader,,One size fits all Color: Navy Blue,,,Blaklader 2051-8900 Blaklader Cap,Blaklader Cap
1743|26136,Belt|Tool and Work Belts,4013-9900,Black/Bronze Stretch Web Belt,"Black Stretch web belt with bronze buckle fits up to 46"" waist.",E:\IMAGES\ITEMS\product\4\0\Blaklader-4013-9900-BlackBronze-Stretch-Web.jpg,Blaklader,"Black Stretch web belt with bronze buckle fits up to 46"" waist.",One size fits all Color: Bronze/Black Black stretch web belt with bronze blaklader buckle,,,Blaklader 4013-9900 Black/Bronze Stretch Web Belt,Black/Bronze Stretch Web Belt
1743|26136,Belt|Tool and Work Belts,4014-9900,Black/Silver Stretch Web Belt,"Black stretch web belt with silver buckle fits up to a 46"" waist.",E:\IMAGES\ITEMS\product\4\0\Blaklader-4014-9900-BlackSilver-Stretch-Web.jpg,Blaklader,"Black stretch web belt with silver buckle fits up to a 46"" waist.","One size fits up to a 46"" waist Colors: Silver/Black Stretch web belt with silver blaklader buckle",,,Blaklader 4014-9900 Black/Silver Stretch Web Belt,Black/Silver Stretch Web Belt
1743|26136,Belt|Tool and Work Belts,4017-3900-9900,Black Heavy Leather Belt,"Black heavy leather belt that fits from 32"" to 46"" waist.",E:\IMAGES\ITEMS\product\4\0\Blaklader-4017-3900-9900-Black-Heavy-Leather.jpg,Blaklader,"Black heavy leather belt that fits from 32"" to 46"" waist.",One size fits all Colors: Black Black heavy leather belt,,,Blaklader 4017-3900-9900 Black Heavy Leather Belt,Black Heavy Leather Belt
1743|26136,Belt|Tool and Work Belts,4017-3900,Brown Heavy Leather Belt,"Heavy Leather Belt that fits from 32"" to 46"" waists.",E:\IMAGES\ITEMS\product\4\0\Blaklader-4017-3900-Brown-Heavy-Leather.jpg,Blaklader,"Heavy Leather Belt that fits from 32"" to 46"" waists.","Fits 32"" to 46"" waist Color: Brown Brown Heavy Leather Belt",,,Blaklader 4017-3900 Brown Heavy Leather Belt,Brown Heavy Leather Belt
160|25618,Knee Pads|Protective Elbow and Knee Pads,4012-9900,Heavy Duty Knee Pad,"Extra durable, shock absorbing memory gel cradles your knees in the ultimate cushion.",E:\IMAGES\ITEMS\product\4\0\Blaklader-4012-9900-Heavy-Duty-Knee.jpg,Blaklader,"Extra durable, shock absorbing memory gel cradles your knees in the ultimate cushion.","One size fits all Colors: Black Extra durable, shock absorbing memory gel cradles your knees in the ultimate cushion",,,Blaklader 4012-9900 Heavy Duty Knee Pad,Heavy Duty Knee Pad
160|25618,Knee Pads|Protective Elbow and Knee Pads,4011-1200,Light Duty Knee Pad,Super lightweight foam that won't weigh you down yet provides protective cushioning when you need it.,E:\IMAGES\ITEMS\product\4\0\Blaklader-4011-1200-Light-Duty-Knee.jpg,Blaklader,Super lightweight foam that won't weigh you down yet provides protective cushioning when you need it.,One size fits all Color: Grey,,,Blaklader 4011-1200 Light Duty Knee Pad,Light Duty Knee Pad
1738|26146,Jackets | Outerwear|Heated Outerwear,4062-1320,Brawny Canvas Jacket,Heavy weight durable 100% 12 oz. cotton is breathable and comfortable while providing excellent durability.,E:\IMAGES\ITEMS\product\4\0\Blaklader-4062-1320-Brawny-Canvas.jpg,Blaklader,Heavy weight durable 100% 12 oz. cotton is breathable and comfortable while providing excellent durability.,"Sizes: Available in S-XXXL Colors: Steel Blue, Khaki, And Black 8 front pockets allow for great organization Two breast pockets with zip, one with telephone pocket and one with pen pocket Front pockets with extra tool pockets Side pockets Sleeve pocket with three pen pockets and zip Two inner pockets",Adjustable waist Adjustable cuffs Extended back Bellows in the back Mesh lined Garment wash,,Blaklader 4062-1320 Brawny Canvas Jacket,Brawny Canvas Jacket
1738|26146,Jackets | Outerwear|Heated Outerwear,4882-1380,Heavy Worker Lined Canvas,Durable 12 oz. 78-22% poly-cotton canvas combined with extra strength Cordura reinforcements,E:\IMAGES\ITEMS\product\4\8\Blaklader-4882-1380-Heavy-Worker-Lined.jpg,Blaklader,Durable 12 oz. 78-22% poly-cotton canvas combined with extra strength Cordura reinforcements,"Size: Available in S - XXXL Colors: Khaki/Black, Black/Black Fleece inside collar CorduraÂ® reinforced in exposed areas Adjustable waist width Extended back with bellows Key loop",Pockets: Breast pockets with flaps and bellows Front pockets with bellows Phone pocket Chisel pocket with double pencil holders Bar tacks and no bottom seams prevent rip outs,,Blaklader 4882-1380 Heavy Worker Lined Canvas,Heavy Worker Lined Canvas
1738|26146,Jackets | Outerwear|Heated Outerwear,4082-1380,Heavy Worker Unlined Canvas,Durable 12 oz. 78-22% poly-cotton canvas combined with extra strength Cordura reinforcements,E:\IMAGES\ITEMS\product\4\0\Blaklader-4082-1380-Heavy-Worker-Unlined.jpg,Blaklader,Durable 12 oz. 78-22% poly-cotton canvas combined with extra strength Cordura reinforcements,"Sizes: Available in S - XXXL Colors: Navy/Blue, Khaki/Black CorduraÂ® reinforced in exposed areas Adjustable waist width Extended back with bellows Key loop",Pockets: Breast pockets with flaps and bellows Front pockets with bellows Phone pocket Chisel pocket with double pencil holders Bar tacks and no bottom seams prevent rip outs,,Blaklader 4082-1380 Heavy Worker Unlined Canvas,Heavy Worker Unlined Canvas
1738|26146,Jackets | Outerwear|Heated Outerwear,4816-1370,Toughguy Pile Line Jacket,"Heavyweight 100% cotton 13 oz. shell with a soft, comfortable 11 oz. polyester lining",E:\IMAGES\ITEMS\product\4\8\Blaklader-4816-1370-Toughguy-Pile-Line.jpg,Blaklader,"Heavyweight 100% cotton 13 oz. shell with a soft, comfortable 11 oz. polyester lining","Size: Available in S - XXXL Colors: Black, Navy Blue Quilted lined sleeves Lined with 300 gm pile in the torso Extended back Adjustable waist Key loop",Pockets: Two breast pockets Two side pockets Sleeve pocket with zip and pen pockets Phone pocket,,Blaklader 4816-1370 Toughguy Pile Line Jacket,Toughguy Pile Line Jacket
1738|26146,Jackets | Outerwear|Heated Outerwear,4855-2520,Two Fisted Fleece Jacket,Combines a 460 gm 100% polyester shell with a wind and water resistant membrane and breathable mesh lining,E:\IMAGES\ITEMS\product\4\8\Blaklader-4855-2520-Two-Fisted-Fleece.jpg,Blaklader,Combines a 460 gm 100% polyester shell with a wind and water resistant membrane and breathable mesh lining,"Sizes: Available in S - XXXL Colors: Black, Black/Grey Cordura reinforcement on the shoulders and sleeves Full length zip up to collar Full velcro secured zipper flap Drawstring waist Reinforced front sleeve sections Wind and water resistant membrane Key Loop Thumb grip",Pockets: Zipped breast pocket and side front pockets Phone pocket Document pocket in back,,Blaklader 4855-2520 Two Fisted Fleece Jacket,Two Fisted Fleece Jacket
