category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
26909,Sheathing | Sub-Floor,BCI® Joists,BCI® Joists,,E:\IMAGES\ITEMS\product\B\C\boise-cascade-bci-joists-bci-joists.jpg,Boise Cascade,"BOISE GLULAM® beam products are manufactured with exterior-grade or wet-use adhesives that comply with all recognized standards. The benefit of the BOISE GLULAM® beams is the flexibility of the product. Our beams are manufactured in a variety of widths and depths with lengths up to 66 feet, with or without camber. A wide array of appearance options and layups make this one of the most versatile engineered wood products available. BOISE GLULAM® beams are available through nationwide distribution.",Product Info                 Sizes    Available in a variety of widths and depths for multiple applications. Widths range from 3?” to 14¼” and depths from 6” to 48”. Other sizes available upon request          Performance    BOISE GLULAM® is a strong cost-effective wood beam solution which can be used as beams or columns in a multitude of building design applications. Products work well in single or multi-family residential as well as light commercial projects. Curved beams and custom fabrication is available. APA certified for quality assurance.          Grades    Grades range from Industrial to Architectural appearances where customers can choose the ideal strength and appearance combination. Laminations are 10-12% MC maximum 15%.          Applications    BOISE GLULAM® are manufactured with exterior-grade or wet use adhesives. Designers have recognized the flexibility to specify this product in many different interior and exterior applications. BC CALC® software helps the ease of design and other design services are available.          Species    Manufactured from Douglas Fir / Larch or Port Orford Cedar (POC). POC is a naturally resistant species that is a green alternative to pressure-treated wood.          Misc.    One of the original engineered wood products. BOISE GLULAM® beams are available SFI® Chain-of-Custody or Certified Sourcing to earn LEED® or NGBS™ green building credits.          Availability    BOISE GLULAM® are readily available thru nationwide distribution and many inventory common sizes of stock beams to expedite the delivery process. Most custom projects can be supplied within a few short weeks depending on complexity and size of project.,,,,BCI® Joists
26909,Sheathing | Sub-Floor,VERSA-LAM® Beams & Headers,VERSA-LAM® Beams & Headers,,E:\IMAGES\ITEMS\product\V\E\boise-cascade-versa-lam-beams-headers-versa-lam-beams-headers.jpg,Boise Cascade,,,,,,VERSA-LAM® Beams & Headers
26905,Forming Lumber,Industrial/Shop,Industrial/Shop,,E:\IMAGES\ITEMS\product\I\n\boise-cascade-industrialshop-industrialshop.jpg,Boise Cascade,"BCI® Joists are specially constructed I-joists with flanges made from strong VERSA-LAM® laminated veneer lumber with oriented stranded board webs and approved waterproof structural adhesives, providing outstanding strength and durability.","Features    Benefits            Six Series: 4500, 5000, 6000, 6500, 60 and 90    A complete line of products to satisfy every home building need          About 20% stronger than comparably sized dimension lumber    Longer spans or smaller joists using less wood fiber may be specified          Widest I-Joist product line in the industry    Easier to work with on the jobsite because of their wide nailing surface          Light weight    Easier to handle; quick construction; lower labor costs          Available in long lengths    Simpler floor/roof layouts; increases floor performance and seismic resistance          Consistent from piece to piece: Help keep floors flat and homes square    Finish work can go faster with fewer problems; quiet floors          1-1/2” Prestamped knockouts    Wiring can be routed through the web; quicker construction, reducing labor costs; allowing airflow above insulation          Holes Allowed in Web    Wiring, HVAC, plumbing and other large holes can be routed through the web; no unsightly soffits          “Eased” Smoothed Edges    Framers are much less like to suffer splinters on the job          Clean appearance    Pleases the structure’s owner which makes the builder look good          Field-Trimmable with carpentry tools    Quick, easy job site modification without specialized skills or tools          Renewable resource    Uses about half the wood fiber of dimensional lumber (build “green” into the product)          Lifetime warranty    Instills confidence in the product, the builder and YOU!",,,,Industrial/Shop
26907,Plywood,COMBIPLY®,COMBIPLY®,,E:\IMAGES\ITEMS\product\C\O\boise-cascade-combiply-combiply.jpg,Boise Cascade,,,,,,COMBIPLY®
26909,Sheathing | Sub-Floor,Specialty Particleboard,Specialty Particleboard,,E:\IMAGES\ITEMS\product\S\p\boise-cascade-specialty-particleboard-specialty-particleboard.jpg,Boise Cascade,Boise Cascade MR10 (moisture resistant) is 45# Premium Industrial Particleboard with added  protection against occasional wetting and high humidity. Boise Cascade Company. Engineering  peace of mind.,,,,,Specialty Particleboard
26909,Sheathing | Sub-Floor,Premium Underlayment,Premium Underlayment,,E:\IMAGES\ITEMS\product\P\r\boise-cascade-premium-underlayment-premium-underlayment.jpg,Boise Cascade,"Boise Cascade Company manufactures a limited amount of Western framing lumber in both dimension and stud grades, which are used in a wide variety of structural framing applications.",,,,,Premium Underlayment
26909,Sheathing | Sub-Floor,Industrial Particleboard,Industrial Particleboard,,E:\IMAGES\ITEMS\product\I\n\boise-cascade-industrial-particleboard-industrial-particleboard.jpg,Boise Cascade,"Boise Cascade Premium Underlayment provides a smooth surface for use under carpeting, laminate flooring, resilient floorings, or seamless floor coverings. Boise Cascade Underlayment is acceptable for use in construction covered by HUD/FHA regulations and VA loans. The product meets the specifications of the American and Canadian National Standards for flooring products (ANSI A208.1.2009, Table B) and HUD Regulation 24 CFR Part 3280.",,,,,Industrial Particleboard
26905,Forming Lumber,GP-Rim,GP-Rim,,E:\IMAGES\ITEMS\product\G\P\boise-cascade-gp-rim-gp-rim.jpg,Boise Cascade,"VERSA-LAM® laminated veneer beams and headers eliminate twisting, shrinking and splitting, and deliver flatter, quieter floors and structures. Sized to match our BCI® and AJS® Joists and other elements of the SIMPLE FRAMING SYSTEM®, VERSA-LAM® offers quick assembly and is precision cut into more than 18 standard sizes. Because they have no camber and strength is consistent throughout, VERSA-LAM® LVL products have no top or bottom side. With better properties VERSA-LAM® beams support heavier loads and longer spans than comparable glulam or dimension lumber products. Price competitive with laminated strand products, VERSA-LAM® offers all of the advantages of authentic laminated veneer lumber. These beams are manufactured in multiple widths and depths to match BCI® joists and are available nationally.",Features    Benefits            No Camber    Flat floor; no installation errors          Dimensional Stability    Reduces inspection time and rejects          Depths Match BCI® Joists    Part of the SIMPLE FRAMING SYSTEM® FAMILY          Wide Width    Speedier installation; eliminates need for bolting or nailing,,,,GP-Rim
26905,Forming Lumber,Concrete Form,Concrete Form,,E:\IMAGES\ITEMS\product\C\o\boise-cascade-concrete-form-concrete-form.jpg,Boise Cascade,We manufacture pre-cut countertops and bullnose/edge-filled shelving (SUPER SHELF®). Both items are offered in 3/4” thickness and are produced to 45# industrial specifications. A number of custom widths and lengths are available in each product. We manufacture 1-1/8” bullnose stair treads (SUPER STEP®) in a 47# density.,,,,,Concrete Form
26905,Forming Lumber,BOISE CASCADE® Rimboard,BOISE CASCADE® Rimboard,,E:\IMAGES\ITEMS\product\B\O\boise-cascade-boise-cascade-rimboard-boise-cascade-rimboard.jpg,Boise Cascade,Landscape timbers are available in Southern Yellow Pine.,,,,,BOISE CASCADE® Rimboard
