category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
2503|21991,L - Wrenches|Hex and Torx Key Sets,14126,L-Wrench Multi-Packs,,E:\IMAGES\ITEMS\product\1\4\L-Wrench-Multi.jpg,Bondhus Corp.,,Assembled from our most popular sets Multiple sets per package Tip selections include Hex End and Star Tip,"SKUTypeModel #PiecesContents 14126ProGuard™ Ball End and Star TipBLF17S1710999 (1.5-10mm) + 12632 (Star Fold Up T6-T25) 14128ProGuard™ Ball End and Star TipBLF171710999 (1.5-10mm) + 12634 (Star Fold Up T9-T40) 14130ProGuard™ Ball End and Hex EndBLF343410937 (.050-3/8"") + 10999 (1.5-10mm) + 12550 (Hex Fold Up 5/64-5/32"", 1.5-5mm) 14132ProGuard™ Ball End and Star TipBLF30TS3010937 (.050-3/8"") + 10999 (1.5-10mm) + 12632 (Star Fold Up T6-T25) 14138ProGuard™ Ball End and Star TipBLF30T3010937 (.050-3/8"") + 10999 (1.5-10mm) + 12634 (Star Fold Up T9-T40) 14187ProGuard™ Ball End and Hex EndBLF16M1610999 (1.5-10mm) + 12587 (Hex Fold Up 2/8mm) 14189ProGuard™ Ball End and Hex EndBLF222210937 (.050-3/8"") + 12589 (Hex Fold up 5/64-1/4"") 20196ProGuard™ Ball EndBLX212110936 (.050-5/16"") + 10999 (1.5-10mm) 20199ProGuard™ Ball EndBLX222210937 (.050-3/8"") + 10999 (1.5-10mm) 20399BriteGuard™ and GoldGuard™ Ball EndBLX22GB2226937 (.050-3/8"") + 38099 (1.5-10mm) 20499ProGuard™ ProHold® Tip Ball EndPBLX222274937 (.050-3/8"") + 74999 (1.5-10mm) 20599ProGuard™ Ball End StubbySBLX222216537 (.050-3/8"") + 16599 (1.5-10mm) 20899GoldGuard™ Ball EndBLX22G2237937 (.050-3/8"") + 38099 (1.5-10mm) 22199ProGuard™ Hex EndHLX222212137 (.050-3/8"") + 12199 (1.5-10mm)",,Model #: BLF17S,L-Wrench Multi-Packs
2503|21991,L - Wrenches|Hex and Torx Key Sets,14128,L-Wrench Multi-Pack,,E:\IMAGES\ITEMS\product\1\4\L-Wrench-Multi.jpg,Bondhus Corp.,L-Wrench Multi-Pack,Assembled from our most popular sets Multiple sets per package Tip selections include Hex End and Star Tip,"SKUTypeModel #PiecesContents 14126ProGuard™ Ball End and Star TipBLF17S1710999 (1.5-10mm) + 12632 (Star Fold Up T6-T25) 14128ProGuard™ Ball End and Star TipBLF171710999 (1.5-10mm) + 12634 (Star Fold Up T9-T40) 14130ProGuard™ Ball End and Hex EndBLF343410937 (.050-3/8"") + 10999 (1.5-10mm) + 12550 (Hex Fold Up 5/64-5/32"", 1.5-5mm) 14132ProGuard™ Ball End and Star TipBLF30TS3010937 (.050-3/8"") + 10999 (1.5-10mm) + 12632 (Star Fold Up T6-T25) 14138ProGuard™ Ball End and Star TipBLF30T3010937 (.050-3/8"") + 10999 (1.5-10mm) + 12634 (Star Fold Up T9-T40) 14187ProGuard™ Ball End and Hex EndBLF16M1610999 (1.5-10mm) + 12587 (Hex Fold Up 2/8mm) 14189ProGuard™ Ball End and Hex EndBLF222210937 (.050-3/8"") + 12589 (Hex Fold up 5/64-1/4"") 20196ProGuard™ Ball EndBLX212110936 (.050-5/16"") + 10999 (1.5-10mm) 20199ProGuard™ Ball EndBLX222210937 (.050-3/8"") + 10999 (1.5-10mm) 20399BriteGuard™ and GoldGuard™ Ball EndBLX22GB2226937 (.050-3/8"") + 38099 (1.5-10mm) 20499ProGuard™ ProHold® Tip Ball EndPBLX222274937 (.050-3/8"") + 74999 (1.5-10mm) 20599ProGuard™ Ball End StubbySBLX222216537 (.050-3/8"") + 16599 (1.5-10mm) 20899GoldGuard™ Ball EndBLX22G2237937 (.050-3/8"") + 38099 (1.5-10mm) 22199ProGuard™ Hex EndHLX222212137 (.050-3/8"") + 12199 (1.5-10mm)",,Model #: BLF17,L-Wrench Multi-Pack
2503|21991,L - Wrenches|Hex and Torx Key Sets,14130,L-Wrench Multi-Pack,,E:\IMAGES\ITEMS\product\1\4\L-Wrench-Multi.jpg,Bondhus Corp.,L-Wrench Multi-Pack,Assembled from our most popular sets Multiple sets per package Tip selections include Hex End and Star Tip,"SKUTypeModel #PiecesContents 14126ProGuard™ Ball End and Star TipBLF17S1710999 (1.5-10mm) + 12632 (Star Fold Up T6-T25) 14128ProGuard™ Ball End and Star TipBLF171710999 (1.5-10mm) + 12634 (Star Fold Up T9-T40) 14130ProGuard™ Ball End and Hex EndBLF343410937 (.050-3/8"") + 10999 (1.5-10mm) + 12550 (Hex Fold Up 5/64-5/32"", 1.5-5mm) 14132ProGuard™ Ball End and Star TipBLF30TS3010937 (.050-3/8"") + 10999 (1.5-10mm) + 12632 (Star Fold Up T6-T25) 14138ProGuard™ Ball End and Star TipBLF30T3010937 (.050-3/8"") + 10999 (1.5-10mm) + 12634 (Star Fold Up T9-T40) 14187ProGuard™ Ball End and Hex EndBLF16M1610999 (1.5-10mm) + 12587 (Hex Fold Up 2/8mm) 14189ProGuard™ Ball End and Hex EndBLF222210937 (.050-3/8"") + 12589 (Hex Fold up 5/64-1/4"") 20196ProGuard™ Ball EndBLX212110936 (.050-5/16"") + 10999 (1.5-10mm) 20199ProGuard™ Ball EndBLX222210937 (.050-3/8"") + 10999 (1.5-10mm) 20399BriteGuard™ and GoldGuard™ Ball EndBLX22GB2226937 (.050-3/8"") + 38099 (1.5-10mm) 20499ProGuard™ ProHold® Tip Ball EndPBLX222274937 (.050-3/8"") + 74999 (1.5-10mm) 20599ProGuard™ Ball End StubbySBLX222216537 (.050-3/8"") + 16599 (1.5-10mm) 20899GoldGuard™ Ball EndBLX22G2237937 (.050-3/8"") + 38099 (1.5-10mm) 22199ProGuard™ Hex EndHLX222212137 (.050-3/8"") + 12199 (1.5-10mm)",,Model #: BLF34,L-Wrench Multi-Pack
2503|21991,L - Wrenches|Hex and Torx Key Sets,14132,L-Wrench Multi-Pack,,E:\IMAGES\ITEMS\product\1\4\L-Wrench-Multi.jpg,Bondhus Corp.,L-Wrench Multi-Pack,Assembled from our most popular sets Multiple sets per package Tip selections include Hex End and Star Tip,"SKUTypeModel #PiecesContents 14126ProGuard™ Ball End and Star TipBLF17S1710999 (1.5-10mm) + 12632 (Star Fold Up T6-T25) 14128ProGuard™ Ball End and Star TipBLF171710999 (1.5-10mm) + 12634 (Star Fold Up T9-T40) 14130ProGuard™ Ball End and Hex EndBLF343410937 (.050-3/8"") + 10999 (1.5-10mm) + 12550 (Hex Fold Up 5/64-5/32"", 1.5-5mm) 14132ProGuard™ Ball End and Star TipBLF30TS3010937 (.050-3/8"") + 10999 (1.5-10mm) + 12632 (Star Fold Up T6-T25) 14138ProGuard™ Ball End and Star TipBLF30T3010937 (.050-3/8"") + 10999 (1.5-10mm) + 12634 (Star Fold Up T9-T40) 14187ProGuard™ Ball End and Hex EndBLF16M1610999 (1.5-10mm) + 12587 (Hex Fold Up 2/8mm) 14189ProGuard™ Ball End and Hex EndBLF222210937 (.050-3/8"") + 12589 (Hex Fold up 5/64-1/4"") 20196ProGuard™ Ball EndBLX212110936 (.050-5/16"") + 10999 (1.5-10mm) 20199ProGuard™ Ball EndBLX222210937 (.050-3/8"") + 10999 (1.5-10mm) 20399BriteGuard™ and GoldGuard™ Ball EndBLX22GB2226937 (.050-3/8"") + 38099 (1.5-10mm) 20499ProGuard™ ProHold® Tip Ball EndPBLX222274937 (.050-3/8"") + 74999 (1.5-10mm) 20599ProGuard™ Ball End StubbySBLX222216537 (.050-3/8"") + 16599 (1.5-10mm) 20899GoldGuard™ Ball EndBLX22G2237937 (.050-3/8"") + 38099 (1.5-10mm) 22199ProGuard™ Hex EndHLX222212137 (.050-3/8"") + 12199 (1.5-10mm)",,Model #: BLF30TS,L-Wrench Multi-Pack
2503|21991,L - Wrenches|Hex and Torx Key Sets,14138,L-Wrench Multi-Pack,,E:\IMAGES\ITEMS\product\1\4\L-Wrench-Multi.jpg,Bondhus Corp.,L-Wrench Multi-Pack,Assembled from our most popular sets Multiple sets per package Tip selections include Hex End and Star Tip,"SKUTypeModel #PiecesContents 14126ProGuard™ Ball End and Star TipBLF17S1710999 (1.5-10mm) + 12632 (Star Fold Up T6-T25) 14128ProGuard™ Ball End and Star TipBLF171710999 (1.5-10mm) + 12634 (Star Fold Up T9-T40) 14130ProGuard™ Ball End and Hex EndBLF343410937 (.050-3/8"") + 10999 (1.5-10mm) + 12550 (Hex Fold Up 5/64-5/32"", 1.5-5mm) 14132ProGuard™ Ball End and Star TipBLF30TS3010937 (.050-3/8"") + 10999 (1.5-10mm) + 12632 (Star Fold Up T6-T25) 14138ProGuard™ Ball End and Star TipBLF30T3010937 (.050-3/8"") + 10999 (1.5-10mm) + 12634 (Star Fold Up T9-T40) 14187ProGuard™ Ball End and Hex EndBLF16M1610999 (1.5-10mm) + 12587 (Hex Fold Up 2/8mm) 14189ProGuard™ Ball End and Hex EndBLF222210937 (.050-3/8"") + 12589 (Hex Fold up 5/64-1/4"") 20196ProGuard™ Ball EndBLX212110936 (.050-5/16"") + 10999 (1.5-10mm) 20199ProGuard™ Ball EndBLX222210937 (.050-3/8"") + 10999 (1.5-10mm) 20399BriteGuard™ and GoldGuard™ Ball EndBLX22GB2226937 (.050-3/8"") + 38099 (1.5-10mm) 20499ProGuard™ ProHold® Tip Ball EndPBLX222274937 (.050-3/8"") + 74999 (1.5-10mm) 20599ProGuard™ Ball End StubbySBLX222216537 (.050-3/8"") + 16599 (1.5-10mm) 20899GoldGuard™ Ball EndBLX22G2237937 (.050-3/8"") + 38099 (1.5-10mm) 22199ProGuard™ Hex EndHLX222212137 (.050-3/8"") + 12199 (1.5-10mm)",,Model #: BLF30T,L-Wrench Multi-Pack
2503|21991,L - Wrenches|Hex and Torx Key Sets,14187,L-Wrench Multi-Pack,,E:\IMAGES\ITEMS\product\1\4\L-Wrench-Multi.jpg,Bondhus Corp.,L-Wrench Multi-Pack,Assembled from our most popular sets Multiple sets per package Tip selections include Hex End and Star Tip,"SKUTypeModel #PiecesContents 14126ProGuard™ Ball End and Star TipBLF17S1710999 (1.5-10mm) + 12632 (Star Fold Up T6-T25) 14128ProGuard™ Ball End and Star TipBLF171710999 (1.5-10mm) + 12634 (Star Fold Up T9-T40) 14130ProGuard™ Ball End and Hex EndBLF343410937 (.050-3/8"") + 10999 (1.5-10mm) + 12550 (Hex Fold Up 5/64-5/32"", 1.5-5mm) 14132ProGuard™ Ball End and Star TipBLF30TS3010937 (.050-3/8"") + 10999 (1.5-10mm) + 12632 (Star Fold Up T6-T25) 14138ProGuard™ Ball End and Star TipBLF30T3010937 (.050-3/8"") + 10999 (1.5-10mm) + 12634 (Star Fold Up T9-T40) 14187ProGuard™ Ball End and Hex EndBLF16M1610999 (1.5-10mm) + 12587 (Hex Fold Up 2/8mm) 14189ProGuard™ Ball End and Hex EndBLF222210937 (.050-3/8"") + 12589 (Hex Fold up 5/64-1/4"") 20196ProGuard™ Ball EndBLX212110936 (.050-5/16"") + 10999 (1.5-10mm) 20199ProGuard™ Ball EndBLX222210937 (.050-3/8"") + 10999 (1.5-10mm) 20399BriteGuard™ and GoldGuard™ Ball EndBLX22GB2226937 (.050-3/8"") + 38099 (1.5-10mm) 20499ProGuard™ ProHold® Tip Ball EndPBLX222274937 (.050-3/8"") + 74999 (1.5-10mm) 20599ProGuard™ Ball End StubbySBLX222216537 (.050-3/8"") + 16599 (1.5-10mm) 20899GoldGuard™ Ball EndBLX22G2237937 (.050-3/8"") + 38099 (1.5-10mm) 22199ProGuard™ Hex EndHLX222212137 (.050-3/8"") + 12199 (1.5-10mm)",,Model #: BLF16M,L-Wrench Multi-Pack
2503|21991,L - Wrenches|Hex and Torx Key Sets,14189,L-Wrench Multi-Pack,,E:\IMAGES\ITEMS\product\1\4\L-Wrench-Multi.jpg,Bondhus Corp.,L-Wrench Multi-Pack,Assembled from our most popular sets Multiple sets per package Tip selections include Hex End and Star Tip,"SKUTypeModel #PiecesContents 14126ProGuard™ Ball End and Star TipBLF17S1710999 (1.5-10mm) + 12632 (Star Fold Up T6-T25) 14128ProGuard™ Ball End and Star TipBLF171710999 (1.5-10mm) + 12634 (Star Fold Up T9-T40) 14130ProGuard™ Ball End and Hex EndBLF343410937 (.050-3/8"") + 10999 (1.5-10mm) + 12550 (Hex Fold Up 5/64-5/32"", 1.5-5mm) 14132ProGuard™ Ball End and Star TipBLF30TS3010937 (.050-3/8"") + 10999 (1.5-10mm) + 12632 (Star Fold Up T6-T25) 14138ProGuard™ Ball End and Star TipBLF30T3010937 (.050-3/8"") + 10999 (1.5-10mm) + 12634 (Star Fold Up T9-T40) 14187ProGuard™ Ball End and Hex EndBLF16M1610999 (1.5-10mm) + 12587 (Hex Fold Up 2/8mm) 14189ProGuard™ Ball End and Hex EndBLF222210937 (.050-3/8"") + 12589 (Hex Fold up 5/64-1/4"") 20196ProGuard™ Ball EndBLX212110936 (.050-5/16"") + 10999 (1.5-10mm) 20199ProGuard™ Ball EndBLX222210937 (.050-3/8"") + 10999 (1.5-10mm) 20399BriteGuard™ and GoldGuard™ Ball EndBLX22GB2226937 (.050-3/8"") + 38099 (1.5-10mm) 20499ProGuard™ ProHold® Tip Ball EndPBLX222274937 (.050-3/8"") + 74999 (1.5-10mm) 20599ProGuard™ Ball End StubbySBLX222216537 (.050-3/8"") + 16599 (1.5-10mm) 20899GoldGuard™ Ball EndBLX22G2237937 (.050-3/8"") + 38099 (1.5-10mm) 22199ProGuard™ Hex EndHLX222212137 (.050-3/8"") + 12199 (1.5-10mm)",,Model #: BLF22,L-Wrench Multi-Pack
2503|21991,L - Wrenches|Hex and Torx Key Sets,20196,L-Wrench Multi-Pack,,E:\IMAGES\ITEMS\product\1\4\L-Wrench-Multi.jpg,Bondhus Corp.,L-Wrench Multi-Pack,Assembled from our most popular sets Multiple sets per package Tip selections include Hex End and Star Tip,"SKUTypeModel #PiecesContents 14126ProGuard™ Ball End and Star TipBLF17S1710999 (1.5-10mm) + 12632 (Star Fold Up T6-T25) 14128ProGuard™ Ball End and Star TipBLF171710999 (1.5-10mm) + 12634 (Star Fold Up T9-T40) 14130ProGuard™ Ball End and Hex EndBLF343410937 (.050-3/8"") + 10999 (1.5-10mm) + 12550 (Hex Fold Up 5/64-5/32"", 1.5-5mm) 14132ProGuard™ Ball End and Star TipBLF30TS3010937 (.050-3/8"") + 10999 (1.5-10mm) + 12632 (Star Fold Up T6-T25) 14138ProGuard™ Ball End and Star TipBLF30T3010937 (.050-3/8"") + 10999 (1.5-10mm) + 12634 (Star Fold Up T9-T40) 14187ProGuard™ Ball End and Hex EndBLF16M1610999 (1.5-10mm) + 12587 (Hex Fold Up 2/8mm) 14189ProGuard™ Ball End and Hex EndBLF222210937 (.050-3/8"") + 12589 (Hex Fold up 5/64-1/4"") 20196ProGuard™ Ball EndBLX212110936 (.050-5/16"") + 10999 (1.5-10mm) 20199ProGuard™ Ball EndBLX222210937 (.050-3/8"") + 10999 (1.5-10mm) 20399BriteGuard™ and GoldGuard™ Ball EndBLX22GB2226937 (.050-3/8"") + 38099 (1.5-10mm) 20499ProGuard™ ProHold® Tip Ball EndPBLX222274937 (.050-3/8"") + 74999 (1.5-10mm) 20599ProGuard™ Ball End StubbySBLX222216537 (.050-3/8"") + 16599 (1.5-10mm) 20899GoldGuard™ Ball EndBLX22G2237937 (.050-3/8"") + 38099 (1.5-10mm) 22199ProGuard™ Hex EndHLX222212137 (.050-3/8"") + 12199 (1.5-10mm)",,Model #: BLX21,L-Wrench Multi-Pack
2503|21991,L - Wrenches|Hex and Torx Key Sets,20199,L-Wrench Multi-Pack,,E:\IMAGES\ITEMS\product\1\4\L-Wrench-Multi.jpg,Bondhus Corp.,L-Wrench Multi-Pack,Assembled from our most popular sets Multiple sets per package Tip selections include Hex End and Star Tip,"SKUTypeModel #PiecesContents 14126ProGuard™ Ball End and Star TipBLF17S1710999 (1.5-10mm) + 12632 (Star Fold Up T6-T25) 14128ProGuard™ Ball End and Star TipBLF171710999 (1.5-10mm) + 12634 (Star Fold Up T9-T40) 14130ProGuard™ Ball End and Hex EndBLF343410937 (.050-3/8"") + 10999 (1.5-10mm) + 12550 (Hex Fold Up 5/64-5/32"", 1.5-5mm) 14132ProGuard™ Ball End and Star TipBLF30TS3010937 (.050-3/8"") + 10999 (1.5-10mm) + 12632 (Star Fold Up T6-T25) 14138ProGuard™ Ball End and Star TipBLF30T3010937 (.050-3/8"") + 10999 (1.5-10mm) + 12634 (Star Fold Up T9-T40) 14187ProGuard™ Ball End and Hex EndBLF16M1610999 (1.5-10mm) + 12587 (Hex Fold Up 2/8mm) 14189ProGuard™ Ball End and Hex EndBLF222210937 (.050-3/8"") + 12589 (Hex Fold up 5/64-1/4"") 20196ProGuard™ Ball EndBLX212110936 (.050-5/16"") + 10999 (1.5-10mm) 20199ProGuard™ Ball EndBLX222210937 (.050-3/8"") + 10999 (1.5-10mm) 20399BriteGuard™ and GoldGuard™ Ball EndBLX22GB2226937 (.050-3/8"") + 38099 (1.5-10mm) 20499ProGuard™ ProHold® Tip Ball EndPBLX222274937 (.050-3/8"") + 74999 (1.5-10mm) 20599ProGuard™ Ball End StubbySBLX222216537 (.050-3/8"") + 16599 (1.5-10mm) 20899GoldGuard™ Ball EndBLX22G2237937 (.050-3/8"") + 38099 (1.5-10mm) 22199ProGuard™ Hex EndHLX222212137 (.050-3/8"") + 12199 (1.5-10mm)",,Model #: BLX22,L-Wrench Multi-Pack
2503|21991,L - Wrenches|Hex and Torx Key Sets,20399,L-Wrench Multi-Pack,,E:\IMAGES\ITEMS\product\1\4\L-Wrench-Multi.jpg,Bondhus Corp.,L-Wrench Multi-Pack,Assembled from our most popular sets Multiple sets per package Tip selections include Hex End and Star Tip,"SKUTypeModel #PiecesContents 14126ProGuard™ Ball End and Star TipBLF17S1710999 (1.5-10mm) + 12632 (Star Fold Up T6-T25) 14128ProGuard™ Ball End and Star TipBLF171710999 (1.5-10mm) + 12634 (Star Fold Up T9-T40) 14130ProGuard™ Ball End and Hex EndBLF343410937 (.050-3/8"") + 10999 (1.5-10mm) + 12550 (Hex Fold Up 5/64-5/32"", 1.5-5mm) 14132ProGuard™ Ball End and Star TipBLF30TS3010937 (.050-3/8"") + 10999 (1.5-10mm) + 12632 (Star Fold Up T6-T25) 14138ProGuard™ Ball End and Star TipBLF30T3010937 (.050-3/8"") + 10999 (1.5-10mm) + 12634 (Star Fold Up T9-T40) 14187ProGuard™ Ball End and Hex EndBLF16M1610999 (1.5-10mm) + 12587 (Hex Fold Up 2/8mm) 14189ProGuard™ Ball End and Hex EndBLF222210937 (.050-3/8"") + 12589 (Hex Fold up 5/64-1/4"") 20196ProGuard™ Ball EndBLX212110936 (.050-5/16"") + 10999 (1.5-10mm) 20199ProGuard™ Ball EndBLX222210937 (.050-3/8"") + 10999 (1.5-10mm) 20399BriteGuard™ and GoldGuard™ Ball EndBLX22GB2226937 (.050-3/8"") + 38099 (1.5-10mm) 20499ProGuard™ ProHold® Tip Ball EndPBLX222274937 (.050-3/8"") + 74999 (1.5-10mm) 20599ProGuard™ Ball End StubbySBLX222216537 (.050-3/8"") + 16599 (1.5-10mm) 20899GoldGuard™ Ball EndBLX22G2237937 (.050-3/8"") + 38099 (1.5-10mm) 22199ProGuard™ Hex EndHLX222212137 (.050-3/8"") + 12199 (1.5-10mm)",,Model #: BLX22GB,L-Wrench Multi-Pack
