category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1729|28006,Abrasive Wheels|Flat Angle Grinder Wheels,CC1MC600,Bosch Abrasive Wheels,Abrasive Wheels,E:\IMAGES\ITEMS\product\C\C\Bosch-CC1MC600-Abrasive.jpg,Bosch Abrasives,Bosch CC1MC600 Abrasive Wheels,,Abrasive Wheels,,Bosch CC1MC600 Abrasive Wheels,Bosch Abrasive Wheels
1729|28006,Abrasive Wheels|Flat Angle Grinder Wheels,CC1S700,Bosch Abrasive Wheels,Abrasive Wheels,E:\IMAGES\ITEMS\product\C\C\Bosch-CC1S700-Abrasive.jpg,Bosch Abrasives,Bosch CC1S700 Abrasive Wheels,,Abrasive Wheels,,Bosch CC1S700 Abrasive Wheels,Bosch Abrasive Wheels
1729|28006,Abrasive Wheels|Flat Angle Grinder Wheels,CC1S600,Bosch Abrasive Wheels,Abrasive Wheels,E:\IMAGES\ITEMS\product\C\C\Bosch-CC1S600-Abrasive.jpg,Bosch Abrasives,Bosch CC1S600 Abrasive Wheels,,Abrasive Wheels,,Bosch CC1S600 Abrasive Wheels,Bosch Abrasive Wheels
1729|28006,Abrasive Wheels|Flat Angle Grinder Wheels,CC1M800,Bosch Abrasive Wheels,Abrasive Wheels,E:\IMAGES\ITEMS\product\C\C\Bosch-CC1M800-Abrasive.jpg,Bosch Abrasives,Bosch CC1M800 Abrasive Wheels,,Abrasive Wheels,,Bosch CC1M800 Abrasive Wheels,Bosch Abrasive Wheels
1729|28006,Abrasive Wheels|Flat Angle Grinder Wheels,CC1C800,Bosch Abrasive Wheels,Abrasive Wheels,E:\IMAGES\ITEMS\product\C\C\Bosch-CC1C800-Abrasive.jpg,Bosch Abrasives,Bosch CC1C800 Abrasive Wheels,,Abrasive Wheels,,Bosch CC1C800 Abrasive Wheels,Bosch Abrasive Wheels
1729|28006,Abrasive Wheels|Flat Angle Grinder Wheels,CC1C700,Bosch Abrasive Wheels,Abrasive Wheels,E:\IMAGES\ITEMS\product\C\C\Bosch-CC1C700-Abrasive.jpg,Bosch Abrasives,Bosch CC1C700 Abrasive Wheels,,Abrasive Wheels,,Bosch CC1C700 Abrasive Wheels,Bosch Abrasive Wheels
1729|28006,Abrasive Wheels|Flat Angle Grinder Wheels,CC1M700,Bosch Abrasive Wheels,Abrasive Wheels,E:\IMAGES\ITEMS\product\C\C\Bosch-CC1M700-Abrasive.jpg,Bosch Abrasives,Bosch CC1M700 Abrasive Wheels,,Abrasive Wheels,,Bosch CC1M700 Abrasive Wheels,Bosch Abrasive Wheels
1729|28006,Abrasive Wheels|Flat Angle Grinder Wheels,CC1M600,Bosch Abrasive Wheels,Abrasive Wheels,E:\IMAGES\ITEMS\product\C\C\Bosch-CC1M600-Abrasive.jpg,Bosch Abrasives,Bosch CC1M600 Abrasive Wheels,,Abrasive Wheels,,Bosch CC1M600 Abrasive Wheels,Bosch Abrasive Wheels
1728|19454,Grinding Wheels|Depressed Center Grinding Wheels,GW28M701,Bosch Type 28 Grinding Wheels,Type 28 Grinding Wheels,E:\IMAGES\ITEMS\product\G\W\Bosch-GW28M701-Type-28-Grinding.jpg,Bosch Abrasives,Bosch GW28M701 Type 28 Grinding Wheels,,Type 28 Grinding Wheels,,Bosch GW28M701 Type 28 Grinding Wheels,Bosch Type 28 Grinding Wheels
1728|19454,Grinding Wheels|Depressed Center Grinding Wheels,GW28M900,Bosch Type 28 Grinding Wheels,Type 28 Grinding Wheels,E:\IMAGES\ITEMS\product\G\W\Bosch-GW28M900-Type-28-Grinding.jpg,Bosch Abrasives,Bosch GW28M900 Type 28 Grinding Wheels,,Type 28 Grinding Wheels,,Bosch GW28M900 Type 28 Grinding Wheels,Bosch Type 28 Grinding Wheels
