category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
24970,Diamond Saw Blades,DB664,"Bosch 6"" Segmented Rim Diamond Blade","6"" Segmented Rim Diamond Blade",E:\IMAGES\ITEMS\product\D\B\Bosch-DB664-6-Segmented-Rim-Diamond.jpg,Bosch Diamond Blades,"Bosch DB664 6"" Segmented Rim Diamond Blade","Application: Hard materialArbor: 5/8"", 7/8""Description: Premium Plus SegmentedDiameter: 6""Tool Type: SAG","6"" Segmented Rim Diamond Blade",,"Bosch DB664 6"" Segmented Rim Diamond Blade","Bosch 6"" Segmented Rim Diamond Blade"
24970,Diamond Saw Blades,DB564,"Bosch 5"" Segmented Rim Diamond Blade","5"" Segmented Rim Diamond Blade",E:\IMAGES\ITEMS\product\D\B\Bosch-DB564-5-Segmented-Rim-Diamond.jpg,Bosch Diamond Blades,"Bosch DB564 5"" Segmented Rim Diamond Blade","Application: Hard materialArbor: 5/8"", 7/8""Description: Premium Plus SegmentedDiameter: 5""Tool Type: SAG","5"" Segmented Rim Diamond Blade",,"Bosch DB564 5"" Segmented Rim Diamond Blade","Bosch 5"" Segmented Rim Diamond Blade"
24970,Diamond Saw Blades,DB4568,"Bosch 4-1/2"" Continuous Rim Diamond Blade","4-1/2"" Continuous Rim Diamond Blade",E:\IMAGES\ITEMS\product\d\b\Bosch-DB4568-4-12-Continuous-Rim-Diamond.jpg,Bosch Diamond Blades,"Bosch DB4568 4-1/2"" Continuous Rim Diamond Blade","Application: MarbleArbor: 7/8"", 20 mm, 5/8""Cut Depth: 1-1/4""Description: Premium ContinuousDiameter: 4-1/2""Segment Thickness: .080""Tool Type: SAG, Tile Cutter","4-1/2"" Continuous Rim Diamond Blade",,"Bosch DB4568 4-1/2"" Continuous Rim Diamond Blade","Bosch 4-1/2"" Continuous Rim Diamond Blade"
24970,Diamond Saw Blades,DB743C,"Bosch 7"" Continuous Rim Diamond Blade","7"" Continuous Rim Diamond Blade",E:\IMAGES\ITEMS\product\d\b\Bosch-DB743C-7-Continuous-Rim-Diamond.jpg,Bosch Diamond Blades,"Bosch DB743C 7"" Continuous Rim Diamond Blade","Application: Ceramic, granite, marbleArbor: 5/8""Cut Depth: 2-1/2""Description: Premium ContinuousDiameter: 7""Segment Thickness: .075""Tool Type: Tile Saw","7"" Continuous Rim Diamond Blade",,"Bosch DB743C 7"" Continuous Rim Diamond Blade","Bosch 7"" Continuous Rim Diamond Blade"
24970,Diamond Saw Blades,DB964,"Bosch 9"" Segmented Rim Diamond Blade","9"" Segmented Rim Diamond Blade",E:\IMAGES\ITEMS\product\D\B\Bosch-DB964-9-Segmented-Rim-Diamond.jpg,Bosch Diamond Blades,"Bosch DB964 9"" Segmented Rim Diamond Blade","Application: Hard materialArbor: 5/8"", 7/8""Description: Premium Plus SegmentedDiameter: 9""Tool Type: LAG","9"" Segmented Rim Diamond Blade",,"Bosch DB964 9"" Segmented Rim Diamond Blade","Bosch 9"" Segmented Rim Diamond Blade"
24970,Diamond Saw Blades,DD400,"Bosch 4"" Tuck-Point Mortar Blade","4"" Tuck-Point Mortar Blade",E:\IMAGES\ITEMS\product\d\d\Bosch-DD400-4-Tuck-Point-Mortar.jpg,Bosch Diamond Blades,"Bosch DD400 4"" Tuck-Point Mortar Blade","Application: Tuck-point mortarArbor: 7/8"", 5/8""Diameter: 4""Tool Type: SAG\r\n","4"" Tuck-Point Mortar Blade",,"Bosch DD400 4"" Tuck-Point Mortar Blade","Bosch 4"" Tuck-Point Mortar Blade"
24970,Diamond Saw Blades,DD500,"Bosch 5"" Tuck-Point Mortar Blade","5"" Tuck-Point Mortar Blade",E:\IMAGES\ITEMS\product\d\d\Bosch-DD500-5-Tuck-Point-Mortar.jpg,Bosch Diamond Blades,"Bosch DD500 5"" Tuck-Point Mortar Blade","Application: Tuck-point mortarArbor: 7/8"", 5/8""Diameter: 5""Tool Type: SAG","5"" Tuck-Point Mortar Blade",,"Bosch DD500 5"" Tuck-Point Mortar Blade","Bosch 5"" Tuck-Point Mortar Blade"
24970,Diamond Saw Blades,DB968,"Bosch 9"" Turbo Rim Diamond Blade","9"" Turbo Rim Diamond Blade",E:\IMAGES\ITEMS\product\D\B\Bosch-DB968-9-Turbo-Rim-Diamond.jpg,Bosch Diamond Blades,"Bosch DB968 9"" Turbo Rim Diamond Blade","Application: MarbleArbor: 7/8"", 5/8""Diameter: 9""Tool Type: Wet Saw / LAG\r\n","9"" Turbo Rim Diamond Blade",,"Bosch DB968 9"" Turbo Rim Diamond Blade","Bosch 9"" Turbo Rim Diamond Blade"
24970,Diamond Saw Blades,DB766C,"Bosch 7"" Continuous Rim Diamond Blade","7"" Continuous Rim Diamond Blade",E:\IMAGES\ITEMS\product\d\b\Bosch-DB766C-7-Continuous-Rim-Diamond.jpg,Bosch Diamond Blades,"Bosch DB766C 7"" Continuous Rim Diamond Blade","Application: Porcelain, granite, marbleArbor: 5/8""Cut Depth: 2-1/4""Description: Premium ContinuousDiameter: 7""Segment Thickness: .060""Tool Type: Tile Saw","7"" Continuous Rim Diamond Blade",,"Bosch DB766C 7"" Continuous Rim Diamond Blade","Bosch 7"" Continuous Rim Diamond Blade"
24970,Diamond Saw Blades,DB764,"Bosch 7"" Segmented Rim Diamond Blade","7"" Segmented Rim Diamond Blade",E:\IMAGES\ITEMS\product\D\B\Bosch-DB764-7-Segmented-Rim-Diamond.jpg,Bosch Diamond Blades,"Bosch DB764 7"" Segmented Rim Diamond Blade","Application: Hard materialArbor: 5/8"" with diamond knockoutDescription: Premium Plus SegmentedDiameter: 7""Tool Type: Circular saws / LAG","7"" Segmented Rim Diamond Blade",,"Bosch DB764 7"" Segmented Rim Diamond Blade","Bosch 7"" Segmented Rim Diamond Blade"
