category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
24717,Air Nailers,DA1564K,"15 Gauge ""DA"" Style Angled Finish Nailer Kit",,E:\IMAGES\ITEMS\product\D\A\bostitch-da1564k-15-gauge-da-style-angled-finish-nailer-kit.jpg,Bostitch,,specs:                                                                                                                                                                                                                                         Collation Type:                                                         Glue                                                                                                                                                                   Depth Adjustment:                                                         Yes                                                                                                                                                                   Exhaust:                                                         Rear                                                                                                                                                                   Firing / Acutation Mode:                                                         Sequential                                                                                                                                                                   Jam Clearance:                                                         No                                                                                                                                                                   Length:                                                         1.25-2.5                                                                                                                                                                   Magazine Capacity:                                                         100.0                                                                                                                                                                   Magazine Loading:                                                         Bottom Load                                                                                                                                                                   No Mar Pad:                                                         yes                                                                                                                                                                   Operating Pressure:                                                         70-120 psi                                                                                                                                                                   Power Source:                                                         Pneumatic                                                                                                                                                                   Tool Height:                                                         3.5 in                                                                                                                                                                   Tool Length:                                                         12.5 in                                                                                                                                                                   Tool Weight:                                                         4.2 lbs                                                                                                                                                                   Tool Width:                                                         12.0 in                                                                                                                                                                   Trigger Lock-Off:                                                         yes                                                                                                                                                                                                                       Uses: Chair RailBaseboardCrown MoldingTop Nailing Solid Hardwood FlooringDoor &amp; Window Trim,,,,"15 Gauge ""DA"" Style Angled Finish Nailer Kit"
24717,Air Nailers,BTFP71917,Smart Point 16 GA Finish Nailer Kit,,E:\IMAGES\ITEMS\product\B\T\bostitch-btfp71917-smart-point-16-ga-finish-nailer-kit.jpg,Bostitch,,specs:                                                                                                                                                                                                                                         Collation Type:                                                         Glue                                                                                                                                                                   Depth Adjustment:                                                         Yes                                                                                                                                                                   Exhaust:                                                         Rear                                                                                                                                                                   Firing / Acutation Mode:                                                         Sequential with Contact Trigger Included                                                                                                                                                                   Jam Clearance:                                                         Tool Free                                                                                                                                                                   Length:                                                         2.5                                                                                                                                                                   Magazine Angle:                                                         Straight                                                                                                                                                                   Magazine Capacity:                                                         100.0                                                                                                                                                                   Magazine Loading:                                                         Bottom Load                                                                                                                                                                   No Mar Pad:                                                         yes                                                                                                                                                                   Operating Pressure:                                                         70-120 psi                                                                                                                                                                   Power Source:                                                         Pneumatic                                                                                                                                                                   Tool Height:                                                         11.3 in                                                                                                                                                                   Tool Length:                                                         12.5 in                                                                                                                                                                   Tool Weight:                                                         3.9 lbs                                                                                                                                                                   Tool Width:                                                         3.3 in,,,,Smart Point 16 GA Finish Nailer Kit
24717,Air Nailers,SB-1850BN,"2"" 18-Gauge Brad Nailer Kit",,E:\IMAGES\ITEMS\product\S\B\bostitch-sb-1850bn-2-18-gauge-brad-nailer-kit.jpg,Bostitch,,specs:                                                                                                                                                                                                                                         Depth Adjustment:                                                         Yes                                                                                                                                                                   Exhaust:                                                         Adjustable                                                                                                                                                                   Fastener Diameter Range:                                                         5/8-2 in                                                                                                                                                                   Grip:                                                         Overmold                                                                                                                                                                   Magazine Capacity:                                                         100.0                                                                                                                                                                   Magazine Loading:                                                         Side Load                                                                                                                                                                   No Mar Pad:                                                         yes                                                                                                                                                                   Power Source:                                                         Pneumatic                                                                                                                                                                   Tool Height:                                                         9.5 in                                                                                                                                                                   Tool Length:                                                         9.25 in                                                                                                                                                                   Tool Weight:                                                         2.7 lbs                                                                                                                                                                   Tool Width:                                                         2.0 in                                                                                                                                                                                                                       Uses: Interior finish and trimExterior finish and trimFurnitureCabinet workStaircasesPanelingCrafts,,,,"2"" 18-Gauge Brad Nailer Kit"
24717,Air Nailers,BTFP72155,Smart Point 15 GA “DA” Style Angle Finish Nailer Kit,,E:\IMAGES\ITEMS\product\B\T\bostitch-btfp72155-smart-point-15-ga-da-style-angle-finish-nailer-kit.jpg,Bostitch,,specs:                                                                                                                                                                                                                                         Collation Type:                                                         Glue                                                                                                                                                                   Depth Adjustment:                                                         Yes                                                                                                                                                                   Exhaust:                                                         Rear                                                                                                                                                                   Firing / Acutation Mode:                                                         Sequential with Contact Trigger Included                                                                                                                                                                   Jam Clearance:                                                         Tool Free                                                                                                                                                                   Length:                                                         2.5                                                                                                                                                                   Magazine Capacity:                                                         100.0                                                                                                                                                                   Magazine Loading:                                                         Rear Load                                                                                                                                                                   No Mar Pad:                                                         yes                                                                                                                                                                   Operating Pressure:                                                         70-120 psi                                                                                                                                                                   Power Source:                                                         Pneumatic                                                                                                                                                                   Tool Height:                                                         12.1 in                                                                                                                                                                   Tool Length:                                                         12.8 in                                                                                                                                                                   Tool Weight:                                                         4.2 lbs                                                                                                                                                                   Tool Width:                                                         3.8 in,,,,Smart Point 15 GA “DA” Style Angle Finish Nailer Kit
24717,Air Nailers,N62FNK-2,15-Gauge Oil-Free Angled Finish Nailer Kit,,E:\IMAGES\ITEMS\product\N\6\bostitch-n62fnk-2-15-gauge-oil-free-angled-finish-nailer-kit.jpg,Bostitch,,specs:                                                                                                                                                                                                                                         Collation Type:                                                         Glue                                                                                                                                                                   Depth Adjustment:                                                         Yes                                                                                                                                                                   Dry Fire Lockout:                                                         yes                                                                                                                                                                   Exhaust:                                                         Rear                                                                                                                                                                   Firing / Acutation Mode:                                                         Sequential with Contact Trigger Included                                                                                                                                                                   Jam Clearance:                                                         Tool Free                                                                                                                                                                   Length:                                                         1.25-2.5                                                                                                                                                                   Magazine Angle:                                                         34 Degree                                                                                                                                                                   Magazine Capacity:                                                         130.0                                                                                                                                                                   Magazine Loading:                                                         Bottom Load                                                                                                                                                                   No Mar Pad:                                                         yes                                                                                                                                                                   Operating Pressure:                                                         70-120 psi                                                                                                                                                                   Power Source:                                                         Pneumatic                                                                                                                                                                   Tool Height:                                                         11.688 in                                                                                                                                                                   Tool Length:                                                         14.186 in                                                                                                                                                                   Tool Weight:                                                         4.15 lbs                                                                                                                                                                   Tool Width:                                                         3.625 in                                                                                                                                                                   Trigger Lock-Off:                                                         yes                                                                                                                                                                                                                       Uses: Interior finish and trimExterior finish and trimFurnitureCabinet workStaircases,,,,15-Gauge Oil-Free Angled Finish Nailer Kit
24717,Air Nailers,FN1664K,16 Gauge Finish Nailer Kit,,E:\IMAGES\ITEMS\product\F\N\bostitch-fn1664k-16-gauge-finish-nailer-kit.jpg,Bostitch,,specs:                                                                                                                                                                                                                                         Collation Type:                                                         Glue                                                                                                                                                                   Depth Adjustment:                                                         Yes                                                                                                                                                                   Exhaust:                                                         Rear                                                                                                                                                                   Firing / Acutation Mode:                                                         Sequential with Contact Trigger Included                                                                                                                                                                   Grip:                                                         Overmold                                                                                                                                                                   Jam Clearance:                                                         Yes                                                                                                                                                                   Length:                                                         1.25-2.5                                                                                                                                                                   Magazine Capacity:                                                         100.0                                                                                                                                                                   Magazine Loading:                                                         Bottom Load                                                                                                                                                                   No Mar Pad:                                                         yes                                                                                                                                                                   Operating Pressure:                                                         70-120 psi                                                                                                                                                                   Power Source:                                                         Pneumatic                                                                                                                                                                   Tool Height:                                                         11.375 in                                                                                                                                                                   Tool Length:                                                         11.875 in                                                                                                                                                                   Tool Weight:                                                         3.9 lbs                                                                                                                                                                   Tool Width:                                                         2.75 in                                                                                                                                                                   Trigger Lock-Off:                                                         yes,,,,16 Gauge Finish Nailer Kit
24729,Air Staplers,SB-2IN1,Combo Brad Nailer / Finish Stapler Kit,,E:\IMAGES\ITEMS\product\S\B\bostitch-sb-2in1-combo-brad-nailer-finish-stapler-kit.jpg,Bostitch,,specs:                                                                                                                                                                                                                                         Collation Type:                                                         Glue                                                                                                                                                                   Depth Adjustment:                                                         Yes                                                                                                                                                                   Dry Fire Lockout:                                                         no                                                                                                                                                                   Exhaust:                                                         Adjustable                                                                                                                                                                   Firing / Acutation Mode:                                                         Sequential                                                                                                                                                                   Jam Clearance:                                                         Yes                                                                                                                                                                   Length:                                                         .625-1.625                                                                                                                                                                   Magazine Angle:                                                         Straight                                                                                                                                                                   Magazine Capacity:                                                         100.0                                                                                                                                                                   Magazine Loading:                                                         Side Load                                                                                                                                                                   No Mar Pad:                                                         yes                                                                                                                                                                   Operating Pressure:                                                         70-100 psi                                                                                                                                                                   Power Source:                                                         Pneumatic                                                                                                                                                                   Tool Height:                                                         8.5 in                                                                                                                                                                   Tool Length:                                                         9.25 in                                                                                                                                                                   Tool Weight:                                                         2.6 lbs                                                                                                                                                                   Tool Width:                                                         2.0 in                                                                                                                                                                                                                       Uses: Interior finish and trimExterior finish and trimFurnitureCabinet workStaircasesPanelingCrafts,,,,Combo Brad Nailer / Finish Stapler Kit
24717,Air Nailers,BTFP12233,Smart Point 18 GA Brad Nailer Kit,,E:\IMAGES\ITEMS\product\B\T\bostitch-btfp12233-smart-point-18-ga-brad-nailer-kit.jpg,Bostitch,,"specs:                                                                                                                                                                                                                                         Collation Type:                                                         Glue                                                                                                                                                                   Depth Adjustment:                                                         Yes                                                                                                                                                                   Dry Fire Lockout:                                                         no                                                                                                                                                                   Exhaust:                                                         Rear                                                                                                                                                                   Firing / Acutation Mode:                                                         Sequential with Contact Trigger Included                                                                                                                                                                   Grip:                                                         Slip On                                                                                                                                                                   Jam Clearance:                                                         Tool Free                                                                                                                                                                   Length:                                                         2.125                                                                                                                                                                   Magazine Angle:                                                         Straight                                                                                                                                                                   Magazine Capacity:                                                         100.0                                                                                                                                                                   Magazine Loading:                                                         Side Load                                                                                                                                                                   No Mar Pad:                                                         yes                                                                                                                                                                   Operating Pressure:                                                         70-120 psi                                                                                                                                                                   Power Source:                                                         Pneumatic                                                                                                                                                                   Tool Height:                                                         9.5 in                                                                                                                                                                   Tool Length:                                                         11.3 in                                                                                                                                                                   Tool Weight:                                                         3.1 lbs                                                                                                                                                                   Tool Width:                                                         3.2 in                                                                                                                                                                                                                      Also Includes: Kit Includes: Nailer, 1/4"" Air Fitting, Sample Brad Nails, Carrying Case and Extra No-Mar Tips                                      Uses: Interior TrimBaseboardsCabinetryDoor &amp; Window CasingsFurnitureKitchen Crown MoldingPaneling",,,,Smart Point 18 GA Brad Nailer Kit
24717,Air Nailers,BT1855K,18 Gauge Brad Nailer Kit,,E:\IMAGES\ITEMS\product\B\T\bostitch-bt1855k-18-gauge-brad-nailer-kit.jpg,Bostitch,,specs:                                                                                                                                                                                                                                         Collation Type:                                                         Glue                                                                                                                                                                   Depth Adjustment:                                                         Yes                                                                                                                                                                   Dry Fire Lockout:                                                         yes                                                                                                                                                                   Exhaust:                                                         Rear                                                                                                                                                                   Firing / Acutation Mode:                                                         Sequential with Contact Trigger Included                                                                                                                                                                   Grip:                                                         Overmold                                                                                                                                                                   Jam Clearance:                                                         Yes                                                                                                                                                                   Length:                                                         2.125                                                                                                                                                                   Magazine Angle:                                                         Straight                                                                                                                                                                   Magazine Capacity:                                                         110.0                                                                                                                                                                   Magazine Loading:                                                         Side Load                                                                                                                                                                   Nail Diameter:                                                         2 in                                                                                                                                                                   No Mar Pad:                                                         no                                                                                                                                                                   Operating Pressure:                                                         70-120 psi                                                                                                                                                                   Power Source:                                                         Pneumatic                                                                                                                                                                   Tool Height:                                                         12.2 in                                                                                                                                                                   Tool Length:                                                         11.8 in                                                                                                                                                                   Tool Weight:                                                         2.7 lbs                                                                                                                                                                   Tool Width:                                                         4.61 in                                                                                                                                                                   Trigger Lock-Off:                                                         yes,,,,18 Gauge Brad Nailer Kit
24717,Air Nailers,BTFP72156,Smart Point 15 GA “FN” Style Angle Finish Nailer Kit,,E:\IMAGES\ITEMS\product\B\T\bostitch-btfp72156-smart-point-15-ga-fn-style-angle-finish-nailer-kit.jpg,Bostitch,,specs:                                                                                                                                                                                                                                         Collation Type:                                                         Glue                                                                                                                                                                   Depth Adjustment:                                                         Yes                                                                                                                                                                   Exhaust:                                                         Rear                                                                                                                                                                   Firing / Acutation Mode:                                                         Sequential with Contact Trigger Included                                                                                                                                                                   Jam Clearance:                                                         Tool Free                                                                                                                                                                   Length:                                                         1.25-2.5                                                                                                                                                                   Magazine Capacity:                                                         129.0                                                                                                                                                                   Magazine Loading:                                                         Rear Load                                                                                                                                                                   No Mar Pad:                                                         yes                                                                                                                                                                   Operating Pressure:                                                         70-120 psi                                                                                                                                                                   Power Source:                                                         Pneumatic                                                                                                                                                                   Tool Height:                                                         12.1 in                                                                                                                                                                   Tool Length:                                                         14.3 in                                                                                                                                                                   Tool Weight:                                                         4.32 lbs                                                                                                                                                                   Tool Width:                                                         3.8 in                                                                                                                                                                   Trigger Lock-Off:                                                         no,,,,Smart Point 15 GA “FN” Style Angle Finish Nailer Kit
