category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
24818,Demolition Hammer Chisels,L03J09,Round Shank Narrow Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,Brunner & Lay,Oval Collar - L03J* & Round Collar - L03H*,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 9""",Round Shank Narrow Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03J12,Brunner & Lay L03J12 Round Shank Narrow Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,Brunner & Lay,Brunner & Lay L03J12 Round Shank Narrow Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 12""",Brunner & Lay L03J12 Round Shank Narrow Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03J18,Brunner & Lay L03J18 Round Shank Narrow Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,Brunner & Lay,Brunner & Lay L03J18 Round Shank Narrow Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 18""",Brunner & Lay L03J18 Round Shank Narrow Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03J24,Brunner & Lay L03J24 Round Shank Narrow Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,Brunner & Lay,Brunner & Lay L03J24 Round Shank Narrow Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 24""",Brunner & Lay L03J24 Round Shank Narrow Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03J36,Brunner & Lay L03J36 Round Shank Narrow Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,Brunner & Lay,Brunner & Lay L03J36 Round Shank Narrow Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 36""",Brunner & Lay L03J36 Round Shank Narrow Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03J48,Brunner & Lay L03J48 Round Shank Narrow Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,Brunner & Lay,Brunner & Lay L03J48 Round Shank Narrow Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 48""",Brunner & Lay L03J48 Round Shank Narrow Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03J60,Brunner & Lay L03J60 Round Shank Narrow Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,Brunner & Lay,Brunner & Lay L03J60 Round Shank Narrow Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 60""",Brunner & Lay L03J60 Round Shank Narrow Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03J72,Brunner & Lay L03J72 Round Shank Narrow Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,Brunner & Lay,Brunner & Lay L03J72 Round Shank Narrow Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 72""",Brunner & Lay L03J72 Round Shank Narrow Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03G09,Hex Shank Narrow Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Hex-Shank-Narrow-Chipping-Hammer.jpg,Brunner & Lay,Oval Collar - L03G* & Round Collar - L03F*,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 9""",Hex Shank Narrow Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03G12,Brunner & Lay L03G12 Hex Shank Narrows Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Hex-Shank-Narrow-Chipping-Hammer.jpg,Brunner & Lay,Brunner & Lay L03G12 Hex Shank Narrows Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 12""",Brunner & Lay L03G12 Hex Shank Narrows Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03G18,Brunner & Lay L03G18 Hex Shank Narrows Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Hex-Shank-Narrow-Chipping-Hammer.jpg,Brunner & Lay,Brunner & Lay L03G18 Hex Shank Narrows Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 18""",Brunner & Lay L03G18 Hex Shank Narrows Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03G24,Brunner & Lay L03G24 Hex Shank Narrows Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Hex-Shank-Narrow-Chipping-Hammer.jpg,Brunner & Lay,Brunner & Lay L03G24 Hex Shank Narrows Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 24""",Brunner & Lay L03G24 Hex Shank Narrows Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03G36,Brunner & Lay L03G36 Hex Shank Narrows Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Hex-Shank-Narrow-Chipping-Hammer.jpg,Brunner & Lay,Brunner & Lay L03G36 Hex Shank Narrows Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 36""",Brunner & Lay L03G36 Hex Shank Narrows Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03G48,Brunner & Lay L03G48 Hex Shank Narrows Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Hex-Shank-Narrow-Chipping-Hammer.jpg,Brunner & Lay,Brunner & Lay L03G48 Hex Shank Narrows Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 48""",Brunner & Lay L03G48 Hex Shank Narrows Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03G60,Brunner & Lay L03G60 Hex Shank Narrows Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Hex-Shank-Narrow-Chipping-Hammer.jpg,Brunner & Lay,Brunner & Lay L03G60 Hex Shank Narrows Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 60""",Brunner & Lay L03G60 Hex Shank Narrows Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03G72,Brunner & Lay L03G72 Hex Shank Narrows Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Hex-Shank-Narrow-Chipping-Hammer.jpg,Brunner & Lay,Brunner & Lay L03G72 Hex Shank Narrows Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 72""",Brunner & Lay L03G72 Hex Shank Narrows Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03H09,Brunner & Lay L03H09 Round Shank Narrow Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,Brunner & Lay,Brunner & Lay L03H09 Round Shank Narrow Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 9""",Brunner & Lay L03H09 Round Shank Narrow Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03H12,Brunner & Lay L03H12 Round Shank Narrow Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,Brunner & Lay,Brunner & Lay L03H12 Round Shank Narrow Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 12""",Brunner & Lay L03H12 Round Shank Narrow Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03H18,Brunner & Lay L03H18 Round Shank Narrow Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,Brunner & Lay,Brunner & Lay L03H18 Round Shank Narrow Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 18""",Brunner & Lay L03H18 Round Shank Narrow Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03H24,Brunner & Lay L03H24 Round Shank Narrow Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,Brunner & Lay,Brunner & Lay L03H24 Round Shank Narrow Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 24""",Brunner & Lay L03H24 Round Shank Narrow Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03H36,Brunner & Lay L03H36 Round Shank Narrow Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,Brunner & Lay,Brunner & Lay L03H36 Round Shank Narrow Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 36""",Brunner & Lay L03H36 Round Shank Narrow Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03H48,Brunner & Lay L03H48 Round Shank Narrow Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,Brunner & Lay,Brunner & Lay L03H48 Round Shank Narrow Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 48""",Brunner & Lay L03H48 Round Shank Narrow Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03H60,Brunner & Lay L03H60 Round Shank Narrow Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,Brunner & Lay,Brunner & Lay L03H60 Round Shank Narrow Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 60""",Brunner & Lay L03H60 Round Shank Narrow Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03H72,Brunner & Lay L03H72 Round Shank Narrow Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,Brunner & Lay,Brunner & Lay L03H72 Round Shank Narrow Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 72""",Brunner & Lay L03H72 Round Shank Narrow Chipping Hammer Chisels
24818,Demolition Hammer Chisels,L03F09,Brunner & Lay L03F09 Hex Shank Narrow Chipping Hammer Chisels,Oval Collar.,E:\IMAGES\ITEMS\product\L\0\Hex-Shank-Narrow-Chipping-Hammer.jpg,Brunner & Lay,Brunner & Lay L03F09 Hex Shank Narrow Chipping Hammer Chisels,Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.,,,"Length: 9""",Brunner & Lay L03F09 Hex Shank Narrow Chipping Hammer Chisels
