category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1811|19636,All-Purpose Cleaners|Cleaners,68570,Wash Mitts,Soft and scratch-free for washing and polishing,E:\IMAGES\ITEMS\product\6\8\Wash.jpg,"Buffalo Industries, LLC",Soft and scratch-free for washing and polishing,AUTOMOTIVE: Dusting and Detailing	 	MARINE: Cleaning and Finishing	 	HOUSEHOLD: Dusting and Cleaning,"Synthetic Wool Wash MittSynthetic wool effectively cleans marine, auto and household surfaces. Large cleaning surface. Elastic wristband. Hand washable. Size: One size fits all Material: Acrylic fleece, elasticMicrofiber Chenille Wash MittGentle microfiber chenille fingers deep-clean both flat and irregular surfaces. Ideal for marine, auto and household use. Elastic wristband. Hand washable. Size: One size fits all Material: Acrylic fleece, elastic  WASH MITTS ITEM #DESCRIPTIONCASE QTYCASE WT (LBS)UPC # 	68570		Synthetic Wool Wash Mitt		25		7		0-32479-68570-9	 	68573		Microfiber Chenille Wash Mitt - BLUE		25		11		0-32479-68573-0",,Wash Mitts,Wash Mitts
1811|19636,All-Purpose Cleaners|Cleaners,60227,Terry Towels,,E:\IMAGES\ITEMS\product\6\0\Terry.jpg,"Buffalo Industries, LLC",,AUTOMOTIVE:Detailing and Drying HOUSEHOLD:Cleanup and Maintenance JANITORIAL/RESTAURANT:Cleaning and Wiping MARINE:Detailing and Cleanup INDUSTRIAL:Job Site and Tool Maintenance,"Terry Towels All-purpose towels for garage and home.Very absorbent and ideal for all-purpose cleaning, polishing and detailing. Can be used around the auto, home and garage. Machine washable. Size: 14"" x 17"" Fully-hemmed Material:100 percent cottonJanitorial Terry Towels Ideal for cleaning restrooms,offices and kitchens.Heavier basis weight than our standard Terry Towels. Special yarn makes this Terry softer, more absorbent and extremely durable. Ideally suited for all residential and aggressive commercial cleaning operations. Machine washable. Size: 14"" x 17"" Fully-hemmed Material: 100 percent cottonMarine Terry Towels All-purpose towels for marine cleanup.Very absorbent and ideal for cleaning hulls, decks, galleys and heads. Machine washable. Size: 14"" x 17"" Fully-hemmed Material:100 percent cotton 	 		TERRY TOWELS  	 	 		ITEM # 		DESCRIPTION 		 		 			CASE QTY 		 		 		 			CASE 			WT (LBS) 		 		 		 			UPC # 		 	 	 		60227 		Loose Pack 		 		 			200 		 		 		 			25 		 		 		 			0-32479-60227-0 		 	 	 		60228C 		Loose Pack - Counter Display 		 		 			100 		 		 		 			13 		 		 		 			0-32479-60228-7 		 	 	 		60229 		3 Pack Roll 		 		 			50 		 		 		 			19 		 		 		 			0-32479-03335-7 		 	 	 		60229C 		3 Pack Roll - Counter Display 		 		 			30 		 		 		 			12 		 		 		 			0-32479-03335-7 		 	 	 		60225 		4 Pack Bag 		 		 			50 		 		 		 			25 		 		 		 			0-32479-03333-3 		 	 	 		60220 		12 Pack Bag 		 		 			15 		 		 		 			23 		 		 		 			0-32479-03331-9 		 	 	 		60220FP 		12 Pack Bag - Full Pallet (12 Cases/Pallet) 		 		 			24 		 		 		 			36 		 		 		 			0-32479-03331-9 		 	 	 		60220HP 		12 Pack Bag - Half Pallet (6 Cases/Pallet) 		 		 			24 		 		 		 			36 		 		 		 			0-32479-03331-9 		 	 	 		60221 		24 Pack Bag 		 		 			10 		 		 		 			29 		 		 		 			0-32479-03336-4 		 	 	 		60221FP 		24 Pack Bag - Full Pallet (12 Cases/Pallet) 		 		 			12 		 		 		 			36 		 		 		 			0-32479-03336-4 		 	 	 		60221HP 		24 Pack Bag - Half Pallet (6 Cases/Pallet) 		 		 			12 		 		 		 			36 		 		 		 			0-32479-03336-4 		 	 	 		  		  		 		 		 		 		 		 		 		 		 		 		 		 	 	 		MARINE TERRY TOWELS 	 	 		ITEM # 		DESCRIPTION 		 		 			CASE QTY 		 		 		 			CASE 			WT (LBS) 		 		 		 			UPC # 		 	 	 		60248 		3 Pack Roll 		 		 			50 		 		 		 			19 		 		 		 			0-32479-60248-5 		 	 	 		60248C 		3 Pack Roll - Counter Display 		 		 			30 		 		 		 			12 		 		 		 			0-32479-60248-5 		 	 	 		60244 		6 Pack Bag 		 		 			25 		 		 		 			19 		 		 		 			0-32479-60244-7 		 	 	 		60249 		12 Pack Bag 		 		 			15 		 		 		 			23 		 		 		 			0-32479-60249-2 		 	 	 		  		  		 		 		 		 		 		 		 		 		 		 		 		 	 	 		JANITORIAL TERRY TOWELS  	 	 		ITEM # 		DESCRIPTION 		 		 			CASE QTY 		 		 		 			CASE 			WT (LBS) 		 		 		 			UPC # 		 	 	 		60246 		Janitorial 12 Pack Bag 		 		 			15 		 		 		 			23 		 		 		 			0-32479-60246-1 		 	 	 		60246FP 		Janitorial 12 Pack Bag - Full Pallet (12  		Cases/Pallet) 		 		 			24 		 		 		 			36 		 		 		 			0-32479-60246-1 		 	 	 		60246HP 		Janitorial 12 Pack Bag - Half Pallet (6  		Cases/Pallet) 		 		 			24 		 		 		 			36 		 		 		 			0-32479-60246-1",,Terry Towels,Terry Towels
1811|19636,All-Purpose Cleaners|Cleaners,68530,Tack Cloths,,E:\IMAGES\ITEMS\product\6\8\Tack.jpg,"Buffalo Industries, LLC",,MARINE: Wood and Fiberglass AUTOMOTIVE: Autobody HOUSEHOLD:Furniture and Trim PAINT: Wood and Metal,"Removes dust from wood, metal and fiberglass.A Tack Cloth cleans wood, metal, fiberglass, plaster and other materials. Designed to remove dust residue for better adhesion of paints, stains and varnishes. Size: 18 x 36"" Material: 100% Cotton 	 		TACK CLOTHS 	 	 		ITEM # 		DESCRIPTION 		 		 			CASE QTY 		 		 		 			CASEWT (LBS) 		 		 		 			UPC # 		 	 	 		68530 		18"" x 36"" - WHITE - 1 Pack Bag 		 		 			144 		 		 		 			7 		 		 		 			0-32479-68530-3 		 	 	 		68531 		18"" x 36"" - TAN - 1 Pack Bag 		 		 			144 		 		 		 			7 		 		 		 			0-32479-68531-0",,Tack Cloths,Tack Cloths
1811|19636,All-Purpose Cleaners|Cleaners,65023,Scrubbing Sponges and Combo Sponges,,E:\IMAGES\ITEMS\product\6\5\Scrubbing-Sponges-and-Combo.jpg,"Buffalo Industries, LLC",,AUTOMOTIVE:Detailing  Cleaning HOUSEHOLD:Cleanup  Maintenance JANITORIAL/RESTAURANT:Cleaning  Wiping MARINE:Detailing  Cleanup INDUSTRIAL:Cleanup  Maintenance,"Scrubbing Sponge Professional choice for scrubbing hulls and decks, sanding drywall and grout and general cleaning Heavy-duty, professional choice for scrubbing hulls and decks, sanding drywall and grout and general cleaning. The Scrubbing Sponge is solvent resistant and durable. Holds large amounts of water. Semi-abrasive side. Size: 6-1/4"" x 4-1/4"" x 2-1/8"" Material: 100% Hydrophilated Polyester Combo Sponge2 Sponges in 1 The Combo Sponge is heavy-duty and like two sponges in one. Super soft microfiber front cleans painted surfaces & metals. Durable scrubbing back cleans auto grills and bumpers, boat hulls and decks. Size: 9"" x 4-3/4"" x 2"" Material: Microfiber and Polyester Mesh Covering a Sponge Interior   	 		SPONGES - Bone, Bailing, Scrubbing, Microfiber Chenille  		and Combo 	 	 		ITEM # 		DESCRIPTION 		 		 			CASE QTY 		 		 		 			CASEWT (LBS) 		 		 		 			UPC # 		 	 	 		65023 		Scrubbing Sponge 		 		 			24 		 		 		 			2 		 		 		 			0-32479-65023-3 		 	 	 		65005 		Combo Sponge 		 		 			25 		 		 		 			5 		 		 		 			0-32479-65005-9",,Scrubbing Sponges and Combo Sponges,Scrubbing Sponges and Combo Sponges
1811|19636,All-Purpose Cleaners|Cleaners,62000,Shop Towels,,E:\IMAGES\ITEMS\product\6\2\Shop.jpg,"Buffalo Industries, LLC",,AUTOMOTIVE:Garage and Shop Maintenance	 	MARINE:Engine and Equipment Cleanup	 	Industrial:Job Site and Tool Maintenance	 	Paint:Tool and Project Cleanup	 	Household:Cleanup and Maintenance,"Shop Towels (Red) Ideal for shop cleanup and auto maintenance.Excellent grease and oil rag around the auto, garage and home. Shop Towels are washed, dyed, and dried to assure a quality product. Machine washable. Size: 14"" x 14"" Fully hemmed Material: 100 percent cotton Marine Shop Towels (Bleached White) Ideal for engine work,hydraulic repairs and general maintenance Bleached white. Ideal for engine work, hydraulic repairs and general maintenance. Marine Shop Towels are color-free, durable and machine washable. Size: 14"" x 14"" Fully hemmed Material: 100 percent cotton  	 		SHOP TOWELS (Red) 	 	 		ITEM # 		DESCRIPTION 		 		 			CASE QTY 		 		 		 			CASEWT (LBS) 		 		 		 			UPC # 		 	 	 		62000 		Loose Pack 		 		 			500 		 		 		 			30 		 		 		 			0-32479-62000-7 		 	 	 		62030C 		Loose Pack - Counter Display 		 		 			250 		 		 		 			16 		 		 		 			0-32479-62030-4 		 	 	 		62007C 		4 Pack Bag - Counter Display 		 		 			50 		 		 		 			13 		 		 		 			0-32479-02351-8 		 	 	 		62006C 		5 Pack Roll - Counter Display 		 		 			50 		 		 		 			16 		 		 		 			0-32479-02331-0 		 	 	 		62010C 		10 Pack Bag - Counter Display 		 		 			25 		 		 		 			16 		 		 		 			0-32479-02391-4 		 	 	 		62013C 		25 Pack Bag - Counter Display 		 		 			10 		 		 		 			16 		 		 		 			0-32479-02311-2 		 	 	 		62013FP 		25 Pack Bag - Full Pallet (12 Cases/Pallet) 		 		 			24 		 		 		 			35 		 		 		 			0-32479-02311-2 		 	 	 		62013HP 		25 Pack Bag - Half Pallet (6 Cases/Pallet) 		 		 			24 		 		 		 			35 		 		 		 			0-32479-02311-2 		 	 	 		62017 		50 Pack Bag 		 		 			10 		 		 		 			33 		 		 		 			0-32479-02361-7 		 	 	 		62017FP 		50 Pack Bag - Full Pallet (12 Cases/Pallet) 		 		 			12 		 		 		 			35 		 		 		 			0-32479-02361-7 		 	 	 		62017HP 		50 Pack Bag - Half Pallet (6 Cases/Pallet) 		 		 			12 		 		 		 			35 		 		 		 			0-32479-02361-7 		 	 	 		. 	 	 		MARINE SHOP TOWELS (White) 	 	 		ITEM # 		DESCRIPTION 		 		 			CASE QTY 		 		 		 			CASEWT (LBS) 		 		 		 			UPC # 		 	 	 		62023 		7 Pack Roll 		 		 			50 		 		 		 			22 		 		 		 			0-32479-62023-6 		 	 	 		62023C 		7 Pack Roll - Counter Display 		 		 			40 		 		 		 			18 		 		 		 			0-32479-62023-6 		 	 	 		62031C 		25 Pack Bag - Counter Display 		 		 			10 		 		 		 			16 		 		 		 			0-32479-62031-1",,Shop Towels,Shop Towels
2605,Specialty Protective & Safety Clothing,68580,Protective Apparel,"Protection from Paint Overspray, Dust, Resin and Fiberglass",E:\IMAGES\ITEMS\product\6\8\Protective.jpg,"Buffalo Industries, LLC","Protection from Paint Overspray, Dust, Resin and Fiberglass","MARINE:Protection from Fiberglass, Resin and Paint. Decking and Shoe Protection.  	AUTOMOTIVE:	Protection from Paint.Interior and Shoe Protection. 	 PAINT:Protection from Sanding Dust and Paint. Shoe and Flooring Protection.","Extra Long Neck Spray Socks Keeps paint, resins, overspray and other materials away from the head. Knit Spray Sock fits snugly around the face. Extra long neck. Size: One size fits all Material: Poly/cottonblend Contractor-Grade Protection for Shoes and All Surfaces Shoe and Boot Covers Non-skid, PE-coated shoe and boot covers provide non-slip protection on most surfaces and a durable barrier against varnish, resins, fiberglass, paints and most liquids. Size: One size fits most shoes or boots Material: Polyethylene-coated polypropylene Protective Sleeves Special lamination process allows a high level of protection from varnish, resins, fiberglass, paints and sanding dust. Size: 18"" long Material: Polyethylene-laminated polypropyleneProtective Hoods Guard the head from varnish, resins, fiberglass, paints, sanding dust and most liquids. Elasticized for comfort and proper fit. Snap closure. Size: One size fits all Material: Polyethylene-laminated polypropylene    	 		SPRAY SOCKS 	 	 		ITEM # 		DESCRIPTION 		 		 			CASE QTY 		 		 		 			CASEWT (LBS) 		 		 		 			UPC # 		 	 	 		68580 		1 Pack Bag 		 		 			100 		 		 		 			8 		 		 		 			0-32479-68580-8 		 	 	 		. 	 	 		SHOE COVERS 	 	 		ITEM # 		DESCRIPTION 		 		 			CASE QTY 		 		 		 			CASEWT (LBS) 		 		 		 			UPC # 		 	 	 		68430 		Loose Pack 		 		 			200 		 		 		 			6 		 		 		 			0-32479-68430-0 		 	 	 		68431 		3 Pairs Per Bag 		 		 			25 		 		 		 			6 		 		 		 			0-32479-68431-3 		 	 	 		. 	 	 		BOOT COVERS 	 	 		ITEM # 		DESCRIPTION 		 		 			CASE QTY 		 		 		 			CASEWT (LBS) 		 		 		 			UPC # 		 	 	 		68432 		Loose Pack 		 		 			200 		 		 		 			13 		 		 		 			0-32479-68432-0 		 	 	 		68435 		2 Pairs per bag 		 		 			25 		 		 		 			7 		 		 		 			0-32479-68435-1 		 	 	 		. 	 	 		PROTECTIVE SLEEVES 	 	 		ITEM # 		DESCRIPTION 		 		 			CASE QTY 		 		 		 			CASEWT (LBS) 		 		 		 			UPC # 		 	 	 		68433 		Loose Pack 		 		 			200 		 		 		 			5 		 		 		 			0-32479-68433-7 		 	 	 		. 	 	 		PROTECTIVE HOODS 	 	 		ITEM # 		DESCRIPTION 		 		 			CASE QTY 		 		 		 			CASEWT (LBS) 		 		 		 			UPC # 		 	 	 		68434 		Loose Pack 		 		 			100 		 		 		 			4 		 		 		 			0-32479-68434-4",,Protective Apparel,Protective Apparel
1811|19636,All-Purpose Cleaners|Cleaners,63150,Polishing Cloths,Premium Polishing Cloths for fine finishes,E:\IMAGES\ITEMS\product\6\3\Polishing.jpg,"Buffalo Industries, LLC",Premium Polishing Cloths for fine finishes,HOUSEHOLD:Cleaning and Wiping AUTOMOTIVE:Polishing and Cleaning MARINE:Cleaning and Polishing JANITORIAL/RESTAURANT:Cleaning and Wiping,"Super Soft 100 Percent Cotton Polishing ClothsMade from the finest 100 percent cotton knit material. Soft enough to be used in the most delicate cleaning or polishing applications.Ideal for automotive, marine or household applications. Bleached white and fully-hemmed to create the softest two-ply cloth available. Machine washable.Size: 11"" x 17"" Fully hemmed Material: 100 percent cotton  	 		POLISHING CLOTHS 	 	 		ITEM # 		DESCRIPTION 		 		 			CASE QTY 		 		 		 			CASEWT (LBS) 		 		 		 			UPC # 		 	 	 		63150 		4 Pack Roll 		 		 			75 		 		 		 			28 		 		 		 			0-32479-63150-8 		 	 	 		63150C 		4 Pack Roll - Counter Display 		 		 			50 		 		 		 			19 		 		 		 			0-32479-63150-8 		 	 	 		63155 		6 Pack Bag 		 		 			50 		 		 		 			28 		 		 		 			0-32479-63155-3",,Polishing Cloths,Polishing Cloths
1811|19636,All-Purpose Cleaners|Cleaners,62012C,Painter's Towels,All-Purpose Painter's Towels for painting and staining.Bleached White 100% Cotton,E:\IMAGES\ITEMS\product\6\2\Painters.jpg,"Buffalo Industries, LLC",All-Purpose Painter's Towels for painting and staining.Bleached White 100% Cotton,PAINT:Tool and Project Cleanup AUTOMOTIVE:Cleanup and Maintenance INDUSTRIAL:Job Site and Tool Maintenance MARINE:Waxing and Cleaning,"Painter's TowelsUndyed, bleached white and used where a colorfast Painter's Towel is required. Washing and bleaching ensure an absorbent towel. Size: 14"" x 14"" Fully hemmed Material: 100% Cotton  	 		PAINTER'S TOWELS 	 	 		ITEM # 		DESCRIPTION 		 		 			CASE QTY 		 		 		 			CASEWT (LBS) 		 		 		 			UPC # 		 	 	 		62012C 		Loose Pack - Counter Display  		 		 			250 		 		 		 			16 		 		 		 			0-32479-62012-0 		 	 	 		62002C 		4 Pack Bag - Counter Display 		 		 			50 		 		 		 			13 		 		 		 			0-32479-62002-1 		 	 	 		62016C 		5 Pack Roll - Counter Display 		 		 			50 		 		 		 			16 		 		 		 			0-32479-62016-8 		 	 	 		62018C 		25 Pack Bag - Counter Display 		 		 			10 		 		 		 			16 		 		 		 			0-32479-62018-2 		 	 	 		62018FP 		25 Pack Bag - Full Pallet (12 Cases/Pallet) 		 		 			24 		 		 		 			37 		 		 		 			0-32479-62018-2 		 	 	 		62018HP 		25 Pack Bag - Half Pallet (6 Cases/Pallet) 		 		 			24 		 		 		 			37 		 		 		 			0-32479-62018-2",,Painter's Towels,Painter's Towels
1811|19636,All-Purpose Cleaners|Cleaners,94001,Painter's Absorption Pads,"Absorb All Water-Based and Oil-Based Paints, Stains and Solvents Ideal for Home, Shop, Jobsite and Marine Applications",E:\IMAGES\ITEMS\product\9\4\Painters-Absorption.jpg,"Buffalo Industries, LLC","Absorb All Water-Based and Oil-Based Paints, Stains and Solvents Ideal for Home, Shop, Jobsite and Marine Applications","Roll of five pads absorbs up to one gallon of all liquids Quick pickup of liquid spills Cleanup of brushes and trays Time-saving, convenient and economical Non-linting and durable Resist tears and fraying More absorbent than rags","Each sell-unit is a Five-Pack Roll of pads. Size: Each pad 15"" x 18"" Material: Heavy-weight, bonded and laminated, universal pads manufactured from 90 percent recycled polypropylene.   	 		PAINTER'S ABSORPTION PADS 	 	 		ITEM # 		DESCRIPTION 		 		 			CASE QTY 		 		 		 			CASEWT (LBS) 		 		 		 			UPC # 		 	 	 		94001 		Display Case of eight 5-Pk Rolls 		 		 			8 		 		 		 			5.3 		 		 		 			0-32479-94001-3 		 	 	 		94001D 		Floor Display of forty-eight 5-Pk Rolls 		 		 			48 		 		 		 			37 		 		 		 			0-32479-94001-3",,Painter's Absorption Pads,Painter's Absorption Pads
1811|19636,All-Purpose Cleaners|Cleaners,92002,Painter's Spill Kit,"Absorbs and contains all water-based and oil-based paints, stains and solvents",E:\IMAGES\ITEMS\product\9\2\Painters-Spill.jpg,"Buffalo Industries, LLC","Absorbs and contains all water-based and oil-based paints, stains and solvents","Twelve 15"" x 18"" Medium-Weight, Bonded, Polypropylene Pads  One 10 ft. Polypropylene Containment Sock One Pair Nitrile Gloves One Disposal Bag with Closure Usage and Disposal Instructions","These portable quick response Painter's Spill Kits for contractors fit conveniently behind seats in work vehicles and can be placed in multiple job-site areas. Polypropylene pads and socks absorb and contain all water-based and/or oil-based fluids.Consumers will also appreciate the ease-of-use and peace-of-mind from having a Painter’s Spill Kit for accidental spills in and around the home.Kit Size: 14.5 x 19 x 5.5"" zippered, vinyl carrying case, with handles.Kit Absorbs up to 5 Gallons of LiquidsThis Spill Kit helps in compliance with the EPA's 40 CFR Sec. 112, regarding Spill Prevention, Control and Countermeasure (SPCC). The Kit also helps in compliance with Storm Water Regulations, EPA 40 CFR Sec. 122. Dispose of used sorbents in an approved container or collection site. Contact your county or state agencies for more information regarding disposal. To learn more about Spill Prevention, Control and Countermeasure (SPCC), and Storm Water Regulations, visit EPA's website at www.epa.gov/lawsregs.  	 		PAINTER'S SPILL KIT 	 	 		ITEM # 		DESCRIPTION 		 		 			CASE QTY 		 		 		 			CASEWT (LBS) 		 		 		 			UPC # 		 	 	 		92002 		 		14.5 x 19 x  		5.5"" zippered, vinyl carrying case, with handles 		 		 			4 		 		 		 			16 		 		 		 			0-32479-92002-2",,Painter's Spill Kit,Painter's Spill Kit
