category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
144|21837|28287,Levels|Rotary and Straight Line Laser Levels|Surveying Equipment,57-LMHCUPK,Self-Leveling Rotary Laser,The LMH-C Electronic Self-Leveling rotary Lasers offer fast and simple leveling power to handle your toughest indoor/outdoor jobs with less manpower.,E:\IMAGES\ITEMS\product\5\7\CST-Berger-57-LMHCUPK-Self-Leveling-Rotary.jpg,CST Berger,The LMH-C Electronic Self-Leveling rotary Lasers offer fast and simple leveling power to handle your toughest indoor/outdoor jobs with less manpower.,Single beam offers 600 RPM rotational for optimal use with detector or depth sensor Anti-Drift system to signal operator when unit is moved out of position Automatic/Manual mode No bubble required - Wide self-leveling range of +/- 5degrees (1 degree per second in horizontal),"Other Features: Low Battery Indicator so you don't run out of power at the wrong time Heavy duty glass enclosed beacon and durable sealed housing is water and dust-resistant (IPX4) to ensure years of dependable operation Pro Grade - Motorized, electronic horizontal self-leveling",,CST Berger 57-LMHCUPK Self-Leveling Rotary Laser,Self-Leveling Rotary Laser
28135,Leveling Kits,SAL24ND,24X Automatic Level,Automatic level with 24x magnification,E:\IMAGES\ITEMS\product\S\A\CST-Berger-SAL24ND-24X-Automatic.jpg,CST Berger,Automatic level with 24x magnification,Sturdy metal housing with rubber reinforcement Fast aperture Magnetically dampened compensator Applications Patios Gardening and landscaping House construction Foundations Road construction Excavation,"Other Features Fine motion knobs on both sides with friction-braked rotation, endless horizontal drive Large focusing knob Target collimator Graduated circle with either 360 degrees Compensator lock (transport lock) Circular vial with penta prism",,CST Berger SAL24ND 24X Automatic Level,24X Automatic Level
28287,Surveying Equipment,54-190K,Transit-Level,For builders that require rough angle turning and fine tuning adjustments,E:\IMAGES\ITEMS\product\5\4\CST-Berger-54-190K-Transit.jpg,CST Berger,For builders that require rough angle turning and fine tuning adjustments,Non-strip focus knob prevents breakage and lens damage Built-in sunshade reduces glare Large achromatic coated objective lens for a sharp image,"Other Features: These instruments have clamps and tangents that bring your instrument quickly on target. 15 minute horizontal circle on both models and 1degree vertical arc on Model 200B allow the builder to set rough angles. units use 5/8-11 thread. Rubber eyepiece cap protects eyeglasses Durable brass leveling screws Dust protected eyepiece with fixed cross hairs for accuracy High precision glass level vials 4-1/2 foot (1.4m) short focus for maximum useable range Sliding lock levels to lock telescope (on Transit/Levels) One piece aircraft aluminum telescope Electrostatically powder coated safety yellow paint One year Warranty Working Range: 200 feet (60m) Accuracy: 1/4-in at 75 feet Level Kit: Includes Tripod, Rod, Hard-Shell Carrying Case, Allen Wrench",,54-190K,Transit-Level
21809,Leveling Rods and Tripods,06-808A,"8' Aluminum Grade Rod Feet, Tenths, Hundredths, 3 section",,E:\IMAGES\ITEMS\product\0\6\CST-Berger-06-808A-8-Aluminum-Grade-Rod-Feet-Tenths.png,CST Berger,,"Extends and collapses easily with durable buttons Made of a lightweight and durable aluminum alloy Anodized parts are imprinted with special weather resistant and corrosion resistant inks Sectional junctions are injection molded from a durable, light, impact-resistant plastic Front and back, easy to read scale Scale on back permits easy height readings at eye level Rod Dimensions: 36.8 x 2.6 x 1.8 inches",CST's telescoping aluminum rods are made of a light & durable aluminum alloy.  The anodized  segments are imprinted with exceptional weather resistant and corrosion resistant inks.  Tight tolerances on extruded aluminum parts allow for smooth extension and  deter  unnecessary clattering and slopiness.  The sectional junctions are injection molded from a durable lightweight impact-resistant plastic.  Rods are equipped with  dependable  and wear resistant polycarbonate buttons that  secure  each section.  Easy to read graduations and and a special measuring scale on the rear side allow users to read height at eye level.,,"8' Feet, Tenths, Hundredths, 3-Section","8' Aluminum Grade Rod Feet, Tenths, Hundredths, 3 section"
21809,Leveling Rods and Tripods,06-808C,"8' Aluminum Grade Rod Feet, Inches, Eighths, 3 section",,E:\IMAGES\ITEMS\product\0\6\CST-Berger-06-808A-8-Aluminum-Grade-Rod-Feet-Tenths.png,CST Berger,"CST Berger 06-808C 8' Aluminum Grade Rod Feet, Inches, Eighths, 3 section","Extends and collapses easily with durable buttons Made of a lightweight and durable aluminum alloy Anodized parts are imprinted with special weather resistant and corrosion resistant inks Sectional junctions are injection molded from a durable, light, impact-resistant plastic Front and back, easy to read scale Scale on back permits easy height readings at eye level Rod Dimensions: 36.8 x 2.6 x 1.8 inches",CST's telescoping aluminum rods are made of a light & durable aluminum alloy.  The anodized  segments are imprinted with exceptional weather resistant and corrosion resistant inks.  Tight tolerances on extruded aluminum parts allow for smooth extension and  deter  unnecessary clattering and slopiness.  The sectional junctions are injection molded from a durable lightweight impact-resistant plastic.  Rods are equipped with  dependable  and wear resistant polycarbonate buttons that  secure  each section.  Easy to read graduations and and a special measuring scale on the rear side allow users to read height at eye level.,,"8' Feet, Inches, Eighths, 3-Section","8' Aluminum Grade Rod Feet, Inches, Eighths, 3 section"
21809,Leveling Rods and Tripods,06-813C,"13' Aluminum Grade Rod Feet, Inches, Eighths, 3 section",,E:\IMAGES\ITEMS\product\0\6\CST-Berger-06-808A-8-Aluminum-Grade-Rod-Feet-Tenths.png,CST Berger,"CST Berger 06-813C 13' Aluminum Grade Rod Feet, Inches, Eighths, 3 section","Extends and collapses easily with durable buttons Made of a lightweight and durable aluminum alloy Anodized parts are imprinted with special weather resistant and corrosion resistant inks Sectional junctions are injection molded from a durable, light, impact-resistant plastic Front and back, easy to read scale Scale on back permits easy height readings at eye level Rod Dimensions: 36.8 x 2.6 x 1.8 inches",CST's telescoping aluminum rods are made of a light & durable aluminum alloy.  The anodized  segments are imprinted with exceptional weather resistant and corrosion resistant inks.  Tight tolerances on extruded aluminum parts allow for smooth extension and  deter  unnecessary clattering and slopiness.  The sectional junctions are injection molded from a durable lightweight impact-resistant plastic.  Rods are equipped with  dependable  and wear resistant polycarbonate buttons that  secure  each section.  Easy to read graduations and and a special measuring scale on the rear side allow users to read height at eye level.,,"13' Feet, Inches, Eighths, 3-Section","13' Aluminum Grade Rod Feet, Inches, Eighths, 3 section"
21809,Leveling Rods and Tripods,06-816,"16' Aluminum Grade Rod Feet, Tenths, Hundredths, 5 section",,E:\IMAGES\ITEMS\product\0\6\CST-Berger-06-808A-8-Aluminum-Grade-Rod-Feet-Tenths.png,CST Berger,"CST Berger 06-806 16' Aluminum Grade Rod Feet, Tenths, Hundredths, 5 section","Extends and collapses easily with durable buttons Made of a lightweight and durable aluminum alloy Anodized parts are imprinted with special weather resistant and corrosion resistant inks Sectional junctions are injection molded from a durable, light, impact-resistant plastic Front and back, easy to read scale Scale on back permits easy height readings at eye level Rod Dimensions: 36.8 x 2.6 x 1.8 inches",CST's telescoping aluminum rods are made of a light & durable aluminum alloy.  The anodized  segments are imprinted with exceptional weather resistant and corrosion resistant inks.  Tight tolerances on extruded aluminum parts allow for smooth extension and  deter  unnecessary clattering and slopiness.  The sectional junctions are injection molded from a durable lightweight impact-resistant plastic.  Rods are equipped with  dependable  and wear resistant polycarbonate buttons that  secure  each section.  Easy to read graduations and and a special measuring scale on the rear side allow users to read height at eye level.,,"16' Feet, Tenths, Hundredths, 5-Section","16' Aluminum Grade Rod Feet, Tenths, Hundredths, 5 section"
21809,Leveling Rods and Tripods,06-816C,"16' Aluminum Grade Rod Feet, Inches, Eighths, 5 section",,E:\IMAGES\ITEMS\product\0\6\CST-Berger-06-808A-8-Aluminum-Grade-Rod-Feet-Tenths.png,CST Berger,"CST Berger 06-816C 16' Aluminum Grade Rod Feet, Inches, Eighths, 5 section","Extends and collapses easily with durable buttons Made of a lightweight and durable aluminum alloy Anodized parts are imprinted with special weather resistant and corrosion resistant inks Sectional junctions are injection molded from a durable, light, impact-resistant plastic Front and back, easy to read scale Scale on back permits easy height readings at eye level Rod Dimensions: 36.8 x 2.6 x 1.8 inches",CST's telescoping aluminum rods are made of a light & durable aluminum alloy.  The anodized  segments are imprinted with exceptional weather resistant and corrosion resistant inks.  Tight tolerances on extruded aluminum parts allow for smooth extension and  deter  unnecessary clattering and slopiness.  The sectional junctions are injection molded from a durable lightweight impact-resistant plastic.  Rods are equipped with  dependable  and wear resistant polycarbonate buttons that  secure  each section.  Easy to read graduations and and a special measuring scale on the rear side allow users to read height at eye level.,,"16' Feet, Inches, Eighths, 5-Section","16' Aluminum Grade Rod Feet, Inches, Eighths, 5 section"
28287,Surveying Equipment,54-200K,Transit-Level,For builders that require rough angle turning and fine tuning adjustments,E:\IMAGES\ITEMS\product\5\4\CST-Berger-54-190K-Transit.jpg,CST Berger,CST Berger 54-200K Transit-Level,Non-strip focus knob prevents breakage and lens damage Built-in sunshade reduces glare Large achromatic coated objective lens for a sharp image,"Other Features: These instruments have clamps and tangents that bring your instrument quickly on target. 15 minute horizontal circle on both models and 1degree vertical arc on Model 200B allow the builder to set rough angles. units use 5/8-11 thread. Rubber eyepiece cap protects eyeglasses Durable brass leveling screws Dust protected eyepiece with fixed cross hairs for accuracy High precision glass level vials 4-1/2 foot (1.4m) short focus for maximum useable range Sliding lock levels to lock telescope (on Transit/Levels) One piece aircraft aluminum telescope Electrostatically powder coated safety yellow paint One year Warranty Working Range: 200 feet (60m) Accuracy: 1/4-in at 75 feet Level Kit: Includes Tripod, Rod, Hard-Shell Carrying Case, Allen Wrench",,54-200K,Transit-Level
144|28135,Levels|Leveling Kits,55-SLVP24ND,24X Automatic Level Kit,Upgrade to the latest features and technology with CST/berger's SAL Series Automatic Levels!,E:\IMAGES\ITEMS\product\5\5\CST-Berger-55-SLVP24ND-24X-Automatic-Level.jpg,CST Berger,Upgrade to the latest features and technology with CST/berger's SAL Series Automatic Levels!,"Magnetically-dampened, wire-hung compensator for optimum range and accuracy Compensator lock protects instrument during transport or storage, also acts as a handy compenstor checking tool Large effective aperture and minimum focus of 1 foot (0.3m)","These units now incorporate easy-to-grip styling and an improved compensator. Designed for the contractor, surveyor, or engineer who demands accurate leveling every time, SAL automatic levels set up fast, are easy to use, and save time and money on every job. The SAL Series offers your choice of options: magnification, accuracy, and price. 24X SAL Automatic Level Kit; Includes Tripod and Rod Top-mounted optical peep-sight for quick reference Large, easy-to-use precise focusing knob Easy-to-read horizontal circle Right angle prism for easy bubble viewing Sealed, dust-protected leveling screws Water-resistant, sealed construction plus sunshade for use in various weather conditions Fine motion knobs on left and right sides with friction-braked rotation, endless horizontal drive. 1:100 stadia for distance estimation 5/8-11 threads to fit standard tripods Available in 360 degrees or 400 gons; please specify Includes hardshell carrying case with dual latches, plumb bob, Allen wrench, adjusting pin, and instruction manual.",,CST Berger 55-SLVP24ND 24X Automatic Level Kit,24X Automatic Level Kit
