category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1687|26898,Access Door|Access Doors,AHD1212,"Metal Access Door 12""x 12"" Primed","The AHD-GYP access door is engineered for a clean final finish. Once a sufficient layer of drywall compound is applied to the corner bead flange it will leave only the door panel visible. Just like the AHD, the concealed pin hinge and 1/4” return around t",E:\IMAGES\ITEMS\product\A\H\Cendrex-AHD1212-Metal-Access-Door-12x-12- 1.jpg,Cendrex,"The AHD is designed for a quick and easy installation on non-rated vertical and horizontal surfaces made of drywall or any other type of material. Its rounded mitered corners, concealed pin hinge and 3/8"" return all around the door make it the sturdiest door on the market. The AHD prevents sagging as compared to flat door panels and requires fewer locks.","Material: 16 gauge cold rolled steel Hinge: Hidden pin hinge, continuous piano hinge on doors over 24""(height or width) Lock/Latch: Screwdriver operated cam latch. Finsih: DuPont high quality grey powder coat.","Door Size(in): 12x12"" Rough wall opening(in): 12 1/4""x 12 1/4"" Number of Locks: 1",,"Cendrex AHD1212 Metal Access Door 12""x 12"" Primed","Metal Access Door 12""x 12"" Primed"
1687|26898,Access Door|Access Doors,AHD1616,"Metal Access Door 16""x 16"" Primed","The AHD-GYP access door is engineered for a clean final finish. Once a sufficient layer of drywall compound is applied to the corner bead flange it will leave only the door panel visible. Just like the AHD, the concealed pin hinge and ¼” return around the",E:\IMAGES\ITEMS\product\A\H\Cendrex-AHD1616-Metal-Access-Door-16x-16- 1.jpg,Cendrex,"The AHD is designed for a quick and easy installation on non-rated vertical and horizontal surfaces made of drywall or any other type of material. Its rounded mitered corners, concealed pin hinge and 3/8"" return all around the door make it the sturdiest door on the market. The AHD prevents sagging as compared to flat door panels and requires fewer locks.","Material: 16 gauge cold rolled steel. Hinge: Hidden pin hinge, continuous piano hinge on doors over 24""(height or width) Lock/Latch: Screwdriver operated cam latch Finsih: DuPont high quality grey powder coat.","Door Size(in): 16""x 16"" Rough Wall Opening(in): 16 1/4""x 16 1/4"" Number of locks: 1",,"Cendrex AHD1616 Metal Access Door 16""x 16"" Primed","Metal Access Door 16""x 16"" Primed"
1687|26898,Access Door|Access Doors,AHD2424,"Metal Access Door 24""x 24"" Primed","The AHD-GYP access door is engineered for a clean final finish. Once a sufficient layer of drywall compound is applied to the corner bead flange it will leave only the door panel visible. Just like the AHD, the concealed pin hinge and 1/4"" return around t",E:\IMAGES\ITEMS\product\A\H\Cendrex-AHD2424-Metal-Access-Door-24x-24- 1.jpg,Cendrex,"The AHD is designed for a quick and easy installation on non-rated vertical and horizontal surfaces made of drywall or any other type of material. Its rounded mitered corners, concealed pin hinge and 3/8"" return all around the door make it the sturdiest door on the market. The AHD prevents sagging as compared to flat door panels and requires fewer locks.","Material: 16 gauge cold rolled steel Hinge: Hidden pin hinge, continuous piano hinge on doors over 24""(height or width) Lock/Latch: Screwdriver operated cam latch. Finsh: DuPont high quality grey powder coat.","Door Size(in): 24""x 24"" Rough Wall Opening(in): 24 1/4""x 24 1/4"" Number of Locks: 1",,"Cendrex AHD2424 Metal Access Door 24""x 24"" Primed","Metal Access Door 24""x 24"" Primed"
1687|26898,Access Door|Access Doors,AHD88,"Metal Access Door 8""x 8"" Primed","The AHD-GYP access door is engineered for a clean final finish. Once a sufficient layer of drywall compound is applied to the corner bead flange it will leave only the door panel visible. Just like the AHD, the concealed pin hinge and ¼” return around the",E:\IMAGES\ITEMS\product\A\H\Cendrex-AHD88-Metal-Access-Door-8x-8- 1.jpg,Cendrex,"The AHD is designed for a quick and easy installation on non-rated vertical and horizontal surfaces made of drywall or any other type of material. Its rounded mitered corners, concealed pin hinge and 3/8"" return all around the door make it the sturdiest door on the market. The AHD prevents sagging as compared to flat door panels and requires fewer locks.","Material: 16 gauge cold rolled steel Hinge: Hidden pin hinge, continuous piano hinge on doors over 24""(height or width) Lock/Latch: Screwdriver operated cam latch. Finish: DuPont high quality grey powder coat.","Door Size(in): 8""x 8"" Rough Wall Opening(in): 8 1/4""x 8 1/4"" Number of locks: 1",,"Cendrex AHD88 Metal Access Door 8""x 8"" Primed","Metal Access Door 8""x 8"" Primed"
1687|26898,Access Door|Access Doors,PFN1818FR,"Metal Access Door 18""x 18"" Fire Rated-Primed","The PFN access door is not insulated and can only be used on fire rated walls. It comes with a 1” flange for an easy flush installation on any type of surface material. As per UL standards, once the installation is complete and the provided springs instal",E:\IMAGES\ITEMS\product\P\F\Cendrex-PFN1818FR-Metal-Access-Door-18x-18-Fire-Rated.jpg,Cendrex,"The PFN access door is not insulated and can only be used on fire rated walls. It comes with a 1"" flange for an easy flush installation on any type of surface material. As per UL standards, once the installation is complete and the provided springs installed, this door will be self closing and self locking. It should not be used in situations where protection against temperature elevation is required. The largest fire rated PFN door available is: (36'' x 36'').","Fire Rating: 2 hour fire barrier, rating 1½ hours. Access/Door Frame Assembly (uninsulated) for installation in vertical wall assemblies. Maximum door size of: 36"" x 36"". Standards listed: NFPA 252-2033, UL 10b, UL-555, CAN/ULC S112 M90-R2001, CAN/ULC S104-79R2000. MEA # 507-06-M Material: 16 gauge cold rolled steel Hinge: Continuous piano hinge Lock/Latch: Self Latching tool-key operated latch and/or ring operated latch, both included Inside Panel Release: Standard on all doors Automatic Panel Closer: Standard on all doors Finish: DuPont high quality grey powder coat","Door Size(in): 18""x 18"" Rough Wall Opening(in): 18 1/4""x 18 1/4"" Number of Locks: 1",,"Cendrex PFN1818FR Metal Access Door 18""x 18"" Fire Rated-Primed","Metal Access Door 18""x 18"" Fire Rated-Primed"
1687|26898,Access Door|Access Doors,PFN2424FR,"Metal Access Door 24""x 24"" Fire Rated-Primed","The PFN access door is not insulated and can only be used on fire rated walls. It comes with a 1” flange for an easy flush installation on any type of surface material. As per UL standards, once the installation is complete and the provided springs instal",E:\IMAGES\ITEMS\product\P\F\Cendrex-PFN2424FR-Metal-Access-Door-24x-24-Fire-Rated.jpg,Cendrex,"The PFN access door is not insulated and can only be used on fire rated walls. It comes with a 1"" flange for an easy flush installation on any type of surface material. As per UL standards, once the installation is complete and the provided springs installed, this door will be self closing and self locking. It should not be used in situations where protection against temperature elevation is required. The largest fire rated PFN door available is: (36'' x 36'').","Fire Rating: 2 hour fire barrier, rating 1½ hours. Access/Door Frame Assembly (uninsulated) for installation in vertical wall assemblies. Maximum door size of: 36"" x 36"". Standards listed: NFPA 252-2033, UL 10b, UL-555, CAN/ULC S112 M90-R2001, CAN/ULC S104-79R2000. MEA # 507-06-M Material: 16 gauge cold rolled steel Hinge: Continuous piano hinge Lock/Latch: Self latching tool-key operated latch and/or ring operated latch, both included Inside panel release: Standard on all doors Automatic panel closer: Standard on all doors Finish: DuPont hgih quality grey powder coat","Door Size(in): 24""x 24"" Rough Wall Opening(in): 24 1/4""x 24 1/4"" Number of Locks: 1",,"Cendrex PFN2424FR Metal Access Door 24""x 24"" Fire Rated-Primed","Metal Access Door 24""x 24"" Fire Rated-Primed"
1687|26898,Access Door|Access Doors,AHD66,"Metal Access Door 6""x 6"" Primed","The AHD-GYP access door is engineered for a clean final finish. Once a sufficient layer of drywall compound is applied to the corner bead flange it will leave only the door panel visible. Just like the AHD, the concealed pin hinge and ¼” return around the",E:\IMAGES\ITEMS\product\A\H\Cendrex-AHD66-Metal-Access-Door-6x-6- 1.jpg,Cendrex,"The AHD is designed for a quick and easy installation on non-rated vertical and horizontal surfaces made of drywall or any other type of material. Its rounded mitered corners, concealed pin hinge and 3/8"" return all around the door make it the sturdiest door on the market. The AHD prevents sagging as compared to flat door panels and requires fewer locks.","Material: 16 gauge cold rolled steel Hinge: Hidden pin hinge, continuous piano hinge on doors over 24""(height or width) Lock/Latch: Screwdriver operated cam latch Finish: DuPont high quality grey powder coat","Door Size(in): 6""x 6"" Rough Wall Opening: 6 1/4""x 6 1/4"" Number of Locks: 1",,"Cendrex AHD66 Metal Access Door 6""x 6"" Primed","Metal Access Door 6""x 6"" Primed"
26898,Access Doors,CTA08X9.5,Adjustable Access Door  - White Primed,,E:\IMAGES\ITEMS\product\C\T\cendrex-cta08x95-adjustable-access-door-white-primed.jpg,Cendrex,"Unlike most existing access doors, the CTA access door is adjustable to the size of the opening; offering a flush-mounted, metal panel that is durable and versatile. Installing the door is quick and easy and requires minimal tools. The CTA access door is also aesthetically superior and it is offered in two models, one with a screwdriver lock and one without",,,,8 x 8   up to   9.5 x 9.5,Adjustable Access Door  - White Primed
26898,Access Doors,CTA12X13.5,Adjustable Access Door  - White Primed,,E:\IMAGES\ITEMS\product\C\T\cendrex-cta12x135-adjustable-access-door-white-primed.jpg,Cendrex,"Unlike most existing access doors, the CTA access door is adjustable to the size of the opening; offering a flush-mounted, metal panel that is durable and versatile. Installing the door is quick and easy and requires minimal tools. The CTA access door is also aesthetically superior and it is offered in two models, one with a screwdriver lock and one without",,,,12 x 12   up to   13.5 x 13.5,Adjustable Access Door  - White Primed
26898,Access Doors,CTA14X15.5,Adjustable Access Door  - White Primed,,E:\IMAGES\ITEMS\product\C\T\cendrex-cta14x155-adjustable-access-door-white-primed.jpg,Cendrex,"Unlike most existing access doors, the CTA access door is adjustable to the size of the opening; offering a flush-mounted, metal panel that is durable and versatile. Installing the door is quick and easy and requires minimal tools. The CTA access door is also aesthetically superior and it is offered in two models, one with a screwdriver lock and one without",,,,14 x 14   up to   15.5 x 15.5,Adjustable Access Door  - White Primed
