category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
25553,Biological Agent Detection Kits,FK200-105,75V - Bloodborne Pathogen Cabinet,,E:\IMAGES\ITEMS\product\F\K\certified-safety-fk200-105-75v-bloodborne-pathogen-cabinet.jpg,Certified Safety,,"Unlike most other kits, ours have separate eye and mouth protection to maintain safety when giving CPR.Unique scoop bag for safe and easy clean up.Complete instructions and contents list.",,,75V - Bloodborne Pathogen Cabinet,75V - Bloodborne Pathogen Cabinet
25724,First Aid Kits,K610-028,10M - 10 Person ANSI,,E:\IMAGES\ITEMS\product\K\6\certified-safety-k610-028-10m-10-person-ansi.jpg,Certified Safety,,"Economically priced, comprehensive fills.Available in metal or poly.Each kit is neatly organized.",,,10M - 10 Person ANSI,10M - 10 Person ANSI
25724,First Aid Kits,K209-210,10M - ANSI Construction,,E:\IMAGES\ITEMS\product\K\2\certified-safety-k209-210-10m-ansi-construction.jpg,Certified Safety,,"Designed for the general construction industry.Unitized, single use packaging ensures uncontaminated product and simplifies re-ordering.",,,10M - ANSI Construction,10M - ANSI Construction
25724,First Aid Kits,K202-014,10M - ANSI General Purpose,,E:\IMAGES\ITEMS\product\K\2\certified-safety-k202-014-10m-ansi-general-purpose.jpg,Certified Safety,,"Unitized first aid kits stay neat and organized, fitting tight to prevent shifting.Single-use packaging ensures uncontaminated product for treating injuries.Each kit has a contents list inside the lid.",,,10M - ANSI General Purpose,10M - ANSI General Purpose
25724,First Aid Kits,K206-000,10M - ANSI Quality,,E:\IMAGES\ITEMS\product\K\2\certified-safety-k206-000-10m-ansi-quality.jpg,Certified Safety,,The ultimate in quality fills for industrial bulk kits.,,,10M - ANSI Quality,10M - ANSI Quality
25724,First Aid Kits,K206-012,10M - ANSI XS Deluxe - 10 Person,,E:\IMAGES\ITEMS\product\K\2\certified-safety-k206-012-10m-ansi-xs-deluxe-10-person.jpg,Certified Safety,,"Offers a great variety of product.Affordable for the smaller workplace, office, home or vehicle.",,,10M - ANSI XS Deluxe - 10 Person,10M - ANSI XS Deluxe - 10 Person
25724,First Aid Kits,K206-050,10M - ANSI XS Economy - 10 Person,,E:\IMAGES\ITEMS\product\K\2\certified-safety-k206-050-10m-ansi-xs-economy-10-person.jpg,Certified Safety,,"Offers a great variety of product.Affordable for the smaller workplace, office, home or vehicle.",,,10M - ANSI XS Economy - 10 Person,10M - ANSI XS Economy - 10 Person
25553,Biological Agent Detection Kits,FK200-900,10M - BFK - Body Fluid,,E:\IMAGES\ITEMS\product\F\K\certified-safety-fk200-900-10m-bfk-body-fluid.jpg,Certified Safety,,Our unique disposable scoop bag provides an effective way to pick up and contain body fluid waste.Contact our customer service department for individual state specifications.,,,10M - BFK - Body Fluid,10M - BFK - Body Fluid
25553,Biological Agent Detection Kits,FK200-931,10M - Bloodborne Pathogen Deluxe,,E:\IMAGES\ITEMS\product\F\K\certified-safety-fk200-931-10m-bloodborne-pathogen-deluxe.jpg,Certified Safety,,"Unlike most other kits, ours have separate eye and mouth protection to maintain safety when giving CPR.Unique scoop bag for safe and easy clean up.Complete instructions and contents list.",,,10M - Bloodborne Pathogen Deluxe,10M - Bloodborne Pathogen Deluxe
25724,First Aid Kits,K612-135,10M - Burn Relief,,E:\IMAGES\ITEMS\product\K\6\certified-safety-k612-135-10m-burn-relief.jpg,Certified Safety,,Designed to treat a wide range of burns.All burn products are water soluble.,,,10M - Burn Relief,10M - Burn Relief
25724,First Aid Kits,K202-600,10M - CAL OSHA,,E:\IMAGES\ITEMS\product\K\2\certified-safety-k202-600-10m-cal-osha.jpg,Certified Safety,,Industry Regulated First Aid Kits,,,10M - CAL OSHA,10M - CAL OSHA
25724,First Aid Kits,K777-745,10M - Premium Kit,,E:\IMAGES\ITEMS\product\K\7\certified-safety-k777-745-10m-premium-kit.jpg,Certified Safety,,100% Made in America with Certified Pride.A complete unitized fill for easy re-ordering.Available in poly and metal cases.,,,10M - Premium Kit,10M - Premium Kit
25724,First Aid Kits,K201-049,10M - Vehicle,,E:\IMAGES\ITEMS\product\K\2\certified-safety-k201-049-10m-vehicle.jpg,Certified Safety,,The perfect kit for all vehicles.Compact and easy to refill.,,,10M - Vehicle,10M - Vehicle
25724,First Aid Kits,K607-058,10NB - ANSI XS Deluxe - 10 Person,,E:\IMAGES\ITEMS\product\K\6\certified-safety-k607-058-10nb-ansi-xs-deluxe-10-person.jpg,Certified Safety,,"Offers a great variety of product.Affordable for the smaller workplace, office, home or vehicle.",,,10NB - ANSI XS Deluxe - 10 Person,10NB - ANSI XS Deluxe - 10 Person
25724,First Aid Kits,K605-141,10NB - ANSI XS Deluxe - 10 Person,,E:\IMAGES\ITEMS\product\K\6\certified-safety-k605-141-10nb-ansi-xs-deluxe-10-person.jpg,Certified Safety,,"Offers a great variety of product.Affordable for the smaller workplace, office, home or vehicle.",,,10NB - ANSI XS Deluxe - 10 Person,10NB - ANSI XS Deluxe - 10 Person
25724,First Aid Kits,K605-142,10NB - ANSI XS Deluxe - 10 Person,,E:\IMAGES\ITEMS\product\K\6\certified-safety-k605-142-10nb-ansi-xs-deluxe-10-person.jpg,Certified Safety,,"Offers a great variety of product.Affordable for the smaller workplace, office, home or vehicle.",,,10NB - ANSI XS Deluxe - 10 Person,10NB - ANSI XS Deluxe - 10 Person
25724,First Aid Kits,K605-140,10NB - ANSI XS Deluxe - 10 Person,,E:\IMAGES\ITEMS\product\K\6\certified-safety-k605-140-10nb-ansi-xs-deluxe-10-person.jpg,Certified Safety,,"Offers a great variety of product.Affordable for the smaller workplace, office, home or vehicle.",,,10NB - ANSI XS Deluxe - 10 Person,10NB - ANSI XS Deluxe - 10 Person
25724,First Aid Kits,K606-228,10NB - Vehicle - Black Nylon Bag,,E:\IMAGES\ITEMS\product\K\6\certified-safety-k606-228-10nb-vehicle-black-nylon-bag.jpg,Certified Safety,,The perfect kit for all vehicles.Compact and easy to refill.,,,10NB - Vehicle - Black Nylon Bag,10NB - Vehicle - Black Nylon Bag
25724,First Aid Kits,K606-227,10NB - Vehicle - White Nylon Bag,,E:\IMAGES\ITEMS\product\K\6\certified-safety-k606-227-10nb-vehicle-white-nylon-bag.jpg,Certified Safety,,The perfect kit for all vehicles.Compact and easy to refill.,,,10NB - Vehicle - White Nylon Bag,10NB - Vehicle - White Nylon Bag
25724,First Aid Kits,K777-718,10PR - Premium Kit,,E:\IMAGES\ITEMS\product\K\7\certified-safety-k777-718-10pr-premium-kit.jpg,Certified Safety,,100% Made in America with Certified Pride.A complete unitized fill for easy re-ordering.Available in poly and metal cases.,,,10PR - Premium Kit,10PR - Premium Kit
25724,First Aid Kits,K610-027,10PW - 10 Person ANSI,,E:\IMAGES\ITEMS\product\K\6\certified-safety-k610-027-10pw-10-person-ansi.jpg,Certified Safety,,"Economically priced, comprehensive fills.Available in metal or poly.Each kit is neatly organized.",,,10PW - 10 Person ANSI,10PW - 10 Person ANSI
25724,First Aid Kits,K209-240,10PW - ANSI Construction,,E:\IMAGES\ITEMS\product\K\2\certified-safety-k209-240-10pw-ansi-construction.jpg,Certified Safety,,"Designed for the general construction industry.Unitized, single use packaging ensures uncontaminated product and simplifies re-ordering.",,,10PW - ANSI Construction,10PW - ANSI Construction
25724,First Aid Kits,K202-012,10PW - ANSI General Purpose,,E:\IMAGES\ITEMS\product\K\2\certified-safety-k202-012-10pw-ansi-general-purpose.jpg,Certified Safety,,"Unitized first aid kits stay neat and organized, fitting tight to prevent shifting.Single-use packaging ensures uncontaminated product for treating injuries.Each kit has a contents list inside the lid.",,,10PW - ANSI General Purpose,10PW - ANSI General Purpose
25724,First Aid Kits,K206-001,10PW - ANSI Quality,,E:\IMAGES\ITEMS\product\K\2\certified-safety-k206-001-10pw-ansi-quality.jpg,Certified Safety,,The ultimate in quality fills for industrial bulk kits.,,,10PW - ANSI Quality,10PW - ANSI Quality
25724,First Aid Kits,K206-011,10PW - ANSI XS Deluxe - 10 Person,,E:\IMAGES\ITEMS\product\K\2\certified-safety-k206-011-10pw-ansi-xs-deluxe-10-person.jpg,Certified Safety,,"Offers a great variety of product.Affordable for the smaller workplace, office, home or vehicle.",,,10PW - ANSI XS Deluxe - 10 Person,10PW - ANSI XS Deluxe - 10 Person
25724,First Aid Kits,K206-051,10PW - ANSI XS Economy - 10 Person,,E:\IMAGES\ITEMS\product\K\2\certified-safety-k206-051-10pw-ansi-xs-economy-10-person.jpg,Certified Safety,,"Offers a great variety of product.Affordable for the smaller workplace, office, home or vehicle.",,,10PW - ANSI XS Economy - 10 Person,10PW - ANSI XS Economy - 10 Person
25553,Biological Agent Detection Kits,FK200-902,10PW - BFK - Body Fluid,,E:\IMAGES\ITEMS\product\F\K\certified-safety-fk200-902-10pw-bfk-body-fluid.jpg,Certified Safety,,Our unique disposable scoop bag provides an effective way to pick up and contain body fluid waste.Contact our customer service department for individual state specifications.,,,10PW - BFK - Body Fluid,10PW - BFK - Body Fluid
25553,Biological Agent Detection Kits,FK200-906,10PW - Bloodborne Pathogen Deluxe,,E:\IMAGES\ITEMS\product\F\K\certified-safety-fk200-906-10pw-bloodborne-pathogen-deluxe.jpg,Certified Safety,,"Unlike most other kits, ours have separate eye and mouth protection to maintain safety when giving CPR.Unique scoop bag for safe and easy clean up.Complete instructions and contents list.",,,10PW - Bloodborne Pathogen Deluxe,10PW - Bloodborne Pathogen Deluxe
25553,Biological Agent Detection Kits,FK200-970,10PW - Bloodborne Pathogen Economy,,E:\IMAGES\ITEMS\product\F\K\certified-safety-fk200-970-10pw-bloodborne-pathogen-economy.jpg,Certified Safety,,"Unlike most other kits, ours have separate eye and mouth protection to maintain safety when giving CPR.Unique scoop bag for safe and easy clean up.Complete instructions and contents list.",,,10PW - Bloodborne Pathogen Economy,10PW - Bloodborne Pathogen Economy
25724,First Aid Kits,K612-134,10PW - Burn Relief,,E:\IMAGES\ITEMS\product\K\6\certified-safety-k612-134-10pw-burn-relief.jpg,Certified Safety,,Designed to treat a wide range of burns.All burn products are water soluble.,,,10PW - Burn Relief,10PW - Burn Relief
25724,First Aid Kits,K202-596,10PW - CAL OSHA,,E:\IMAGES\ITEMS\product\K\2\certified-safety-k202-596-10pw-cal-osha.jpg,Certified Safety,,Industry Regulated First Aid Kits,,,10PW - CAL OSHA,10PW - CAL OSHA
25546,Eye Wash Solutions and Preservatives,K250-521,10PW - Eye Care Kit,,E:\IMAGES\ITEMS\product\K\2\certified-safety-k250-521-10pw-eye-care-kit.jpg,Certified Safety,,Eye Care Kits.,,,10PW - Eye Care Kit,10PW - Eye Care Kit
