category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
622|19910,Adapters|Extension Cord Adapters,01915,"Coleman Cable (CCI) 10/3 3' STOW ""Y"" L5-30P TO (2) LIGHTED 5-20R","Coleman Cable (CCI) 10/3 3' STOW ""Y"" L5-30P TO (2) LIGHTED 5-20R - 01915",E:\IMAGES\ITEMS\product\0\1\Coleman-Cable-CCI-103-3-STOW-Y-L5-30P-TO-2-LIGHTED-5-20R.jpg,Coleman Cable - CCI,,"Y Adapters converts 30 Amp and 20Amp locking outlets to common NEMA 5-20 & L5-20 Outlets Oil and chemical resistant jacket and durable, flexible and abrasion resistant cord Clear lighted female end with power indicator light Reinforced blades help prevent accidental bending or breaking Heavy-duty strain relief protects electrical connections resulting in longer cord life New Hand-Pack boxes for immediate counter/store displays with visible cord ends in the box","Construction and Maintenance (for most generator receptacles) Commercial, industrial, and residential Convert standard generator NEMA configurations to maximize job-site power and performance",,"Coleman Cable (CCI) 10/3 3' STOW ""Y"" L5-30P TO (2) LIGHTED 5-20R - 01915","Coleman Cable (CCI) 10/3 3' STOW ""Y"" L5-30P TO (2) LIGHTED 5-20R"
622|19913,Adapters|Extension Cords,04112,12/3 2' STW TRI-SOURCE EXTENSION CORD YELLOW,Multi-Outlet Vinyl Extension Cord,E:\IMAGES\ITEMS\product\0\4\Coleman-Cable-CCI-123-2-STW-TRI-SOURCE-EXTENSION-CORD.jpg,Coleman Cable - CCI,Multi-Outlet Vinyl Extension Cord,"Tri-Source® Three-Way Power BlockProvide additional outlets for power distribution Vinyl jacket resists moisture, abrasion, and prolonged exposure to sunlight Reinforced blades help prevent accidental bending or breaking Heavy-duty strain relief protects electrical connections resulting in longer cord life",General Indoor/Outdoor Cord for power equipment Industry Approvals:  UL/cUL/ETL Listed Meets OSHA requirements for Outdoor use,,Coleman Cable - CCI 12/3 2' STW TRI-SOURCE EXTENSION CORD YELLOW - 04112,12/3 2' STW TRI-SOURCE EXTENSION CORD YELLOW
153|22510,Job Site Lighting|Corded Hand Lamp,05427,16/3 25'SJT ORANGE TROUBLE LIGHT - W/OUTLET & METAL GUARD,PVC Trouble Lights,E:\IMAGES\ITEMS\product\0\5\163-25SJT-ORANGE-TROUBLE-LIGHT-WOUTLET-METAL.jpg,Coleman Cable - CCI,PVC Trouble Lights,"Constructed from tough PVC yet lightweight construction makes handling effortless Vinyl jacket is flexible, easy to see and won't mark floors or walls Standard with power switches and bulb cages for fast light bulb changes 75 Watt bulb maximum Durability and practicality and are field-tested for use in the most demanding work sites","Temporary lighting for workshops, garages and other work areas requiring additional lightingUL Listed",,16/3 25'SJT ORANGE TROUBLE LIGHT - W/OUTLET & METAL GUARD,16/3 25'SJT ORANGE TROUBLE LIGHT - W/OUTLET & METAL GUARD
153|22510,Job Site Lighting|Corded Hand Lamp,48069,16/3 Sjtw 6 ft Red 13 Watt Fluorescent Light W/Outlet,Fluorescent Work Lights,E:\IMAGES\ITEMS\product\4\8\163-SJTW-6-RED-13-WATT-FLUORESCENT-LIGHT.jpg,Coleman Cable - CCI,16/3 Sjtw 6 ft Red 13 Watt Fluorescent Light W/Outlet,Construction Parameters:-  Catalog number48069  Description     16/3 sjtw 6' red 13 watt fluorescent light w/outlet  </table,Construction Parameters:-  Catalog number48069  Description     16/3 sjtw 6' red 13 watt fluorescent light w/outlet  </table,,16/3 SJTW 6' RED 13 WATT FLUORESCENT LIGHT W/OUTLET,16/3 Sjtw 6 ft Red 13 Watt Fluorescent Light W/Outlet
623|27936,Wiring Devices|Standard Plugs,05984,15A/125V NEMA 5-15P YELLOW VINYL MALE PLUG,Replacement Plugs and Connectors,E:\IMAGES\ITEMS\product\0\5\15A125V-NEMA-5-15P-YELLOW-VINYL-MALE.jpg,Coleman Cable - CCI,Replacement Plugs and Connectors,"Choose from construction, industrial, and watertight gradesChoose from a variety of NEMA configurations for 15AProvide rugged, safe replacement ends to extend the use full life of your cord and tools","Construction-Grade devices have tough, vinyl or nylon housing with many built-in features for speed, safety and assembly convenience.Industrial-Grade 15A devices have high visibility yellow housings designed for extended life for harsh, abusive IP20 and IP55 applicationsWatertight-Grade 15A devices all have high visibility yellow housings designed for IP20 and IP55 applications where water is prevalentUL ListedCSA Approved",,15A/125V NEMA 5-15P YELLOW VINYL MALE PLUG,15A/125V NEMA 5-15P YELLOW VINYL MALE PLUG
623|19995,Wiring Devices|Wiring Combination Devices,05985,15A/125V NEMA 5-15R YELLOW VINYL FEMALE CONNECTOR,Replacement Plugs and Connectors,E:\IMAGES\ITEMS\product\0\5\15A125V-NEMA-5-15R-YELLOW-VINYL-FEMALE.jpg,Coleman Cable - CCI,Replacement Plugs and Connectors,"Choose from construction, industrial, and watertight gradesChoose from a variety of NEMA configurations for 15AProvide rugged, safe replacement ends to extend the use full life of your cord and tools","Construction-Grade devices have tough, vinyl or nylon housing with many built-in features for speed, safety and assembly convenience.Industrial-Grade 15A devices have high visibility yellow housings designed for extended life for harsh, abusive IP20 and IP55 applicationsWatertight-Grade 15A devices all have high visibility yellow housings designed for IP20 and IP55 applications where water is prevalentUL ListedCSA Approved",,15A/125V NEMA 5-15R YELLOW VINYL FEMALE CONNECTOR,15A/125V NEMA 5-15R YELLOW VINYL FEMALE CONNECTOR
2002|20671,Booster Cables|Jumper Cables,08666,16' 4 Guage Booster Cable with Polar-Glo Clamps,16' 4 Gauge Booster Cable with Polar-Glo™ Clamps,E:\IMAGES\ITEMS\product\0\8\16-4-GAUGE-BOOSTER-CABLE-WPOLAR-GLO.jpg,Coleman Cable - CCI,16' 4 Gauge Booster Cable with Polar-Glo™ Clamps,"No-Tangle™ Booster CableT-Prene® Jacket Remains Flexible Even in Extreme Cold TemperaturesWire Jacket Material is Oil, Chemical, and Water ResistantPolar-Glo™ Clamp is Ergonomically Designed so that it can be Easily Handled by EveryoneClamps' Triple-Polarity Identification Includes: Color Coding, Indent Stamping, and Glow-in-the-Dark LabelsAll Energized Clamp Surfaces are Shielded to Avoid Short CircuitsAll Conductive Clamp Surfaces are Recessed to Prevent Accidental Contact Packaged in Full-Color Retail Style BoxesMade in the U.S.A.",Transfer Power for 6 Volt or 12 Volt BatteriesFits Top Post and Side Terminal BatteriesUL ListedRoHS Compliant,,16' 4 GAUGE BOOSTER CABLE W/POLAR-GLO CLAMPS,16' 4 Guage Booster Cable with Polar-Glo Clamps
622|27716,Adapters|Adapters,09020,12/3 STW TWIST-TO-LOCK ADAPTER (15P-20R),Twist-To-Lock AdapterStandard 15A U-Ground plug (NEMA 5-15P)Twist-to-Lock 20A receptacle (NEMA L5-20R),E:\IMAGES\ITEMS\product\0\9\123-STW-TWIST-TO-LOCK-ADAPTER-15P.jpg,Coleman Cable - CCI,Twist-To-Lock Adapter,"Standard 15A U-Ground plug (NEMA 5-15P)Twist-to-Lock 20A receptacle (NEMA L5-20R)Constructed with heavy-duty 12 gauge wire and molded locking male and female connectorsManufactured with stranded conductors, bright yellow jacket and solid molded plugs for longer life","Indoor and Outdoor cord for drills, hammer drills, circular saws, wet/dry vacs, lawn mowers, air compressors and other power toolsFor use in construction and industrial applications where extra protection and durability are neededUL Listed",,12/3 STW TWIST-TO-LOCK ADAPTER (15P-20R),12/3 STW TWIST-TO-LOCK ADAPTER (15P-20R)
622|27716,Adapters|Adapters,09021,12/3 STW TWIST-TO-LOCK ADAPTER (20P-15R),Twist-To-Lock Adapter Twist-To-Lock 20A plug (NEMA L5-20R) U-Ground receptacle (NEMA 5-15R),E:\IMAGES\ITEMS\product\0\9\123-STW-TWIST-TO-LOCK-ADAPTER-20P.jpg,Coleman Cable - CCI,Twist-To-Lock Adapter,"Twist-To-Lock 20A plug (NEMA L5-20R) U-Ground receptacle (NEMA 5-15R)Constructed with heavy-duty 12 gauge wire and molded locking male and female connectorsManufactured with stranded conductors, bright yellow jacket and solid molded plugs for longer life","Indoor and Outdoor cord for drills, hammer drills, circular saws, wet/dry vacs, lawn mowers, air compressors and other power toolsFor use in construction and industrial applications where extra protection and durability are neededUL Listed",,12/3 STW TWIST-TO-LOCK ADAPTER (20P-15R),12/3 STW TWIST-TO-LOCK ADAPTER (20P-15R)
622|27716,Adapters|Adapters,09084,12/3 2' STW L5-20P TO LIGHTED TRI-SOURCE 5-15R,Twist-To-Lock Tri-Source® Adapter,E:\IMAGES\ITEMS\product\0\9\123-2-STW-L5-20P-TO-LIGHTED-TRI-SOURCE-5.jpg,Coleman Cable - CCI,Twist-To-Lock Tri-Source® Adapter,"Twist-To-Lock 20A plug (NEMA L5-20P)Standard 15A U-Ground Tri-Source® receptacle (NEMA 5-15R)Constructed with heavy-duty 12 gauge wire and molded locking male and female connectorsManufactured with stranded conductors, bright yellow jacket and solid molded plugs for longer life","Indoor and Outdoor cord for drills, hammer drills, circular saws, wet/dry vacs, lawn mowers, air compressors and other power toolsFor use in construction and industrial applications where extra protection and durability are neededUL Listed",,12/3 2' STW L5-20P TO LIGHTED TRI-SOURCE 5-15R,12/3 2' STW L5-20P TO LIGHTED TRI-SOURCE 5-15R
