category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
202|23506,Hoist | Winch|Winch Accessories,0210,Mini Hoist,The CM Series 602 Mini Ratchet Lever Hoist features the most compact and comfortable ratchet lever hoist in the market. It performs just like the larger models and are available in 550 pound lifting capabilities.,E:\IMAGES\ITEMS\product\T\B\TB602-5-CM-Consumer-Products-Mini.jpg,Columbus McKinnon Corporation,The CM Series 602 Mini Ratchet Lever Hoist features the most compact and comfortable ratchet lever hoist in the market. It performs just like the larger models and are available in 550 pound lifting capabilities.,Product Type: Lever Hoist Capacity: 550 lbs Lift: 5' Hoist Model: 602 Type: Chain,"Plated load chain is standard. Weston-type load brake. Rubber hand grip for better comfort and security. Lightweight design for ease of portability. Use in confined conditions with one-hand operation. Forged upper and lower hooks with latches standard. Impact resistant, all-steel frame, gear case and cover. Hardened link-type alloy steel load chain for strength and long wear. Free wheeling feature serves to quickly attach the load. Metric rated.",,TB602 5 CM Consumer Products Mini Hoist,Mini Hoist
23131,Manual Chain Hoists,BAN075,Bandit Hoist 3/4 Ton,,E:\IMAGES\ITEMS\product\B\A\columbus-mckinnon-corporation-ban075-bandit-hoist-34-ton.png,Columbus McKinnon Corporation,"The new Bandit, is CM’s lightest and most compact 3/4 & 1.5 ton ratchet lever hoist ever. A portable design, easy free chaining, and 360 degrees rotating handle make it one of the most versatile hoists on the market today. Why a Bandit? Check out these great features:  Rugged, yet lightweight, design and construction is easily transported and used in even the most confining spaces. Easy free chaining feature allows for quick take up and positioning of slack chain. Designed not to accidently free chain while under load. 360 degrees rotating handle allows for versatile rigging options when working in tight spaces. Double reduction gearing provides easy operation with low handle effort. Screwed-on comfortable rubber grip makes for a secure hold in all environments. Meets ASME B30.21 Enclosed Weston type load brake stays clean and dry for positive load positioning. Upper and lower hooks feature standard forged safety latches that provide positive and secure load engagement. Hooks are bolted on for easy removal and inspection. Upper and lower hooks feature extra wide throat openings to allow for easier attachment to pick points. Hooks swivel 360 degrees for faster positioning. Hooks made in the USA Impact-resistant stamped steel housing withstands repeated rigorous use. Standard powder coat finish on housing and zinc plating on major components for extra protection against corrosion in harsh environments. 100% load tested gold chromate chain offers proven chain integrity and corrosion resistance. Chain made in the USA Each unit has a unique serial number for easy and accurate identification. Lifetime Warranty",,,,,Bandit Hoist 3/4 Ton
23131,Manual Chain Hoists,BAN150,Bandit Hoist 1.5 Ton,,E:\IMAGES\ITEMS\product\B\A\columbus-mckinnon-corporation-ban150-bandit-hoist-15-ton.png,Columbus McKinnon Corporation,"The new Bandit, is CM’s lightest and most compact 3/4 & 1.5 ton ratchet lever hoist ever. A portable design, easy free chaining, and 360 degrees rotating handle make it one of the most versatile hoists on the market today. Why a Bandit? Check out these great features:  Rugged, yet lightweight, design and construction is easily transported and used in even the most confining spaces. Easy free chaining feature allows for quick take up and positioning of slack chain. Designed not to accidently free chain while under load. 360 degrees rotating handle allows for versatile rigging options when working in tight spaces. Double reduction gearing provides easy operation with low handle effort. Screwed-on comfortable rubber grip makes for a secure hold in all environments. Meets ASME B30.21 Enclosed Weston type load brake stays clean and dry for positive load positioning. Upper and lower hooks feature standard forged safety latches that provide positive and secure load engagement. Hooks are bolted on for easy removal and inspection. Upper and lower hooks feature extra wide throat openings to allow for easier attachment to pick points. Hooks swivel 360 degrees for faster positioning. Hooks made in the USA Impact-resistant stamped steel housing withstands repeated rigorous use. Standard powder coat finish on housing and zinc plating on major components for extra protection against corrosion in harsh environments. 100% load tested gold chromate chain offers proven chain integrity and corrosion resistance. Chain made in the USA Each unit has a unique serial number for easy and accurate identification. Lifetime Warranty",,,,,Bandit Hoist 1.5 Ton
23131,Manual Chain Hoists,BAN300,Bandit Hoist 3 Ton,,E:\IMAGES\ITEMS\product\B\A\columbus-mckinnon-corporation-ban300-bandit-hoist-3-ton.png,Columbus McKinnon Corporation,"The CM® Bandit™ is one of the most compact and durable ratchet lever hoists in the industry. Its lightweight and portable design, easy free-chaining feature and 360° rotating handle make it one of the most versatile hoists on the market today.  COMPACT & PORTABLE DESIGN Rugged yet lightweight design and construction allow the Bandit to be easily transported and used in even the most confined spaces.  EASY FREE CHAINING Allows for quick take up and positioning of slack chain. Designed not to accidently free chain while under load.  360° ROTATING HANDLE Full rotation of handle allows for versatile rigging options when working in tight spaces.  LOW-EFFORT, COMFORT-FIT HANDLE Double reduction gearing provides easy operation with minimal handle effort. Screwed-on comfortable rubber grip for a secure hold in all environments.  LOAD SECURITY & EASY INSPECTION Upper and lower hooks feature standard cast safety latches that provide positive and secure load engagement. Hooks are bolted on for easy removal and inspection.  MEETS ASME B30.21  POSITIVE LOAD CONTROL Enclosed Weston-type load brake stays clean and dry for positive load positioning.  EASY TO POSITION & ATTACH Upper and lower hooks feature extra-wide throat openings to allow for easier attachment to pick points. Hooks swivel 360° for faster positioning.  BUILT TO LAST Impact-resistant stamped steel housing withstands repeated rigorous use.  CORROSION RESISTANT Standard powder coat finish on housing and zinc plating on major components for extra protection against corrosion in harsh environments.  100% LOAD TESTED GOLD CHROMATE CHAIN* Designed and manufactured in the U.S.A. by Columbus McKinnon. Gold chromate protects against corrosion. (*3/4 and 1-1/2 ton Canadian units have zinc-plated chain)  EASY IDENTIFICATION Each unit has a unique serial number for easy and accurate identification.  TRI-POINT HOOK INSPECTION** Bandit units feature the Tri-Point Hook Inspection system to help protect operators from unsafe lifting conditions. Hooks have 3 distinct raised points operators can use to measure the hook to detect overload or deformation. (**Not available on 3/4 and 1-1/2 ton U.S. units)",,,,,Bandit Hoist 3 Ton
23131,Manual Chain Hoists,BAN600,Bandit Hoist 6 Ton,,E:\IMAGES\ITEMS\product\B\A\columbus-mckinnon-corporation-ban600-bandit-hoist-6-ton.png,Columbus McKinnon Corporation,"The CM® Bandit™ is one of the most compact and durable ratchet lever hoists in the industry. Its lightweight and portable design, easy free-chaining feature and 360° rotating handle make it one of the most versatile hoists on the market today.  COMPACT & PORTABLE DESIGN Rugged yet lightweight design and construction allow the Bandit to be easily transported and used in even the most confined spaces.  EASY FREE CHAINING Allows for quick take up and positioning of slack chain. Designed not to accidently free chain while under load.  360° ROTATING HANDLE Full rotation of handle allows for versatile rigging options when working in tight spaces.  LOW-EFFORT, COMFORT-FIT HANDLE Double reduction gearing provides easy operation with minimal handle effort. Screwed-on comfortable rubber grip for a secure hold in all environments.  LOAD SECURITY & EASY INSPECTION Upper and lower hooks feature standard cast safety latches that provide positive and secure load engagement. Hooks are bolted on for easy removal and inspection.  MEETS ASME B30.21  POSITIVE LOAD CONTROL Enclosed Weston-type load brake stays clean and dry for positive load positioning.  EASY TO POSITION & ATTACH Upper and lower hooks feature extra-wide throat openings to allow for easier attachment to pick points. Hooks swivel 360° for faster positioning.  BUILT TO LAST Impact-resistant stamped steel housing withstands repeated rigorous use.  CORROSION RESISTANT Standard powder coat finish on housing and zinc plating on major components for extra protection against corrosion in harsh environments.  100% LOAD TESTED GOLD CHROMATE CHAIN* Designed and manufactured in the U.S.A. by Columbus McKinnon. Gold chromate protects against corrosion. (*3/4 and 1-1/2 ton Canadian units have zinc-plated chain)  EASY IDENTIFICATION Each unit has a unique serial number for easy and accurate identification.  TRI-POINT HOOK INSPECTION** Bandit units feature the Tri-Point Hook Inspection system to help protect operators from unsafe lifting conditions. Hooks have 3 distinct raised points operators can use to measure the hook to detect overload or deformation. (**Not available on 3/4 and 1-1/2 ton U.S. units)",,,,,Bandit Hoist 6 Ton
23130,Lever Chain Hoists,0212,CM 0212 CARRYING BAG FOR SERIES 602 LEVER HOIST,,E:\IMAGES\ITEMS\product\0\2\columbus-mckinnon-corporation-0212-cm-0212-carrying-bag-for-series-602-lever-hoist.jpg,Columbus McKinnon Corporation,Carry bag for use with 602 series mini-ratchet lever hoists,Carry bag for use with 602 series mini-ratchet lever hoists,CARRYING BAG FOR SERIES 602 LEVER HOIST  Carry bag for use with 602 series mini-ratchet lever hoists,,CARRYING BAG FOR SERIES 602 LEVER HOIST  Carry bag for use with 602 series mini-ratchet lever hoists,CM 0212 CARRYING BAG FOR SERIES 602 LEVER HOIST
23128,Electric Hoists,0214,CM 0214 602 550LB 10 LIFT MINI RATCHET LEVER PULLER,,E:\IMAGES\ITEMS\product\0\2\columbus-mckinnon-corporation-0214-cm-0214-602-550lb-10-lift-mini-ratchet-lever-puller.jpg,Columbus McKinnon Corporation,The CM Series 602 Mini Ratchet Lever Hoist features the most compact and comfortable ratchet lever hoist in the market. They perform just like larger lever hoist models.,The CM Series 602 Mini Ratchet Lever Hoist features the most compact and comfortable ratchet lever hoist in the market. They perform just like larger lever hoist models.,"Plated load chain is standard. Weston-type load brake. Rubber hand grip for better comfort and security. Lightweight design for ease of portability. Use in confined conditions with one-hand operation. Forged upper and lower hooks with latches standard. Impact resistant, all-steel frame, gear case and cover. Hardened link-type alloy steel load chain for strength and long wear. Free wheeling feature serves to quickly attach the load. Metric rated.",,550LB 10 LIFT MINI RATCHET LEVER PULLER,CM 0214 602 550LB 10 LIFT MINI RATCHET LEVER PULLER
23128,Electric Hoists,0215,CM 0215 603 1100LB 5 LIFT MINI LEVER HOIST,,E:\IMAGES\ITEMS\product\0\2\columbus-mckinnon-corporation-0215-cm-0215-603-1100lb-5-lift-mini-lever-hoist.jpg,Columbus McKinnon Corporation,The CM Series 603 Mini Ratchet Lever Hoist features the most compact and comfortable ratchet lever hoist in the market. They perform just like larger lever hoist models.,"The CM Series 603 Mini Ratchet Lever Hoist features the most compact and comfortable ratchet lever hoist in the market. They perform just like larger lever hoist models.  Plated load chain is standard. Weston-type load brake. Rubber hand grip for better comfort and security. Lightweight design for ease of portability. Use in confined conditions with one-hand operation. Forged upper and lower hooks with latches standard. Impact resistant, all-steel frame, gear case and cover. Hardened link-type alloy steel load chain for strength and long wear. Free wheeling feature serves to quickly attach the load. Metric rated.","Plated load chain is standard. Weston-type load brake. Rubber hand grip for better comfort and security. Lightweight design for ease of portability. Use in confined conditions with one-hand operation. Forged upper and lower hooks with latches standard. Impact resistant, all-steel frame, gear case and cover. Hardened link-type alloy steel load chain for strength and long wear. Free wheeling feature serves to quickly attach the load. Metric rated.",,1100 LB LIFT 5 FT LIFT,CM 0215 603 1100LB 5 LIFT MINI LEVER HOIST
23128,Electric Hoists,0216,CM 0216 603 1100LB MINI LEVER HOIST 10 LIFT,,E:\IMAGES\ITEMS\product\0\2\columbus-mckinnon-corporation-0216-cm-0216-603-1100lb-mini-lever-hoist-10-lift.jpg,Columbus McKinnon Corporation,The CM Series 603 Mini Ratchet Lever Hoist features the most compact and comfortable ratchet lever hoist in the market. They perform just like larger lever hoist models.,"The CM Series 603 Mini Ratchet Lever Hoist features the most compact and comfortable ratchet lever hoist in the market. They perform just like larger lever hoist models.  Plated load chain is standard. Weston-type load brake. Rubber hand grip for better comfort and security. Lightweight design for ease of portability. Use in confined conditions with one-hand operation. Forged upper and lower hooks with latches standard. Impact resistant, all-steel frame, gear case and cover. Hardened link-type alloy steel load chain for strength and long wear. Free wheeling feature serves to quickly attach the load. Metric rated.","Plated load chain is standard. Weston-type load brake. Rubber hand grip for better comfort and security. Lightweight design for ease of portability. Use in confined conditions with one-hand operation. Forged upper and lower hooks with latches standard. Impact resistant, all-steel frame, gear case and cover. Hardened link-type alloy steel load chain for strength and long wear. Free wheeling feature serves to quickly attach the load. Metric rated.",,1100 LB LIFT 10 FT LIFT,CM 0216 603 1100LB MINI LEVER HOIST 10 LIFT
21695,Cable Pulling Jaw Grips,04459W,CM 04459W 5TON WIRE PULLING GRIP SPRING LOADED,,E:\IMAGES\ITEMS\product\0\4\columbus-mckinnon-corporation-04459w-cm-04459w-5ton-wire-pulling-grip-spring-loaded.jpg,Columbus McKinnon Corporation,Little Mule Wire Grips hold wire in place while pulling and stretching. They get the job done efficiently and economically.,Little Mule Wire Grips hold wire in place while pulling and stretching. They get the job done efficiently and economically.,"Large handle eye opening, accepts standard hooks and easily attaches to tackle blocks Forged steel construction, durable yet lightweight Yellow chromate finish, protects components from rust and corrosion",,"5TON WIRE PULLING GRIP SPRING LOADED  Product Type: Lever Hoist Capacity : 10,000 lbs Hoist Model: Wire Grips Versatility - All models are rated for a variety of wire sizes and types, so fewer grip changes are required</",CM 04459W 5TON WIRE PULLING GRIP SPRING LOADED
