category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
621|19953,Temporary Power|Temporary Power Distribution Boxes and Carts,6506G,50 Amp Single Phase (Spider) Temp Power Box,"CEP’s Portable Power Distribution Centers have been engineered utilizing the latest in GFCI technology, providing the user with the highest level of electrical safety. These power distribution centers are protected by a GFCI module giving the user open ne",E:\IMAGES\ITEMS\product\6\5\CEP-6506G-50-Amp-Single-Phase-Spider-Temp-Power.jpg,Construction Electrical Prod.,CEP | Construction Electrical  6506G 50 Amp Single Phase (Spider) Temp Power Box,"50 Amp 125V/250V CS6375 Twist Lock Non GFCI Protected Inlet50 Amp 125V/250V CS6369 Twist Lock Non GFCI Protected Output1-30 Amp 250V L6-30R Twist Lock Non GFCI Protected Output, Overload protected6-20 Amp 125V L5-20R Twist Lock GFCI Protected Output","CEP's Portable Power Distribution Centers have been engineered utilizing the latest in GFCI technology, providing the user with the highest level of electrical safety. These power distribution centers are protected by a GFCI module giving the user open neutral and reverse phasing protection. They are U.L. Listed for outdoor use and designed to stand up to the toughest of jobsite conditions. Each unit has been carefully assembled to provide the ultimate in electrical safety as well as meeting current OSHA standards.UL 1640 construction site approvedApproved for wet locationsHeavy duty impact/flame resistant weatherproof coversGFCI modules provide: - open neutral protection - reverse phasing protection - 240V shut-off with indicator lightSpecificationsInput current: 50 amp 1 phase 125/250 volt A.C. 3 pole 4 wire. Trip Level: 4-6 milliamps. Trip Time: Less than .025 seconds nominal. Chassis: 16 gauge steel. Top: 14 gauge steel. Legs: 10 gauge steel. Finish: 3 mils U.L. listed polyester powder coat. Dimensions: W=14.5"" L=21"" H=11"".",,35 lb,50 Amp Single Phase (Spider) Temp Power Box
621|19953,Temporary Power|Temporary Power Distribution Boxes and Carts,8706G,50 Amp Single Phase (Spider) Temp Power Box,"CEP’s Portable Power Distribution Centers have been engineered utilizing the latest in GFCI technology, providing the user with the highest level of electrical safety. These power distribution centers are protected by a GFCI module giving the user open ne",E:\IMAGES\ITEMS\product\8\7\CEP-8706G-50-Amp-Single-Phase-Spider-Temp-Power.jpg,Construction Electrical Prod.,CEP | Construction Electrical 8706G 50 Amp Single Phase (Spider) Temp Power Box,"50 Amp 125V/250V CS6375 Twist Lock Non GFCI Protected Inlet50 Amp 125V/250V CS6369 Twist Lock Non GFCI Protected Output1-30 Amp 250V L6-30R Twist Lock Non GFCI Protected Output, Overload protected6-20 Amp 125V L5-20R Twist Lock GFCI Protected Output","CEP's Portable Power Distribution Centers have been engineered utilizing the latest in GFCI technology, providing the user with the highest level of electrical safety. These power distribution centers are protected by a GFCI module giving the user open neutral and reverse phasing protection. They are U.L. Listed for outdoor use and designed to stand up to the toughest of jobsite conditions. Each unit has been carefully assembled to provide the ultimate in electrical safety as well as meeting current OSHA standards.UL 1640 construction site approvedApproved for wet locationsHeavy duty impact/flame resistant weatherproof coversGFCI modules provide: - open neutral protection - reverse phasing protection - 240V shut-off with indicator lightSpecificationsInput current: 50 amp 1 phase 125/250 volt A.C. 3 pole 4 wire. Trip Level: 4-6 milliamps. Trip Time: Less than .025 seconds nominal. Chassis: 16 gauge steel. Top: 14 gauge steel. Legs: 10 gauge steel. Finish: 3 mils U.L. listed polyester powder coat. Dimensions: W=14.5"" L=21"" H=11"".",,39 lb,50 Amp Single Phase (Spider) Temp Power Box
621|19953,Temporary Power|Temporary Power Distribution Boxes and Carts,6506GU,50 Amp Single Phase (Spider) Temp Power Box,"CEP’s Portable Power Distribution Centers have been engineered utilizing the latest in GFCI technology, providing the user with the highest level of electrical safety. These power distribution centers are protected by a GFCI module giving the user open ne",E:\IMAGES\ITEMS\product\6\5\CEP-6506GU-50-Amp-Single-Phase-Spider-Temp-Power.jpg,Construction Electrical Prod.,CEP | Construction Electrical 6506GU 50 Amp Single Phase (Spider) Temp Power Box,"50 Amp 125V/250V CS6375 Twist Lock Non GFCI Protected Inlet50 Amp 125V/250V CS6369 Twist Lock Non GFCI Protected Output1-30 Amp 250V L6-30R Twist Lock Non GFCI Protected Output, Overload protected6-20 Amp 125V 5-20R Straight GFCI Protected OutputU designates straight blade 20A 125V receptacles","CEP's Portable Power Distribution Centers have been engineered utilizing the latest in GFCI technology, providing the user with the highest level of electrical safety. These power distribution centers are protected by a GFCI module giving the user open neutral and reverse phasing protection. They are U.L. Listed for outdoor use and designed to stand up to the toughest of jobsite conditions. Each unit has been carefully assembled to provide the ultimate in electrical safety as well as meeting current OSHA standards.UL 1640 construction site approvedApproved for wet locationsHeavy duty impact/flame resistant weatherproof coversGFCI modules provide: - open neutral protection - reverse phasing protection - 240V shut-off with indicator lightSpecificationsInput current: 50 amp 1 phase 125/250 volt A.C. 3 pole 4 wire. Trip Level: 4-6 milliamps. Trip Time: Less than .025 seconds nominal. Chassis: 16 gauge steel. Top: 14 gauge steel. Legs: 10 gauge steel. Finish: 3 mils U.L. listed polyester powder coat. Dimensions: W=14.5"" L=21"" H=11"".",,Straight Blade 20A 125V receptacles,50 Amp Single Phase (Spider) Temp Power Box
621|19953,Temporary Power|Temporary Power Distribution Boxes and Carts,8706GU,50 Amp Single Phase (Spider) Temp Power Box,"CEP’s Portable Power Distribution Centers have been engineered utilizing the latest in GFCI technology, providing the user with the highest level of electrical safety. These power distribution centers are protected by a GFCI module giving the user open ne",E:\IMAGES\ITEMS\product\8\7\CEP-8706GU-50-Amp-Single-Phase-Spider-Temp-Power.jpg,Construction Electrical Prod.,CEP | Construction Electrical 8706GU 50 Amp Single Phase (Spider) Temp Power Box,"50 Amp 125V/250V CS6375 Twist Lock Non GFCI Protected Inlet50 Amp 125V/250V CS6369 Twist Lock Non GFCI Protected Output1-30 Amp 250V L6-30R Twist Lock Non GFCI Protected Output, Overload protected6-20 Amp 125V 5-20R Straight GFCI Protected OutputU designates straight blade 20A 125V receptacles","CEP's Portable Power Distribution Centers have been engineered utilizing the latest in GFCI technology, providing the user with the highest level of electrical safety. These power distribution centers are protected by a GFCI module giving the user open neutral and reverse phasing protection. They are U.L. Listed for outdoor use and designed to stand up to the toughest of jobsite conditions. Each unit has been carefully assembled to provide the ultimate in electrical safety as well as meeting current OSHA standards.UL 1640 construction site approvedApproved for wet locationsHeavy duty impact/flame resistant weatherproof coversGFCI modules provide: - open neutral protection - reverse phasing protection - 240V shut-off with indicator lightSpecificationsInput current: 50 amp 1 phase 125/250 volt A.C. 3 pole 4 wire. Trip Level: 4-6 milliamps. Trip Time: Less than .025 seconds nominal. Chassis: 16 gauge steel. Top: 14 gauge steel. Legs: 10 gauge steel. Finish: 3 mils U.L. listed polyester powder coat. Dimensions: W=14.5"" L=21"" H=11"".",,Straight Blade 20A 125V receptacles,50 Amp Single Phase (Spider) Temp Power Box
125|19913,Extension Cords|Extension Cords,"1425, 1450, 1400",14/3 Power Flex Extension Cords,"CEP 1425, 1450, 1400 14/3 Power Flex Extension Cords",E:\IMAGES\ITEMS\product\C\E\CEP-143-Power-Flex-Extension.png,Construction Electrical Prod.,"CEP | Construction Electrical 1425, 1450, 1400 14/3 Power Flex Extension Cords",Catalog Number	Length	Gauge	Type	Jacket	Color	Pack	Weight 1425	25'	14/3	SJTW	VINYL	ORANGE	6	15 1450	50'	6	30 1400	100'	3	30,CEP 14/3 Power Flex Extension Cords,,"CEP | Construction Electrical 1425, 1450, 1400 14/3 Power Flex Extension Cords",14/3 Power Flex Extension Cords
623|19995,Wiring Devices|Wiring Combination Devices,6364M,50 Amp Wiring Devices,,E:\IMAGES\ITEMS\product\6\3\50-Amp-Wiring.png,Construction Electrical Prod.,,50A 125/250V Female Connector,,,50 Amp Wiring Devices,50 Amp Wiring Devices
623|19995,Wiring Devices|Wiring Combination Devices,6365M,50 Amp Wiring Devices,,E:\IMAGES\ITEMS\product\6\3\50-Amp-Wiring- 1.png,Construction Electrical Prod.,,50A 125/250V Male Plug,,,50 Amp Wiring Devices,50 Amp Wiring Devices
1067,Lighting,142050,CEP 50' String Lights Plastic Cages,"Light strings have molded sockets, plugs and connectors to protect against moisture. Sockets are spaced 10 feet apart and are rated for 100 watts. Meets OSHA requirements.",E:\IMAGES\ITEMS\product\1\4\142050-CEP-50-String-Lights-Plastic.jpg,Construction Electrical Prod.,,Length: 50' Guard: Plastic,"Light strings have molded sockets, plugs and connectors to protect against moisture. Sockets are spaced 10 feet apart and are rated for 100 watts. Meets OSHA requirements.",,142050 CEP 50' String Lights Plastic Cages,CEP 50' String Lights Plastic Cages
1067,Lighting,142100,CEP 100' String Light Plastic Cages,"Light Strings have molded sockets, plugs and connectors to protect against moisture. Sockets are spaced 10 feet apart and are rated for 100 watts. Meets OSHA requirements",E:\IMAGES\ITEMS\product\1\4\142100-CEP-100-String-Light-Plastic.jpg,Construction Electrical Prod.,,Length: 100' Guard: Preassembled Plastic,"Light Strings have molded sockets, plugs and connectors to protect against moisture. Sockets are spaced 10 feet apart and are rated for 100 watts. Meets OSHA requirements",,142100 CEP 100' String Light Plastic Cages,CEP 100' String Light Plastic Cages
621|19951,Temporary Power|Temporary and Portable Power Stations,7506G,50 Amp Single Phase (Spider) Temp Power Box,"CEP’s Portable Power Distribution Centers have been engineered utilizing the latest in GFCI technology, providing the user with the highest level of electrical safety. These power distribution centers are protected by a GFCI module giving the user open ne",E:\IMAGES\ITEMS\product\6\5\CEP-6506G-50-Amp-Single-Phase-Spider-Temp-Power.jpg,Construction Electrical Prod.,CEP | Construction Electrical 7506G 50 Amp Single Phase (Spider) Temp Power Box,"50 Amp 125V/250V CS6375 Twist Lock Non GFCI Protected Inlet50 Amp 125V/250V CS6369 Twist Lock Non GFCI Protected Output1-30 Amp 250V L6-30R Twist Lock Non GFCI Protected Output, Overload protected6-20 Amp 125V L5-20R Twist Lock GFCI Protected Output","CEP's Portable Power Distribution Centers have been engineered utilizing the latest in GFCI technology, providing the user with the highest level of electrical safety. These power distribution centers are protected by a GFCI module giving the user open neutral and reverse phasing protection. They are U.L. Listed for outdoor use and designed to stand up to the toughest of jobsite conditions. Each unit has been carefully assembled to provide the ultimate in electrical safety as well as meeting current OSHA standards.UL 1640 construction site approvedApproved for wet locationsHeavy duty impact/flame resistant weatherproof coversGFCI modules provide: - open neutral protection - reverse phasing protection - 240V shut-off with indicator lightSpecificationsInput current: 50 amp 1 phase 125/250 volt A.C. 3 pole 4 wire. Trip Level: 4-6 milliamps. Trip Time: Less than .025 seconds nominal. Chassis: 16 gauge steel. Top: 14 gauge steel. Legs: 10 gauge steel. Finish: 3 mils U.L. listed polyester powder coat. Dimensions: W=14.5"" L=21"" H=11"".",,Stainless Steel Power Box,50 Amp Single Phase (Spider) Temp Power Box
