category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
164|25635,Safety Glasses|Safety Glasses,3023,Blade Silver Mirror Lens Black Frame,"The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",E:\IMAGES\ITEMS\product\3\0\crossfire-safety-eyewear-blade-3023-silver-mirror-lens-black-frame.jpg,Crossfire Safety Eyewear,Crossfire Safety Eyewear Blade 3023 Silver Mirror Lens Black Frame,Frame Color - BlackFrame Material - PolycarbonateLens Tint - Silver MirrorLens Construction - Single LensApprovals / Certifications - ANSI Z87 2010 / CSA Z94.3,"The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",,Crossfire Safety Eyewear Blade 3023 Silver Mirror Lens Black Frame,Blade Silver Mirror Lens Black Frame
164|25635,Safety Glasses|Safety Glasses,30137,Blade Brown Indoor/outdoor Lens Brown Frame,"The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",E:\IMAGES\ITEMS\product\3\0\crossfire-safety-eyewear-blade-30137-brown-indooroutdoor-lens-brown-frame.jpg,Crossfire Safety Eyewear,Crossfire Safety Eyewear Blade 30137 Brown Indoor/outdoor Lens Brown Frame,Frame Color - BrownFrame Material - PolycarbonateLens Tint - Brown Indoor/outdoorLens Construction - Single LensApprovals / Certifications - ANSI Z87 2010 / CSA Z94.3,"The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",,Crossfire Safety Eyewear Blade 30137 Brown Indoor/outdoor Lens Brown Frame,Blade Brown Indoor/outdoor Lens Brown Frame
164|25635,Safety Glasses|Safety Glasses,30210,Blade Emerald Mirror Lens Black Frame,"The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",E:\IMAGES\ITEMS\product\3\0\crossfire-safety-eyewear-blade-30210-emerald-mirror-lens-black-frame.jpg,Crossfire Safety Eyewear,Crossfire Safety Eyewear Blade 30210 Emerald Mirror Lens Black Frame,Frame Color - BlackFrame Material - PolycarbonateLens Tint - Emerald MirrorLens Construction - Single LensApprovals / Certifications - ANSI Z87 2010 / CSA Z94.3,"The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",,Crossfire Safety Eyewear Blade 30210 Emerald Mirror Lens Black Frame,Blade Emerald Mirror Lens Black Frame
164|25635,Safety Glasses|Safety Glasses,30219 AF,Blade Orange Anti-Fog Lens Black Frame,"The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",E:\IMAGES\ITEMS\product\3\0\crossfire-safety-eyewear-blade-30219-af-orange-anti-fog-lens-black-frame.jpg,Crossfire Safety Eyewear,Crossfire Safety Eyewear Blade 30219 AF Orange Anti-Fog Lens Black Frame,Frame Color - BlackFrame Material - PolycarbonateLens Tint - Orange Anti-FogLens Construction - Single LensApprovals / Certifications - ANSI Z87 2010 / CSA Z94.3,"The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",,Crossfire Safety Eyewear Blade 30219 AF Orange Anti-Fog Lens Black Frame,Blade Orange Anti-Fog Lens Black Frame
164|25635,Safety Glasses|Safety Glasses,3021AF,Blade Smoke Anti-Fog Lens Black Frame,"The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",E:\IMAGES\ITEMS\product\3\0\crossfire-safety-eyewear-blade-3021af-smoke-anti-fog-lens-black-frame.jpg,Crossfire Safety Eyewear,Crossfire Safety Eyewear Blade 3021AF Smoke Anti-Fog Lens Black Frame,Frame Color - BlackFrame Material - PolycarbonateLens Tint - Smoke Anti-FogLens Construction - Single LensApprovals / Certifications - ANSI Z87 2010 / CSA Z94.3,"The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",,Crossfire Safety Eyewear Blade 3021AF Smoke Anti-Fog Lens Black Frame,Blade Smoke Anti-Fog Lens Black Frame
164|25635,Safety Glasses|Safety Glasses,3024 AF,Blade Clear Anti-Fog Lens Black Frame,"The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",E:\IMAGES\ITEMS\product\3\0\crossfire-safety-eyewear-blade-3024-af-clear-anti-fog-lens-black-frame.jpg,Crossfire Safety Eyewear,Crossfire Safety Eyewear Blade 3024 AF Clear Anti-Fog Lens Black Frame,Frame Color - BlackFrame Material - PolycarbonateLens Tint - Clear Anti-FogLens Construction - Single LensApprovals / Certifications - ANSI Z87 2010 / CSA Z94.3,"The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",,Crossfire Safety Eyewear Blade 3024 AF Clear Anti-Fog Lens Black Frame,Blade Clear Anti-Fog Lens Black Frame
164|25635,Safety Glasses|Safety Glasses,3025 AF,Blade Yellow Anti-Fog Lens Black Frame,"The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",E:\IMAGES\ITEMS\product\3\0\crossfire-safety-eyewear-blade-3025-af-yellow-anti-fog-lens-black-frame.jpg,Crossfire Safety Eyewear,Crossfire Safety Eyewear Blade 3025 AF Yellow Anti-Fog Lens Black Frame,Frame Color - BlackFrame Material - PolycarbonateLens Tint - Yellow Anti-FogLens Construction - Single LensApprovals / Certifications - ANSI Z87 2010 / CSA Z94.3,"The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",,Crossfire Safety Eyewear Blade 3025 AF Yellow Anti-Fog Lens Black Frame,Blade Yellow Anti-Fog Lens Black Frame
1249|25635,Safety Glasses - Foam Lined|Safety Glasses,1731,Brigade Smoke Lens Matte Black Frame,The Brigade presents outstanding protection and is offered in two mirrored lens options that specifically address extremely bright outdoor environments.,E:\IMAGES\ITEMS\product\1\7\crossfire-safety-eyewear-brigade-1731-smoke-lens-matte-black-frame.jpg,Crossfire Safety Eyewear,Crossfire Safety Eyewear Brigade 1731 Smoke Lens Matte Black Frame,Frame Color - Matte BlackFrame Material - NylonLens Tint - SmokeLens Construction - Double LensApprovals / Certifications - ANSI Z87 2010 / CSA Z94.3,The Brigade presents outstanding protection and is offered in two mirrored lens options that specifically address extremely bright outdoor environments.,,Crossfire Safety Eyewear Brigade 1731 Smoke Lens Matte Black Frame,Brigade Smoke Lens Matte Black Frame
1249|25635,Safety Glasses - Foam Lined|Safety Glasses,1733,Brigade Silver Mirror Lens Shiny Black/Red Frame,The Brigade presents outstanding protection and is offered in two mirrored lens options that specifically address extremely bright outdoor environments.,E:\IMAGES\ITEMS\product\1\7\crossfire-safety-eyewear-brigade-1733-silver-mirror-lens-shiny-blackred-frame.jpg,Crossfire Safety Eyewear,Crossfire Safety Eyewear Brigade 1733 Silver Mirror Lens Shiny Black/Red Frame,Frame Color - Shiny Black/RedFrame Material - NylonLens Tint - Silver MirrorLens Construction - Double LensApprovals / Certifications - ANSI Z87 2010 / CSA Z94.3,The Brigade presents outstanding protection and is offered in two mirrored lens options that specifically address extremely bright outdoor environments.,,Crossfire Safety Eyewear Brigade 1733 Silver Mirror Lens Shiny Black/Red Frame,Brigade Silver Mirror Lens Shiny Black/Red Frame
1249|25635,Safety Glasses - Foam Lined|Safety Glasses,1734,Brigade Clear Lens Matte Black Frame,The Brigade presents outstanding protection and is offered in two mirrored lens options that specifically address extremely bright outdoor environments.,E:\IMAGES\ITEMS\product\1\7\crossfire-safety-eyewear-brigade-1734-clear-lens-matte-black-frame.jpg,Crossfire Safety Eyewear,Crossfire Safety Eyewear Brigade 1734 Clear Lens Matte Black Frame,Frame Color - Matte BlackFrame Material - NylonLens Tint - ClearLens Construction - Double LensApprovals / Certifications - ANSI Z87 2010 / CSA Z94.3,The Brigade presents outstanding protection and is offered in two mirrored lens options that specifically address extremely bright outdoor environments.,,Crossfire Safety Eyewear Brigade 1734 Clear Lens Matte Black Frame,Brigade Clear Lens Matte Black Frame
1249|25635,Safety Glasses - Foam Lined|Safety Glasses,17312,Brigade Gold Mirror Lens Matte Black Frame,The Brigade presents outstanding protection and is offered in two mirrored lens options that specifically address extremely bright outdoor environments.,E:\IMAGES\ITEMS\product\1\7\Crossfire-Safety-Eyewear-Brigade-17312-Gold-Mirror-Lens.jpg,Crossfire Safety Eyewear,Crossfire Safety Eyewear Brigade 17312 Gold Mirror Lens Matte Black Frame,Frame Color - Matte BlackFrame Material - NylonLens Tint - Gold MirrorLens Construction - Double LensApprovals / Certifications - ANSI Z87 2010 / CSA Z94.3,The Brigade presents outstanding protection and is offered in two mirrored lens options that specifically address extremely bright outdoor environments.,,Crossfire Safety Eyewear Brigade 17312 Gold Mirror Lens Matte Black Frame,Brigade Gold Mirror Lens Matte Black Frame
164|25635,Safety Glasses|Safety Glasses,1528,Cobra Red Mirror Lens Matte Black Frame,"Among the top selling design in the Crossfire line, the Cobra exhibits clean lines and diverse application.",E:\IMAGES\ITEMS\product\1\5\crossfire-safety-eyewear-cobra-1528-red-mirror-lens-matte-black-frame.jpg,Crossfire Safety Eyewear,Crossfire Safety Eyewear Cobra 1528 Red Mirror Lens Matte Black Frame,Frame Color - Matte BlackFrame Material - TR-90Lens Tint - Red MirrorLens Construction - Double LensApprovals / Certifications - ANSI Z87 2010,"Among the top selling design in the Crossfire line, the Cobra exhibits clean lines and diverse application.",,Crossfire Safety Eyewear Cobra 1528 Red Mirror Lens Matte Black Frame,Cobra Red Mirror Lens Matte Black Frame
164|25635,Safety Glasses|Safety Glasses,1524,Cobra Clear Lens Shiny Black Frame,"Among the top selling design in the Crossfire line, the Cobra exhibits clean lines and diverse application.",E:\IMAGES\ITEMS\product\1\5\crossfire-safety-eyewear-cobra-1524-clear-lens-shiny-black-frame.jpg,Crossfire Safety Eyewear,Crossfire Safety Eyewear Cobra 1524 Clear Lens Shiny Black Frame,Frame Color - Shiny BlackFrame Material - TR-90Lens Tint - ClearLens Construction - Double LensApprovals / Certifications - ANSI Z87 2010,"Among the top selling design in the Crossfire line, the Cobra exhibits clean lines and diverse application.",,Crossfire Safety Eyewear Cobra 1524 Clear Lens Shiny Black Frame,Cobra Clear Lens Shiny Black Frame
164|25635,Safety Glasses|Safety Glasses,1541,Cobra Smoke Lens Crystal Black Frame,"Among the top selling design in the Crossfire line, the Cobra exhibits clean lines and diverse application.",E:\IMAGES\ITEMS\product\1\5\crossfire-safety-eyewear-cobra-1541-smoke-lens-crystal-black-frame.jpg,Crossfire Safety Eyewear,Crossfire Safety Eyewear Cobra 1541 Smoke Lens Crystal Black Frame,Frame Color - Crystal BlackFrame Material - TR-90Lens Tint - SmokeLens Construction - Double LensApprovals / Certifications - ANSI Z87 2010,"Among the top selling design in the Crossfire line, the Cobra exhibits clean lines and diverse application.",,Crossfire Safety Eyewear Cobra 1541 Smoke Lens Crystal Black Frame,Cobra Smoke Lens Crystal Black Frame
164|25635,Safety Glasses|Safety Glasses,1583,Cobra Silver Mirror Lens Black/Crystal Burnt Orange Frame,"Among the top selling design in the Crossfire line, the Cobra exhibits clean lines and diverse application.",E:\IMAGES\ITEMS\product\1\5\crossfire-safety-eyewear-cobra-1583-silver-mirror-lens-blackcrystal-burnt-orange-frame.jpg,Crossfire Safety Eyewear,Crossfire Safety Eyewear Cobra 1583 Silver Mirror Lens Black/Crystal Burnt Orange Frame,Frame Color - Black/Crystal Burnt OrangeFrame Material - TR-90Lens Tint - Silver MirrorLens Construction - Double LensApprovals / Certifications - ANSI Z87 2010,"Among the top selling design in the Crossfire line, the Cobra exhibits clean lines and diverse application.",,Crossfire Safety Eyewear Cobra 1583 Silver Mirror Lens Black/Crystal Burnt Orange Frame,Cobra Silver Mirror Lens Black/Crystal Burnt Orange Frame
164|25635,Safety Glasses|Safety Glasses,15117,Cobra HD Brown Flash Mirror Lens Crystal Brown Frame,"Among the top selling design in the Crossfire line, the Cobra exhibits clean lines and diverse application.",E:\IMAGES\ITEMS\product\1\5\crossfire-safety-eyewear-cobra-15117-hd-brown-flash-mirror-lens-crystal-brown-frame.jpg,Crossfire Safety Eyewear,Crossfire Safety Eyewear Cobra 15117 HD Brown Flash Mirror Lens Crystal Brown Frame,Frame Color - Crystal BrownFrame Material - TR-90Lens Tint - HD Brown Flash MirrorLens Construction - Double LensApprovals / Certifications - ANSI Z87 2010,"Among the top selling design in the Crossfire line, the Cobra exhibits clean lines and diverse application.",,Crossfire Safety Eyewear Cobra 15117 HD Brown Flash Mirror Lens Crystal Brown Frame,Cobra HD Brown Flash Mirror Lens Crystal Brown Frame
164|25635,Safety Glasses|Safety Glasses,15415,Cobra Indoor/Outdoor Lens Crystal Black Frame,"Among the top selling design in the Crossfire line, the Cobra exhibits clean lines and diverse application.",E:\IMAGES\ITEMS\product\1\5\crossfire-safety-eyewear-cobra-15415-indooroutdoor-lens-crystal-black-frame.jpg,Crossfire Safety Eyewear,Crossfire Safety Eyewear Cobra 15415 Indoor/Outdoor Lens Crystal Black Frame,Frame Color - Crystal BlackFrame Material - TR-90Lens Tint - Indoor/OutdoorLens Construction - Double LensApprovals / Certifications - ANSI Z87 2010,"Among the top selling design in the Crossfire line, the Cobra exhibits clean lines and diverse application.",,Crossfire Safety Eyewear Cobra 15415 Indoor/Outdoor Lens Crystal Black Frame,Cobra Indoor/Outdoor Lens Crystal Black Frame
1249|25635,Safety Glasses - Foam Lined|Safety Glasses,873,Concept Silver Mirror Lens Orange/Black Frame,"Designed primarily for sports, this glass has made an easy transition into the industrial workplace with comfort and style as key components.",E:\IMAGES\ITEMS\product\8\7\crossfire-safety-eyewear-concept-873-silver-mirror-lens-orangeblack-frame.jpg,Crossfire Safety Eyewear,Crossfire Safety Eyewear Concept 873 Silver Mirror Lens Orange/Black Frame,Frame Color - Orange/BlackFrame Material - TR-90Lens Tint - Silver MirrorLens Construction - Double LensApprovals / Certifications - ANSI Z87 2010,"Designed primarily for sports, this glass has made an easy transition into the industrial workplace with comfort and style as key components.",,Crossfire Safety Eyewear Concept 873 Silver Mirror Lens Orange/Black Frame,Concept Silver Mirror Lens Orange/Black Frame
