category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1243|20514,Deck Screws|Deck Screws,ACQDK061104,"1-1/4"" Deck Screw for ACQ",,E:\IMAGES\ITEMS\product\A\C\International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,Daggerz,,#2 drive in both Phillips and Square. Used to fasten wood to wood in        exterior applications.  Square drive provides a more  positive stable driving system.  Dacro finish provides increased  corrosion resistance.  Dagger Ultra-Guard Coating  provides excellent corrosion resistance  and is approved in ACQ treated wood.  Dagger Ultra-Guard Coating stock  color is tan; green and redwood  available as special order.,,,"1-1/4"" Deck Screw for ACQ","1-1/4"" Deck Screw for ACQ"
1243|20514,Deck Screws|Deck Screws,ACQDK06158,"1-5/8"" Deck Screw for ACQ",,E:\IMAGES\ITEMS\product\A\C\International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,Daggerz,"1-5/8"" Deck Screw for ACQ",#2 drive in both Phillips and Square. Used to fasten wood to wood in        exterior applications.  Square drive provides a more  positive stable driving system.  Dacro finish provides increased  corrosion resistance.  Dagger Ultra-Guard Coating  provides excellent corrosion resistance  and is approved in ACQ treated wood.  Dagger Ultra-Guard Coating stock  color is tan; green and redwood  available as special order.,,,"1-5/8"" Deck Screw for ACQ","1-5/8"" Deck Screw for ACQ"
1243|20514,Deck Screws|Deck Screws,ACQDK06200,"2"" Deck Screw for ACQ",,E:\IMAGES\ITEMS\product\A\C\International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,Daggerz,"2"" Deck Screw for ACQ",#2 drive in both Phillips and Square. Used to fasten wood to wood in        exterior applications.  Square drive provides a more  positive stable driving system.  Dacro finish provides increased  corrosion resistance.  Dagger Ultra-Guard Coating  provides excellent corrosion resistance  and is approved in ACQ treated wood.  Dagger Ultra-Guard Coating stock  color is tan; green and redwood  available as special order.,,,"2"" Deck Screw for ACQ","2"" Deck Screw for ACQ"
1243|20514,Deck Screws|Deck Screws,ACQDK08212,"2-1/2"" Deck Screw for ACQ",,E:\IMAGES\ITEMS\product\A\C\International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,Daggerz,"2-1/2"" Deck Screw for ACQ",#2 drive in both Phillips and Square. Used to fasten wood to wood in        exterior applications.  Square drive provides a more  positive stable driving system.  Dacro finish provides increased  corrosion resistance.  Dagger Ultra-Guard Coating  provides excellent corrosion resistance  and is approved in ACQ treated wood.  Dagger Ultra-Guard Coating stock  color is tan; green and redwood  available as special order.,,,"2-1/2"" Deck Screw for ACQ","2-1/2"" Deck Screw for ACQ"
1243|20514,Deck Screws|Deck Screws,ACQDK08300,"3"" Deck Screw for ACQ",,E:\IMAGES\ITEMS\product\A\C\International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,Daggerz,"3"" Deck Screw for ACQ",#2 drive in both Phillips and Square. Used to fasten wood to wood in        exterior applications.  Square drive provides a more  positive stable driving system.  Dacro finish provides increased  corrosion resistance.  Dagger Ultra-Guard Coating  provides excellent corrosion resistance  and is approved in ACQ treated wood.  Dagger Ultra-Guard Coating stock  color is tan; green and redwood  available as special order.,,,"3"" Deck Screw for ACQ","3"" Deck Screw for ACQ"
1243|20514,Deck Screws|Deck Screws,ACQDK10312,"3-1/2"" Deck Screw for ACQ",,E:\IMAGES\ITEMS\product\A\C\International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,Daggerz,"3-1/2"" Deck Screw for ACQ",#2 drive in both Phillips and Square. Used to fasten wood to wood in        exterior applications.  Square drive provides a more  positive stable driving system.  Dacro finish provides increased  corrosion resistance.  Dagger Ultra-Guard Coating  provides excellent corrosion resistance  and is approved in ACQ treated wood.  Dagger Ultra-Guard Coating stock  color is tan; green and redwood  available as special order.,,,"3-1/2"" Deck Screw for ACQ","3-1/2"" Deck Screw for ACQ"
1243|20514,Deck Screws|Deck Screws,ACQDLFLSQ1040,"4"" Deck Screw for ACQ",,E:\IMAGES\ITEMS\product\A\C\International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,Daggerz,"4"" Deck Screw for ACQ",#2 drive in both Phillips and Square. Used to fasten wood to wood in        exterior applications.  Square drive provides a more  positive stable driving system.  Dacro finish provides increased  corrosion resistance.  Dagger Ultra-Guard Coating  provides excellent corrosion resistance  and is approved in ACQ treated wood.  Dagger Ultra-Guard Coating stock  color is tan; green and redwood  available as special order.,,,"4"" Deck Screw for ACQ","4"" Deck Screw for ACQ"
1227|20525,Self Drilling Screws|Self Drilling Screws,SDZ1010,"#10-16 x 1"" HWH Self Drill",,E:\IMAGES\ITEMS\product\S\D\International-Fasteners-Inc-Daggerz-Hex-Washer-Head-Self.jpg,Daggerz,,,,,"#10-16 x 1"" HWH Self Drill","#10-16 x 1"" HWH Self Drill"
1227|20525,Self Drilling Screws|Self Drilling Screws,SDZ10112,"#10-16 x 1-1/2"" HWH Self Drill",,E:\IMAGES\ITEMS\product\S\D\International-Fasteners-Inc-Daggerz-Hex-Washer-Head-Self.jpg,Daggerz,"#10-16 x 1-1/2"" HWH Self Drill",,,,"#10-16 x 1-1/2"" HWH Self Drill","#10-16 x 1-1/2"" HWH Self Drill"
1227|20525,Self Drilling Screws|Self Drilling Screws,SDZ101104,"#10-16 x 1-1/4"" HWH Self Drill",,E:\IMAGES\ITEMS\product\S\D\International-Fasteners-Inc-Daggerz-Hex-Washer-Head-Self.jpg,Daggerz,"#10-16 x 1-1/4"" HWH Self Drill",,,,"#10-16 x 1-1/4"" HWH Self Drill","#10-16 x 1-1/4"" HWH Self Drill"
