category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
25962,Half Mask Respirators,100M00,Series 100 Silicone Facepiece,"Facepiece assembly, Small, Silicone Rubber",E:\IMAGES\ITEMS\product\1\0\Series-100-Silicone.jpg,Dentec Safety,Series 100 Silicone Facepiece,"Low-profile design Multi-position cartridge placement Extra large inhalation valves Patented corrugated exhale valve Low ""dead air"" space Unique low-fitting design Textured non-slip face seal Swivel strap retainers Replaceable parts","U.S. Safety sets the standard for comfort and compatibility with Comfort-Air™ series respirators. Molded from pure silicone, the wide interior flange, deep chin cup and rolled edges of the Comfort-Air™ mask make it the “hands down” favorite for long-term comfort and fit. The textured no-slip face seal and swivel retainers ensure proper placement. Extra large inhalation valve, unique corrugated exhale valve and minimized “dead air” space provide low breathing resistance and added comfort. Patented multi-position cartridge placement and low-fitting mask design allow maximum compatibility with other PPE. NIOSH approved.",,"Facepiece assembly, Medium, Silicone Rubber",Series 100 Silicone Facepiece
25962,Half Mask Respirators,100L00,Series 100 Silicone Facepiece,"Facepiece assembly, Small, Silicone Rubber",E:\IMAGES\ITEMS\product\1\0\Series-100-Silicone.jpg,Dentec Safety,Series 100 - Silicone Facepiece,"Low-profile design Multi-position cartridge placement Extra large inhalation valves Patented corrugated exhale valve Low ""dead air"" space Unique low-fitting design Textured non-slip face seal Swivel strap retainers Replaceable parts","U.S. Safety sets the standard for comfort and compatibility with Comfort-Air™ series respirators. Molded from pure silicone, the wide interior flange, deep chin cup and rolled edges of the Comfort-Air™ mask make it the “hands down” favorite for long-term comfort and fit. The textured no-slip face seal and swivel retainers ensure proper placement. Extra large inhalation valve, unique corrugated exhale valve and minimized “dead air” space provide low breathing resistance and added comfort. Patented multi-position cartridge placement and low-fitting mask design allow maximum compatibility with other PPE. NIOSH approved.",,"Facepiece assembly, Large, Silicone Rubber",Series 100 Silicone Facepiece
25962,Half Mask Respirators,100S00,Series 100 Silicone Facepiece,"Facepiece assembly, Small, Silicone Rubber",E:\IMAGES\ITEMS\product\1\0\Series-100-Silicone.jpg,Dentec Safety,Series 100 Silicone Facepiece,"Low-profile design Multi-position cartridge placement Extra large inhalation valves Patented corrugated exhale valve Low ""dead air"" space Unique low-fitting design Textured non-slip face seal Swivel strap retainers Replaceable parts","U.S. Safety sets the standard for comfort and compatibility with Comfort-Air™ series respirators. Molded from pure silicone, the wide interior flange, deep chin cup and rolled edges of the Comfort-Air™ mask make it the “hands down” favorite for long-term comfort and fit. The textured no-slip face seal and swivel retainers ensure proper placement. Extra large inhalation valve, unique corrugated exhale valve and minimized “dead air” space provide low breathing resistance and added comfort. Patented multi-position cartridge placement and low-fitting mask design allow maximum compatibility with other PPE. NIOSH approved.",,"Facepiece assembly, Small, Silicone Rubber",Series 100 Silicone Facepiece
25962,Half Mask Respirators,1MDN5,Series 100 Silicone Complete Assemblies N95,"Comfort and compatibility, without compromise.",E:\IMAGES\ITEMS\product\1\S\Series-100-Silicone-Complete-Assemblies.jpg,Dentec Safety,Series 100 Silicone Complete Assemblies N95,"Low-profile design Multi-position cartridge placement Extra large inhalation valves Patented corrugated exhale valve Low ""dead air"" space Unique low-fitting design Textured non-slip face seal Swivel strap retainers Replaceable parts","U.S. Safety sets the standard for comfort and compatibility with Comfort-Air™ series respirators. Molded from pure silicone, the wide interior flange, deep chin cup and rolled edges of the Comfort-Air™ mask make it the “hands down” favorite for long-term comfort and fit. The textured no-slip face seal and swivel retainers ensure proper placement. Extra large inhalation valve, unique corrugated exhale valve and minimized “dead air” space provide low breathing resistance and added comfort. Patented multi-position cartridge placement and low-fitting mask design allow maximum compatibility with other PPE. NIOSH approved.",,"N95 Filter Assembly Complete, Medium, Silicone Rubber; Suitable For: Welding, Dusts, Non-Oil Mists",Series 100 Silicone Complete Assemblies N95
25962,Half Mask Respirators,1LDN5,Series 100 Silicone Complete Assemblies N95,"Comfort and compatibility, without compromise.",E:\IMAGES\ITEMS\product\1\S\Series-100-Silicone-Complete-Assemblies.jpg,Dentec Safety,Series 100 Silicone Complete Assemblies N95,"Low-profile design Multi-position cartridge placement Extra large inhalation valves Patented corrugated exhale valve Low ""dead air"" space Unique low-fitting design Textured non-slip face seal Swivel strap retainers Replaceable parts","U.S. Safety sets the standard for comfort and compatibility with Comfort-Air™ series respirators. Molded from pure silicone, the wide interior flange, deep chin cup and rolled edges of the Comfort-Air™ mask make it the “hands down” favorite for long-term comfort and fit. The textured no-slip face seal and swivel retainers ensure proper placement. Extra large inhalation valve, unique corrugated exhale valve and minimized “dead air” space provide low breathing resistance and added comfort. Patented multi-position cartridge placement and low-fitting mask design allow maximum compatibility with other PPE. NIOSH approved.",,"N95 Filter Assembly Complete, Large, Silicone Rubber; Suitable For: Welding, Dusts, Non-Oil Mists",Series 100 Silicone Complete Assemblies N95
25962,Half Mask Respirators,1SDN5,Series 100 Silicone Complete Assemblies N95,"Comfort and compatibility, without compromise.",E:\IMAGES\ITEMS\product\1\S\Series-100-Silicone-Complete-Assemblies.jpg,Dentec Safety,Series 100 Silicone Complete Assemblies N95,"Low-profile design Multi-position cartridge placement Extra large inhalation valves Patented corrugated exhale valve Low ""dead air"" space Unique low-fitting design Textured non-slip face seal Swivel strap retainers Replaceable parts","U.S. Safety sets the standard for comfort and compatibility with Comfort-Air™ series respirators. Molded from pure silicone, the wide interior flange, deep chin cup and rolled edges of the Comfort-Air™ mask make it the “hands down” favorite for long-term comfort and fit. The textured no-slip face seal and swivel retainers ensure proper placement. Extra large inhalation valve, unique corrugated exhale valve and minimized “dead air” space provide low breathing resistance and added comfort. Patented multi-position cartridge placement and low-fitting mask design allow maximum compatibility with other PPE. NIOSH approved.",,"N95 Filter Assembly Complete, Small, Silicone Rubber; Suitable For: Welding, Dusts, Non-Oil Mists",Series 100 Silicone Complete Assemblies N95
25962,Half Mask Respirators,1M20DN5,Series 100 Silicone Complete Assemblies OV/N95,"Comfort and compatibility, without compromise.",E:\IMAGES\ITEMS\product\1\S\Series-100-Silicone-Complete-Assemblies- 1.jpg,Dentec Safety,Series 100 Silicone Complete Assemblies OV/N95,"Low-profile design Multi-position cartridge placement Extra large inhalation valves Patented corrugated exhale valve Low ""dead air"" space Unique low-fitting design Textured non-slip face seal Swivel strap retainers Replaceable parts","U.S. Safety sets the standard for comfort and compatibility with Comfort-Air™ series respirators. Molded from pure silicone, the wide interior flange, deep chin cup and rolled edges of the Comfort-Air™ mask make it the “hands down” favorite for long-term comfort and fit. The textured no-slip face seal and swivel retainers ensure proper placement. Extra large inhalation valve, unique corrugated exhale valve and minimized “dead air” space provide low breathing resistance and added comfort. Patented multi-position cartridge placement and low-fitting mask design allow maximum compatibility with other PPE. NIOSH approved.",,"OV/N95 Complete, Medium, Silicone Rubber; Suitable For: Lacquer & Enamel Paints, Pesticides, Welding, Dusts, Non-Oil Mists  Made in USA",Series 100 Silicone Complete Assemblies OV/N95
25962,Half Mask Respirators,1L20DN5,Series 100 Silicone Complete Assemblies OV/N95,"Comfort and compatibility, without compromise.",E:\IMAGES\ITEMS\product\1\S\Series-100-Silicone-Complete-Assemblies- 1.jpg,Dentec Safety,Series 100 Silicone Complete Assemblies OV/N95,"Low-profile design Multi-position cartridge placement Extra large inhalation valves Patented corrugated exhale valve Low ""dead air"" space Unique low-fitting design Textured non-slip face seal Swivel strap retainers Replaceable parts","U.S. Safety sets the standard for comfort and compatibility with Comfort-Air™ series respirators. Molded from pure silicone, the wide interior flange, deep chin cup and rolled edges of the Comfort-Air™ mask make it the “hands down” favorite for long-term comfort and fit. The textured no-slip face seal and swivel retainers ensure proper placement. Extra large inhalation valve, unique corrugated exhale valve and minimized “dead air” space provide low breathing resistance and added comfort. Patented multi-position cartridge placement and low-fitting mask design allow maximum compatibility with other PPE. NIOSH approved.",,"OV/N95 Complete, Large, Silicone Rubber; Suitable For: Lacquer & Enamel Paints, Pesticides, Welding, Dusts, Non-Oil Mists  Made in USA",Series 100 Silicone Complete Assemblies OV/N95
25962,Half Mask Respirators,1S20DN5,Series 100 Silicone Complete Assemblies OV/N95,"Comfort and compatibility, without compromise.",E:\IMAGES\ITEMS\product\1\S\Series-100-Silicone-Complete-Assemblies- 1.jpg,Dentec Safety,Series 100 Silicone Complete Assemblies OV/N95,"Low-profile design Multi-position cartridge placement Extra large inhalation valves Patented corrugated exhale valve Low ""dead air"" space Unique low-fitting design Textured non-slip face seal Swivel strap retainers Replaceable parts","U.S. Safety sets the standard for comfort and compatibility with Comfort-Air™ series respirators. Molded from pure silicone, the wide interior flange, deep chin cup and rolled edges of the Comfort-Air™ mask make it the “hands down” favorite for long-term comfort and fit. The textured no-slip face seal and swivel retainers ensure proper placement. Extra large inhalation valve, unique corrugated exhale valve and minimized “dead air” space provide low breathing resistance and added comfort. Patented multi-position cartridge placement and low-fitting mask design allow maximum compatibility with other PPE. NIOSH approved.",,"OV/N95 Complete, Small, Silicone Rubber; Suitable For: Lacquer & Enamel Paints, Pesticides, Welding, Dusts, Non-Oil Mists  Made in USA",Series 100 Silicone Complete Assemblies OV/N95
25962,Half Mask Respirators,1L20DN5CAM,Series 100 - Silicone Complete Assemblies OV/N95 in Clam Shell,"Comfort and compatibility, without compromise.",E:\IMAGES\ITEMS\product\1\M\Series-100-Silicone-Complete-Assemblies-OVN95-in-Clam.jpg,Dentec Safety,Series 100 - Silicone Complete Assemblies OV/N95 in Clam Shell,"Low-profile design Multi-position cartridge placement Extra large inhalation valves Patented corrugated exhale valve Low ""dead air"" space Unique low-fitting design Textured non-slip face seal Swivel strap retainers Replaceable parts","U.S. Safety sets the standard for comfort and compatibility with Comfort-Air™ series respirators. Molded from pure silicone, the wide interior flange, deep chin cup and rolled edges of the Comfort-Air™ mask make it the “hands down” favorite for long-term comfort and fit. The textured no-slip face seal and swivel retainers ensure proper placement. Extra large inhalation valve, unique corrugated exhale valve and minimized “dead air” space provide low breathing resistance and added comfort. Patented multi-position cartridge placement and low-fitting mask design allow maximum compatibility with other PPE. NIOSH approved.",,"OV/N95 Complete, Large, Silicone Rubber; Suitable For: Lacquer & Enamel Paints, Pesticides, Welding, Dusts, Non-Oil Mists in clam shell",Series 100 - Silicone Complete Assemblies OV/N95 in Clam Shell
