category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
592|26910,Shims|Shims,26,"1/8"" Red Horseshoe Shim (1000/Pkg)",Horseshoe Shim,E:\IMAGES\ITEMS\product\2\4\Econ-O-Shim-20-Series2-516-x-3-Horseshoe.jpg,Deslauriers,Horseshoe Shim,"Economical Color coded thicknesses Available in a wide variety of sizes Excellent compressive strength Econ-o-Shims are unaffected by micro-organisms and alkalis, ground chemicals and liquids.Econ-o-Shims will not rust, rot, stain or leach","Save time, money and laborSpecify ""Econ-o-Shim"" for your leveling/alignment requirements.Thickness: 1/16"" Color: Blue Package Size: 1,000",,"1/8"" Red Horseshoe Shim (1000/Pkg)","1/8"" Red Horseshoe Shim (1000/Pkg)"
592|26910,Shims|Shims,28,"1/16"" Blue Horseshoe Shim (1000/Pkg)",Horseshoe Shim,E:\IMAGES\ITEMS\product\2\8\Econ-O-Shim-20-Series2-516-x-3-Horseshoe.jpg,Deslauriers,Horseshoe Shim,"Economical Color coded thicknesses Available in a wide variety of sizes Excellent compressive strength Econ-o-Shims are unaffected by micro-organisms and alkalis, ground chemicals and liquids.Econ-o-Shims will not rust, rot, stain or leach","Save time, money and laborSpecify ""Econ-o-Shim"" for your leveling/alignment requirements.Thickness: 1/8"" Color: Red Package Size: 1,000",,"1/16"" Blue Horseshoe Shim (1000/Pkg)","1/16"" Blue Horseshoe Shim (1000/Pkg)"
1773|26887,Rebar Caps|Rebar Caps,DISC 10,Impalement Protection For Rebar #3 - #7,Deslauriers Impalement Safety Covers,E:\IMAGES\ITEMS\product\D\I\Impalement.jpg,Deslauriers,Deslauriers Impalement Safety Covers,"Deslauriers' Caps are steel re-inforced and conform to State and Federal safety regulations. Approved by California OSHA #C1718AG and OSHA 1723AGComplies with Federal OSHA 701 (b).Federal OSHA has ruled that if cover is in compliance with Cal OSHA, then it conforms to Fed. 701 (b).Made of engineered high-impact plastic.16 Sq Inches top surface area aids in protection.Fits a range of diameters.Self-centering formed steel insert seats cover perpendicular to rebar",DISC-10:FOR REBAR #3-#7 (Package size 25 pieces)HH-M:FOR REBAR #7-#12(Package size 25 pieces)HH-L:FOR REBAR #12-#16(Package size 25 pieces),,Impalement Protection For Rebar #3 - #7,Impalement Protection For Rebar #3 - #7
691,Concrete Voids,EOS 1.5,"1.5"" Econ-O-Sleeve",Sleeve/Pre-cast Concrete,E:\IMAGES\ITEMS\product\E\O\Econ-O.jpg,Deslauriers,Sleeve/Pre-cast Concrete,"Place holes before you pour.Save time and money.Drilling can cut rebar and reduce strength.Made with slight taper for easy removalMade of high density plastic-one piece constructionWill not shatter in cold weatherEasy to cut with a pocket knifeStaple or nail through the flange in exact location you want Lightweight, easy to transport and safe, no sharp edges or corners","Econ-O-Sleeve Hole Forms for both floors and walls.Econ-O-Sleeve Hole Forms consistently form round, smooth, uniform holes and are available in a broad range of diameters.They may be cut, stacked,or telescoped for any slab thickness.Econ-O-Sleeve forms come in a variety of diameters, and adjust for any slab thickness by stacking two or more together or simply use our new 1"" incremental extenders",,"1.5"" Econ-O-Sleeve","1.5"" Econ-O-Sleeve"
592|26910,Shims|Shims,PC4214,"1/4"" Black Plastic Shims (504/box)",Precast Shim Strips,E:\IMAGES\ITEMS\product\P\C\Vers-A-Shim-Shim-Strips-Precast-3X-3-thru-4-x.jpg,Deslauriers,Precast Shim Strips,"Assures accurate placing and leveling of precast panels, tilt-up walls, structural and architectural components.Less expensive and more versatile than steel.Will not rust, rot, stain or leach concrete.Available in convenient thicknesses, lengths and widths which permit precise leveling and alignment.",,,"1/4"" Black Plastic Shims (504/box)","1/4"" Black Plastic Shims (504/box)"
592|26910,Shims|Shims,24,"1/4"" Black Horseshoe Shim (500/Pkg)",Horseshoe Shim,E:\IMAGES\ITEMS\product\2\4\Econ-O-Shim-20-Series2-516-x-3-Horseshoe- 1.jpg,Deslauriers,Horseshoe Shim,"Economical Color coded thicknesses Available in a wide variety of sizes Excellent compressive strength Econ-o-Shims are unaffected by micro-organisms and alkalis, ground chemicals and liquids.Econ-o-Shims will not rust, rot, stain or leach","Save time, money and laborSpecify ""Econ-o-Shim"" for your leveling/alignment requirements.",,"1/4"" Black Horseshoe Shim (500/Pkg)","1/4"" Black Horseshoe Shim (500/Pkg)"
16|23821,Concrete Mixers|Concrete Mixers,SCSET,Slump Cone Set,Spun Metal Slump Cone,E:\IMAGES\ITEMS\product\S\C\Slump-Cone.jpg,Deslauriers,Spun Metal Slump Cone,Spun Metal Slump ConeGraduated Tamping RodCast AluminumSlump Cone BaseCast Aluminum 38oz Scoop,Made in USA,,Slump Cone Set,Slump Cone Set
592|26910,Shims|Shims,SS16,Econ-O-Shim® StackShim Series,Econ-O-Shim® StackShim Series,E:\IMAGES\ITEMS\product\S\S\Econ-O-Shim-StackShim.jpg,Deslauriers,Econ-O-Shim® StackShim Series,"Economical Adjustable Heights Adjustable Lengths 16 shims are heat sealed into 1"" stacks Excellent compressive strength Econ-o-Shim Stack Shims are unaffected by micro-organisms and alkalis, ground chemicals and liquids.","Econ-o-Shim Stack Shims will not rust, rot, stain or leachSize Available: Length: 3-1/2Thickness: 1/16Package Quantity: 1008",,Econ-O-Shim® StackShim Series,Econ-O-Shim® StackShim Series
592|26910,Shims|Shims,SS16L,Econ-O-Shim® StackShim Series,Econ-O-Shim® StackShims,E:\IMAGES\ITEMS\product\S\S\Econ-O-Shim-StackShim- 1.jpg,Deslauriers,Econ-O-Shim® StackShims,"Economical Adjustable Heights Adjustable Lengths 16 shims are heat sealed into 1"" stacks Excellent compressive strength Econ-o-Shim Stack Shims are unaffected by micro-organisms and alkalis, ground chemicals and liquids.","Econ-o-Shim Stack Shims will not rust, rot, stain or leachSize Available: Length: 4-1/4Thickness: 1/16Package Quantity: 1008",,Econ-O-Shim® StackShim Series,Econ-O-Shim® StackShim Series
592|26910,Shims|Shims,SS16XL,Econ-O-Shim® StackShim Series,Econ-O-Shim® StackShim Series,E:\IMAGES\ITEMS\product\S\S\Econ-O-Shim-StackShim- 2.jpg,Deslauriers,Econ-O-Shim® StackShim Series,"Economical Adjustable Heights Adjustable Lengths 16 shims are heat sealed into 1"" stacks Excellent compressive strength Econ-o-Shim Stack Shims are unaffected by micro-organisms and alkalis, ground chemicals and liquids.","Econ-o-Shim Stack Shims will not rust, rot, stain or leachSize Available: Length: 4-3/4Thickness: 1/16Package Quantity: 1008",,Econ-O-Shim® StackShim Series,Econ-O-Shim® StackShim Series
