category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
24964,Circular Saw Blades,D0624X,"6-1/2"" 24 TOOTH DIABLO FRAMING BLADE 5/8",,E:\IMAGES\ITEMS\product\D\0\aircraft-cable-d0624x-6-12-24-tooth-diablo-framing-blade-58.jpg,Diablo Tools,,"Features Freud's TiCo Hi-Density Carbide with Titanium for long life and a flawless finish Super thin laser cut kerf gives extremely fast, durable, and clean cuts Laser-cut stabilizer vents trap noise and vibration keeping the blade cool and reducing blade warp Non-stick Perma-Shield Coating reduces gumming, rusting, and corrosion - ideal for decks Laser-cut blade plate for true cuts 5/8"" arbor with diamond knockout",,,"6-1/2"" 24 TOOTH DIABLO FRAMING BLADE 5/8","6-1/2"" 24 TOOTH DIABLO FRAMING BLADE 5/8"
24964,Circular Saw Blades,D0744CD,"7-1/4"" 44 TOOTH DIABLO TREX BLADE 5/8",,E:\IMAGES\ITEMS\product\D\0\aircraft-cable-d0744cd-7-14-44-tooth-diablo-trex-blade-58.jpg,Diablo Tools,,"Diablo's TrexBlade is the only recommended composite decking by Trex Company when cutting composite decking materials. These new blades deliver maximum performance and highest quality of finish; making it a 'must-have' tool for both professionals and DIYers planning composite decking projects. Diablo's new saw blade series has a modified triple chip tooth grind design, Perma-SHIELD non-stick coating, and specific TiCo Hi-Density carbide to deliver more efficient and cleaner cuts with no swirl marks, less ""gumming"" of blade teeth and longer cutting life .",,,"7-1/4"" 44 TOOTH DIABLO TREX BLADE 5/8","7-1/4"" 44 TOOTH DIABLO TREX BLADE 5/8"
24964,Circular Saw Blades,D1090X,"10"" 90 TOOTH DIABLO TABLE / MITER SAW BLADE",,E:\IMAGES\ITEMS\product\D\1\aircraft-cable-d1090x-10-90-tooth-diablo-table-miter-saw-blade.jpg,Diablo Tools,,For use with miter or table saws Carbide construction Ultra-thin kerf design for easy cuts Shear-face grind design delivers effortless cuts with a reduced amp draw on tools for less material waste and to help maximize tool performance,,,"10"" 90 TOOTH DIABLO TABLE / MITER SAW BLADE","10"" 90 TOOTH DIABLO TABLE / MITER SAW BLADE"
24964,Circular Saw Blades,D12100X,"12"" 100 TOOTH DIABLO CHOP / MITER SAW BLADE",,E:\IMAGES\ITEMS\product\D\1\aircraft-cable-d12100x-12-100-tooth-diablo-chop-miter-saw-blade.jpg,Diablo Tools,,For use with miter or table saws Carbide construction Ultra-thin kerf design for easy cuts Shear-face grind design delivers effortless cuts with a reduced amp draw on tools for less material waste and to help maximize tool performance,,,"12"" 100 TOOTH DIABLO CHOP / MITER SAW BLADE","12"" 100 TOOTH DIABLO CHOP / MITER SAW BLADE"
22718,Carbide Drill Bits,DMAPL4010,Rebar Demon™ SDS-Plus 4-Cutter Full Carbide Head Hammer Drill Bit,,E:\IMAGES\ITEMS\product\D\M\diablo-tools-dmapl4010-rebar-demon-sds-plus-4-cutter-full-carbide-head-hammer-drill-bit.png,Diablo Tools,,"Diablo’s revolutionary, most complete range of SDS-Plus and SDS-Max Rebar Demon™ 4-cutter full-carbide head hammer bits are the only bits designed to be the most durable, fastest and coolest solutions on the market. The Rebar Demon bits feature up to 2X more Dura-Carbide to withstand up to 1800°F of intense heat whereas standard bits fail at 800°F. Diablo’s impact resistant 4-cutter full-carbide head withstands the stress of high-powered hammer drills and the impact of rebar by taking small bites of rebar to deliver controlled carbide wear, reduced vibration and up to 7X longer life. Produced with Tri-Metal Fusion Welding, the full-carbide head resists heat and prevents breakage in extreme impact situations. Precision Tip delivers the stability and accuracy required to produce fast, precise holes in reinforced concrete for anchor setting.  Up to 7X longer life versus standard 2-cutter hammer drill bits Diablo made Dura-Carbide™ features up to 2X more carbide that withstands up to 1800°F of intense heat to combat rebar hits versus standard bits that fail at 800°F Impact Resistant 4-Cutter Full Carbide heat extracts smaller bites of rebar for controlled, consistent carbide wear and reduced vibration to deliver fast, precise holes Tri-Metal Fusion Welding features up to 3X stronger weld to keep the full carbide head intact during extreme impact such as rebar Precision Tip delivers stability and accuracy required for fast, precise holes Optimized flute design removes dust faster, keeping the carbide head cooler for ultimate strength and durability Wear mark indicator ensures precise hole making Optimized for maximum performance in corded and cordless SDS Plus or SDS Max rotary hammers",,,"Length: 4"" Diameter: 5/32""",Rebar Demon™ SDS-Plus 4-Cutter Full Carbide Head Hammer Drill Bit
22718,Carbide Drill Bits,DMAPL4020,Rebar Demon™ SDS-Plus 4-Cutter Full Carbide Head Hammer Drill Bit,,E:\IMAGES\ITEMS\product\D\M\diablo-tools-dmapl4020-rebar-demon-sds-plus-4-cutter-full-carbide-head-hammer-drill-bit.png,Diablo Tools,,"Diablo’s revolutionary, most complete range of SDS-Plus and SDS-Max Rebar Demon™ 4-cutter full-carbide head hammer bits are the only bits designed to be the most durable, fastest and coolest solutions on the market. The Rebar Demon bits feature up to 2X more Dura-Carbide to withstand up to 1800°F of intense heat whereas standard bits fail at 800°F. Diablo’s impact resistant 4-cutter full-carbide head withstands the stress of high-powered hammer drills and the impact of rebar by taking small bites of rebar to deliver controlled carbide wear, reduced vibration and up to 7X longer life. Produced with Tri-Metal Fusion Welding, the full-carbide head resists heat and prevents breakage in extreme impact situations. Precision Tip delivers the stability and accuracy required to produce fast, precise holes in reinforced concrete for anchor setting.  Up to 7X longer life versus standard 2-cutter hammer drill bits Diablo made Dura-Carbide™ features up to 2X more carbide that withstands up to 1800°F of intense heat to combat rebar hits versus standard bits that fail at 800°F Impact Resistant 4-Cutter Full Carbide heat extracts smaller bites of rebar for controlled, consistent carbide wear and reduced vibration to deliver fast, precise holes Tri-Metal Fusion Welding features up to 3X stronger weld to keep the full carbide head intact during extreme impact such as rebar Precision Tip delivers stability and accuracy required for fast, precise holes Optimized flute design removes dust faster, keeping the carbide head cooler for ultimate strength and durability Wear mark indicator ensures precise hole making Optimized for maximum performance in corded and cordless SDS Plus or SDS Max rotary hammers",,,"Length: 6"" Diameter: 5/32""",Rebar Demon™ SDS-Plus 4-Cutter Full Carbide Head Hammer Drill Bit
22718,Carbide Drill Bits,DMAPL4030,Rebar Demon™ SDS-Plus 4-Cutter Full Carbide Head Hammer Drill Bit,,E:\IMAGES\ITEMS\product\D\M\diablo-tools-dmapl4030-rebar-demon-sds-plus-4-cutter-full-carbide-head-hammer-drill-bit.png,Diablo Tools,,"Diablo’s revolutionary, most complete range of SDS-Plus and SDS-Max Rebar Demon™ 4-cutter full-carbide head hammer bits are the only bits designed to be the most durable, fastest and coolest solutions on the market. The Rebar Demon bits feature up to 2X more Dura-Carbide to withstand up to 1800°F of intense heat whereas standard bits fail at 800°F. Diablo’s impact resistant 4-cutter full-carbide head withstands the stress of high-powered hammer drills and the impact of rebar by taking small bites of rebar to deliver controlled carbide wear, reduced vibration and up to 7X longer life. Produced with Tri-Metal Fusion Welding, the full-carbide head resists heat and prevents breakage in extreme impact situations. Precision Tip delivers the stability and accuracy required to produce fast, precise holes in reinforced concrete for anchor setting.  Up to 7X longer life versus standard 2-cutter hammer drill bits Diablo made Dura-Carbide™ features up to 2X more carbide that withstands up to 1800°F of intense heat to combat rebar hits versus standard bits that fail at 800°F Impact Resistant 4-Cutter Full Carbide heat extracts smaller bites of rebar for controlled, consistent carbide wear and reduced vibration to deliver fast, precise holes Tri-Metal Fusion Welding features up to 3X stronger weld to keep the full carbide head intact during extreme impact such as rebar Precision Tip delivers stability and accuracy required for fast, precise holes Optimized flute design removes dust faster, keeping the carbide head cooler for ultimate strength and durability Wear mark indicator ensures precise hole making Optimized for maximum performance in corded and cordless SDS Plus or SDS Max rotary hammers",,,"Length: 4"" Diameter: 3/16""",Rebar Demon™ SDS-Plus 4-Cutter Full Carbide Head Hammer Drill Bit
22718,Carbide Drill Bits,DMAPL4040,Rebar Demon™ SDS-Plus 4-Cutter Full Carbide Head Hammer Drill Bit,,E:\IMAGES\ITEMS\product\D\M\diablo-tools-dmapl4040-rebar-demon-sds-plus-4-cutter-full-carbide-head-hammer-drill-bit.png,Diablo Tools,,"Diablo’s revolutionary, most complete range of SDS-Plus and SDS-Max Rebar Demon™ 4-cutter full-carbide head hammer bits are the only bits designed to be the most durable, fastest and coolest solutions on the market. The Rebar Demon bits feature up to 2X more Dura-Carbide to withstand up to 1800°F of intense heat whereas standard bits fail at 800°F. Diablo’s impact resistant 4-cutter full-carbide head withstands the stress of high-powered hammer drills and the impact of rebar by taking small bites of rebar to deliver controlled carbide wear, reduced vibration and up to 7X longer life. Produced with Tri-Metal Fusion Welding, the full-carbide head resists heat and prevents breakage in extreme impact situations. Precision Tip delivers the stability and accuracy required to produce fast, precise holes in reinforced concrete for anchor setting.  Up to 7X longer life versus standard 2-cutter hammer drill bits Diablo made Dura-Carbide™ features up to 2X more carbide that withstands up to 1800°F of intense heat to combat rebar hits versus standard bits that fail at 800°F Impact Resistant 4-Cutter Full Carbide heat extracts smaller bites of rebar for controlled, consistent carbide wear and reduced vibration to deliver fast, precise holes Tri-Metal Fusion Welding features up to 3X stronger weld to keep the full carbide head intact during extreme impact such as rebar Precision Tip delivers stability and accuracy required for fast, precise holes Optimized flute design removes dust faster, keeping the carbide head cooler for ultimate strength and durability Wear mark indicator ensures precise hole making Optimized for maximum performance in corded and cordless SDS Plus or SDS Max rotary hammers",,,"Length: 6"" Diameter: 3/16""",Rebar Demon™ SDS-Plus 4-Cutter Full Carbide Head Hammer Drill Bit
22718,Carbide Drill Bits,DMAPL4040-P25,Rebar Demon™ SDS-Plus 4-Cutter Full Carbide Head Hammer Drill Bit,,E:\IMAGES\ITEMS\product\D\M\diablo-tools-dmapl4040-p25-rebar-demon-sds-plus-4-cutter-full-carbide-head-hammer-drill-bit.png,Diablo Tools,,"Diablo’s revolutionary, most complete range of SDS-Plus and SDS-Max Rebar Demon™ 4-cutter full-carbide head hammer bits are the only bits designed to be the most durable, fastest and coolest solutions on the market. The Rebar Demon bits feature up to 2X more Dura-Carbide to withstand up to 1800°F of intense heat whereas standard bits fail at 800°F. Diablo’s impact resistant 4-cutter full-carbide head withstands the stress of high-powered hammer drills and the impact of rebar by taking small bites of rebar to deliver controlled carbide wear, reduced vibration and up to 7X longer life. Produced with Tri-Metal Fusion Welding, the full-carbide head resists heat and prevents breakage in extreme impact situations. Precision Tip delivers the stability and accuracy required to produce fast, precise holes in reinforced concrete for anchor setting.  Up to 7X longer life versus standard 2-cutter hammer drill bits Diablo made Dura-Carbide™ features up to 2X more carbide that withstands up to 1800°F of intense heat to combat rebar hits versus standard bits that fail at 800°F Impact Resistant 4-Cutter Full Carbide heat extracts smaller bites of rebar for controlled, consistent carbide wear and reduced vibration to deliver fast, precise holes Tri-Metal Fusion Welding features up to 3X stronger weld to keep the full carbide head intact during extreme impact such as rebar Precision Tip delivers stability and accuracy required for fast, precise holes Optimized flute design removes dust faster, keeping the carbide head cooler for ultimate strength and durability Wear mark indicator ensures precise hole making Optimized for maximum performance in corded and cordless SDS Plus or SDS Max rotary hammers",,,"Length: 6"" Diameter: 3/16"" Pack Size: 25",Rebar Demon™ SDS-Plus 4-Cutter Full Carbide Head Hammer Drill Bit
22718,Carbide Drill Bits,DMAPL4050,Rebar Demon™ SDS-Plus 4-Cutter Full Carbide Head Hammer Drill Bit,,E:\IMAGES\ITEMS\product\D\M\diablo-tools-dmapl4050-rebar-demon-sds-plus-4-cutter-full-carbide-head-hammer-drill-bit.png,Diablo Tools,,"Diablo’s revolutionary, most complete range of SDS-Plus and SDS-Max Rebar Demon™ 4-cutter full-carbide head hammer bits are the only bits designed to be the most durable, fastest and coolest solutions on the market. The Rebar Demon bits feature up to 2X more Dura-Carbide to withstand up to 1800°F of intense heat whereas standard bits fail at 800°F. Diablo’s impact resistant 4-cutter full-carbide head withstands the stress of high-powered hammer drills and the impact of rebar by taking small bites of rebar to deliver controlled carbide wear, reduced vibration and up to 7X longer life. Produced with Tri-Metal Fusion Welding, the full-carbide head resists heat and prevents breakage in extreme impact situations. Precision Tip delivers the stability and accuracy required to produce fast, precise holes in reinforced concrete for anchor setting.  Up to 7X longer life versus standard 2-cutter hammer drill bits Diablo made Dura-Carbide™ features up to 2X more carbide that withstands up to 1800°F of intense heat to combat rebar hits versus standard bits that fail at 800°F Impact Resistant 4-Cutter Full Carbide heat extracts smaller bites of rebar for controlled, consistent carbide wear and reduced vibration to deliver fast, precise holes Tri-Metal Fusion Welding features up to 3X stronger weld to keep the full carbide head intact during extreme impact such as rebar Precision Tip delivers stability and accuracy required for fast, precise holes Optimized flute design removes dust faster, keeping the carbide head cooler for ultimate strength and durability Wear mark indicator ensures precise hole making Optimized for maximum performance in corded and cordless SDS Plus or SDS Max rotary hammers",,,"Length: 8"" Diameter: 3/16""",Rebar Demon™ SDS-Plus 4-Cutter Full Carbide Head Hammer Drill Bit
