category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
29018,Concrete Cutting,CS-3000 PRO,Professional Series,,E:\IMAGES\ITEMS\product\C\S\diamond-vantage-cs-3000-pro-professional-series.jpg,Diamond Vantage,(Walk-Behind 35-85Hp),"•  1-7/16 Blade Shaft With Heavy-Duty Pillow Block Bearings •  Quick Release, Auto-Latching Bayonet Mount Blade Guard •  Three Position Adjustable Solid Steel Handlebars •  Blade Guard Uses “Ride On The Blade” Water Tubes For Superior Water Delivery And Blade Cooling •  Saw Designed For Left Or Right Side Mounting Of Blade And Blade Guard •  Rigid Frame Front Pointer With High Visibility Guide Wheel For Accurate Tracking •  Instrumentation Includes Engine Tach, Fuel Level And Hour Meter •  Ergonomic Fnr Traverse Control •  Depth Of Cut Indicator •  Blade Guard Has Garden Hose Style Connector For Quick Disconnecting •  Removable Rear Panel For Easy Service •  7 3Vx V-Belt Drive From Engine To Blade Shaft •  Electric Leadscrew For Positive Adjustment Of Cutting Depth •  Wide Front Wheel Base Increases Stability And Allows Ramp Loading/ Unloading •  Eaton Model 6 Hydrostatic Transmission Coupled To A Trans-Axle  * Other Engine Options Available.","The Cs-3000 Series Concrete Saws Are Big Performance Saws In Small Packages. They Have Been Engineered To Take Advantage Of The New Breed Of High Horsepower V-Twin Air-Cooled Engines From Briggs And Stratton. They Provide The Cutting Depth And Power Of Traditional Street Saws With All The Advantages Of A Smaller, More Maneuverable Saw. The Saws Are Fully Self-Propelled And Use An Electric Leadscrew To Raise And Lower The Blade. One-Year Limited Warranty. Blade Not Included.",,,Professional Series
29018,Concrete Cutting,CS-4000 PRO,Professional Series,,E:\IMAGES\ITEMS\product\C\S\diamond-vantage-cs-4000-pro-professional-series.jpg,Diamond Vantage,(Walk-Behind 35-85Hp),"•  Totally Enclosed And Sealed Blade Shaft With Continuous Oil Bath Lubrication System •  Control Set Provides Proportional Blade Raising/Lowering And Travel Speed With One Hand Operation •  Quick Release, Auto-Latching Bayonet Mount Blade Guard •  Blade Guard Uses “Ride On The Blade” Water Tubes For Superior Water Delivery And Blade Cooling •  Eaton Model 6 Hydrostatic Transmission Coupled To A Differentiating Trans-Axle •  Saw Designed For Left Or Right Side Mounting Of Blade And Blade Guard •  Differential Lock (For Cutting On Slippery Surfaces) And Free Wheel/Engage Controls (To Allow The Saw To Be Pushed Manually) •  Three-Position Adjustable Solid Steel Handlebars •  Rigid Frame Front Pointer With High Visibility Guide Wheel For Accurate Tracking •  Epa Tier 3/Interim 4 Compliant •  7 3Vx V-Belt Drive From Engine To Blade Shaft •  Travel Speed: 0-220 Fpm Forward, 0-100 Fpm Reverse •  Fuel Capacity: 5.75 Gallons  *  Other Engine Options Available.","The Cs-4000 Series Concrete Saws Are A 4 Cylinder In-Line, Diesel Fueled, Turbo-Charged, Liquid-Cooled Engine. It Is Fuel Efficient, Altitude Compensating, Has Low Emissions And Meets All Epa And Carb Requirements. The Engine Is 1498Cc In Displacement And Features Kubota’S Three Vortec Combustion System, Which Produces An Ideal Air/Fuel Mixture That Provides Increased Combustion Efficiency And Cleaner Exhaust. One-Year Limited Warranty. Blade Not Included.",,,Professional Series
29018,Concrete Cutting,CS-6000 PRO,Professional Series,,E:\IMAGES\ITEMS\product\C\S\diamond-vantage-cs-6000-pro-professional-series.jpg,Diamond Vantage,(Walk-Behind 35-85Hp),"•  3-Speed Blade Shaft Gearbox Allows For Multiple Blade Diameters Without Belt/Pulley Changes Reduces Labor Time •  Blade Capacity Available From 12”-42” (Depending On Model) •  Instruments On The Control Panel Are Positioned For Visibility, Quick Access And Ease Of Operation •  Blade Guard Uses “Ride On The Blade” Water Tubes For Superior Water Delivery And Blade Cooling •  Control Set Provides Proportional Blade Raising/Lowering And Travel Speed With One Hand Operation •  Removable Rear And Side Panels For Easy Accessibility For Service And Preventive Maintenance •  Superb Balance Design That Minimizes User Fatigue While Increasing Maneuverability And Providing Straight Line Tracking During Cutting •   Removable Blade Shaft Stub For Easy Maintenance •  Totally Enclosed And Sealed Blade Shaft With Continuous Oil Bath Lubrication System •   Designed For Front Pivoting Allowing For Ease Of Movement And Control •  Eaton Model 6 Hydrostatic Transmission Couple To A Differentiating Rans-Axle Provides Continuous Variable Forward/Reverse Travel And Cutting Motion •  Built-In Lifting Bale For Easy Maneuverability •  Also Available In Single Speed Drive * Other Engine Options Available.","The Cs-6000 Heavy-Duty Concrete Saw Has Been Engineered For Operator Convenience And Better Control During Operations. The Cs-6000 Has Been Designed For Front Pivoting And Has Easily Removable Rear And Side Panels To Provide Easy Accessibility For Maintenance. The Saw Is Powered By A Kubota 59Hp, 4-Cylinder, Turbo-Charged, Liquid Cooled, Diesel Fueled Engine. This 2434Cc Engine Meets Current Epa Tier 3/Interim Tier 4 Emissions Regulations, Which Are The Most Stringent In This Class. Blade Not Included.",,,Professional Series
2559|24964,Masonry Saw Blades|Circular Saw Blades,1612EY2-2,Y2-2 Low Hp Concrete Saw Blades,,E:\IMAGES\ITEMS\product\1\6\diamond-vantage-1612ey2-2-y2-2-low-hp-concrete-saw-blades.jpg,Diamond Vantage,,"• Value Grade • Recommended For 5-13Hp Saws • 10Mm (.394”) Segment Height Application(s)  • Cured Concrete, Medium Aggregates",,,Size: 16 X .125 X 1,Y2-2 Low Hp Concrete Saw Blades
2559|24964,Masonry Saw Blades|Circular Saw Blades,2014EY1-2,High Speed/Masonry - Y1-2,,E:\IMAGES\ITEMS\product\2\0\diamond-vantage-2014ey1-2-y1-2-low-hp-concrete-saw-blades.jpg,Diamond Vantage,,"• Value Plus Grade • 12Mm (.472”) Segment Height Application(s)  • Cured Concrete, Masonry",,,Size: 20 X .140 X 1,High Speed/Masonry - Y1-2
2559|24964,Masonry Saw Blades|Circular Saw Blades,1212EX1-2,X3-2 Low Hp Concrete Saw Blades,,E:\IMAGES\ITEMS\product\1\2\diamond-vantage-1212ex1-2-x3-2-low-hp-concrete-saw-blades.jpg,Diamond Vantage,,"• Premium Grade • Recommended For 5-20Hp Saws • 10Mm (.394”) Segment Height Application(s)  • Cured Concrete, Medium Aggregates",,,Size: 12 X .125 X 1,X3-2 Low Hp Concrete Saw Blades
2559|24964,Masonry Saw Blades|Circular Saw Blades,2415EX3-2,X3-2 Low Hp Concrete Saw Blades,,E:\IMAGES\ITEMS\product\2\4\diamond-vantage-2415ex3-2-x3-2-low-hp-concrete-saw-blades.jpg,Diamond Vantage,,"• Premium Grade • Recommended For 5-20Hp Saws • 10Mm (.394”) Segment Height Application(s)  • Cured Concrete, Medium Aggregates",,,Size: 24 X .155 X 1,X3-2 Low Hp Concrete Saw Blades
2559|24964,Masonry Saw Blades|Circular Saw Blades,2416EX3-2,X3-2 Low Hp Concrete Saw Blades,,E:\IMAGES\ITEMS\product\2\4\diamond-vantage-2416ex3-2-x3-2-low-hp-concrete-saw-blades.jpg,Diamond Vantage,,"• Premium Grade • Recommended For 5-20Hp Saws • 10Mm (.394”) Segment Height Application(s)  • Cured Concrete, Medium Aggregates",,,Size: 24 X .165 X 1,X3-2 Low Hp Concrete Saw Blades
2559|24964,Masonry Saw Blades|Circular Saw Blades,2615EX3-2,X3-2 Low Hp Concrete Saw Blades,,E:\IMAGES\ITEMS\product\2\6\diamond-vantage-2615ex3-2-x3-2-low-hp-concrete-saw-blades.jpg,Diamond Vantage,,"• Premium Grade • Recommended For 5-20Hp Saws • 10Mm (.394”) Segment Height Application(s)  • Cured Concrete, Medium Aggregates",,,Size: 26 X .155 X 1,X3-2 Low Hp Concrete Saw Blades
2559|24964,Masonry Saw Blades|Circular Saw Blades,2616EX3-2,X3-2 Low Hp Concrete Saw Blades,,E:\IMAGES\ITEMS\product\2\6\diamond-vantage-2616ex3-2-x3-2-low-hp-concrete-saw-blades.jpg,Diamond Vantage,,"• Premium Grade • Recommended For 5-20Hp Saws • 10Mm (.394”) Segment Height Application(s)  • Cured Concrete, Medium Aggregates",,,Size: 26 X .165 X 1,X3-2 Low Hp Concrete Saw Blades
