category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,ADX006018,Concrete Bits - Adx For Drilling Rebar And Metal Deck,,E:\IMAGES\ITEMS\product\A\D\driltec-adx006018-concrete-bits-adx-for-drilling-rebar-and-metal-deck- 3.jpg,Driltec,For Use With SDS-Plus Rotary Hammers,"•   Solid-Cross-Configuration of ADX carbide head. •   Firm and secured carbide embedment with  flank side reinforcements. •   Generous spiral flute entrance geometry for fast drill dust evacuation. •   Blow-back prevention through sub-trac spiral flute design. •   Noise damping effect due to ADX drill- head design. •   Significantly reduced “arm-hand- vibration” due to ADX multi-cutter head design. •   Unsurpassed drilling performance in concrete and stone and yes, embedded rebar and metal concrete deck. •   Made in Germany.",,,Diameter: 3/16; Use Length 4; Total Length 6,Concrete Bits - Adx For Drilling Rebar And Metal Deck
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,ADX007029,Concrete Bits - Adx For Drilling Rebar And Metal Deck,,E:\IMAGES\ITEMS\product\A\D\driltec-adx007029-concrete-bits-adx-for-drilling-rebar-and-metal-deck- 3.jpg,Driltec,For Use With SDS-Plus Rotary Hammers,"•   Solid-Cross-Configuration of ADX carbide head. •   Firm and secured carbide embedment with  flank side reinforcements. •   Generous spiral flute entrance geometry for fast drill dust evacuation. •   Blow-back prevention through sub-trac spiral flute design. •   Noise damping effect due to ADX drill- head design. •   Significantly reduced “arm-hand- vibration” due to ADX multi-cutter head design. •   Unsurpassed drilling performance in concrete and stone and yes, embedded rebar and metal concrete deck. •   Made in Germany.",,,Diameter: 1/4; Use Length 4; Total Length 6,Concrete Bits - Adx For Drilling Rebar And Metal Deck
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,ADX007041,Concrete Bits - Adx For Drilling Rebar And Metal Deck,,E:\IMAGES\ITEMS\product\A\D\driltec-adx007041-concrete-bits-adx-for-drilling-rebar-and-metal-deck- 3.jpg,Driltec,For Use With SDS-Plus Rotary Hammers,"•   Solid-Cross-Configuration of ADX carbide head. •   Firm and secured carbide embedment with  flank side reinforcements. •   Generous spiral flute entrance geometry for fast drill dust evacuation. •   Blow-back prevention through sub-trac spiral flute design. •   Noise damping effect due to ADX drill- head design. •   Significantly reduced “arm-hand- vibration” due to ADX multi-cutter head design. •   Unsurpassed drilling performance in concrete and stone and yes, embedded rebar and metal concrete deck. •   Made in Germany.",,,Diameter: 1/4; Use Length 6; Total Length 8,Concrete Bits - Adx For Drilling Rebar And Metal Deck
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,ADX011031,Concrete Bits - Adx For Drilling Rebar And Metal Deck,,E:\IMAGES\ITEMS\product\A\D\driltec-adx011031-concrete-bits-adx-for-drilling-rebar-and-metal-deck- 4.jpg,Driltec,For Use With SDS-Plus Rotary Hammers,"•   Solid-Cross-Configuration of ADX carbide head. •   Firm and secured carbide embedment with  flank side reinforcements. •   Generous spiral flute entrance geometry for fast drill dust evacuation. •   Blow-back prevention through sub-trac spiral flute design. •   Noise damping effect due to ADX drill- head design. •   Significantly reduced “arm-hand- vibration” due to ADX multi-cutter head design. •   Unsurpassed drilling performance in concrete and stone and yes, embedded rebar and metal concrete deck. •   Made in Germany.",,,Diameter: 5/16; Use Length 4; Total Length 6,Concrete Bits - Adx For Drilling Rebar And Metal Deck
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,ADX011049,Concrete Bits - Adx For Drilling Rebar And Metal Deck,,E:\IMAGES\ITEMS\product\A\D\driltec-adx011049-concrete-bits-adx-for-drilling-rebar-and-metal-deck- 4.jpg,Driltec,For Use With SDS-Plus Rotary Hammers,"•   Solid-Cross-Configuration of ADX carbide head. •   Firm and secured carbide embedment with  flank side reinforcements. •   Generous spiral flute entrance geometry for fast drill dust evacuation. •   Blow-back prevention through sub-trac spiral flute design. •   Noise damping effect due to ADX drill- head design. •   Significantly reduced “arm-hand- vibration” due to ADX multi-cutter head design. •   Unsurpassed drilling performance in concrete and stone and yes, embedded rebar and metal concrete deck. •   Made in Germany.",,,Diameter: 5/16; Use Length 10; Total Length 12,Concrete Bits - Adx For Drilling Rebar And Metal Deck
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,ADX017059,Concrete Bits - Adx For Drilling Rebar And Metal Deck,,E:\IMAGES\ITEMS\product\A\D\driltec-adx017059-concrete-bits-adx-for-drilling-rebar-and-metal-deck- 4.jpg,Driltec,For Use With SDS-Plus Rotary Hammers,"•   Solid-Cross-Configuration of ADX carbide head. •   Firm and secured carbide embedment with  flank side reinforcements. •   Generous spiral flute entrance geometry for fast drill dust evacuation. •   Blow-back prevention through sub-trac spiral flute design. •   Noise damping effect due to ADX drill- head design. •   Significantly reduced “arm-hand- vibration” due to ADX multi-cutter head design. •   Unsurpassed drilling performance in concrete and stone and yes, embedded rebar and metal concrete deck. •   Made in Germany.",,,Diameter: 3/8; Use Length 4; Total Length 6,Concrete Bits - Adx For Drilling Rebar And Metal Deck
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,ADX017067,Concrete Bits - Adx For Drilling Rebar And Metal Deck,,E:\IMAGES\ITEMS\product\A\D\driltec-adx017067-concrete-bits-adx-for-drilling-rebar-and-metal-deck- 4.jpg,Driltec,For Use With SDS-Plus Rotary Hammers,"•   Solid-Cross-Configuration of ADX carbide head. •   Firm and secured carbide embedment with  flank side reinforcements. •   Generous spiral flute entrance geometry for fast drill dust evacuation. •   Blow-back prevention through sub-trac spiral flute design. •   Noise damping effect due to ADX drill- head design. •   Significantly reduced “arm-hand- vibration” due to ADX multi-cutter head design. •   Unsurpassed drilling performance in concrete and stone and yes, embedded rebar and metal concrete deck. •   Made in Germany.",,,Diameter: 3/8; Use Length 10; Total Length 12,Concrete Bits - Adx For Drilling Rebar And Metal Deck
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,ADX019073,Concrete Bits - Adx For Drilling Rebar And Metal Deck,,E:\IMAGES\ITEMS\product\A\D\driltec-adx019073-concrete-bits-adx-for-drilling-rebar-and-metal-deck- 4.jpg,Driltec,For Use With SDS-Plus Rotary Hammers,"•   Solid-Cross-Configuration of ADX carbide head. •   Firm and secured carbide embedment with  flank side reinforcements. •   Generous spiral flute entrance geometry for fast drill dust evacuation. •   Blow-back prevention through sub-trac spiral flute design. •   Noise damping effect due to ADX drill- head design. •   Significantly reduced “arm-hand- vibration” due to ADX multi-cutter head design. •   Unsurpassed drilling performance in concrete and stone and yes, embedded rebar and metal concrete deck. •   Made in Germany.",,,Diameter: 1/2; Use Length 4; Total Length 6,Concrete Bits - Adx For Drilling Rebar And Metal Deck
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,ADX019081,Concrete Bits - Adx For Drilling Rebar And Metal Deck,,E:\IMAGES\ITEMS\product\A\D\driltec-adx019081-concrete-bits-adx-for-drilling-rebar-and-metal-deck- 4.jpg,Driltec,For Use With SDS-Plus Rotary Hammers,"•   Solid-Cross-Configuration of ADX carbide head. •   Firm and secured carbide embedment with  flank side reinforcements. •   Generous spiral flute entrance geometry for fast drill dust evacuation. •   Blow-back prevention through sub-trac spiral flute design. •   Noise damping effect due to ADX drill- head design. •   Significantly reduced “arm-hand- vibration” due to ADX multi-cutter head design. •   Unsurpassed drilling performance in concrete and stone and yes, embedded rebar and metal concrete deck. •   Made in Germany.",,,Diameter: 1/2; Use Length 10; Total Length 12,Concrete Bits - Adx For Drilling Rebar And Metal Deck
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,ADX021071,Concrete Bits - Adx For Drilling Rebar And Metal Deck,,E:\IMAGES\ITEMS\product\A\D\driltec-adx021071-concrete-bits-adx-for-drilling-rebar-and-metal-deck- 4.jpg,Driltec,For Use With SDS-Plus Rotary Hammers,"•   Solid-Cross-Configuration of ADX carbide head. •   Firm and secured carbide embedment with  flank side reinforcements. •   Generous spiral flute entrance geometry for fast drill dust evacuation. •   Blow-back prevention through sub-trac spiral flute design. •   Noise damping effect due to ADX drill- head design. •   Significantly reduced “arm-hand- vibration” due to ADX multi-cutter head design. •   Unsurpassed drilling performance in concrete and stone and yes, embedded rebar and metal concrete deck. •   Made in Germany.",,,Diameter: 9/16; Use Length 4; Total Length 6,Concrete Bits - Adx For Drilling Rebar And Metal Deck
1144|27808,SDS - Masonry | Concrete Drill Bits|Concrete Bits,ADX021087,Concrete Bits - Adx For Drilling Rebar And Metal Deck,,E:\IMAGES\ITEMS\product\A\D\driltec-adx021087-concrete-bits-adx-for-drilling-rebar-and-metal-deck- 4.jpg,Driltec,For Use With SDS-Plus Rotary Hammers,"•   Solid-Cross-Configuration of ADX carbide head. •   Firm and secured carbide embedment with  flank side reinforcements. •   Generous spiral flute entrance geometry for fast drill dust evacuation. •   Blow-back prevention through sub-trac spiral flute design. •   Noise damping effect due to ADX drill- head design. •   Significantly reduced “arm-hand- vibration” due to ADX multi-cutter head design. •   Unsurpassed drilling performance in concrete and stone and yes, embedded rebar and metal concrete deck. •   Made in Germany.",,,Diameter: 9/16; Use Length 10; Total Length 12,Concrete Bits - Adx For Drilling Rebar And Metal Deck
