category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
25836,Hard Hat Cooling Products,17972,AS5E Omega II Cap Shield,SUN SHIELDS FOR ERB® SAFETY HELMET,E:\IMAGES\ITEMS\product\1\7\17972-ERB-Industries-Sun.jpg,ERB Safety,Sun Shield provides additional UV protection to wearer with its opaque covering.  The see-through smoke colored Lexan front allows for overhead visibility. Model AS5E only attaches to ERB Safety's Omega II Safety Helmet.  Shield weighs less than 3 oz.  Made in USA.,,Adds additional UV protection for face & neck. Opaque covering with see through smoke colored Lexan front for overhead visibility. Model AS5E only attaches to ERB Omega II Safety Helmet.    Weighs less than 3 oz.,720609156860.0,17972 ERB Industries Sun Shield,AS5E Omega II Cap Shield
25844,Disposable Ear Plugs,14381,ERB03 Disposable Ear Plugs Uncorded,14381 ERB-03 FOAM UNCORDED EAR PLUG,E:\IMAGES\ITEMS\product\1\4\14831-ERB-Industries-Foam-Uncorded.jpg,ERB Safety,"Soft, smooth, non-allergenic foam ear plugs for better fit and hygiene. Convenient packaging for on-site distribution.  Each pair of ear plugs is individually wrapped. Bright Orange. Carton Qty 200 pair/box. NRR 32dB when used as directed.",,Uncorded/Orange,720609157140.0,Color:Orange,ERB03 Disposable Ear Plugs Uncorded
158|25844,Hearing Protection|Disposable Ear Plugs,14832,Foam Corded Ear Plugs,14382 ERB-03C FOAM CORDED EAR PLUG,E:\IMAGES\ITEMS\product\1\4\14832-ERB-Industries-Foam-Corded-Ear.jpg,ERB Safety,14382 ERB-03C FOAM CORDED EAR PLUG,Carton Qty 200 pair/box. Non-allergenic foam ear plugs provide long term comfort. Very effective hearing protection. Convenient packaging for on-site distribution Each pair of plugs is individually wrapped. Bright orange. NRR 32dB,,,14832 ERB Industries Foam Corded Ear Plugs,Foam Corded Ear Plugs
158|25844,Hearing Protection|Disposable Ear Plugs,14837,14387 Reuse Uncrd Plug,ERB-04 REUSABLE UNCORDED EARPLUG,E:\IMAGES\ITEMS\product\1\4\14387-ERB-Industries-Reuse-Uncrd.jpg,ERB Safety,ERB-04 REUSABLE UNCORDED EARPLUG,Carton Qty 100 pair/box. Distinctive triple flanged design. Very effective hearing protection. Convenient packaging for on-site distribution. Each pair of plugs is individually wrapped. Bright Orange. NRR 25dB,,,14387 ERB Industries Reuse Uncrd Plug,14387 Reuse Uncrd Plug
25851,Reusable Ear Plugs,14388,ERB04C Reusable Ear Plugs Corded,14388 ERB-04C REUSABLE CORDED EAR PLUG,E:\IMAGES\ITEMS\product\1\4\14388-ERB-Industries-Reuse-Corded.jpg,ERB Safety,"Unique parabolic design provides an improved contact area with the ear canal, improving sound attenuation properties and comfort.  Distinctive triple flanged design.  100 pair per box.  Convenient dispenser box for easy distribution as each pair of corded ear plugs is individually wrapped. Bright Orange. NRR 25dB (when used as directed).",,OSFM/Orange,720609137610.0,Color:Orange,ERB04C Reusable Ear Plugs Corded
26141,High Visibility & Cooling Vests,S320 VST LME MD,Class 2 Lime Mesh Breakaway Safety Vest,,E:\IMAGES\ITEMS\product\S\3\ERB-Industries-Class-2-Lime-Mesh-Breakaway-Safety.jpg,ERB Safety,,"ANSI Class 2 safety vest. 5 Point Break-Away. 100% polyester mesh. Hook & loop front closure. 2 interior waist pockets. AwareLite reflective trim. Conforms to ANSI/ISEA 107 standard for design, color & reflectivity. Sizes M - 5XL.",,,Medium,Class 2 Lime Mesh Breakaway Safety Vest
26141,High Visibility & Cooling Vests,S320 VST LME LG,Class 2 Lime Mesh Breakaway Safety Vest,,E:\IMAGES\ITEMS\product\S\3\ERB-Industries-Class-2-Lime-Mesh-Breakaway-Safety.jpg,ERB Safety,ERB Industries S320 VST LME LG Class 2 Lime Mesh Breakaway Safety Vest,"ANSI Class 2 safety vest. 5 Point Break-Away. 100% polyester mesh. Hook & loop front closure. 2 interior waist pockets. AwareLite reflective trim. Conforms to ANSI/ISEA 107 standard for design, color & reflectivity. Sizes M - 5XL.",,,Large,Class 2 Lime Mesh Breakaway Safety Vest
26141,High Visibility & Cooling Vests,S320 VST LME XL,Class 2 Lime Mesh Breakaway Safety Vest,,E:\IMAGES\ITEMS\product\S\3\ERB-Industries-Class-2-Lime-Mesh-Breakaway-Safety.jpg,ERB Safety,ERB Industries Class 2 Lime Mesh Breakaway Safety Vest,"ANSI Class 2 safety vest. 5 Point Break-Away. 100% polyester mesh. Hook & loop front closure. 2 interior waist pockets. AwareLite reflective trim. Conforms to ANSI/ISEA 107 standard for design, color & reflectivity. Sizes M - 5XL.",,,X Large,Class 2 Lime Mesh Breakaway Safety Vest
26141,High Visibility & Cooling Vests,S320 VST LME 2X,Class 2 Lime Mesh Breakaway Safety Vest,,E:\IMAGES\ITEMS\product\S\3\ERB-Industries-Class-2-Lime-Mesh-Breakaway-Safety.jpg,ERB Safety,ERB Industries Class 2 Lime Mesh Breakaway Safety Vest,"ANSI Class 2 safety vest. 5 Point Break-Away. 100% polyester mesh. Hook & loop front closure. 2 interior waist pockets. AwareLite reflective trim. Conforms to ANSI/ISEA 107 standard for design, color & reflectivity. Sizes M - 5XL.",,,2X Large,Class 2 Lime Mesh Breakaway Safety Vest
26141,High Visibility & Cooling Vests,S320 VST LME 3X,Class 2 Lime Mesh Breakaway Safety Vest,,E:\IMAGES\ITEMS\product\S\3\ERB-Industries-Class-2-Lime-Mesh-Breakaway-Safety.jpg,ERB Safety,ERB Industries Class 2 Lime Mesh Breakaway Safety Vest,"ANSI Class 2 safety vest. 5 Point Break-Away. 100% polyester mesh. Hook & loop front closure. 2 interior waist pockets. AwareLite reflective trim. Conforms to ANSI/ISEA 107 standard for design, color & reflectivity. Sizes M - 5XL.",,,3X Large,Class 2 Lime Mesh Breakaway Safety Vest
