category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
971|26019,Gasoline Cans|Safety Can Funnels,F 15,9' Polyethylene Funnel,Eagle Manufacturing F 15 9' Polyethylene Funnel,E:\IMAGES\ITEMS\product\F\-\Eagle-Manufacturing-F-15-9-Polyethylene.jpg,Eagle Manufacturing,Eagle Manufacturing F 15 9' Polyethylene Funnel,For the Metal Type I Safety Cans,,,Eagle Manufacturing F 15 9' Polyethylene Funnel,9' Polyethylene Funnel
971|26010,Gasoline Cans|Fuel and Gas Cans,UI 10 FS,1 Gal. Type I Red Safety Can w/ F 15 Funnel For Gasoline,Galvanized Steel Type-I Safety Cans,E:\IMAGES\ITEMS\product\U\I\Eagle-Manufacturing-UI-10-FS-1-Gal-Type-I-Red-Safety-Can-w.jpg,Eagle Manufacturing,Galvanized Steel Type-I Safety Cans,Material: Steel Product Type: Gas Can Capacity: 1 gal. Agency Approval: OSHA and NFPA Size Capacity: 1 gal.,"Eagle galvanized type-I safety cans meet OSHA and NFPA Code 30 requirements and are UL and ULC listed and FM approved for safe handling and storage of gasoline and other flammable liquids.  Eagle cans feature environmentally friendly Lead Free Technology, constructed of 24-gauge hot dipped galvanized steel. Other manufacturers' safety cans use lead coated terne steel.",,Eagle Manufacturing UI 10 FS 1 Gal. Type I Red Safety Can w/ F 15 Funnel For Gasoline,1 Gal. Type I Red Safety Can w/ F 15 Funnel For Gasoline
971|26010,Gasoline Cans|Fuel and Gas Cans,UI 20 FS,2 Gal. Type I Red Safety Can w/ F 15 Funnel For Gasoline,Galvanized Steel Type-I Safety Cans,E:\IMAGES\ITEMS\product\U\I\Eagle-Manufacturing-UI-20-FS-2-Gal-Type-I-Red-Safety-Can-w.jpg,Eagle Manufacturing,Galvanized Steel Type-I Safety Cans,Material: Steel Product Type: Gas Can Capacity: 2 gal. Size Capacity: 2 gal. Agency Approval: OSHA and NFPA,"These Eagle Safety products meet OSHA requirements and most are either Factory Mutual (FM) approved or listed by Underwriters Laboratories, Inc. (UL), and Underwriters Laboratories Canada (ULC).  Eagle Safety Containers are manufactured to exacting standards, reflecting sophisticated technology and superior workmanship. Eagle equals engineering excellence, providing you with the most dependable containers on the market.",,Eagle Manufacturing UI 20 FS 2 Gal. Type I Red Safety Can w/ F 15 Funnel For Gasoline,2 Gal. Type I Red Safety Can w/ F 15 Funnel For Gasoline
971|26010,Gasoline Cans|Fuel and Gas Cans,UI 50 FSY,5 Gal. Type I Yellow Safety Can w/ F 15 Funnel For Diesel,Galvanized Steel Type-I Safety Can,E:\IMAGES\ITEMS\product\U\I\Eagle-Manufacturing-UI-50-FSY-5-Gal-Type-I-Yellow-Safety.jpg,Eagle Manufacturing,Galvanized Steel Type-I Safety Can,Material: Steel Product Type: Diesel Can Capacity: 5 gal. Size Capacity: 5 gal. Agency Approval: OSHA and NFPA,"These Eagle Safety products meet OSHA requirements and most are either Factory Mutual (FM) approved or listed by Underwriters Laboratories, Inc. (UL), and Underwriters Laboratories Canada (ULC).  Eagle Safety Containers are manufactured to exacting standards, reflecting sophisticated technology and superior workmanship. Eagle equals engineering excellence, providing you with the most dependable containers on the market.",,Eagle Manufacturing UI 50 FSY 5 Gal. Type I Yellow Safety Can w/ F 15 Funnel For Diesel,5 Gal. Type I Yellow Safety Can w/ F 15 Funnel For Diesel
971|26010,Gasoline Cans|Fuel and Gas Cans,UI 50 FS,5 Gal. Type I Red Safety Can w/ F 15 Funnel For Gasoline,Galvanized Steel Type-I Safety Can,E:\IMAGES\ITEMS\product\U\I\Eagle-Manufacturing-UI-50-FS-5-Gal-Type-I-Red-Safety-Can-w.jpg,Eagle Manufacturing,Galvanized Steel Type-I Safety Can,Material: Steel Product Type: Gas Can Capacity: 5 gal. Size Capacity: 5 gal. Agency Approval: OSHA and NFPA,"These Eagle Safety products meet OSHA requirements and most are either Factory Mutual (FM) approved or listed by Underwriters Laboratories, Inc. (UL), and Underwriters Laboratories Canada (ULC).  Eagle Safety Containers are manufactured to exacting standards, reflecting sophisticated technology and superior workmanship. Eagle equals engineering excellence, providing you with the most dependable containers on the market.",,Eagle Manufacturing UI 50 FS 5 Gal. Type I Red Safety Can w/ F 15 Funnel For Gasoline,5 Gal. Type I Red Safety Can w/ F 15 Funnel For Gasoline
1269|19756,Trash Cans|Indoor Trash Cans,1206BEIGE,1206 SafeSmoker Cigarette Receptacles,,E:\IMAGES\ITEMS\product\1\2\eagle-manufacturing-1206beige-1206-safesmoker-cigarette-receptacles.jpg,Eagle Manufacturing,Container top removes easily to empty internal galvanized steel bucket.,"With the increase of smoke free buildings, many non industrial facilities have created outdoor designated smoking areas. Eagle introduced the SAFESMOKER™ as an attractive product to complement any building or facility. They are available in two sizes - 4 gallon and the smaller 5qt. size. SafeSmokers are made of high density polyethylene with UV inhibitors and a galvanized steel collection bucket. Designed to restrict oxygen to quickly extinguish burning butts. The top of the container removes easily to access and empty the internal bucket. Rain protective design keeps water out and reduces waste smells. Includes integrated hold-down tabs for security and wind protection. Available in beige, gray, brown or black. Ships unassembled for reduced shipping cost and inventory space requirements.","Dimensions: 15.25"" dia. x 37.75"" h",,Beige,1206 SafeSmoker Cigarette Receptacles
1269|19756,Trash Cans|Indoor Trash Cans,1206GRAY,1206 SafeSmoker Cigarette Receptacles,,E:\IMAGES\ITEMS\product\1\2\eagle-manufacturing-1206gray-1206-safesmoker-cigarette-receptacles.jpg,Eagle Manufacturing,Container top removes easily to empty internal galvanized steel bucket.,"With the increase of smoke free buildings, many non industrial facilities have created outdoor designated smoking areas. Eagle introduced the SAFESMOKER™ as an attractive product to complement any building or facility. They are available in two sizes - 4 gallon and the smaller 5qt. size. SafeSmokers are made of high density polyethylene with UV inhibitors and a galvanized steel collection bucket. Designed to restrict oxygen to quickly extinguish burning butts. The top of the container removes easily to access and empty the internal bucket. Rain protective design keeps water out and reduces waste smells. Includes integrated hold-down tabs for security and wind protection. Available in beige, gray, brown or black. Ships unassembled for reduced shipping cost and inventory space requirements.","Dimensions: 15.25"" dia. x 37.75"" h",,Gray,1206 SafeSmoker Cigarette Receptacles
1269|19756,Trash Cans|Indoor Trash Cans,1206BROWN,1206 SafeSmoker Cigarette Receptacles,,E:\IMAGES\ITEMS\product\1\2\eagle-manufacturing-1206brown-1206-safesmoker-cigarette-receptacles.jpg,Eagle Manufacturing,Container top removes easily to empty internal galvanized steel bucket.,"With the increase of smoke free buildings, many non industrial facilities have created outdoor designated smoking areas. Eagle introduced the SAFESMOKER™ as an attractive product to complement any building or facility. They are available in two sizes - 4 gallon and the smaller 5qt. size. SafeSmokers are made of high density polyethylene with UV inhibitors and a galvanized steel collection bucket. Designed to restrict oxygen to quickly extinguish burning butts. The top of the container removes easily to access and empty the internal bucket. Rain protective design keeps water out and reduces waste smells. Includes integrated hold-down tabs for security and wind protection. Available in beige, gray, brown or black. Ships unassembled for reduced shipping cost and inventory space requirements.","Dimensions: 15.25"" dia. x 37.75"" h",,Brown,1206 SafeSmoker Cigarette Receptacles
1269|19756,Trash Cans|Indoor Trash Cans,1206BLACK,1206 SafeSmoker Cigarette Receptacles,,E:\IMAGES\ITEMS\product\1\2\eagle-manufacturing-1206black-1206-safesmoker-cigarette-receptacles.jpg,Eagle Manufacturing,Container top removes easily to empty internal galvanized steel bucket.,"With the increase of smoke free buildings, many non industrial facilities have created outdoor designated smoking areas. Eagle introduced the SAFESMOKER™ as an attractive product to complement any building or facility. They are available in two sizes - 4 gallon and the smaller 5qt. size. SafeSmokers are made of high density polyethylene with UV inhibitors and a galvanized steel collection bucket. Designed to restrict oxygen to quickly extinguish burning butts. The top of the container removes easily to access and empty the internal bucket. Rain protective design keeps water out and reduces waste smells. Includes integrated hold-down tabs for security and wind protection. Available in beige, gray, brown or black. Ships unassembled for reduced shipping cost and inventory space requirements.","Dimensions: 15.25"" dia. x 37.75"" h",,Black,1206 SafeSmoker Cigarette Receptacles
1269|19756,Trash Cans|Indoor Trash Cans,1206GREEN,1206 SafeSmoker Cigarette Receptacles,,E:\IMAGES\ITEMS\product\1\2\eagle-manufacturing-1206green-1206-safesmoker-cigarette-receptacles.jpg,Eagle Manufacturing,Container top removes easily to empty internal galvanized steel bucket.,"With the increase of smoke free buildings, many non industrial facilities have created outdoor designated smoking areas. Eagle introduced the SAFESMOKER™ as an attractive product to complement any building or facility. They are available in two sizes - 4 gallon and the smaller 5qt. size. SafeSmokers are made of high density polyethylene with UV inhibitors and a galvanized steel collection bucket. Designed to restrict oxygen to quickly extinguish burning butts. The top of the container removes easily to access and empty the internal bucket. Rain protective design keeps water out and reduces waste smells. Includes integrated hold-down tabs for security and wind protection. Available in beige, gray, brown or black. Ships unassembled for reduced shipping cost and inventory space requirements.","Dimensions: 15.25"" dia. x 37.75"" h",,Green,1206 SafeSmoker Cigarette Receptacles
