category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
2484|23276,Rope|Ropes,TWPY060600,3 Strand Yellow Polypropylene Rope,,E:\IMAGES\ITEMS\product\T\W\erin-rope-twpy060600-3-strand-yellow-polypropylene-rope.jpg,Erin Rope,,"Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.",,,"Diameter: 0.1875, Length in in.: 600, Minimum Break Strength in lbs.: 720, Approximate Density lbs./100 ft.: 1",3 Strand Yellow Polypropylene Rope
2484|23276,Rope|Ropes,TWPY061200,3 Strand Yellow Polypropylene Rope,,E:\IMAGES\ITEMS\product\T\W\erin-rope-twpy061200-3-strand-yellow-polypropylene-rope.jpg,Erin Rope,,"Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.",,,"Diameter: 0.1875, Length in in.: 1200, Minimum Break Strength in lbs.: 720, Approximate Density lbs./100 ft.: 1",3 Strand Yellow Polypropylene Rope
2484|23276,Rope|Ropes,TWPY066000,3 Strand Yellow Polypropylene Rope,,E:\IMAGES\ITEMS\product\T\W\erin-rope-twpy066000-3-strand-yellow-polypropylene-rope.jpg,Erin Rope,,"Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.",,,"Diameter: 0.1875, Length in in.: 6000, Minimum Break Strength in lbs.: 720, Approximate Density lbs./100 ft.: 1",3 Strand Yellow Polypropylene Rope
2484|23276,Rope|Ropes,TWPY080100,3 Strand Yellow Polypropylene Rope,,E:\IMAGES\ITEMS\product\T\W\erin-rope-twpy080100-3-strand-yellow-polypropylene-rope.jpg,Erin Rope,,"Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.",,,"Diameter: 0.25, Length in in.: 100, Minimum Break Strength in lbs.: 1250, Approximate Density lbs./100 ft.: 1",3 Strand Yellow Polypropylene Rope
2484|23276,Rope|Ropes,TWPY080300,3 Strand Yellow Polypropylene Rope,,E:\IMAGES\ITEMS\product\T\W\erin-rope-twpy080300-3-strand-yellow-polypropylene-rope.jpg,Erin Rope,,"Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.",,,"Diameter: 0.25, Length in in.: 300, Minimum Break Strength in lbs.: 1250, Approximate Density lbs./100 ft.: 1",3 Strand Yellow Polypropylene Rope
2484|23276,Rope|Ropes,TWPY080600,3 Strand Yellow Polypropylene Rope,,E:\IMAGES\ITEMS\product\T\W\erin-rope-twpy080600-3-strand-yellow-polypropylene-rope.jpg,Erin Rope,,"Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.",,,"Diameter: 0.25, Length in in.: 600, Minimum Break Strength in lbs.: 1250, Approximate Density lbs./100 ft.: 1",3 Strand Yellow Polypropylene Rope
2484|23276,Rope|Ropes,TWPY081200,3 Strand Yellow Polypropylene Rope,,E:\IMAGES\ITEMS\product\T\W\erin-rope-twpy081200-3-strand-yellow-polypropylene-rope.jpg,Erin Rope,,"Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.",,,"Diameter: 0.25, Length in in.: 1200, Minimum Break Strength in lbs.: 1250, Approximate Density lbs./100 ft.: 1",3 Strand Yellow Polypropylene Rope
2484|23276,Rope|Ropes,TWPY082400,3 Strand Yellow Polypropylene Rope,,E:\IMAGES\ITEMS\product\T\W\erin-rope-twpy082400-3-strand-yellow-polypropylene-rope.jpg,Erin Rope,,"Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.",,,"Diameter: 0.25, Length in in.: 2400, Minimum Break Strength in lbs.: 1250, Approximate Density lbs./100 ft.: 1",3 Strand Yellow Polypropylene Rope
2484|23276,Rope|Ropes,TWPY085000,3 Strand Yellow Polypropylene Rope,,E:\IMAGES\ITEMS\product\T\W\erin-rope-twpy085000-3-strand-yellow-polypropylene-rope.jpg,Erin Rope,,"Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.",,,"Diameter: 0.25, Length in in.: 5000, Minimum Break Strength in lbs.: 1250, Approximate Density lbs./100 ft.: 1",3 Strand Yellow Polypropylene Rope
2484|23276,Rope|Ropes,TWPY100600,3 Strand Yellow Polypropylene Rope,,E:\IMAGES\ITEMS\product\T\W\erin-rope-twpy100600-3-strand-yellow-polypropylene-rope.jpg,Erin Rope,,"Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.",,,"Diameter: 0.3125, Length in in.: 600, Minimum Break Strength in lbs.: 1710, Approximate Density lbs./100 ft.: 2",3 Strand Yellow Polypropylene Rope
