category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
157|25724,First Aid Kits|First Aid Kits,RC-622,First Aid For Personal Safety Pack with Backpack,"This combo kit is a convenient and practical way to prepare employees. Comes with one (1) Deluxe Personal Safety Emergency Pack and a tear-resistant, nylon backpack that also contains extra room for personal items.",E:\IMAGES\ITEMS\product\R\C\First-Aid-On-Personal-Safety-Pack-with.jpg,First Aid Only,"This combo kit is a convenient and practical way to prepare employees. Comes with one (1) Deluxe Personal Safety Emergency Pack and a tear-resistant, nylon backpack that also contains extra room for personal items.","It Contains:  (1) American Red Cross First Aid Guide (1) Nylon Backpack (1) Emergency Drinking Water (1) N95 Mask (2) Exam Quality Vinyl Gloves (2) Germicidal Wipes (kills germs) (1) Light Stick (1) Whistle with Neck Cord (1) Emergency Poncho (1) Emergency Blanket (2) Hand Warmers (1) Mini First Aid Kit (5) Adhesive Plastic Bandages, 3/4"" x 3"" (3) Adhesive Fabric Bandages, 3/4"" x 3"" (5) Junior Adhesive Plastic Bandages, 3/8"" x 1-1/2"" (1) Fingertip Fabric Bandage (1) Knuckle Fabric Bandage (2) BZK Antiseptic Towelettes (1) Triple Antibiotic Ointment packs, 0.5 g ea.",,,First Aid For Personal Safety Pack with Backpack,First Aid For Personal Safety Pack with Backpack
157|25724,First Aid Kits|First Aid Kits,FX-106,Red Cross Emergency Response Center Sign Package,"Add an easy identifier to the ERC with this sign and sign holder package. The sign measures 8” x 26"" and is powder-coated metal. It comes with a sign holder and hardware for wall mounting.",E:\IMAGES\ITEMS\product\F\X\Red-Cross-Emergency-Response-Center-Sign- 2.jpg,First Aid Only,"Add an easy identifier to the ERC with this sign and sign holder package. The sign measures 8” x 26"" and is powder-coated metal. It comes with a sign holder and hardware for wall mounting.",,,,Red Cross Emergency Response Center Sign Package,Red Cross Emergency Response Center Sign Package
157|25724,First Aid Kits|First Aid Kits,RC-662,5 Pack Modular SmartPack with Nylon Backpack,"This is a truly comprehensive product that contains a full array of essential supplies to cover a wide range of emergency situations. Comes with five modular packs (water, food, first aid, shelter & weather, and alert) plus a tear-resistant, nylon backpac",E:\IMAGES\ITEMS\product\R\C\5-Pack-Modular-SmartPack-with-Nylon.jpg,First Aid Only,"This is a truly comprehensive product that contains a full array of essential supplies to cover a wide range of emergency situations. Comes with five modular packs (water, food, first aid, shelter & weather, and alert) plus a tear-resistant, nylon backpack. The backpack accommodates all five packs, plus has extra room for personal items.","It Contains:  (1) American Red Cross First Aid Guide (1) Nylon Backpack with Zipper (4) Emergency Drinking Water (1) 2400 Calorie Food Bar (2) Exam-Quality Vinyl Gloves (10) Adhesive Plastic Bandage, 3/4"" x 3"" (10) Junior Plastic Bandages, 3/8"" x 1-1/2"" (2) Patch Plastic Bandage, 1-1/2""x 1-1/2"" (2) Non-Adhesive Bandages, 2"" x 3"" (2) Butterfly Wound Closure  (1) Triangular Sling/Bandage, 36"" x 36"" x 51"" (4) Gauze Dressing Pad, 2"" x 2"" (1) Trauma Pad, 5"" x 9"" (1) Confroming Gauze Roll, 2"" (1) First Aid Tape Roll,1/2"" x 5yd. (3) BZK Antiseptic Towelette (4) Alcohol Cleansing Pad (2) Antibiotic Ointment Packs (2) First Aid Cream packs (1) Lip Ointment (2) Castile Soap Towelette (1) ""CALL 9-1-1"" Banner (1) Flashlight with 2 Batteries (not installed) (2) Light Stick (1) Whistle with Neck Cord (1) Emergency Poncho (1) Emergency Blanket, 52""x 84"" (4) Hand Warmers",,,5 Pack Modular SmartPack with Nylon Backpack,5 Pack Modular SmartPack with Nylon Backpack
157|25724,First Aid Kits|First Aid Kits,RC-612,Personal Safety Emergency Pack,This basic pack contains essential items that employees can use during a catastrophic event such as a natural disaster.,E:\IMAGES\ITEMS\product\R\C\Personal-Safety-Emergency.jpg,First Aid Only,This basic pack contains essential items that employees can use during a catastrophic event such as a natural disaster.,"It Contains:  (5) Adhesive Plastic Bandage, 3/4"" x 3"" (3) Adhesive Fabric Bandage, 3/4"" x 3"" (5) Junior Adhesive Plastic Bandages, 3/8"" x 1-1/2"" (1) Knuckle Fabric Bandage (1) Fingertip Fabric Bandage (2) BZK Antiseptic Towelettes (1) Triple Antibiotic Ointment Packs, 0.5 g (1) Hand Sanitizer Pack, 0.9 g (1) Emergency Drinking Water (1) Emergency Poncho (1) Emergency Blanket (1) Whistle with Neck Cord (1) Light Stick (1) Face Mask",,,Personal Safety Emergency Pack,Personal Safety Emergency Pack
157|25724,First Aid Kits|First Aid Kits,RC-613,Deluxe Personal Safety Emergency Pack,This pack is a larger version of the RC-612 and contains a wider array of essential items that employees can use during a catastrophic event such as a natural disaster.,E:\IMAGES\ITEMS\product\R\C\Deluxe-Personal-Safety-Emergency.jpg,First Aid Only,This pack is a larger version of the RC-612 and contains a wider array of essential items that employees can use during a catastrophic event such as a natural disaster.,"It Contains:  (2) Exam Quality Vinyl Gloves (5) Adhesive Plastic Bandage, 3/4"" x 3"" (3) Adhesive Fabric Bandage, 3/4"" x 3"" (5) Junior Adhesive Plastic Bandages, 3/8"" x 1-1/2"" (1) Knuckle Fabric Bandage (1) Fingertip Fabric Bandage (2) BZK Antiseptic Towelettes (1) Triple Antibiotic Ointment Packs, 0.5 g (1) Hand Sanitizer Pack, 0.9 g (2) Germicidal Wipes (kills germs) (1) Emergency Drinking Water (1) Emergency Poncho (2) Hand Warmers (1) Emergency Blanket (1) Whistle with Neck Cord (1) Light Stick (1) N95 mask",,,Deluxe Personal Safety Emergency Pack,Deluxe Personal Safety Emergency Pack
157|25724,First Aid Kits|First Aid Kits,RC-616,First Aid and Personal Safety Emergency Pack,"This basic pack contains essential items that employees can use during a catastrophic event such as a natural disaster, with an emphasis on first aid supplies.",E:\IMAGES\ITEMS\product\R\C\First-Aid-and-Personal-Safety-Emergency.jpg,First Aid Only,"This basic pack contains essential items that employees can use during a catastrophic event such as a natural disaster, with an emphasis on first aid supplies.","It Contains:  (1) Scissors (2) Exam Quality Vinyl Gloves (5) Adhesive Plastic Bandage, 3/4"" x 3"" (5) Adhesive Plastic Bandage, 1"" x 3"" (5) Junior Adhesive Plastic Bandages, 3/8"" x 1-1/2"" (1) Knuckle Fabric Bandage (1) Fingertip Fabric Bandage (1) Elbow and Knee Plastic Bandages, 2"" x 4"" (1) Patch Bandage, 1-1/2""x 1-1/2"" (2) Gauze Dressing Pad, 3"" x 3"" (1) Trauma Pad, 5"" x 9"" (1) Conforming Gauze Roll, 2"" (1) First Aid Tape Roll (2) BZK Antiseptic Towelettes (1) Triple Antibiotic Ointment Packs, 0.5 g (1) Hydrocortisone Cream Pack, 0.9g (1) Hand Sanitizer Pack, 0.9 g (1) Emergency Blanket (1) Whistle with Neck Cord (1) Face Mask (2) Chewable Aspirin Tablets, 81 mg ea.",,,First Aid and Personal Safety Emergency Pack,First Aid and Personal Safety Emergency Pack
157|25724,First Aid Kits|First Aid Kits,RC-617,Deluxe First Aid and Personal Safety Emergency Pack,This pack is a larger version of the RC-616 and contains a wider array of essential first aid and emergency items that employees can use during a catastrophic event such as a natural disaster.,E:\IMAGES\ITEMS\product\R\C\Deluxe-First-Aid-and-Personal-Safety-Emergency.jpg,First Aid Only,This pack is a larger version of the RC-616 and contains a wider array of essential first aid and emergency items that employees can use during a catastrophic event such as a natural disaster.,"It Contains:  (1) Scissors (2) Exam-Quality Vinyl Gloves (10) Adhesive Plastic Bandage, 3/4"" x 3"" (5) Adhesive Plastic Bandage, 1"" x 3"" (5) Junior Adhesive Plastic Bandages, 3/8"" x 1-1/2"" (2) Knuckle Fabric Bandage (2) Fingertip Fabric Bandage (1) Elbow and Knee Plastic Bandages, 2"" x 4"" (1) Patch Bandage, 1-1/2""x 1-1/2"" (2) Gauze Dressing Pad, 3"" x 3"" (1) Trauma Pad, 5"" x 9"" (1) Confroming Gauze Roll, 2"" (1) First Aid Tape Roll (3) Antiseptic Cleansing Wipe (sting free) (2) Triple Antibiotic Ointment Packs, 0.5 g (1) Hydrocortisone Cream Pack, 0.9g (1) CPR Face Shield (2) Hand Sanitizer Pack, 0.9 g (1) Germicidal Wipes (kills germs) (1) Emergency Blanket (1) Whistle with Neck Cord (2) Face Mask (2) Chewable Asprin Tablets, 81 mg ea.",,,Deluxe First Aid and Personal Safety Emergency Pack,Deluxe First Aid and Personal Safety Emergency Pack
157|25724,First Aid Kits|First Aid Kits,RC-651,Deluxe Germ Guard Personal Protection Pack With N95 Masks,"This 22-piece pack contains twice the supplies of the RC-650, including two (2) N95 masks.",E:\IMAGES\ITEMS\product\R\C\Deluxe-Germ-Guard-Personal-Protection-Pack-With-N95.jpg,First Aid Only,"This 22-piece pack contains twice the supplies of the RC-650, including two (2) N95 masks.","It Contains:  (12) Antimicrobial Cleansing Wipes  (4) Exam Quality Vinyl Gloves, 1 pair  (2) N95 Particulate Mask  (2) Sanitizing Gel, 1 oz.  (2) Tissue Pack",,,Deluxe Germ Guard Personal Protection Pack With N95 Masks,Deluxe Germ Guard Personal Protection Pack With N95 Masks
157|25724,First Aid Kits|First Aid Kits,RC-652,Germ Guard Personal Protection Pack With Procedural Masks,"This 14-piece pack contains supplies that effectively minimize exposure to airborne particles such as flying debris, smoke, and germs. Contains a procedural mask, which provides good filtration to protect against bacteria.",E:\IMAGES\ITEMS\product\R\C\Germ-Guard-Personal-Protection-Pack-With-Procedural.jpg,First Aid Only,"This 14-piece pack contains supplies that effectively minimize exposure to airborne particles such as flying debris, smoke, and germs. Contains a procedural mask, which provides good filtration to protect against bacteria.","It Contains:  (6) Antimicrobial Cleansing Wipes  (2) Exam Quality Vinyl Gloves, 1 pair (4) Face Mask (1) Sanitizing Gel, 1 oz.  (1) Tissue Pack",,,Germ Guard Personal Protection Pack With Procedural Masks,Germ Guard Personal Protection Pack With Procedural Masks
157|25724,First Aid Kits|First Aid Kits,FX-203,3-Unit Rack for Large Responder Packs,This 3-unit wall rack is designed to accommodate the responder packs of the Emergency Response Line,E:\IMAGES\ITEMS\product\F\X\3-Unit-Rack-for-Large-Responder.jpg,First Aid Only,This 3-unit wall rack is designed to accommodate the responder packs of the Emergency Response Line,"Employees and/or first responders can access the packs by simply grasping them and pulling them out. Rack is made of powder-coated, structural steel (which has high tensile strength) and comes with hardware for wall mounting.",,,3-Unit Rack for Large Responder Packs,3-Unit Rack for Large Responder Packs
