category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
720|24964,Circular Saw Blades|Circular Saw Blades,D0516X,"Diablo Framing Saw Blade 5-3/8""","Diablo 4"" to 5-3/8"" Saw Blade Framing",E:\IMAGES\ITEMS\product\D\i\Diablo-Framing-Saw.jpg,Freud,,"Ideal for general construction applications, including fast, efficient ripping and crosscutting.","This blade cuts rough framing lumber, high quality finish lumber, plywood, OSB, and hardboard siding with the smoothest, fastest and most accurate cut. The thin kerf design requires less cutting power from the user and the saw for better control over the cut. Diablo's unique design, extra-tough steel plate and proprietary carbide tips deliver longer life - and frames more houses - than other framing blades.",,"5-3/8"", Trim Saw, 16 ATB, 10mm Arbor, .049 Kerf, 18º Hook Angle","Diablo Framing Saw Blade 5-3/8"""
720|24964,Circular Saw Blades|Circular Saw Blades,D0436X,"Diablo Finishing Saw Blade 4-3/8""",Diablo Finishing Saw Blade,E:\IMAGES\ITEMS\product\D\i\Diablo-Finishing-Saw.jpg,Freud,,"Ideal for smooth finish crosscuts in hardwood, softwood or plywood.","Diablo Finish blades are the perfect choice for excellent rips and crosscuts using a portable saw. They deliver a smoother edge than framing blades, but still provide an excellent combination of cutting speed and long life. A great choice for jobsite finish cuts in 1X, decking, fencing, fascia and plywood.",,"4-3/8"", Trim Saw, 36 ATB, 20mm Arbot, .049 Kerf, 5"" Hook Angle","Diablo Finishing Saw Blade 4-3/8"""
720|24964,Circular Saw Blades|Circular Saw Blades,D0860S,"Diablo Fine Finish Saw Blade 8-1/2""",Diablo Fine Finish Saw Blade,E:\IMAGES\ITEMS\product\D\i\Diablo-Fine-Finish-Saw.jpg,Freud,,"Ideal for trim carpenters, Diablo Fine Finish Blades leave a smooth surface that requires little to no sanding.","Fine Finish blades let trim crews get the most out of sliding or ""chop"" style miter saws, as well as jobsite or workshop table saws. The special cutting geometry and high tooth count produce extremely smooth cuts while minimizing ""grabbing"" or blowout. (Blades ending in ""S"" are also ideal for radial arm saws).",,"8-1/2"", Miter / Slide Miter Saw, 60 ATB, 5/8"" Arbor, .087 Kerf, 7º Hook Angle","Diablo Fine Finish Saw Blade 8-1/2"""
720|24964,Circular Saw Blades|Circular Saw Blades,D0760X/A,"Diablo Ultra Fine Finish Saw Blade 7-1/4""",Diablo Ultra Fine Finish Saw Blade,E:\IMAGES\ITEMS\product\D\i\Diablo-Ultra-Fine-Finish-Saw.jpg,Freud,,"Ideal for crosscutting oak, pine, melamine, veneer plywood and delicate molding.","The Diablo Ultra Finish Blades offer the quality that fine cabinetmakers expect with the capability to handle the extreme conditions of professional construction. Used in miter saws or table saws, this blade produces a remarkably clean, chip-free cut that requires little to no sanding.",,"7-1/4"", Circular Saw, 60 ATB, 5/8"" Arbor, .059 Kerf, 10º Hook Angle","Diablo Ultra Fine Finish Saw Blade 7-1/4"""
720|24964,Circular Saw Blades|Circular Saw Blades,D0738FM,"Diablo D0738M Steel Demon Ferrous Metals Saw Blade 7""","Diabloe Steel Demon Ferrous Metals Saw Blade (less than 7"")",E:\IMAGES\ITEMS\product\D\i\Diabloe-Steel-Demon-Ferrous-Metals-Saw.jpg,Freud,,"Ideal for cutting steel studs, steel sheet, steel pipe and other mild steel sections.","New Steel Demon® blades efficiently cut through ferrous metals quickly and accurately leaving clean, burr free cuts. These blades feature teeth with Triple Chip Grind (TCG) and a special carbide blend with outstanding resistance to the high impact generated by steel cutting. Freud's expanded Steel Demon range includes blades for all popular low RPM metal cutting saws as well as conventional 6-1/2"" and 7-1/4"" portable circular saws. (note that all blades are for mild steel only. Most blades are for steel 1/8"" thick or less, except for the D0738F, D0738FM, D1260F and D1472F which are ideal for steel with a wall thickness of 1/4"" or less.)",,"7"", For Evolution, Jancy, Morse & Similar Metal Cutting Saws, 38 TCG, 20mm Arbor, .102 Kerf, 2º Hook Angle","Diablo D0738M Steel Demon Ferrous Metals Saw Blade 7"""
720|24964,Circular Saw Blades|Circular Saw Blades,D0530F,"Diablo Steel Demon Ferrous Metals Saw Blade 5-3/8""","Diablo Steel Demon Ferrous Metals Saw Blade (7"" to 7 1/4"")",E:\IMAGES\ITEMS\product\D\i\Diablo-Steel-Demon-Ferrous-Metals-Saw-Blade-7-to-7.jpg,Freud,,"Ideal for cutting steel studs, steel sheet, steel pipe and other mild steel sections.","New Steel Demon® blades efficiently cut through ferrous metals quickly and accurately leaving clean, burr free cuts. These blades feature teeth with Triple Chip Grind (TCG) and a special carbide blend with outstanding resistance to the high impact generated by steel cutting. Freud's expanded Steel Demon range includes blades for all popular low RPM metal cutting saws as well as conventional 6-1/2"" and 7-1/4"" portable circular saws. (note that all blades are for mild steel only. Most blades are for steel 1/8"" thick or less, except for the D0738F, D0738FM, D1260F and D1472F which are ideal for steel with a wall thickness of 1/4"" or less.)",,"5-3/8"", Circular Saw, 30 TCG, 10mm Arbor, .059 Kerf, 2º Hook Angle","Diablo Steel Demon Ferrous Metals Saw Blade 5-3/8"""
720|24964,Circular Saw Blades|Circular Saw Blades,D0848F,"Diablo Steel Demon Ferrous Metals Saw Blade 8""","Diablo Steel Demon Ferrous Metals Saw Blade (equal to / more than 8"")",E:\IMAGES\ITEMS\product\D\i\Diablo-Steel-Demon-Ferrous-Metals-Saw-Blade-equal-to-more.jpg,Freud,,"Ideal for cutting steel studs, steel sheet, steel pipe and other mild steel sections.","New Steel Demon® blades efficiently cut through ferrous metals quickly and accurately leaving clean, burr free cuts. These blades feature teeth with Triple Chip Grind (TCG) and a special carbide blend with outstanding resistance to the high impact generated by steel cutting. Freud's expanded Steel Demon range includes blades for all popular low RPM metal cutting saws as well as conventional 6-1/2"" and 7-1/4"" portable circular saws. (note that all blades are for mild steel only. Most blades are for steel 1/8"" thick or less, except for the D0738F, D0738FM, D1260F and D1472F which are ideal for steel with a wall thickness of 1/4"" or less.)",,"8"", Circular Saw, 48 TCG, 5/8"" Arbor, .071 Kerf, 2º Hook Angle","Diablo Steel Demon Ferrous Metals Saw Blade 8"""
720|24964,Circular Saw Blades|Circular Saw Blades,D0724DA,"Diablo Framing / Demolition Saw Blade 7-1/4""",Diablo Framing / Demolition Saw Blade,E:\IMAGES\ITEMS\product\D\i\Diablo-Framing-Demolition-Saw.jpg,Freud,,Ideal for extreme framing and demolition applications,"Specially formulated to deliver superior cutting life and durability, the Demo Demon delivers up to six times the life of standard blades in extreme situations. The blade is designed to provide exceptional performance and impact resistance through its radical new LOCK-TOOTH™ design and special DURA-BLEND™ TiCo™ carbide. Demo Demon's advanced PYRAMID TOOTH GEOMETRY™, a high-performance three-tooth grind sequence, provides superior tracking control for effortless cuts.",,"7-1/4"", Circular Saw, 24 PYR, 5/8"" Arbor, .059 Kerf, 15º Hook Angle","Diablo Framing / Demolition Saw Blade 7-1/4"""
720|24964,Circular Saw Blades|Circular Saw Blades,D0756N,"Diablo Non-Ferrous Metals / Plastics Saw Blades 7-1/4""",Diablo Non-Ferrous Metals / Plastics Saw Blades,E:\IMAGES\ITEMS\product\D\i\Diablo-Non-Ferrous-Metals-Plastics-Saw.jpg,Freud,,"Ideal for on-the-job cutting of nonferrous metal such as copper pipe, aluminum extrusions, brass plate, and Plastics.","These thin kerf blades have a Triple Chip Grind (TCG) Tooth Design for long life and a clean, burr-free finish. Diablo's unique anti-vibration design and precision-tensioned steel plate provide critical protection against vibration, allowing these blades to cut smoother and quieter.",,"7-1/4"", Circular Saw, 56 TCG, 5/8"" Arbor, .106 Kerf, -6º Hook Angle","Diablo Non-Ferrous Metals / Plastics Saw Blades 7-1/4"""
720|24964,Circular Saw Blades|Circular Saw Blades,D0704DH (PCD),"Diablo Fiber Cement Saw Blade 7-1/4""",Diablo Fiber Cement Saw Blade,E:\IMAGES\ITEMS\product\D\i\Diablo-Fiber-Cement-Saw.jpg,Freud,,Ideal for all fiber cement products.,"Diablo HardieBlade™ is the only approved PCD (PolyCrystalline Diamond) tipped fiber cement blade recommended by James Hardie Building Products. Diablo Fiber Cement Blades generate up to 50% less respirable dust*, while delivering the longest life in all fiber cement materials. Diablo PCD Hardieblades feature a unique, spark-eroded Triple Chip grind for long life - up to 60 times the life in fiber cement of conventional carbide blades Diablo PCD Hardieblades are perfect for full time use in heavy duty applications like cutting multiple pieces of fiber cement board.",,"7-1/4"", Circular Saw, 4 TCG (PCD), 5/8"" Arbor, .071 Kerf, 10º Hook Angle","Diablo Fiber Cement Saw Blade 7-1/4"""
720|24964,Circular Saw Blades|Circular Saw Blades,D0840S,"Diablo General Purpose Saw Blade 8 to 8-1/4""",Diablo General Purpose Saw Blade,E:\IMAGES\ITEMS\product\D\i\Diablo-General-Purpose-Saw.jpg,Freud,,"Ideal for cutting oak, pine, plywood, pressure treated lumber and beams.","An excellent choice for table & miter saws, this blade leaves a smooth cut in a variety of applications, reducing the need to change blades between tasks. Use it for rip cuts with a smoother finish than dedicated ripping blades, or make quality crosscuts in solid wood or plywood. Great for both sliding and ""chop"" style miter saws as well as table saws.",,"8 to 8-1/4"", Miter / Slide Miter Saw, 40 ATB, 5/8"" Arbor, .094 Kerf, 15º Hook Angle","Diablo General Purpose Saw Blade 8 to 8-1/4"""
720|24964,Circular Saw Blades|Circular Saw Blades,D1024X,"Diablo 1024X Ripping Saw Blade 10""",Diablo Ripping Saw Blade,E:\IMAGES\ITEMS\product\D\i\Diablo-Ripping-Saw.jpg,Freud,,"Ideal for general construction applications, including fast, efficient ripping and crosscutting","This blade cuts rough framing lumber, high quality finish lumber, plywood, OSB, and hardboard siding with the smoothest, fastest and most accurate cut. The thin kerf design requires less cutting power from the user and the saw for better control over the cut. Diablo's unique design, extra-tough steel plate and proprietary carbide tips deliver longer life - and frames more houses - than other framing blades.",,"10"", Table Saw, 24 ATB, 5/8"" Arbor, .098 Kerf, 15º Hook Angle","Diablo 1024X Ripping Saw Blade 10"""
720|24964,Circular Saw Blades|Circular Saw Blades,D1050X,"Diablo Combination Saw Blade 10""",Diablo Combination Saw Blade,E:\IMAGES\ITEMS\product\D\i\Diablo-Combination-Saw.jpg,Freud,,Ideal for ripping and crosscutting wood & wood composites with the goal of a smooth finish.,The best choice for a table saw when one blade is needed for ripping and crosscutting. Each set of 5 teeth is separated by a large gullet. This large gullet provides the chip removal space required while ripping and the close grouping of teeth within the set provide the smaller bite size required when crosscutting.,,"10"", Miter / Table Saw, 50 ATB, 5/8"" Arbor, .098 Kerf, 15º Hook Angle","Diablo Combination Saw Blade 10"""
720|24964,Circular Saw Blades|Circular Saw Blades,D1084L,"Diablo Melamine / Laminate / Laminate Flooring Blade 10""",Diablo Melamine / Laminate / Laminate Flooring Blade,E:\IMAGES\ITEMS\product\D\i\Diablo-Melamine-Laminate-Laminate-Flooring.jpg,Freud,,Ideal for Melamine/Laminate/Laminate Flooring.,"The thin kerf, Triple Chip Grind (TCG) Tooth Design is specially designed to cut laminate flooring (Pergo®, Armstrong®, Swiftlock®) and double-sided laminates and melamines cleanly, leaving a smooth finish with no tear out. Laminated materials are highly abrasive, so these blades feature a TiCo™ carbide blend ideally suited to harsh service. Note: laminate flooring should only be cut with a sliding miter saw or table saw (never with a ""chop"" style saw).",,"10"", Miter / Slider Miter / Table Saw, 84 TCG, 5/8"" Arbor, .098 Kerf, 5º Hook Angle","Diablo Melamine / Laminate / Laminate Flooring Blade 10"""
720|24964,Circular Saw Blades|Circular Saw Blades,D0536X,"Diablo Finishing Saw Blade 5-3/8""",Diablo Finishing Saw Blade,E:\IMAGES\ITEMS\product\D\i\Diablo-Finishing-Saw.jpg,Freud,"Diablo D0536X Finishing Saw Blade 5-3/8""","Ideal for smooth finish crosscuts in hardwood, softwood or plywood.","Diablo Finish blades are the perfect choice for excellent rips and crosscuts using a portable saw. They deliver a smoother edge than framing blades, but still provide an excellent combination of cutting speed and long life. A great choice for jobsite finish cuts in 1X, decking, fencing, fascia and plywood.",,"5-3/8"", Trim Saw, 36 ATB, 10mm Arbor, .049 Kerf, 2"" Hook Angle","Diablo Finishing Saw Blade 5-3/8"""
720|24964,Circular Saw Blades|Circular Saw Blades,D0640X,"Diablo Finishing Saw Blade 6""",Diablo Finishing Saw Blade,E:\IMAGES\ITEMS\product\D\i\Diablo-Finishing-Saw.jpg,Freud,"Diablo D0640X Finishing Saw Blade 6""","Ideal for smooth finish crosscuts in hardwood, softwood or plywood.","Diablo Finish blades are the perfect choice for excellent rips and crosscuts using a portable saw. They deliver a smoother edge than framing blades, but still provide an excellent combination of cutting speed and long life. A great choice for jobsite finish cuts in 1X, decking, fencing, fascia and plywood.",,"6"", Port-Cable Saw Boss, 40 ATB, 1/2"" Arbor, .049 Kerf, 18º Hook Angle","Diablo Finishing Saw Blade 6"""
720|24964,Circular Saw Blades|Circular Saw Blades,D0641X,"Diablo Finishing Saw Blade 6-1/2""",Diablo Finishing Saw Blade,E:\IMAGES\ITEMS\product\D\i\Diablo-Finishing-Saw.jpg,Freud,"Diablo D0641X Finishing Saw Blade 6-1/2""","Ideal for smooth finish crosscuts in hardwood, softwood or plywood.","Diablo Finish blades are the perfect choice for excellent rips and crosscuts using a portable saw. They deliver a smoother edge than framing blades, but still provide an excellent combination of cutting speed and long life. A great choice for jobsite finish cuts in 1X, decking, fencing, fascia and plywood.",,"6-1/2"", Circular Saw, 40 ATB, 5/8"" Arbor, .059 Kerf, 15º Hook Angle","Diablo Finishing Saw Blade 6-1/2"""
720|24964,Circular Saw Blades|Circular Saw Blades,D0740X/A,"Diablo Finishing Saw Blade 7-1/4""",Diablo Finishing Saw Blade,E:\IMAGES\ITEMS\product\D\i\Diablo-Finishing-Saw.jpg,Freud,"Diablo D0740X/A Finishing Saw Blade 7-1/4""","Ideal for smooth finish crosscuts in hardwood, softwood or plywood.","Diablo Finish blades are the perfect choice for excellent rips and crosscuts using a portable saw. They deliver a smoother edge than framing blades, but still provide an excellent combination of cutting speed and long life. A great choice for jobsite finish cuts in 1X, decking, fencing, fascia and plywood.",,"7-1/4"", Circular Saw, 40 ATB, 5/8"" Arbor, .059 Kerf, 15º Hook Angle","Diablo Finishing Saw Blade 7-1/4"""
720|24964,Circular Saw Blades|Circular Saw Blades,D0840X,"Diablo Finishing Saw Blade 8 to 8-1/4""",Diablo Finishing Saw Blade,E:\IMAGES\ITEMS\product\D\i\Diablo-Finishing-Saw.jpg,Freud,"Diablo D0840X Finishing Saw Blade 8 to 8-1/4""","Ideal for smooth finish crosscuts in hardwood, softwood or plywood.","Diablo Finish blades are the perfect choice for excellent rips and crosscuts using a portable saw. They deliver a smoother edge than framing blades, but still provide an excellent combination of cutting speed and long life. A great choice for jobsite finish cuts in 1X, decking, fencing, fascia and plywood.",,"8 to 8-1/4"", Circular Saw, 40 ATB, 5/8"" Arbor, .094 Kerf, 15º Hook Angle","Diablo Finishing Saw Blade 8 to 8-1/4"""
720|24964,Circular Saw Blades|Circular Saw Blades,D0524X,"Diablo Framing Saw Blade 5-3/8""","Diablo 4"" to 5-3/8"" Saw Blade Framing",E:\IMAGES\ITEMS\product\D\i\Diablo-Framing-Saw.jpg,Freud,"Diablo D0524X Framing Saw Blade 5-3/8""","Ideal for general construction applications, including fast, efficient ripping and crosscutting.","This blade cuts rough framing lumber, high quality finish lumber, plywood, OSB, and hardboard siding with the smoothest, fastest and most accurate cut. The thin kerf design requires less cutting power from the user and the saw for better control over the cut. Diablo's unique design, extra-tough steel plate and proprietary carbide tips deliver longer life - and frames more houses - than other framing blades.",,"5-3/8"", Trim Saw, 24 ATB, 10mm Arbor, .049 Kerf, 18º Hook Angle","Diablo Framing Saw Blade 5-3/8"""
720|24964,Circular Saw Blades|Circular Saw Blades,D0620X,"Diablo Framing Saw Blade 6""","Diablo 4"" to 5-3/8"" Saw Blade Framing",E:\IMAGES\ITEMS\product\D\i\Diablo-Framing-Saw.jpg,Freud,"Diablo D0620X Framing Saw Blade 6""","Ideal for general construction applications, including fast, efficient ripping and crosscutting.","This blade cuts rough framing lumber, high quality finish lumber, plywood, OSB, and hardboard siding with the smoothest, fastest and most accurate cut. The thin kerf design requires less cutting power from the user and the saw for better control over the cut. Diablo's unique design, extra-tough steel plate and proprietary carbide tips deliver longer life - and frames more houses - than other framing blades.",,"6"", Port-Cable Saw Boss, 20 ATB, 1/2"" Arbor, .049 Kerf, 18º Hook Angle","Diablo Framing Saw Blade 6"""
720|24964,Circular Saw Blades|Circular Saw Blades,D0624X/A,"Diablo Framing Saw Blade 6-1/2""","Diablo 4"" to 5-3/8"" Saw Blade Framing",E:\IMAGES\ITEMS\product\D\i\Diablo-Framing-Saw.jpg,Freud,"Diablo D0624X/A Framing Saw Blade 6-1/2""","Ideal for general construction applications, including fast, efficient ripping and crosscutting.","This blade cuts rough framing lumber, high quality finish lumber, plywood, OSB, and hardboard siding with the smoothest, fastest and most accurate cut. The thin kerf design requires less cutting power from the user and the saw for better control over the cut. Diablo's unique design, extra-tough steel plate and proprietary carbide tips deliver longer life - and frames more houses - than other framing blades.",,"6-1/2"", Circular Saw, 24 ATB, 5/8"" Arbor, .059 Kerf, 18º Hook Angle","Diablo Framing Saw Blade 6-1/2"""
720|24964,Circular Saw Blades|Circular Saw Blades,D0724X/A,"Diablo Framing Saw Blade 7-1/4""","Diablo 4"" to 5-3/8"" Saw Blade Framing",E:\IMAGES\ITEMS\product\D\i\Diablo-Framing-Saw.jpg,Freud,"Diablo D0724X/A Framing Saw Blade 7-1/4""","Ideal for general construction applications, including fast, efficient ripping and crosscutting.","This blade cuts rough framing lumber, high quality finish lumber, plywood, OSB, and hardboard siding with the smoothest, fastest and most accurate cut. The thin kerf design requires less cutting power from the user and the saw for better control over the cut. Diablo's unique design, extra-tough steel plate and proprietary carbide tips deliver longer life - and frames more houses - than other framing blades.",,"7-1/4"", Circular Saw, 24 ATB, 5/8"" Arbor, .059 Kerf, 15º Hook Angle","Diablo Framing Saw Blade 7-1/4"""
