category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG10-S,Economy Grade Polyurethane/Polyester Glove - S,,E:\IMAGES\ITEMS\product\P\U\global-glove-pug10-s-economy-grade-polyurethanepolyester-glove-s.jpg,Global Glove,Economy Grade Polyurethane/Polyester Glove - S,Excellent tactile dexterity and sensitivityPolyurethane coating provides superior dry grip,"Economy grade gray polyurethane on black polyester. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged.",879015002570.0,Size - S,Economy Grade Polyurethane/Polyester Glove - S
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG10-M,Economy Grade Polyurethane/Polyester Glove - M,,E:\IMAGES\ITEMS\product\P\U\global-glove-pug10-m-economy-grade-polyurethanepolyester-glove-m.jpg,Global Glove,Economy Grade Polyurethane/Polyester Glove - M,Excellent tactile dexterity and sensitivityPolyurethane coating provides superior dry grip,"Economy grade gray polyurethane on black polyester. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged.",,Size - M,Economy Grade Polyurethane/Polyester Glove - M
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG10-L,Economy Grade Polyurethane/Polyester Glove - L,,E:\IMAGES\ITEMS\product\P\U\global-glove-pug10-l-economy-grade-polyurethanepolyester-glove-l.jpg,Global Glove,Economy Grade Polyurethane/Polyester Glove - L,Excellent tactile dexterity and sensitivityPolyurethane coating provides superior dry grip,"Economy grade gray polyurethane on black polyester. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged.",,Size - L,Economy Grade Polyurethane/Polyester Glove - L
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG10-XL,Economy Grade Polyurethane/Polyester Glove - Xl,,E:\IMAGES\ITEMS\product\P\U\global-glove-pug10-xl-economy-grade-polyurethanepolyester-glove-xl.jpg,Global Glove,Economy Grade Polyurethane/Polyester Glove - Xl,Excellent tactile dexterity and sensitivityPolyurethane coating provides superior dry grip,"Economy grade gray polyurethane on black polyester. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged.",,Size - XL,Economy Grade Polyurethane/Polyester Glove - Xl
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG11-S,Polyurethane/Nylon Glove - S,,E:\IMAGES\ITEMS\product\P\U\global-glove-pug11-s-polyurethanenylon-glove-s.jpg,Global Glove,Polyurethane/Nylon Glove - S,Excellent tactile dexterity and sensitivityUltra lite nylon shell for comfortPolyurethane coating provides superior dry grip,"White polyurethane on Hi-Viz neon 13 gauge nylon. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged.",810472022450.0,Size - S,Polyurethane/Nylon Glove - S
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG11-M,Polyurethane/Nylon Glove - M,,E:\IMAGES\ITEMS\product\P\U\global-glove-pug11-m-polyurethanenylon-glove-m.jpg,Global Glove,Polyurethane/Nylon Glove - M,Excellent tactile dexterity and sensitivityUltra lite nylon shell for comfortPolyurethane coating provides superior dry grip,"White polyurethane on Hi-Viz neon 13 gauge nylon. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged.",,Size - M,Polyurethane/Nylon Glove - M
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG11-L,Polyurethane/Nylon Glove - L,,E:\IMAGES\ITEMS\product\P\U\global-glove-pug11-l-polyurethanenylon-glove-l.jpg,Global Glove,Polyurethane/Nylon Glove - L,Excellent tactile dexterity and sensitivityUltra lite nylon shell for comfortPolyurethane coating provides superior dry grip,"White polyurethane on Hi-Viz neon 13 gauge nylon. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged.",,Size - L,Polyurethane/Nylon Glove - L
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG11-XL,Polyurethane/Nylon Glove - Xl,,E:\IMAGES\ITEMS\product\P\U\global-glove-pug11-xl-polyurethanenylon-glove-xl.jpg,Global Glove,Polyurethane/Nylon Glove - Xl,Excellent tactile dexterity and sensitivityUltra lite nylon shell for comfortPolyurethane coating provides superior dry grip,"White polyurethane on Hi-Viz neon 13 gauge nylon. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged.",,Size - XL,Polyurethane/Nylon Glove - Xl
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG17-XS,"Polyurethane/Nylon Glove, Black - Xs",,E:\IMAGES\ITEMS\product\P\U\global-glove-pug17-xs-polyurethanenylon-glove-black-xs.jpg,Global Glove,"Polyurethane/Nylon Glove, Black - Xs",Excellent tactile dexterity and sensitivityUltra lite nylon shell for comfortPolyurethane coating provides superior dry grip,"Black polyurethane on black 13 gauge nylon. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged",,Size - XS,"Polyurethane/Nylon Glove, Black - Xs"
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG17-S,"Polyurethane/Nylon Glove, Black - S",,E:\IMAGES\ITEMS\product\P\U\global-glove-pug17-s-polyurethanenylon-glove-black-s.jpg,Global Glove,"Polyurethane/Nylon Glove, Black - S",Excellent tactile dexterity and sensitivityUltra lite nylon shell for comfortPolyurethane coating provides superior dry grip,"Black polyurethane on black 13 gauge nylon. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged",,Size - S,"Polyurethane/Nylon Glove, Black - S"
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG17-M,"Polyurethane/Nylon Glove, Black - M",,E:\IMAGES\ITEMS\product\P\U\global-glove-pug17-m-polyurethanenylon-glove-black-m.jpg,Global Glove,"Polyurethane/Nylon Glove, Black - M",Excellent tactile dexterity and sensitivityUltra lite nylon shell for comfortPolyurethane coating provides superior dry grip,"Black polyurethane on black 13 gauge nylon. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged",,Size - M,"Polyurethane/Nylon Glove, Black - M"
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG17-L,"Polyurethane/Nylon Glove, Black - L",,E:\IMAGES\ITEMS\product\P\U\global-glove-pug17-l-polyurethanenylon-glove-black-l.jpg,Global Glove,"Polyurethane/Nylon Glove, Black - L",Excellent tactile dexterity and sensitivityUltra lite nylon shell for comfortPolyurethane coating provides superior dry grip,"Black polyurethane on black 13 gauge nylon. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged",,Size - L,"Polyurethane/Nylon Glove, Black - L"
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG17-XL,"Polyurethane/Nylon Glove, Black - Xl",,E:\IMAGES\ITEMS\product\P\U\global-glove-pug17-xl-polyurethanenylon-glove-black-xl.jpg,Global Glove,"Polyurethane/Nylon Glove, Black - Xl",Excellent tactile dexterity and sensitivityUltra lite nylon shell for comfortPolyurethane coating provides superior dry grip,"Black polyurethane on black 13 gauge nylon. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged",,Size - XL,"Polyurethane/Nylon Glove, Black - Xl"
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG17-2XL,"Polyurethane/Nylon Glove, Black - 2Xl",,E:\IMAGES\ITEMS\product\P\U\global-glove-pug17-2xl-polyurethanenylon-glove-black-2xl.jpg,Global Glove,"Polyurethane/Nylon Glove, Black - 2Xl",Excellent tactile dexterity and sensitivityUltra lite nylon shell for comfortPolyurethane coating provides superior dry grip,"Black polyurethane on black 13 gauge nylon. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged",,Size - 2XL,"Polyurethane/Nylon Glove, Black - 2Xl"
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG17-3XL,"Polyurethane/Nylon Glove, Black - 3Xl",,E:\IMAGES\ITEMS\product\P\U\global-glove-pug17-3xl-polyurethanenylon-glove-black-3xl.jpg,Global Glove,"Polyurethane/Nylon Glove, Black - 3Xl",Excellent tactile dexterity and sensitivityUltra lite nylon shell for comfortPolyurethane coating provides superior dry grip,"Black polyurethane on black 13 gauge nylon. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged",,Size - 3XL,"Polyurethane/Nylon Glove, Black - 3Xl"
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG13-TS-S,Gray Polyurethane Touch Screen Compatible Glove - S,,E:\IMAGES\ITEMS\product\P\U\global-glove-pug13-ts-s-gray-polyurethane-touch-screen-compatible-glove-s.jpg,Global Glove,Gray Polyurethane Touch Screen Compatible Glove - S,Excellent tactile dexterity and sensitivityUltra lite nylon shell for comfortPolyurethane coating provides superior dry grip3 finger touch responsive fingertips for touch screen device,"Gray polyurethane on gray 13 gauge nylon with 3 finger touch screen responsive fingertips perfect for controlling cell phones, tablets and All-in-One computer systems. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity",,Size - S,Gray Polyurethane Touch Screen Compatible Glove - S
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG13-TS-M,Gray Polyurethane Touch Screen Compatible Glove - M,,E:\IMAGES\ITEMS\product\P\U\global-glove-pug13-ts-m-gray-polyurethane-touch-screen-compatible-glove-m.jpg,Global Glove,Gray Polyurethane Touch Screen Compatible Glove - M,Excellent tactile dexterity and sensitivityUltra lite nylon shell for comfortPolyurethane coating provides superior dry grip3 finger touch responsive fingertips for touch screen device,"Gray polyurethane on gray 13 gauge nylon with 3 finger touch screen responsive fingertips perfect for controlling cell phones, tablets and All-in-One computer systems. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity",,Size - M,Gray Polyurethane Touch Screen Compatible Glove - M
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG13-TS-L,Gray Polyurethane Touch Screen Compatible Glove - L,,E:\IMAGES\ITEMS\product\P\U\global-glove-pug13-ts-l-gray-polyurethane-touch-screen-compatible-glove-l.jpg,Global Glove,Gray Polyurethane Touch Screen Compatible Glove - L,Excellent tactile dexterity and sensitivityUltra lite nylon shell for comfortPolyurethane coating provides superior dry grip3 finger touch responsive fingertips for touch screen device,"Gray polyurethane on gray 13 gauge nylon with 3 finger touch screen responsive fingertips perfect for controlling cell phones, tablets and All-in-One computer systems. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity",,Size - L,Gray Polyurethane Touch Screen Compatible Glove - L
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG13-TS-XL,Gray Polyurethane Touch Screen Compatible Glove - Xl,,E:\IMAGES\ITEMS\product\P\U\global-glove-pug13-ts-xl-gray-polyurethane-touch-screen-compatible-glove-xl.jpg,Global Glove,Gray Polyurethane Touch Screen Compatible Glove - Xl,Excellent tactile dexterity and sensitivityUltra lite nylon shell for comfortPolyurethane coating provides superior dry grip3 finger touch responsive fingertips for touch screen device,"Gray polyurethane on gray 13 gauge nylon with 3 finger touch screen responsive fingertips perfect for controlling cell phones, tablets and All-in-One computer systems. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity",,Size - XL,Gray Polyurethane Touch Screen Compatible Glove - Xl
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG13-XS,"Polyurethane/Nylon Glove, Gray - Xs",,E:\IMAGES\ITEMS\product\P\U\global-glove-pug13-xs-polyurethanenylon-glove-gray-xs.jpg,Global Glove,"Polyurethane/Nylon Glove, Gray - Xs",Excellent tactile dexterity and sensitivityUltra lite nylon shell for comfortPolyurethane coating provides superior dry grip,"Gray polyurethane on gray 13 gauge nylon. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged.",,Size - XS,"Polyurethane/Nylon Glove, Gray - Xs"
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG13-S,"Polyurethane/Nylon Glove, Gray - S",,E:\IMAGES\ITEMS\product\P\U\global-glove-pug13-s-polyurethanenylon-glove-gray-s.jpg,Global Glove,"Polyurethane/Nylon Glove, Gray - S",Excellent tactile dexterity and sensitivityUltra lite nylon shell for comfortPolyurethane coating provides superior dry grip,"Gray polyurethane on gray 13 gauge nylon. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged.",85854213165.0,Size - S,"Polyurethane/Nylon Glove, Gray - S"
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG13-M,"Polyurethane/Nylon Glove, Gray - M",,E:\IMAGES\ITEMS\product\P\U\global-glove-pug13-m-polyurethanenylon-glove-gray-m.jpg,Global Glove,"Polyurethane/Nylon Glove, Gray - M",Excellent tactile dexterity and sensitivityUltra lite nylon shell for comfortPolyurethane coating provides superior dry grip,"Gray polyurethane on gray 13 gauge nylon. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged.",,Size - M,"Polyurethane/Nylon Glove, Gray - M"
1754|25808,Safety Latex | Coated Gloves|Coated Gloves,PUG13-L,"Polyurethane/Nylon Glove, Gray - L",,E:\IMAGES\ITEMS\product\P\U\global-glove-pug13-l-polyurethanenylon-glove-gray-l.jpg,Global Glove,"Polyurethane/Nylon Glove, Gray - L",Excellent tactile dexterity and sensitivityUltra lite nylon shell for comfortPolyurethane coating provides superior dry grip,"Gray polyurethane on gray 13 gauge nylon. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged.",,Size - L,"Polyurethane/Nylon Glove, Gray - L"
