category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1751|26729,Epoxy Adhesive|Concrete Epoxy Adhesive,4200102,Epoxy Serious Strength,"Gorilla takes epoxy to a new level, the Gorilla tough level. Easy to dispense, and use, Gorilla Epoxy brings a strong, long-lasting bond for household and automotive repairs, alike. The two-part, gap-filling formula easily bonds steel, aluminum, wood, cer",E:\IMAGES\ITEMS\product\4\2\Gorilla-4200102-Epoxy-Serious.jpg,"Gorilla Glue, Inc.","Gorilla takes epoxy to a new level, the Gorilla tough level. Easy to dispense, and use, Gorilla Epoxy brings a strong, long-lasting bond for household and automotive repairs, alike. The two-part, gap-filling formula easily bonds steel, aluminum, wood, ceramic, tile and much more.","Gorilla Strong: Incredible performance for the toughest jobs. Dries Crystal Clear: Ideal fir clean, easy finishing. 5-Minute Set: Plenty of repositioning time for the perfect fit. Gap Filling: Fills voids and bonds uneven and vertical surfaces. Superior Water Resistant: Withstands moderate exposure to water. Easy-To-Use Syringe: Separate barrels of resin and hardener keep epoxy from hardening, plus syringe dispenses evenly and includes a cap for multiple uses. Solvent Resistant: Will not break down from exposure to common solvents. Low Voc and Non-Toxic Once Cured: Safe for everyday handling.",,,Epoxy Serious Strength,Epoxy Serious Strength
1804|24365,Brass Fittings|Brass Pipe Fittings,50004,Gorilla Glue,"The toughest on the planet earth. The product that started it all, Gorilla Glue, is known for its industrial holding power and versatility, regardless of the substrate. Easily bonds wood, stone, metal, ceramic, foam, glass and more!",E:\IMAGES\ITEMS\product\5\0\Gorilla.jpg,"Gorilla Glue, Inc.","The toughest on the planet earth. The product that started it all, Gorilla Glue, is known for its industrial holding power and versatility, regardless of the substrate. Easily bonds wood, stone, metal, ceramic, foam, glass and more!","100% Waterproof: Does not break down when exposed to outdoor elements. Versatile: Ideal for most household fixes, indoors or out. Temperature Resistant: Once dry, Gorilla Glue is unaffected by extreme heat or cold. Foam Expansion: expands 3-4 times the application amount, penetrating the glued surface for a superior bond. Sandable, Paintable, Stainable: The invisible glue line makes for easy finishing.",,,Gorilla 50004 Gorilla Glue,Gorilla Glue
19541,Adhesives,7805002,Gorilla Super Glue - regular - 24pk,"Its high strength and quick set time make Gorilla Super Glue the go-to for a variety of household projects. Developed for long-lasting repairs in an instant, Gorilla Super Glue is formulated with tiny rubber particles for increased impact resistance. We c",E:\IMAGES\ITEMS\product\7\8\Gorilla-Super.jpg,"Gorilla Glue, Inc.",Gorilla Super Glue - regular - 24pk,"The product that started it all. Original Gorilla Glue built a name for itself with its incredible, industrial holding power and versatility. The water activated polyurethane formula expands into materials to form an incredibly strong bond to virtually anything making Gorilla Glue your solution for almost any project or repair.","100% WATERPROOF: Doesn’t break down when exposed to outdoor elements VERSATILE: Easily bonds wood, stone, metal, ceramic, foam, glass, concrete and much more! INCREDIBLY STRONG: Expands 3 times into the materials to form an incredibly strong bond TEMPERATURE RESISTANT: Bond holds through hot and cold temperatures",,Gorilla 7805002 Gorilla Super Glue,Gorilla Super Glue - regular - 24pk
565|19596,Duct Tape|Duct and Cloth Tapes,6035120,6035120 Gorilla Tape,,E:\IMAGES\ITEMS\product\6\0\Gorilla-6035120-Gorilla.jpg,"Gorilla Glue, Inc.",,"Gorilla Tape offers over the top results with its heavy-duty, double-thick duct tape. It is made to stick to rough, uneven, unforgiving surfaces like wood, stone, stucco, plaster, brick and more. It’s like duct tape on steroids.",,,Gorilla 6035120 Gorilla Tape,6035120 Gorilla Tape
565|19596,Duct Tape|Duct and Cloth Tapes,61001,Duct Tape To-Go,,E:\IMAGES\ITEMS\product\6\1\Gorilla-Duct-Tape-To.jpg,"Gorilla Glue, Inc.",,"Convenient for on-the-go repairs, Gorilla Duct Tape To-Go's 1 inch width packs a powerful grip in a portable size. Ideal size for backpacks, toolboxes, glove compartments for camping, boating and more!",,,Gorilla 61001 Gorilla Duct Tape To-Go,Duct Tape To-Go
565,Duct Tape,60124,Gorilla Black Duct Tape 12yd - 10pk,,E:\IMAGES\ITEMS\product\6\0\gorilla-glue-inc-60124-gorilla-black-duct-tape-12yd-10pk.jpg,"Gorilla Glue, Inc.",Gorilla Black Duct Tape 12yd - 10pk,,"APPLICATION TEMPERATURE – 40° to 120° F, best at room temperature SERVICE TEMPERATURE – continuous-up to 150° F intermittent- up to 200° F OUTDOOR – Yes MOISTURE RESISTANT – Yes STORAGE TIPS  – Store in a cool, dry location. Keep out of direct sunlight",,,Gorilla Black Duct Tape 12yd - 10pk
19541,Adhesives,7400202,GORILLA SUPER GLUE 25g XL,,E:\IMAGES\ITEMS\product\7\4\gorilla-glue-inc-7400202-gorilla-super-glue-25g-xl.jpg,"Gorilla Glue, Inc.",GORILLA SUPER GLUE 25g XL,,,,,GORILLA SUPER GLUE 25g XL
19541,Adhesives,7820001,Gorilla Super Glue Gel - Two 3g tubes,,E:\IMAGES\ITEMS\product\7\8\gorilla-glue-inc-7820001-gorilla-super-glue-gel-two-3g-tubes.jpg,"Gorilla Glue, Inc.",Gorilla Super Glue Gel - Two 3g tubes - 6pk,"Gorilla Super Glue Gel is an easy-to-use, thicker and more controlled formula* great for multiple surfaces and vertical applications. Developed for long-lasting repairs in an instant, the clear glue dries in 10–45 seconds. This super glue gel is specially formulated to absorb drops and impacts. Super glue, also referred to as cyanoacrylate glue, or CA glue, works on a variety of materials, including plastic**, metal, stone, ceramic, paper, rubber and more. In addition to its high performance formula, we’ve added an anti-clog cap with a metal pin inside to ensure an airtight seal for maximum reusability. It’s Gorilla tough, every time.","NO RUN CONTROL GEL FORMULA ANTI CLOG CAP: Keeps glue from drying out, its Gorilla Tough use after use. IMPACT TOUGH: Increase impact resistance and strength FAST-SETTING: Dries in 10-45 seconds, no clamping required VERSATILE: Bonds plastic*, wood, metal, ceramic, rubber, leather, paper and more!  *Not recommended for use on polyethylene or polypropylene plastic or similar materials.",,,Gorilla Super Glue Gel - Two 3g tubes
19541,Adhesives,7900103,Gorilla Super Glue 3g,,E:\IMAGES\ITEMS\product\7\9\gorilla-glue-inc-7900103-gorilla-super-glue-3g.jpg,"Gorilla Glue, Inc.",Gorilla Super Glue 3 g - 6pk,"Its high strength and quick set time make Gorilla Super Glue the go-to adhesive for a variety of household projects. Developed for long-lasting repairs in an instant, the clear glue dries in 10-45 seconds. Our Super Glue is reinforced for increased impact resistance to handle bumps and drops. We call it Impact-Tough® because the reliable bond stands up to wear and tear. Super glue, also referred to as cyanoacrylate glue, or CA glue, works on a variety of materials, including plastic*, metal, stone, ceramic, paper, rubber and more. In addition to Gorilla Super Glue's high-performance cyanoacrylate formula, we've added an anti-clog cap with a metal pin inside ensuring an airtight seal for maximum reusability. It's Gorilla tough, every time.",,,,Gorilla Super Glue 3g
565,Duct Tape,6027002,CRYSTAL CLEAR TAPE - 9yd,,E:\IMAGES\ITEMS\product\6\0\gorilla-glue-inc-6027002-crystal-clear-tape-9yd.jpg,"Gorilla Glue, Inc.",CRYSTAL CLEAR TAPE - 9yd,"Crystal Clear Gorilla Tape features the adhesive strength of Gorilla Tape†, in a crystal clear tape that does not yellow outdoors. Made with a heavy duty adhesive layer and waterproof backing for extreme durability. This tape is UV and temperature resistant - great for projects and repairs both indoors and out. Crystal Clear Gorilla Tape can be applied to wet surfaces and also works under water.",,,,CRYSTAL CLEAR TAPE - 9yd
