category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
605|23168,Scaffold|Scaffolding,Granite 01001,GR7 Guard Rail 7' Hole End,"We offer a complete line of high quality Step, Ladder and Open End Style Steel Frames. All frames are powder coated for extended durability. Our products are warranted to meet or exceed all OSHA and ANSI specifications.  Tube size of frames available in",E:\IMAGES\ITEMS\product\G\r\GR7-Guard-Rail-7-Hole.jpg,Granite Industries,"We offer a complete line of high quality Step, Ladder and Open End Style Steel Frames. All frames are powder coated for extended durability. Our products are warranted to meet or exceed all OSHA and ANSI specifications.  Tube size of frames available in three O.D. tubing sizes: A is 1-1/2”, B is 1-5/8”, C is 1.69”","Tower Package Features Manufactured from high strength steel tubing with coped and arc welded perimeter joints on all frames Quick, easy assembly of standard components Adjustable platform levels Large work platform area Guard rail system Casters: 500 lbs. capacity each, include locking wheels","Take the guess work out of scaffold. To make it easier to purchase, we have created pre packaged scaffold rolling tower units. Granite Industries Rolling Tower Packages are designed with Heavy Duty Single Step Scaffold Frames that will meet the most rigid requirements.  Our Rolling Tower Packages have a platform size of 5'W X 7'L and include everything from wheels to guardrail systems. The larger tower packages have a platform size of 5'W X 10'L and also include all necessary equipment to build the tower. This is designed for your convenience, and allows for a complete Tower System.",,GR7 Guard Rail 7' Hole End,GR7 Guard Rail 7' Hole End
605|23168,Scaffold|Scaffolding,GR7,Guard Rail,,E:\IMAGES\ITEMS\product\G\R\granite-industries-gr7-guard-rail.jpg,Granite Industries,Scaffolding Guard Rail,"Manufactured from high strength steel tubing with coped and arc welded perimeter joints on all frames Quick, easy assembly of standard components","(*) Please Specify Tube Size (••) Please Specify Lock Type, X or H only Note: Size C posts (1.69” Diameter) are available with 90º OR 45º drilling to match frames.",,7' Hole End,Guard Rail
605|23168,Scaffold|Scaffolding,GR5,Guard Rail,,E:\IMAGES\ITEMS\product\G\R\granite-industries-gr5-guard-rail.jpg,Granite Industries,Scaffolding Guard Rail,"Manufactured from high strength steel tubing with coped and arc welded perimeter joints on all frames Quick, easy assembly of standard components","(*) Please Specify Tube Size (••) Please Specify Lock Type, X or H only Note: Size C posts (1.69” Diameter) are available with 90º OR 45º drilling to match frames.",,"(*)5' Hole End 60"" C-C",Guard Rail
605|23168,Scaffold|Scaffolding,GROEAJ,Guard Rail,,E:\IMAGES\ITEMS\product\G\R\granite-industries-groeaj-guard-rail.jpg,Granite Industries,Scaffolding Guard Rail,"Manufactured from high strength steel tubing with coped and arc welded perimeter joints on all frames Quick, easy assembly of standard components",(*) Please Specify Tube Size,,Adj for Open End-Intermediate 5' End- Yel,Guard Rail
605|23168,Scaffold|Scaffolding,GR28,Guard Rail,,E:\IMAGES\ITEMS\product\G\R\granite-industries-gr28-guard-rail.jpg,Granite Industries,Scaffolding Guard Rail,"Manufactured from high strength steel tubing with coped and arc welded perimeter joints on all frames Quick, easy assembly of standard components","(*) Please Specify Tube Size (••) Please Specify Lock Type, X or H only Note: Size C posts (1.69” Diameter) are available with 90º OR 45º drilling to match frames.",,"28''-Hole End to Fit Across 28"" Walkboard",Guard Rail
605|23168,Scaffold|Scaffolding,GR36,Guard Rail,,E:\IMAGES\ITEMS\product\G\R\granite-industries-gr36-guard-rail.jpg,Granite Industries,Scaffolding Guard Rail,"Manufactured from high strength steel tubing with coped and arc welded perimeter joints on all frames Quick, easy assembly of standard components","(*) Please Specify Tube Size (••) Please Specify Lock Type, X or H only Note: Size C posts (1.69” Diameter) are available with 90º OR 45º drilling to match frames.",,"42"" Hole End 42"" C-C",Guard Rail
605|23168,Scaffold|Scaffolding,B7H9,Diagonal Brace,,E:\IMAGES\ITEMS\product\B\7\granite-industries-b7h9-diagonal-brace.jpg,Granite Industries,Scaffolding Braces,"Manufactured from high strength steel tubing with coped and arc welded perimeter joints on all frames Quick, easy assembly of standard components","(*) Please Specify End Type: H (Hole End) or N (Notched End) (**) Please Specify Brace Lock Spacing: 24”, 27 3/4”, 36”, 42” or 48” (***) Please Specify Tube",,"(*)(**)-7' x 9""-3/8"" Hole End",Diagonal Brace
605|23168,Scaffold|Scaffolding,B7H27,Diagonal Brace,,E:\IMAGES\ITEMS\product\B\7\granite-industries-b7h27-diagonal-brace.jpg,Granite Industries,Scaffolding Braces,"Manufactured from high strength steel tubing with coped and arc welded perimeter joints on all frames Quick, easy assembly of standard components","(*) Please Specify End Type: H (Hole End) or N (Notched End) (**) Please Specify Brace Lock Spacing: 24”, 27 3/4”, 36”, 42” or 48” (***) Please Specify Tube",,"7'x27 3/4""-Hole End",Diagonal Brace
605|23168,Scaffold|Scaffolding,B5H27,Diagonal Brace,,E:\IMAGES\ITEMS\product\B\5\granite-industries-b5h27-diagonal-brace.jpg,Granite Industries,Scaffolding Braces,"Manufactured from high strength steel tubing with coped and arc welded perimeter joints on all frames Quick, easy assembly of standard components","(*) Please Specify End Type: H (Hole End) or N (Notched End) (**) Please Specify Brace Lock Spacing: 24”, 27 3/4”, 36”, 42” or 48” (***) Please Specify Tube",,"5' x 27 3/4""-Hole End",Diagonal Brace
605|23168,Scaffold|Scaffolding,B7H4518,Diagonal Brace,,E:\IMAGES\ITEMS\product\B\7\granite-industries-b7h4518-diagonal-brace.jpg,Granite Industries,Scaffolding Braces,"Manufactured from high strength steel tubing with coped and arc welded perimeter joints on all frames Quick, easy assembly of standard components","(*) Please Specify End Type: H (Hole End) or N (Notched End) (**) Please Specify Brace Lock Spacing: 24”, 27 3/4”, 36”, 42” or 48” (***) Please Specify Tube",,"18""-Two Hole Tubular",Diagonal Brace
