category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1774|26885,Rebar Chairs|Bar Chairs,GRPROLK41,PROLOK High Chair,,E:\IMAGES\ITEMS\product\G\R\grip-rite-grprolk41-prolok-high-chair.jpg,Grip-Rite,PROLOK High Chair,"No tie or bar ties needed Strong, durable & lightweight I-beam design Fits #3 - #6 rebar Fits all mesh sizes Available in 1-4 in. heights 1-3 in. compatible with PROLOK Sandplate base Contributes to LEED® points",,,Bar &Mesh #4-1 in.,PROLOK High Chair
1774|26885,Rebar Chairs|Bar Chairs,GRPROLK415,PROLOK High Chair,,E:\IMAGES\ITEMS\product\G\R\grip-rite-grprolk415-prolok-high-chair.jpg,Grip-Rite,PROLOK High Chair,"No tie or bar ties needed Strong, durable & lightweight I-beam design Fits #3 - #6 rebar Fits all mesh sizes Available in 1-4 in. heights 1-3 in. compatible with PROLOK Sandplate base Contributes to LEED® points",,,Bar & Mesh #4-1.5 in.,PROLOK High Chair
1774|26885,Rebar Chairs|Bar Chairs,GRPROLK42,PROLOK High Chair,,E:\IMAGES\ITEMS\product\G\R\grip-rite-grprolk42-prolok-high-chair.jpg,Grip-Rite,PROLOK High Chair,"No tie or bar ties needed Strong, durable & lightweight I-beam design Fits #3 - #6 rebar Fits all mesh sizes Available in 1-4 in. heights 1-3 in. compatible with PROLOK Sandplate base Contributes to LEED® points",,,Bar & Mesh #4-2 in.,PROLOK High Chair
1774|26885,Rebar Chairs|Bar Chairs,GRPROLK425,PROLOK High Chair,,E:\IMAGES\ITEMS\product\G\R\grip-rite-grprolk425-prolok-high-chair.jpg,Grip-Rite,PROLOK High Chair,"No tie or bar ties needed Strong, durable & lightweight I-beam design Fits #3 - #6 rebar Fits all mesh sizes Available in 1-4 in. heights 1-3 in. compatible with PROLOK Sandplate base Contributes to LEED® points",,,Bar & Mesh #4-2.5 in.,PROLOK High Chair
1774|26885,Rebar Chairs|Bar Chairs,GRPROLK43,PROLOK High Chair,,E:\IMAGES\ITEMS\product\G\R\grip-rite-grprolk43-prolok-high-chair.jpg,Grip-Rite,PROLOK High Chair,"No tie or bar ties needed Strong, durable & lightweight I-beam design Fits #3 - #6 rebar Fits all mesh sizes Available in 1-4 in. heights 1-3 in. compatible with PROLOK Sandplate base Contributes to LEED® points",,,Bar & Mesh #4-3 in.,PROLOK High Chair
1774|26885,Rebar Chairs|Bar Chairs,GRPROLK44,PROLOK High Chair,,E:\IMAGES\ITEMS\product\G\R\grip-rite-grprolk44-prolok-high-chair.jpg,Grip-Rite,PROLOK High Chair,"No tie or bar ties needed Strong, durable & lightweight I-beam design Fits #3 - #6 rebar Fits all mesh sizes Available in 1-4 in. heights 1-3 in. compatible with PROLOK Sandplate base Contributes to LEED® points",,,Bar & Mesh #4-4 in.,PROLOK High Chair
1774|26885,Rebar Chairs|Bar Chairs,GRPROLK515,PROLOK High Chair,,E:\IMAGES\ITEMS\product\G\R\grip-rite-grprolk515-prolok-high-chair.jpg,Grip-Rite,PROLOK High Chair,"No tie or bar ties needed Strong, durable & lightweight I-beam design Fits #3 - #6 rebar Fits all mesh sizes Available in 1-4 in. heights 1-3 in. compatible with PROLOK Sandplate base Contributes to LEED® points",,,Bar & Mesh #5-1.5 in.,PROLOK High Chair
1774|26885,Rebar Chairs|Bar Chairs,GRPROLK52,PROLOK High Chair,,E:\IMAGES\ITEMS\product\G\R\grip-rite-grprolk52-prolok-high-chair.jpg,Grip-Rite,PROLOK High Chair,"No tie or bar ties needed Strong, durable & lightweight I-beam design Fits #3 - #6 rebar Fits all mesh sizes Available in 1-4 in. heights 1-3 in. compatible with PROLOK Sandplate base Contributes to LEED® points",,,Bar & Mesh #5-2 in.,PROLOK High Chair
1774|26885,Rebar Chairs|Bar Chairs,GRPROLK525,PROLOK High Chair,,E:\IMAGES\ITEMS\product\G\R\grip-rite-grprolk525-prolok-high-chair.jpg,Grip-Rite,PROLOK High Chair,"No tie or bar ties needed Strong, durable & lightweight I-beam design Fits #3 - #6 rebar Fits all mesh sizes Available in 1-4 in. heights 1-3 in. compatible with PROLOK Sandplate base Contributes to LEED® points",,,Bar & Mesh #5-2.5 in.,PROLOK High Chair
1774|26885,Rebar Chairs|Bar Chairs,GRPROLK53,PROLOK High Chair,,E:\IMAGES\ITEMS\product\G\R\grip-rite-grprolk53-prolok-high-chair.jpg,Grip-Rite,PROLOK High Chair,"No tie or bar ties needed Strong, durable & lightweight I-beam design Fits #3 - #6 rebar Fits all mesh sizes Available in 1-4 in. heights 1-3 in. compatible with PROLOK Sandplate base Contributes to LEED® points",,,Bar & Mesh #5-3 in.,PROLOK High Chair
1774|26885,Rebar Chairs|Bar Chairs,GRPROLK54,PROLOK High Chair,,E:\IMAGES\ITEMS\product\G\R\grip-rite-grprolk54-prolok-high-chair.jpg,Grip-Rite,PROLOK High Chair,"No tie or bar ties needed Strong, durable & lightweight I-beam design Fits #3 - #6 rebar Fits all mesh sizes Available in 1-4 in. heights 1-3 in. compatible with PROLOK Sandplate base Contributes to LEED® points",,,Bar & Mesh #5-4 in.,PROLOK High Chair
1774|26885,Rebar Chairs|Bar Chairs,GRPROLK615,PROLOK High Chair,,E:\IMAGES\ITEMS\product\G\R\grip-rite-grprolk615-prolok-high-chair.jpg,Grip-Rite,PROLOK High Chair,"No tie or bar ties needed Strong, durable & lightweight I-beam design Fits #3 - #6 rebar Fits all mesh sizes Available in 1-4 in. heights 1-3 in. compatible with PROLOK Sandplate base Contributes to LEED® points",,,Bar & Mesh #6-1.5 in.,PROLOK High Chair
1774|26885,Rebar Chairs|Bar Chairs,GRPROLK625,PROLOK High Chair,,E:\IMAGES\ITEMS\product\G\R\grip-rite-grprolk625-prolok-high-chair.jpg,Grip-Rite,PROLOK High Chair,"No tie or bar ties needed Strong, durable & lightweight I-beam design Fits #3 - #6 rebar Fits all mesh sizes Available in 1-4 in. heights 1-3 in. compatible with PROLOK Sandplate base Contributes to LEED® points",,,Bar & Mesh #6-2.5 in.,PROLOK High Chair
1774|26885,Rebar Chairs|Bar Chairs,GRPROLK63,PROLOK High Chair,,E:\IMAGES\ITEMS\product\G\R\grip-rite-grprolk63-prolok-high-chair.jpg,Grip-Rite,PROLOK High Chair,"No tie or bar ties needed Strong, durable & lightweight I-beam design Fits #3 - #6 rebar Fits all mesh sizes Available in 1-4 in. heights 1-3 in. compatible with PROLOK Sandplate base Contributes to LEED® points",,,Bar & Mesh #6-3 in.,PROLOK High Chair
1774|26885,Rebar Chairs|Bar Chairs,GRPROLK64,PROLOK High Chair,,E:\IMAGES\ITEMS\product\G\R\grip-rite-grprolk64-prolok-high-chair.jpg,Grip-Rite,PROLOK High Chair,"No tie or bar ties needed Strong, durable & lightweight I-beam design Fits #3 - #6 rebar Fits all mesh sizes Available in 1-4 in. heights 1-3 in. compatible with PROLOK Sandplate base Contributes to LEED® points",,,Bar & Mesh #6-4 in.,PROLOK High Chair
2547|27818,Square Washers|Square Washers,58HGSPW3,Square Slotted Washer Hot Dipped Galvanized,,/,Grip-Rite,Square Slotted Washer Hot Dipped Galvanized,"Fits Bolt Size: 5/8"" Washer Size: 3"" x 3"" x 1/4"" x 5/8""  All Grip-Rite hot dipped galvanized fasteners meet ASTM A-153 requirements and can be used with treated lumber.",,,Square Slotted Washer Hot Dipped Galvanized,Square Slotted Washer Hot Dipped Galvanized
22092,Tarps,TARP3040,30' X 40' POLY TARP,,E:\IMAGES\ITEMS\product\T\A\grip-rite-tarp3040-30-x-40-poly-tarp.jpg,Grip-Rite,,Weather resistant Tear resistant Mold and mildew resistant Rust proof grommets,,,,30' X 40' POLY TARP
22092,Tarps,TARP4060,40' X 60' POLY TARP,,E:\IMAGES\ITEMS\product\T\A\grip-rite-tarp4060-40-x-60-poly-tarp.jpg,Grip-Rite,,Weather resistant Tear resistant Mold and mildew resistant Rust proof grommets,,,,40' X 60' POLY TARP
24589,Electric Air Compressors,GR100,AIR COMPRESSOR 1 HP 1 GALLON CFM .6,,E:\IMAGES\ITEMS\product\G\R\grip-rite-gr100-air-compressor-1-hp-1-gallon-cfm-6.jpg,Grip-Rite,,,"Designed for trim carpentry and other small projects Plastic protective shroud protects pump and motor Electric, direct drive, oil-free pump Overload protection with manual reset 5 amps - will not trip breakers Ultra quiet Lightweight and compact - only 2",,,AIR COMPRESSOR 1 HP 1 GALLON CFM .6
24589,Electric Air Compressors,GR152CM,AIR COMPRESSOR 2 HP 2 GALLON CFM 2.6,,E:\IMAGES\ITEMS\product\G\R\grip-rite-gr152cm-air-compressor-2-hp-2-gallon-cfm-26.jpg,Grip-Rite,,,"Features: Designed to handle small to larger punch-out projects Oil-free pump  Extremely quiet and lightweight  Pontoon-style tank provides a low center of gravity and reduced tip-over Life expectancy of up to 4,000 hours  Easy grip handles for jobsite po",,,AIR COMPRESSOR 2 HP 2 GALLON CFM 2.6
24589,Electric Air Compressors,GR2540LR,AIR COMPRESSOR 2.5 HP 4.0 GALLON CFM 4.5,,E:\IMAGES\ITEMS\product\G\R\grip-rite-gr2540lr-air-compressor-25-hp-40-gallon-cfm-45.jpg,Grip-Rite,,,Ultra quiet 1725 RPM motor  Heavy duty pump features a cast iron cylinder  Locking pull-out handle provides leverage for maximum mobility  Overload protection with manual reset  10” no - flat tire never loses air Initial oil fill included  Recessed gauges,,,AIR COMPRESSOR 2.5 HP 4.0 GALLON CFM 4.5
24589,Electric Air Compressors,GR254CTS,AIR COMPRESSOR 2.5 HP 4.3 GALLON CFM 4.0,,E:\IMAGES\ITEMS\product\G\R\grip-rite-gr254cts-air-compressor-25-hp-43-gallon-cfm-40.jpg,Grip-Rite,,,,,,AIR COMPRESSOR 2.5 HP 4.3 GALLON CFM 4.0
20448,Staples,GRGS161,"1/2 X 1 CROWN STAPLE 16 GAUGE GALV 10,000/BX",,E:\IMAGES\ITEMS\product\G\R\grip-rite-grgs161-12-x-1-crown-staple-16-gauge-galv-10000bx.jpg,Grip-Rite,,,"For use with most 16 Gauge Medium Crown ""GS""-style Staplers, including: DeWalt Fasco Paslode Spotnails",,,"1/2 X 1 CROWN STAPLE 16 GAUGE GALV 10,000/BX"
