category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
13|23901|28313,Generators|Portable Generators|Rental Portable Generators,EU2000i,Home Back Up Generator,Honda EU2000i Home Back Up Generator,E:\IMAGES\ITEMS\product\E\U\Honda-EU2000i-Home-Back-Up.jpg,Honda,Honda EU2000i Home Back Up Generator,"2000 watts, 120V Ideal for TV/DVD, satellite, fridge, coffee pot, and more Super quiet Easy to carry - less than 47 lbs!! Fuel efficient - up to 9.6 hrs on 1 gal of gas Inverter - stable power for computers and more","Honda Generators are the perfect choice for home back up power: Reliable, quiet power Long run times Easy transporting Convenient and easy to use Choose from our deluxe EM series models and our super-quiet EU series for the ultimate in portable home power.",,Honda EU2000i Home Back Up Generator,Home Back Up Generator
13|23901|28313,Generators|Portable Generators|Rental Portable Generators,EU2000i Camo,Back-up Home Generator,Honda EU2000i Camo Back-up Home Generator,E:\IMAGES\ITEMS\product\E\U\Honda-EU2000i-Camo-Back-up-Home.jpg,Honda,Honda EU2000i Camo Back-up Home Generator,"2000 watts, 120V Natural Gear™ camo exterior Ideal for TV/DVD, satellite, fridge, coffee pot, and more Super quiet Fuel efficient - up to 9.6 hrs on 1 gal of gas Inverter - stable power for computers and more","Honda Generators are the perfect choice for home back up power: Reliable, quiet power Long run times Easy transporting Convenient and easy to use Choose from our deluxe EM series models and our super-quiet EU series for the ultimate in portable home power.",,Honda EU2000i Camo Back-up Home Generator,Back-up Home Generator
13|23901|28313,Generators|Portable Generators|Rental Portable Generators,EU2000i Companion,Home Back-up Generator,Honda EU2000i Companion Home Back-up Generator,E:\IMAGES\ITEMS\product\E\U\Honda-EU2000i-Companion-Home-Back-up.jpg,Honda,Honda EU2000i Companion Home Back-up Generator,"2000 watts, 120V Built in 30A outlet for easy parallel capability with another EU2000i Ideal for TV/DVD, satellite, fridge, coffee pot, and more Great for RV applications Super quiet Inverter - stable power for computers and more","Honda Generators are the perfect choice for home back up power: Reliable, quiet power Long run times Easy transporting Convenient and easy to use Choose from our deluxe EM series models and our super-quiet EU series for the ultimate in portable home power.",,Honda EU2000i Companion Home Back-up Generator,Home Back-up Generator
13|23901|28313,Generators|Portable Generators|Rental Portable Generators,EU3000i Handi,Home Back-up Generator,Honda EU3000i Handi Home Back-up Generator,E:\IMAGES\ITEMS\product\E\U\Honda-EU3000i-Handi-Home-Back-up.jpg,Honda,Honda EU3000i Handi Home Back-up Generator,The lightest 3000-watt inverter generator we've ever made Wheels and folding handle for true portability Compact design Offset handles for easier lifting Recessed convenience light,"Honda Generators are the perfect choice for home back up power: Reliable, quiet power Long run times Easy transporting Convenient and easy to use Choose from our deluxe EM series models and our super-quiet EU series for the ultimate in portable home power.",,Honda EU3000i Handi Home Back-up Generator,Home Back-up Generator
13|23901|28313,Generators|Portable Generators|Rental Portable Generators,EU3000iS,Home Back-up Generator,Honda EU3000iS Home Back-up Generator,E:\IMAGES\ITEMS\product\E\U\Honda-EU3000iS-Home-Back-up.jpg,Honda,Honda EU3000iS Home Back-up Generator,"3000 watts, 120V Power for your furnace, fridge, microwave, most 13,500 BTU RV AC units, and more Super quiet Convenient electric start Fuel efficient - up to 20 hrs on 3.4 gals of gas Inverter - stable power for computers and more","Honda Generators are the perfect choice for home back up power: Reliable, quiet power Long run times Easy transporting Convenient and easy to use Choose from our deluxe EM series models and our super-quiet EU series for the ultimate in portable home power.",,Honda EU3000iS Home Back-up Generator,Home Back-up Generator
13|23901|28313,Generators|Portable Generators|Rental Portable Generators,EU6500iS,Home Back-up Generator,"Honda EU6500iS Home Back-up Generator, EU6500iSAN, EU6500iSAC",E:\IMAGES\ITEMS\product\E\U\Honda-EU6500iS-Home-Back-up.jpg,Honda,Honda EU6500iS Home Back-up Generator,"6500 watts, 120/240V Perfect for home back up power, RV's, outdoor events, job sites, and more Super quiet Fuel efficient - up to 14 hrs on 4.5 gals of gas Convenient electric start Inverter - stable power for computers and more","Honda Generators are the perfect choice for home back up power: Reliable, quiet power Long run times Easy transporting Convenient and easy to use Choose from our deluxe EM series models and our super-quiet EU series for the ultimate in portable home power.",,Honda EU6500iS Home Back-up Generator,Home Back-up Generator
13|23901|28313,Generators|Portable Generators|Rental Portable Generators,EM4000S,Home Back-up Generator,Honda EM4000S Home Back-up Generator,E:\IMAGES\ITEMS\product\E\M\Honda-EM4000S-Home-Back-up.jpg,Honda,Honda EM4000S Home Back-up Generator,"4000 watts 120/240V Provides 5,000 watts for 10 secs to start larger equipment Powers fridge, furnace, lights, TV, and much more Long run time - up to 16 hrs Powerful Honda iGX commercial engine Electric start (battery included) with recoil back-up","Honda Generators are the perfect choice for home back up power: Reliable, quiet power Long run times Easy transporting Convenient and easy to use Choose from our deluxe EM series models and our super-quiet EU series for the ultimate in portable home power.",,Honda EM4000S Home Back-up Generator,Home Back-up Generator
13|23901|28313,Generators|Portable Generators|Rental Portable Generators,EM5000iS,Home Back-up Generator,Honda EM5000iS Home Back-up Generator,E:\IMAGES\ITEMS\product\E\M\Honda-EM5000iS-Home-Back-up.jpg,Honda,Honda EM5000iS Home Back-up Generator,"5000 watts, 120/240V Powers fridge, furnace, well pump, and much more Inverter - stable power for computers and more Standard electric start with remote start capability 2 wheel kit - easy to transport Powerful Honda commercial OHV engine","Honda Generators are the perfect choice for home back up power: Reliable, quiet power Long run times Easy transporting Convenient and easy to use Choose from our deluxe EM series models and our super-quiet EU series for the ultimate in portable home power.",,Honda EM5000iS Home Back-up Generator,Home Back-up Generator
13|23901|28313,Generators|Portable Generators|Rental Portable Generators,EM5000S,Home Back-up Generator,Honda EM5000S Home Back-up Generator,E:\IMAGES\ITEMS\product\E\M\Honda-EM5000S-Home-Back-up.jpg,Honda,Honda EM5000S Home Back-up Generator,"5000 watts 120/240V Provides 7,000 watts for 10 secs to start larger equipment Powers fridge, furnace, well pump, and much more Long run time - up to 11.2 hrs Powerful Honda iGX commercial engine Electric start (battery included) with recoil back-up","Honda Generators are the perfect choice for home back up power: Reliable, quiet power Long run times Easy transporting Convenient and easy to use Choose from our deluxe EM series models and our super-quiet EU series for the ultimate in portable home power.",,Honda EM5000S Home Back-up Generator,Home Back-up Generator
13|23901|28313,Generators|Portable Generators|Rental Portable Generators,EM6500S,Home Back-up Generator,Honda EM6500S Home Back-up Generator,E:\IMAGES\ITEMS\product\E\M\Honda-EM6500S-Home-Back-up.jpg,Honda,Honda EM6500S Home Back-up Generator,"6500 watts 120/240V Provides 7,000 watts for 10 secs to start larger equipment Powers fridge, freezer, furnace, well pump, and much more Long run time - up to 10.4 hrs Powerful Honda iGX commercial engine Electric start (battery included) with recoil back-up","Honda Generators are the perfect choice for home back up power: Reliable, quiet power Long run times Easy transporting Convenient and easy to use Choose from our deluxe EM series models and our super-quiet EU series for the ultimate in portable home power.",,Honda EM6500S Home Back-up Generator,Home Back-up Generator
