category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
29018,Concrete Cutting,Husqvarna Soff-Cut 5000,Soff-Cut 5000,Husqvarna Soff-Cut 5000,E:\IMAGES\ITEMS\product\H\u\Husqvarna-Soft-Cut.jpg,Husqvarna,,"Benefits Self-propelled gas saw with positraction drive, hydrostatic transmission and travel speed indicator Switch-activated electronic adjustable handles Master switch control panel Electronic remote key start and choke High-strength, lightweight aluminium frame 20 amp regulated charging system Switch-activated blade depth control and retractable guide Dual halogen headlight system Adjustable depth of cut 2"" to 4"" Patented dry-cut diamond blade, anti-ravel skid plate and safety arbor Patented low-noise and low-dust blade block enclosure Mechanical depth gauge","The Husqvarna Soff-Cut 5000 Paver self-propelled gas saw is designed for highway and paving applications. Features include a 27 hp engine with overhead valves, heavy-duty air cleaner, electric start, full pressure lubrication, hydraulic valve lifters, and a mechanical fuel pump. Several blade widths can be used, allowing different joint widths and crack control simultaneously. The unique saw design allows for a 4"" depth of cut. Soff-Cut™ technology Husqvarna Soff-Cut is a unique patented system for early entry concrete sawing. This technology enables concrete to be cut within the first one or two hours of finishing and before final set. Husqvarna Soff-Cut™ provides the best solution for minimizing the risk of random cracking, and it simplifies the working process, compared to conventional sawing.",,Husqvarna Soff-Cut 5000,Soff-Cut 5000
29018,Concrete Cutting,Husqvarna Soff-Cut 4200,Soff-Cut 4200,Husqvarna Soff-Cut 4200,E:\IMAGES\ITEMS\product\H\u\Husqvarna-Soft-Cut- 1.jpg,Husqvarna,,"Benefits Self-propelled gasoline saw with positraction drive, hydrostatic transmission and travel speed indicator Switch-activated electronic adjustable handles Electronic remote key start and choke High-strength, lightweight aluminium frame Switch-activated blade depth control and retractable guide Patented dry-cut diamond blade, anti-ravel skid plate and arbor Patented low-noise and low-dust blade block enclosure Mechanical depth gauge","The Husqvarna 4200 self-propelled dry-cutting gasoline saw has a low-noise enclosed design and is ideal for heavy-duty commercial, industrial and paving applications. The 4200 is designed for peak performance. Features include a 23 hp twin-cylinder gasoline engine, three-stage cyclonic air cleaner, oil cooler, full-pressure oil lubrication, hydraulic valve lifters, mechanical fuel pump and oil alert light. Multiple blade widths can be used, allowing different joint widths and crack control simultaneously. Soff-Cut™ technology Husqvarna Soff-Cut is a unique patented system for early entry concrete sawing. This technology enables concrete to be cut within the first one or two hours of finishing and before final set. Husqvarna Soff-Cut™ provides the best solution for minimizing the risk of random cracking, and it simplifies the working process, compared to conventional sawing.",,Husqvarna Soff-Cut 4200,Soff-Cut 4200
29018,Concrete Cutting,Husqvarna Soff-Cut 2500,Soff-Cut 2500,Husqvarna Soff-Cut 2500,E:\IMAGES\ITEMS\product\H\u\Husqvarna-Soft-Cut- 2.jpg,Husqvarna,,"Benefits Self-propelled gas saw with positraction drive, hydrostatic transmission and travel speed indicator Switch-activated electronic adjustable handles Master switch control panel Electronic remote key start and choke High-strength, lightweight aluminium frame 10 amp regulated charging system Switch-activated blade depth control and retractable guide Patented dry-cut diamond blade, anti-ravel skid plate and safety arbor Patented low-noise and low-dust blade block enclosure","The Husqvarna Soff-Cut 2500 self-propelled dry cutting gas saw has a low noise enclosed design and is ideal for medium to heavy-duty commercial, industrial and paving applications. The 2500 is designed for versatility, ease of use and high production capabilities. Three blade widths can be used, allowing for different joint widths and crack control simultaneously. Features include a 13 hp engine, halogen lighting system, electric remote key start, and a cyclone air cleaner to increase engine longevity. Soff-Cut™ technology Husqvarna Soff-Cut is a unique patented system for early entry concrete sawing. This technology enables concrete to be cut within the first one or two hours of finishing and before final set. Husqvarna Soff-Cut™ provides the best solution for minimizing the risk of random cracking, and it simplifies the working process, compared to conventional sawing.",,Husqvarna Soff-Cut 2500,Soff-Cut 2500
29018,Concrete Cutting,Husqvarna Soff-Cut 4000,Soff-Cut 4000,Husqvarna Soff-Cut 4000,E:\IMAGES\ITEMS\product\H\u\Husqvarna-Soft-Cut- 3.jpg,Husqvarna,,"Benefits Self-propelled gasoline saw with hydrostatic transmission Electronic key start Electric blade depth control Mechanical remote retractable guide Patented dry-cut diamond blade, anti-ravel skid plate and arbor Patented low-noise and low-dust blade block enclosure","The Husqvarna Soff-Cut 4000 self-propelled gasoline saw is designed for heavy-duty commercial, industrial and paving applications. Features include a 20 hp twin-cylinder engine with overhead valves, heavy-duty air cleaner, electric start, full pressure lubrication, hydraulic valve lifters and a mechanical fuel pump. Three blade widths can be used, allowing different joint widths and crack control simultaneously. Soff-Cut™ technology Husqvarna Soff-Cut is a unique patented system for early entry concrete sawing. This technology enables concrete to be cut within the first one or two hours of finishing and before final set. Husqvarna Soff-Cut™ provides the best solution for minimizing the risk of random cracking, and it simplifies the working process, compared to conventional sawing.",,Husqvarna Soff-Cut 4000,Soff-Cut 4000
29018,Concrete Cutting,Husqvarna Soff-Cut 2000,Soff-Cut 2000,Husqvarna Soff-Cut 2000,E:\IMAGES\ITEMS\product\H\u\Husqvarna-Soft-Cut- 4.jpg,Husqvarna,,Benefits Self-propelled gasoline saw with electric start engine and hydrostatic transmission Electronic remote key start and choke Patented low-noise and low-dust blade block enclosure Built-in lifting system Mechanical remote retractable guide Roll cage frame Mechanical depth control Cyclonic air filter to increase engine longevity Non-stick low-density polyurethane wheels,"A self-propelled dry-cutting gas saw ideal for medium to heavy-duty commercial, industrial and paving applications. The Husqvarna 2000 is designed for versatility, ease of use and high production capabilities. Three blade widths can be used, allowing for different joint widths and crack control simultaneously. Features include a 9 hp engine with automatic compression release for easy starting, chain driven overhead cam system, superior cooling, excellent lubrication system, and a cyclone air cleaner to increase engine longevity. Soff-Cut™ technology Husqvarna Soff-Cut is a unique patented system for early entry concrete sawing. This technology enables concrete to be cut within the first one or two hours of finishing and before final set. Husqvarna Soff-Cut™ provides the best solution for minimizing the risk of random cracking, and it simplifies the working process, compared to conventional sawing.",,Husqvarna Soff-Cut 2000,Soff-Cut 2000
29018,Concrete Cutting,Husqvarna Soff-Cut 750,Soff-Cut 750,Husqvarna Soff-Cut 750,E:\IMAGES\ITEMS\product\H\u\Husqvarna-Soft-Cut- 5.jpg,Husqvarna,,"Benefits Recommended for light to medium-duty use on driveways, parking lots and sitework Low noise and low dust blade block enclosure 6 horsepower engine with cyclone air filter Mechanical blade depth control Non-marking and non-stick polyurethane wheels High strength single piece frame Center lifting handle Distinctive roll cage style framework Patented safety arbor Easy pull start engine Turns ragged, chipped or raveled saw joints into beautifully beveled or radius edges A preset depth of cut - no fumbling with depth screws and bolts to adjust for proper radius or V-blade cutting Self-aligning guide wheels - guarantee proper blade alignment with saw joint every time Three (3) different size guide wheels, for 1/8"", 1/4"", and 1/2"" saw joint, assures optimum performance Bronze bushing mounted guide wheels allows for smooth operation for consistent width cut Larger diameter blade block shafts, front and rear for increased rigidity and strength Integrated weight block - maintains proper weight balance for consistant cut Stainless steel front diverter - reduces dust blown out","The Husqvarna Soff-Cut 750 self-propelled gas saw is ideal for commercial and industrical applications. It was designed for ease of use and convenience. Features include a low dust blade block system, which allows the saw to cut dry, while controlling debris for easy cleanup. Much like the entire line of Husqvarna Soff-Cut saws, the 750 works in conjunction with Soff-Cut blades and patented skid plates to allow for Ultra Early Entry™ cutting to minimize chipping and spalling while getting the job done the same day. Soff-Cut™ technology Husqvarna Soff-Cut is a unique patented system for early entry concrete sawing. This technology enables concrete to be cut within the first one or two hours of finishing and before final set. Husqvarna Soff-Cut™ provides the best solution for minimizing the risk of random cracking, and it simplifies the working process, compared to conventional sawing.",,Husqvarna Soff-Cut 750,Soff-Cut 750
29018,Concrete Cutting,Husqvarna Soff-Cut 150,Soff-Cut 150,Husqvarna Soff-Cut 150,E:\IMAGES\ITEMS\product\H\u\Husqvarna-Soft-Cut- 6.jpg,Husqvarna,,Benefits Patented low-noise and low-dust blade block enclosure 4.3 hp engine with cyclone air filter Mechanical blade depth control Non-marking and non-stick polyurethane wheels Retractable front guide system Folding handle Easy pull-start engine,"The Husqvarna Soff-Cut 150 saw is designed for residential and light commercial applications. The lightest gas saw in the Soff-Cut range, the 150 is designed for ease of use and convenience. Features include a patented low noise blade enclosure which allows the unit to be used in residential areas with minimal disruption. In addition, the low-dust blade block system allows the saw to cut dry, and it controls the debris for easy cleanup. Soff-Cut™ technology Husqvarna Soff-Cut is a unique patented system for early entry concrete sawing. This technology enables concrete to be cut within the first one or two hours of finishing and before final set. Husqvarna Soff-Cut™ provides the best solution for minimizing the risk of random cracking, and it simplifies the working process, compared to conventional sawing.",,Husqvarna Soff-Cut 150,Soff-Cut 150
29018,Concrete Cutting,Husqvarna Soff-Cut 150 D,Soff-Cut 150 D,Husqvarna Soff-Cut 150 D,E:\IMAGES\ITEMS\product\H\u\Husqvarna-Soft-Cut-150.jpg,Husqvarna,,"Benefits Recommended for light to medium duty use on decorative cuts, driveways and parking lots Low noise and low dust blade block enclosure 4-1/2 engine with cyclone air filter Mechanical blade depth control Non-marking and non-stick polyurethane wheels High strength single piece frame Folding handle Center lifting handle Distinctive roll cage style framework Patented safety arbor Easy pull start engine Turns ragged, chipped or raveled saw joints into beautifully beveled or radius edges A preset depth of cut - no fumbling with depth screws and bolts to adjust for proper radius or V-blade cutting Self-aligning guide wheels - guarantee proper blade alignment with saw joint every time Four (4) different size guide wheels, for 1/8"", 1/4"", 3/8"" and 1/2"" saw joint, assures optimum performance Bronze bushing mounted guide wheels allows for smooth operation for consistent width cut Larger diameter blade block shafts, front and rear for increased rigidity and strength Integrated weight block - maintains proper weight balance for consistant cut Stainless steel front diverter - reduces dust blown out","The Husqvarna Soff-Cut 150 D saw was designed especially for the contractor who wants a no-hassle way to make decorative cuts. It was also designed to be economical and durable. The 150 D has a low noise, low vibration 4-1/2 horsepower Robin engine and is ideal for large and small jobs alike. This saw, along with the Husqvarna Soff-Cut 50 handheld saw, is the perfect solution to your decorative jobsite needs. Soff-Cut™ technology Husqvarna Soff-Cut is a unique patented system for early entry concrete sawing. This technology enables concrete to be cut within the first one or two hours of finishing and before final set. Husqvarna Soff-Cut™ provides the best solution for minimizing the risk of random cracking, and it simplifies the working process, compared to conventional sawing.",,Husqvarna Soff-Cut 150 D,Soff-Cut 150 D
29018,Concrete Cutting,Husqvarna Soff-Cut 390,Soff-Cut 390,Husqvarna Soff-Cut 390,E:\IMAGES\ITEMS\product\H\u\Husqvarna-Soft-Cut- 7.jpg,Husqvarna,,"Benefits Recommended for light to medium-duty use on driveways, parking lots sitework and residential Accessible mechanical on/off safety switch (""dead man switch"") Aggregate adjustment system Hour meter 110 volt-15 amp electric motor Soft, polyurethane wheels Spring retractable guide system Patented anti-ravel skid plate Patented safety arbor Patented sawing method High visibility cut depth indicator Sealed electronic on / off proximity switch Mechanical blade raise / lower system","The Husqvarna Soff-Cut 390 electric saw is designed for residential and light commercial applications. The 390 is designed for ease of use and convenience. Features include a carrying case for easy transport, lightweight, adjustable aggregate knob and depth gauge, and a pre-paid maintenance program to provide long life. Soff-Cut™ technology Husqvarna Soff-Cut is a unique patented system for early entry concrete sawing. This technology enables concrete to be cut within the first one or two hours of finishing and before final set. Husqvarna Soff-Cut™ provides the best solution for minimizing the risk of random cracking, and it simplifies the working process, compared to conventional sawing.",,Husqvarna Soff-Cut 390,Soff-Cut 390
29018,Concrete Cutting,Husqvarna Soff-Cut 50,Soff-Cut 50,,E:\IMAGES\ITEMS\product\H\u\Husqvarna-Soft-Cut- 8.jpg,Husqvarna,,"Benefits Recommended for light-duty use on finish cuts, decorative cuts, driveways and parking lots Low noise and low dust blade block enclosure with dust extraction port 12 amp 120 volt electric motor Adjustable blade depth control 1/4"" - 1"" (6-25mm) Retractable front guide system Rear guide Curvilinear scoring at 2 ft. (.6m) minimum radius at 1/2"" (13mm) depth Chase existing curvilinear saw cuts with 5 ft. (1.5 m) minimum radius using ProEdge beveled blades Patented safety arbor Patented sawing method Adjustable motor position for operator comfort Cuts to < 1"" (25mm) from the wall Paddle switch allows multiple hand positions to ease operator fatigue","The Husqvarna Soff-Cut 50 handheld saw is designed for finish cuts, scoring and decorature applications. The low dust blade block system allows the saw to cut dry and it controls the debris for easy cleanup. The handheld saw works in conjunction with Soff-Cut blades and patented skid plates to allow for Ultra Early Entry™ cutting, which minimizes chipping and spalling while getting the job done the same day. Soff-Cut™ technology Husqvarna Soff-Cut is a unique patented system for early entry concrete sawing. This technology enables concrete to be cut within the first one or two hours of finishing and before final set. Husqvarna Soff-Cut™ provides the best solution for minimizing the risk of random cracking, and it simplifies the working process, compared to conventional sawing.",,Husqvarna Soff-Cut 50,Soff-Cut 50
